energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,2.96604561,0.00658894,0.21948513,0.57926815,1.42080503,0.08784970,0.06033807,1.12261594
-5.99399700,2.93600731,0.00669164,0.21334645,0.53078680,1.42624572,0.08684197,0.05887044,1.10823248
-5.98799400,2.90003542,0.00676268,0.20714425,0.48701810,1.42639379,0.08538396,0.05733324,1.09192887
-5.98199100,2.85726961,0.00680250,0.20082277,0.44761300,1.42087197,0.08348628,0.05571134,1.07339287
-5.97598799,2.80710613,0.00681248,0.19434207,0.41221075,1.40945217,0.08117516,0.05399443,1.05240174
-5.96998499,2.74921766,0.00679503,0.18768007,0.38045336,1.39206097,0.07849156,0.05217732,1.02883022
-5.96398199,2.68356470,0.00675365,0.18083390,0.35199877,1.36878100,0.07548993,0.05026005,1.00265562
-5.95797899,2.61039888,0.00669290,0.17382082,0.32653256,1.33984825,0.07223672,0.04824775,0.97395974
-5.95197599,2.53025850,0.00661847,0.16667834,0.30377791,1.30564588,0.06880865,0.04615037,0.94292802
-5.94597299,2.44395723,0.00653717,0.15946407,0.28350363,1.26669480,0.06529096,0.04398229,0.90984601
-5.93996998,2.35256685,0.00645688,0.15225500,0.26553039,1.22364179,0.06177560,0.04176173,0.87509352
-5.93396698,2.25739504,0.00638658,0.14514650,0.24973500,1.17724545,0.05835943,0.03951022,0.83913681
-5.92796398,2.15995923,0.00633629,0.13825115,0.23605287,1.12836068,0.05514259,0.03725186,0.80251917
-5.92196098,2.06195742,0.00631697,0.13169725,0.22447882,1.07792222,0.05222684,0.03501268,0.76585020
-5.91595798,1.96523699,0.00634047,0.12562741,0.21506630,1.02692748,0.04971418,0.03281993,0.72979411
-5.90995498,1.87176184,0.00641941,0.12019689,0.20792509,0.97641928,0.04770551,0.03070148,0.69505736
-5.90395198,1.78357867,0.00656699,0.11557201,0.20321770,0.92746846,0.04629937,0.02868517,0.66237563
-5.89794897,1.70278249,0.00679679,0.11192840,0.20115446,0.88115685,0.04559077,0.02679826,0.63250051
-5.89194597,1.63148166,0.00712258,0.10944915,0.20198735,0.83856035,0.04567003,0.02506697,0.60618582
-5.88594297,1.57176231,0.00755796,0.10832281,0.20600274,0.80073238,0.04662150,0.02351601,0.58417366
-5.87993997,1.52565234,0.00811608,0.10874114,0.21351292,0.76868757,0.04852225,0.02216821,0.56718028
-5.87393697,1.49508469,0.00880920,0.11089652,0.22484662,0.74338566,0.05144055,0.02104420,0.55588171
-5.86793397,1.48186008,0.00964834,0.11497903,0.24033848,0.72571555,0.05543420,0.02016213,0.55089934
-5.86193097,1.48760927,0.01064276,0.12117303,0.26031761,0.71647945,0.06054864,0.01953744,0.55278556
-5.85592796,1.51375514,0.01179954,0.12965328,0.28509539,0.71637731,0.06681497,0.01918267,0.56200958
-5.84992496,1.56147507,0.01312309,0.14058058,0.31495281,0.72599158,0.07424776,0.01910729,0.57894387
-5.84392196,1.63166455,0.01461468,0.15409688,0.35012737,0.74577245,0.08284287,0.01931758,0.60385144
-5.83791896,1.72490285,0.01627210,0.17032011,0.39080026,0.77602408,0.09257536,0.01981658,0.63687460
-5.83191596,1.84142221,0.01808921,0.18933855,0.43708389,0.81689219,0.10339755,0.02060405,0.67802555
-5.82591296,1.98108184,0.02005579,0.21120525,0.48901048,0.86835347,0.11523749,0.02167652,0.72717955
-5.81990995,2.14334843,0.02215733,0.23593234,0.54652204,0.93020753,0.12799787,0.02302741,0.78407115
-5.81390695,2.32728476,0.02437504,0.26348579,0.60946242,1.00207191,0.14155566,0.02464717,0.84829412
-5.80790395,2.53154782,0.02668598,0.29378062,0.67757182,1.08338086,0.15576246,0.02652363,0.91930541
-5.80190095,2.75439785,0.02906337,0.32667706,0.75048420,1.17338841,0.17044582,0.02864228,0.99643372
-5.79589795,2.99371919,0.03147707,0.36197770,0.82772810,1.27117615,0.18541156,0.03098680,1.07889255
-5.78989495,3.24705352,0.03389414,0.39942618,0.90873091,1.37566604,0.20044700,0.03353951,1.16579789
-5.78389195,3.51164527,0.03627969,0.43870742,0.99282686,1.48563841,0.21532526,0.03628204,1.25619020
-5.77788894,3.78449873,0.03859769,0.47944966,1.07926863,1.59975490,0.22981048,0.03919588,1.34905998
-5.77188594,4.06244538,0.04081201,0.52122856,1.16724225,1.71658591,0.24366367,0.04226311,1.44337623
-5.76588294,4.34221958,0.04288745,0.56357314,1.25588504,1.83464210,0.25664930,0.04546695,1.53811675
-5.75987994,4.62054004,0.04479076,0.60597380,1.34430578,1.95240882,0.26854206,0.04879235,1.63229887
-5.75387694,4.89419409,0.04649172,0.64789215,1.43160665,2.06838243,0.27913377,0.05222647,1.72500945
-5.74787394,5.16012152,0.04796401,0.68877242,1.51690584,2.18110732,0.28823999,0.05575894,1.81543258
-5.74187094,5.41549441,0.04918611,0.72805423,1.59936011,2.28921208,0.29570610,0.05938207,1.90287370
-5.73586793,5.65778987,0.05014194,0.76518621,1.67818630,2.39144364,0.30141256,0.06309072,1.98677889
-5.72986493,5.88485235,0.05082130,0.79964019,1.75268095,2.48669783,0.30527909,0.06688208,2.06674836
