energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.84378452,0.42640332,0.00579432,0.02269493,1.59037910,2.03655738,1.12748554
-5.99399700,2.88538174,0.43476379,0.00592341,0.02277359,1.61375026,2.06962505,1.14109388
-5.98799400,2.92009722,0.44297471,0.00603626,0.02282335,1.63220124,2.09815880,1.15158166
-5.98199100,2.94751998,0.45099462,0.00613124,0.02284532,1.64541128,2.12194656,1.15880545
-5.97598799,2.96735518,0.45876983,0.00620705,0.02284063,1.65316211,2.14084139,1.16268111
-5.96998499,2.97942320,0.46623416,0.00626276,0.02281029,1.65533894,2.15476019,1.16318246
-5.96398199,2.98365629,0.47330945,0.00629777,0.02275510,1.65192854,2.16368118,1.16033846
-5.95797899,2.98009296,0.47990656,0.00631188,0.02267558,1.64301486,2.16764062,1.15422922
-5.95197599,2.96887059,0.48592721,0.00630522,0.02257193,1.62877222,2.16672863,1.14498095
-5.94597299,2.95021646,0.49126625,0.00627827,0.02244404,1.60945653,2.16108456,1.13276011
-5.93996998,2.92443749,0.49581446,0.00623184,0.02229145,1.58539486,2.15089165,1.11776691
-5.93396698,2.89190919,0.49946167,0.00616702,0.02211345,1.55697370,2.13637147,1.10022849
-5.92796398,2.85306398,0.50210018,0.00608514,0.02190912,1.52462646,2.11777800,1.08039198
-5.92196098,2.80837934,0.50362810,0.00598774,0.02167743,1.48882053,2.09539157,1.05851755
-5.91595798,2.75836603,0.50395275,0.00587653,0.02141727,1.45004444,2.06951290,1.03487180
-5.90995498,2.70355682,0.50299376,0.00575329,0.02112764,1.40879548,2.04045721,1.00972159
-5.90395198,2.64449596,0.50068589,0.00561990,0.02080766,1.36556813,2.00854876,0.98332855
-5.89794897,2.58172979,0.49698142,0.00547822,0.02045671,1.32084380,1.97411592,0.95594427
-5.89194597,2.51579865,0.49185205,0.00533010,0.02007447,1.27508194,1.93748699,0.92780653
-5.88594297,2.44723038,0.48529030,0.00517731,0.01966103,1.22871296,1.89898680,0.89913633
-5.87993997,2.37653549,0.47731030,0.00502152,0.01921693,1.18213288,1.85893440,0.87013602
-5.87393697,2.30420416,0.46794810,0.00486430,0.01874319,1.13569993,1.81764181,0.84098845
-5.86793397,2.23070482,0.45726140,0.00470706,0.01824133,1.08973294,1.77541367,0.81185698
-5.86193097,2.15648442,0.44532879,0.00455109,0.01771341,1.04451147,1.73254804,0.78288641
-5.85592796,2.08196998,0.43224847,0.00439753,0.01716199,1.00027748,1.68933785,0.75420463
-5.84992496,2.00757115,0.41813660,0.00424740,0.01659015,0.95723817,1.64607295,0.72592486
-5.84392196,1.93368344,0.40312525,0.00410158,0.01600143,0.91556985,1.60304247,0.69814818
-5.83791896,1.86069153,0.38735993,0.00396088,0.01539978,0.87542237,1.56053702,0.67096636
-5.83191596,1.78897247,0.37099697,0.00382600,0.01478956,0.83692378,1.51885055,0.64446459
-5.82591296,1.71889810,0.35420053,0.00369760,0.01417543,0.80018494,1.47828132,0.61872401
-5.81990995,1.65083646,0.33713947,0.00357629,0.01356225,0.76530365,1.43913192,0.59382382
-5.81390695,1.58515184,0.31998417,0.00346265,0.01295510,0.73236823,1.40170788,0.56984295
-5.80790395,1.52220335,0.30290323,0.00335725,0.01235907,0.70146015,1.36631490,0.54686096
-5.80190095,1.46234186,0.28606020,0.00326064,0.01177925,0.67265573,1.33325457,0.52495837
-5.79589795,1.40590549,0.26961046,0.00317335,0.01122062,0.64602679,1.30281873,0.50421620
-5.78989495,1.35321379,0.25369831,0.00309593,0.01068791,0.62164039,1.27528265,0.48471499
-5.78389195,1.30456089,0.23845428,0.00302888,0.01018557,0.59955766,1.25089740,0.46653314
-5.77788894,1.26020820,0.22399284,0.00297266,0.00971764,0.57983186,1.22988182,0.44974489
-5.77188594,1.22037689,0.21041059,0.00292769,0.00928766,0.56250614,1.21241456,0.43441805
-5.76588294,1.18524095,0.19778489,0.00289428,0.00889865,0.54761088,1.19862678,0.42061160
