energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,5.02277859,0.02888365,0.68104724,1.76183843,2.73197363,1.47451220,0.00000000
-5.99399700,5.10623445,0.02986281,0.67779808,1.76549899,2.78504930,1.51350885,0.00000000
-5.98799400,5.19314655,0.03078260,0.67418532,1.76851607,2.84130351,1.55267013,0.00000000
-5.98199100,5.28103431,0.03162571,0.67003569,1.77020032,2.89931284,1.59111583,0.00000000
-5.97598799,5.36755670,0.03237678,0.66519020,1.76991134,2.95773709,1.62800794,0.00000000
-5.96998499,5.45060582,0.03302295,0.65951413,1.76709157,3.01536775,1.66258309,0.00000000
-5.96398199,5.52839137,0.03355441,0.65290558,1.76129657,3.07117150,1.69418240,0.00000000
-5.95797899,5.59951089,0.03396480,0.64530191,1.75221991,3.12432635,1.72227721,0.00000000
-5.95197599,5.66300145,0.03425142,0.63668375,1.73971109,3.17424770,1.74648909,0.00000000
-5.94597299,5.71836936,0.03441535,0.62707625,1.72378539,3.22060282,1.76660298,0.00000000
-5.93996998,5.76559580,0.03446136,0.61654765,1.70462524,3.26331242,1.78257265,0.00000000
-5.93396698,5.80511772,0.03439765,0.60520531,1.68257277,3.30253893,1.79451795,0.00000000
-5.92796398,5.83778467,0.03423542,0.59318944,1.65811418,3.33866185,1.80271413,0.00000000
-5.92196098,5.86479371,0.03398839,0.58066497,1.63185660,3.37224136,1.80757348,0.00000000
-5.91595798,5.88760572,0.03367205,0.56781222,1.60449885,3.40397187,1.80962039,0.00000000
-5.90995498,5.90784756,0.03330298,0.55481687,1.57679767,3.43462805,1.80946093,0.00000000
-5.90395198,5.92720527,0.03289810,0.54185983,1.54953101,3.46500613,1.80774865,0.00000000
-5.89794897,5.94731388,0.03247383,0.52910777,1.52346053,3.49586359,1.80514828,0.00000000
-5.89194597,5.96964967,0.03204540,0.51670470,1.49929493,3.52786047,1.80229912,0.00000000
-5.88594297,5.99543051,0.03162622,0.50476506,1.47765607,3.56150541,1.79978009,0.00000000
-5.87993997,6.02552923,0.03122726,0.49336876,1.45904926,3.59710926,1.79807793,0.00000000
-5.87393697,6.06040439,0.03085668,0.48255827,1.44383919,3.63474868,1.79756037,0.00000000
-5.86793397,6.10005190,0.03051955,0.47233782,1.43223233,3.67424163,1.79845519,0.00000000
-5.86193097,6.14397948,0.03021769,0.46267476,1.42426656,3.71513588,1.80083638,0.00000000
-5.85592796,6.19120526,0.02994976,0.45350273,1.41980819,3.75671121,1.80461772,0.00000000
-5.84992496,6.24028004,0.02971140,0.44472651,1.41855647,3.79799509,1.80955419,0.00000000
-5.84392196,6.28933224,0.02949557,0.43622805,1.42005499,3.83779098,1.81525078,0.00000000
-5.83791896,6.33613292,0.02929296,0.42787346,1.42370948,3.87471799,1.82117844,0.00000000
-5.83191596,6.37817792,0.02909251,0.41952032,1.42881104,3.90725986,1.82669603,0.00000000
-5.82591296,6.41278310,0.02888202,0.41102514,1.43456370,3.93382117,1.83107755,0.00000000
-5.81990995,6.43718861,0.02864871,0.40225037,1.44011513,3.95278806,1.83354307,0.00000000
-5.81390695,6.44866744,0.02837987,0.39307083,1.44458918,3.96259100,1.83329215,0.00000000
-5.80790395,6.44463400,0.02806346,0.38337914,1.44711907,3.96176694,1.82953829,0.00000000
-5.80190095,6.42274822,0.02768862,0.37309012,1.44687988,3.94901830,1.82154291,0.00000000
-5.79589795,6.38101130,0.02724618,0.36214394,1.44311913,3.92326660,1.80864761,0.00000000
-5.78989495,6.31784969,0.02672905,0.35050801,1.43518458,3.88369885,1.79030345,0.00000000
-5.78389195,6.23218449,0.02613252,0.33817770,1.42254818,3.82980508,1.76609611,0.00000000
-5.77788894,6.12348410,0.02545445,0.32517596,1.40482557,3.76140586,1.73576627,0.00000000
-5.77188594,5.99179891,0.02469539,0.31155188,1.38179059,3.67866934,1.69922441,0.00000000
-5.76588294,5.83777733,0.02385855,0.29737852,1.35338447,3.58211735,1.65655984,0.00000000
-5.75987994,5.66266340,0.02294974,0.28275002,1.31971969,3.47262097,1.60804367,0.00000000
-5.75387694,5.46827677,0.02197715,0.26777838,1.28107855,3.35138600,1.55412607,0.00000000
-5.74787394,5.25697653,0.02095111,0.25258984,1.23790679,3.21992944,1.49542796,0.00000000
-5.74187094,5.03161086,0.01988380,0.23732123,1.19080282,3.08004798,1.43272781,0.00000000
-5.73586793,4.79545484,0.01878887,0.22211636,1.14050306,2.93378011,1.36694415,0.00000000
-5.72986493,4.55213897,0.01768107,0.20712257,1.08786413,2.78336324,1.29911474,0.00000000
-5.72386193,4.30557119,0.01657584,0.19248748,1.03384281,2.63118737,1.23037310,0.00000000
-5.71785893,4.05985502,0.01548896,0.17835616,0.97947437,2.47974698,1.16192339,0.00000000
-5.71185593,3.81920646,0.01443612,0.16486855,0.92585019,2.33159236,1.09501450,0.00000000
-5.70585293,3.58787180,0.01343260,0.15215734,0.87409539,2.18928192,1.03091406,0.00000000
-5.69984992,3.37004839,0.01249295,0.14034613,0.82534694,2.05533617,0.97088315,0.00000000
-5.69384692,3.16980998,0.01163065,0.12954804,0.78073298,1.93219453,0.91615223,0.00000000
-5.68784392,2.99103754,0.01085797,0.11986451,0.74135352,1.82217539,0.86789860,0.00000000
-5.68184092,2.83735643,0.01018566,0.11138451,0.70826281,1.72743969,0.82722587,0.00000000
-5.67583792,2.71208021,0.00962289,0.10418384,0.68245350,1.64995840,0.79514536,0.00000000
-5.66983492,2.61816096,0.00917706,0.09832473,0.66484247,1.59148362,0.77255964,0.00000000
-5.66383192,2.55814611,0.00885381,0.09385550,0.65625832,1.55352334,0.76024803,0.00000000
-5.65782891,2.53414116,0.00865689,0.09081037,0.65743013,1.53731959,0.75885401,0.00000000
-5.65182591,2.54777807,0.00858825,0.08920936,0.66897746,1.54382988,0.76887442,0.00000000
-5.64582291,2.60018905,0.00864800,0.08905821,0.69140121,1.57371176,0.79065038,0.00000000
-5.63981991,2.69198551,0.00883452,0.09034841,0.72507529,1.62731053,0.82435976,0.00000000
-5.63381691,2.82324235,0.00914450,0.09305726,0.77023883,1.70465033,0.87001141,0.00000000
-5.62781391,2.99348790,0.00957308,0.09714799,0.82698906,1.80542875,0.92744103,0.00000000
-5.62181091,3.20170019,0.01011397,0.10257003,0.89527484,1.92901553,0.99630908,0.00000000
-5.61580790,3.44631015,0.01075956,0.10925935,0.97489111,2.07445587,1.07610079,0.00000000
-5.60980490,3.72521299,0.01150113,0.11713892,1.06547442,2.24047882,1.16612866,0.00000000
-5.60380190,4.03578829,0.01232900,0.12611939,1.16650013,2.42551145,1.26553776,0.00000000
-5.59779890,4.37492999,0.01323271,0.13609988,1.27728148,2.62769917,1.37331415,0.00000000
-5.59179590,4.73908670,0.01420122,0.14696907,1.39697114,2.84493248,1.48829658,0.00000000
-5.58579290,5.12431263,0.01522307,0.15860634,1.52456566,3.07488015,1.60919169,0.00000000
-5.57978989,5.52632889,0.01628663,0.17088319,1.65891317,3.31502854,1.73459278,0.00000000
-5.57378689,5.94059447,0.01738022,0.18366484,1.79872466,3.56272634,1.86300187,0.00000000
-5.56778389,6.36238559,0.01849227,0.19681184,1.94258905,3.81523371,1.99285495,0.00000000
-5.56178089,6.78688140,0.01961154,0.21018191,2.08899214,4.06977441,2.12254978,0.00000000
-5.55577789,7.20925390,0.02072716,0.22363175,2.23633913,4.32358916,2.25047581,0.00000000
-5.54977489,7.62475898,0.02182876,0.23701885,2.38298075,4.57398842,2.37504520,0.00000000
-5.54377189,8.02882583,0.02290657,0.25020328,2.52724214,4.81840236,2.49472431,0.00000000
-5.53776888,8.41714129,0.02395145,0.26304935,2.66745422,5.05442622,2.60806455,0.00000000
-5.53176588,8.78572636,0.02495490,0.27542721,2.80198649,5.27985908,2.71373168,0.00000000
-5.52576288,9.13100186,0.02590913,0.28721420,2.92928053,5.49273439,2.81053251,0.00000000
-5.51975988,9.44984114,0.02680700,0.29829610,3.04788318,5.69134134,2.89743824,0.00000000
-5.51375688,9.73960803,0.02764206,0.30856818,3.15647828,5.87423616,2.97360355,0.00000000
-5.50775388,9.99817912,0.02840851,0.31793613,3.25391613,6.04024339,3.03838087,0.00000000
-5.50175088,10.22395028,0.02910123,0.32631674,3.33923933,6.18844769,3.09132929,0.00000000
-5.49574787,10.41582782,0.02971579,0.33363855,3.41170447,6.31817713,3.13221799,0.00000000
-5.48974487,10.57320595,0.03024843,0.33984234,3.47079848,6.42897960,3.16102398,0.00000000
-5.48374187,10.69593222,0.03069615,0.34488153,3.51624913,6.52059439,3.17792441,0.00000000
-5.47773887,10.78426369,0.03105673,0.34872254,3.54802920,6.59292096,3.18328375,0.00000000
-5.47173587,10.83881638,0.03132879,0.35134503,3.56635384,6.64598741,3.17763629,0.00000000
-5.46573287,10.86051104,0.03151181,0.35274208,3.57167124,6.67992075,3.16166476,0.00000000
-5.45972986,10.85051805,0.03160625,0.35292031,3.56464656,6.69492101,3.13617566,0.00000000
-5.45372686,10.81020381,0.03161350,0.35189986,3.54613964,6.69124067,3.10207225,0.00000000
-5.44772386,10.74108102,0.03153595,0.34971420,3.51717691,6.66917068,3.06032612,0.00000000
-5.44172086,10.64476427,0.03137696,0.34640977,3.47891856,6.62903327,3.01194812,0.00000000
-5.43571786,10.52293206,0.03114077,0.34204543,3.43262168,6.57118185,2.95795974,0.00000000
-5.42971486,10.37729570,0.03083245,0.33669158,3.37960085,6.49600692,2.89936555,0.00000000
-5.42371186,10.20957502,0.03045777,0.33042904,3.32118728,6.40394714,2.83712777,0.00000000
-5.41770885,10.02148035,0.03002298,0.32334760,3.25868800,6.29550384,2.77214347,0.00000000
-5.41170585,9.81469996,0.02953468,0.31554434,3.19334647,6.17125723,2.70522505,0.00000000
-5.40570285,9.59089184,0.02899956,0.30712163,3.12630624,6.03188238,2.63708462,0.00000000
-5.39969985,9.35167868,0.02842422,0.29818492,3.05857865,5.87816324,2.56832251,0.00000000
-5.39369685,9.09864504,0.02781488,0.28884045,2.99101625,5.71100303,2.49942021,0.00000000
-5.38769385,8.83333577,0.02717725,0.27919278,2.92429257,5.53142972,2.43073788,0.00000000
-5.38169085,8.55725499,0.02651633,0.26934245,2.85888934,5.34059596,2.36251637,0.00000000
-5.37568784,8.27186527,0.02583627,0.25938377,2.79509146,5.13977281,2.29488348,0.00000000
-5.36968484,7.97858679,0.02514030,0.24940275,2.73299016,4.93033771,2.22786435,0.00000000
