energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.07702357,0.06028714,0.02388136,0.03119383,0.07287337,0.19694176,5.43300548
-5.99399700,5.67043903,0.06277640,0.02481352,0.03206872,0.07186006,0.19970781,5.03765615
-5.98799400,5.30515755,0.06540484,0.02585523,0.03315800,0.07119654,0.20318546,4.68034880
-5.98199100,4.98107012,0.06817889,0.02700328,0.03445450,0.07089666,0.20739612,4.36093581
-5.97598799,4.69736728,0.07110237,0.02825392,0.03594609,0.07096896,0.21235008,4.07862900
-5.96998499,4.45261780,0.07417598,0.02960264,0.03761563,0.07141650,0.21804559,3.83207595
-5.96398199,4.24485396,0.07739663,0.03104399,0.03944110,0.07223679,0.22446774,3.61944264
-5.95797899,4.07165973,0.08075690,0.03257129,0.04139593,0.07342164,0.23158739,3.43849872
-5.95197599,3.93025833,0.08424447,0.03417633,0.04344942,0.07495701,0.23936002,3.28670198
-5.94597299,3.81759689,0.08784162,0.03584911,0.04556736,0.07682288,0.24772475,3.16127970
-5.93996998,3.73042595,0.09152486,0.03757753,0.04771272,0.07899323,0.25660348,3.05930466
-5.93396698,3.66537301,0.09526471,0.03934716,0.04984651,0.08143600,0.26590042,2.97776471
-5.92796398,3.61900935,0.09902567,0.04114105,0.05192869,0.08411323,0.27550198,2.91362516
-5.92196098,3.58791022,0.10276637,0.04293969,0.05391918,0.08698137,0.28527739,2.86388377
-5.91595798,3.56870882,0.10644010,0.04472107,0.05577882,0.08999172,0.29507979,2.82561866
-5.90995498,3.55814478,0.10999549,0.04646080,0.05747045,0.09309117,0.30474835,2.79602970
-5.90395198,3.55310774,0.11337758,0.04813252,0.05895987,0.09622308,0.31411094,2.77247395
-5.89794897,3.55067698,0.11652912,0.04970835,0.06021678,0.09932847,0.32298784,2.75249604
-5.89194597,3.54815737,0.11939214,0.05115952,0.06121562,0.10234739,0.33119602,2.73385406
-5.88594297,3.54311218,0.12190978,0.05245714,0.06193632,0.10522046,0.33855414,2.71454145
-5.87993997,3.53339267,0.12402814,0.05357303,0.06236490,0.10789057,0.34488803,2.69280531
-5.87393697,3.51716406,0.12569836,0.05448067,0.06249391,0.11030457,0.35003635,2.66716119
-5.86793397,3.49292745,0.12687858,0.05515609,0.06232272,0.11241506,0.35385636,2.63640415
-5.86193097,3.45953676,0.12753580,0.05557881,0.06185761,0.11418194,0.35622930,2.59961594
-5.85592796,3.41620981,0.12764758,0.05573267,0.06111169,0.11557389,0.35706530,2.55616777
-5.84992496,3.36253257,0.12720336,0.05560653,0.06010464,0.11656950,0.35630749,2.50571826
-5.84392196,3.29845558,0.12620547,0.05519482,0.05886223,0.11715808,0.35393501,2.44820603
-5.83791896,3.22428210,0.12466966,0.05449793,0.05741574,0.11734010,0.34996482,2.38383672
-5.83191596,3.14064722,0.12262508,0.05352234,0.05580114,0.11712715,0.34445204,2.31306402
