energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.58804331,0.64595859,1.96137521,0.00317745,0.00491368,0.01553798,0.49405874,0.21168446,0.06409328
-5.99399700,2.74066244,0.67992836,2.08276252,0.00341457,0.00523631,0.01610436,0.51890380,0.22526084,0.06702320
-5.98799400,2.88951138,0.71281540,2.20197709,0.00366691,0.00555542,0.01659474,0.54256038,0.23854313,0.06973512
-5.98199100,3.03333049,0.74441572,2.31806098,0.00393400,0.00586904,0.01700142,0.56478212,0.25139142,0.07219917
-5.97598799,3.17099548,0.77457029,2.43014221,0.00421585,0.00617549,0.01731858,0.58535690,0.26367867,0.07439106
-5.96998499,3.30153904,0.80316684,2.53745179,0.00451296,0.00647345,0.01754238,0.60411002,0.27529393,0.07629265
-5.96398199,3.42416691,0.83013989,2.63933692,0.00482626,0.00676195,0.01767110,0.62090630,0.28614512,0.07789233
-5.95797899,3.53826749,0.85546872,2.73526971,0.00515701,0.00704041,0.01770525,0.63565086,0.29616113,0.07918517
-5.95197599,3.64341445,0.87917348,2.82485070,0.00550675,0.00730863,0.01764747,0.64828877,0.30529315,0.08017285
-5.94597299,3.73936184,0.90130938,2.90780710,0.00587712,0.00756673,0.01750254,0.65880332,0.31351507,0.08086335
-5.93996998,3.82603192,0.92195937,2.98398559,0.00626974,0.00781510,0.01727715,0.66721317,0.32082298,0.08127046
-5.93396698,3.90349619,0.94122535,3.05334008,0.00668607,0.00805436,0.01697977,0.67356831,0.32723363,0.08141298
-5.92796398,3.97195037,0.95921857,3.11591493,0.00712723,0.00828521,0.01662030,0.67794523,0.33278203,0.08131388
-5.92196098,4.03168479,0.97604948,3.17182454,0.00759382,0.00850838,0.01620979,0.68044141,0.33751816,0.08099921
-5.91595798,4.08305137,0.99181758,3.22123034,0.00808576,0.00872449,0.01576006,0.68116930,0.34150309,0.08049700
-5.90995498,4.12642928,1.00660178,3.26431655,0.00860216,0.00893395,0.01528332,0.68025030,0.34480458,0.07983607
-5.90395198,4.16219073,1.02045180,3.30126583,0.00914119,0.00913685,0.01479178,0.67780883,0.34749247,0.07904489
-5.89794897,4.19066909,1.03338095,3.33223644,0.00969996,0.00933288,0.01429726,0.67396679,0.34963406,0.07815044
-5.89194597,4.21213079,1.04536087,3.35734213,0.01027451,0.00952127,0.01381078,0.66883875,0.35128978,0.07717730
-5.88594297,4.22675282,1.05631838,3.37663586,0.01085976,0.00970073,0.01334229,0.66252795,0.35250939,0.07614676
-5.87993997,4.23460691,1.06613477,3.39009854,0.01144960,0.00986945,0.01290034,0.65512335,0.35332881,0.07507620
-5.87393697,4.23565136,1.07464762,3.39763336,0.01203693,0.01002510,0.01249184,0.64669778,0.35376795,0.07397869
-5.86793397,4.22973111,1.08165506,3.39906618,0.01261384,0.01016491,0.01212193,0.63730723,0.35382948,0.07286273
-5.86193097,4.21658596,1.08692238,3.39415210,0.01317178,0.01028572,0.01179386,0.62699132,0.35349873,0.07173230
-5.85592796,4.19586664,1.09019083,3.38258783,0.01370179,0.01038412,0.01150900,0.61577477,0.35274464,0.07058711
