energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.08089894,0.38887197,0.36736308,0.00492302,0.19113707,0.43197579,0.00000000
-5.99399700,1.06372372,0.38138791,0.35989218,0.00542145,0.19238362,0.42257818,0.00000000
-5.98799400,1.04699136,0.37486532,0.35225560,0.00593002,0.19369705,0.41332488,0.00000000
-5.98199100,1.03072239,0.36925271,0.34452575,0.00644212,0.19500871,0.40425929,0.00000000
-5.97598799,1.01489620,0.36446472,0.33677077,0.00695049,0.19623952,0.39540862,0.00000000
-5.96998499,0.99945648,0.36038685,0.32905487,0.00744732,0.19730254,0.38678489,0.00000000
-5.96398199,0.98431901,0.35688124,0.32143925,0.00792444,0.19810607,0.37838666,0.00000000
-5.95797899,0.96938151,0.35379358,0.31398355,0.00837361,0.19855716,0.37020169,0.00000000
-5.95197599,0.95453497,0.35096052,0.30674779,0.00878665,0.19856537,0.36221021,0.00000000
-5.94597299,0.93967579,0.34821746,0.29979447,0.00915581,0.19804655,0.35438868,0.00000000
-5.93996998,0.92471816,0.34540620,0.29319077,0.00947392,0.19692658,0.34671381,0.00000000
-5.93396698,0.90960582,0.34238232,0.28701053,0.00973470,0.19514470,0.33916675,0.00000000
-5.92796398,0.89432256,0.33902167,0.28133596,0.00993297,0.19265655,0.33173690,0.00000000
-5.92196098,0.87890081,0.33522591,0.27625875,0.01006481,0.18943641,0.32442544,0.00000000
-5.91595798,0.86342773,0.33092674,0.27188050,0.01012776,0.18547894,0.31724811,0.00000000
-5.90995498,0.84804832,0.32608862,0.26831237,0.01012088,0.18080001,0.31023718,0.00000000
-5.90395198,0.83296545,0.32070991,0.26567380,0.01004480,0.17543677,0.30344238,0.00000000
-5.89794897,0.81843648,0.31482234,0.26409038,0.00990174,0.16944690,0.29693081,0.00000000
-5.89194597,0.80476676,0.30848893,0.26369087,0.00969540,0.16290713,0.29078571,0.00000000
-5.88594297,0.79230014,0.30180043,0.26460352,0.00943089,0.15591105,0.28510417,0.00000000
-5.87993997,0.78140711,0.29487049,0.26695175,0.00911452,0.14856632,0.27999395,0.00000000
-5.87393697,0.77247098,0.28782990,0.27084955,0.00875362,0.14099151,0.27556947,0.00000000
-5.86793397,0.76587299,0.28082008,0.27639672,0.00835627,0.13331252,0.27194729,0.00000000
-5.86193097,0.76197701,0.27398634,0.28367432,0.00793108,0.12565901,0.26924126,0.00000000
