energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.12248454,0.00274259,0.06823214,0.06235740,0.52592845,0.25307283,0.01406088,0.71139433
-5.99399700,1.20220635,0.00299563,0.07387430,0.06514073,0.54458287,0.27488238,0.01511138,0.76118123
-5.98799400,1.28377679,0.00325178,0.07987586,0.06784710,0.56209308,0.29772000,0.01619710,0.81170397
-5.98199100,1.36630629,0.00350729,0.08620031,0.07041950,0.57827492,0.32130303,0.01730591,0.86242976
-5.97598799,1.44884695,0.00375815,0.09280757,0.07280398,0.59296045,0.34532770,0.01842454,0.91278690
-5.96998499,1.53040021,0.00400026,0.09965359,0.07495026,0.60599627,0.36947221,0.01953869,0.96216992
-5.96398199,1.60992804,0.00422946,0.10669013,0.07681243,0.61724223,0.39340087,0.02063312,1.00994696
-5.95797899,1.68636765,0.00444169,0.11386469,0.07834965,0.62657041,0.41676935,0.02169198,1.05546940
-5.95197599,1.75864933,0.00463307,0.12112063,0.07952697,0.63386474,0.43923075,0.02269895,1.09808360
-5.94597299,1.82571723,0.00480000,0.12839749,0.08031605,0.63902139,0.46044253,0.02363769,1.13714443
-5.93996998,1.88655228,0.00493933,0.13563148,0.08069595,0.64194983,0.48007395,0.02449213,1.17203024
-5.93396698,1.94019654,0.00504838,0.14275620,0.08065373,0.64257472,0.49781371,0.02524689,1.20215873
-5.92796398,1.98577805,0.00512511,0.14970351,0.08018504,0.64083837,0.51337766,0.02588772,1.22700313
-5.92196098,2.02253521,0.00516811,0.15640462,0.07929449,0.63670384,0.52651616,0.02640189,1.24610804
-5.91595798,2.04983969,0.00517672,0.16279125,0.07799589,0.63015830,0.53702076,0.02677863,1.25910425
-5.90995498,2.06721677,0.00515101,0.16879704,0.07631228,0.62121642,0.54473004,0.02700949,1.26572182
-5.90395198,2.07436237,0.00509182,0.17435894,0.07427576,0.60992370,0.54953434,0.02708867,1.26580097
-5.89794897,2.07115599,0.00500072,0.17941875,0.07192717,0.59635930,0.55137906,0.02701325,1.25930016
-5.89194597,2.05766888,0.00487999,0.18392468,0.06931553,0.58063820,0.55026666,0.02678341,1.24630092
-5.88594297,2.03416725,0.00473257,0.18783295,0.06649740,0.56291257,0.54625700,0.02640252,1.22700936
-5.87993997,2.00111023,0.00456198,0.19110930,0.06353600,0.54337199,0.53946628,0.02587712,1.20175411
-5.87393697,1.95914285,0.00437222,0.19373052,0.06050038,0.52224271,0.53006449,0.02521684,1.17098092
-5.86793397,1.90908422,0.00416774,0.19568580,0.05746439,0.49978568,0.51827154,0.02443423,1.13524389
-5.86193097,1.85191155,0.00395328,0.19697799,0.05450573,0.47629350,0.50435227,0.02354449,1.09519411
-5.85592796,1.78874055,0.00373384,0.19762467,0.05170491,0.45208644,0.48861052,0.02256512,1.05156572
-5.84992496,1.72080309,0.00351455,0.19765889,0.04914431,0.42750751,0.47138249,0.02151557,1.00516029
-5.84392196,1.64942288,0.00330064,0.19712975,0.04690722,0.40291694,0.45302965,0.02041676,0.95683000
-5.83791896,1.57598996,0.00309731,0.19610255,0.04507693,0.37868621,0.43393143,0.01929064,0.90746019
-5.83191596,1.50193492,0.00290978,0.19465857,0.04373583,0.35519179,0.41447787,0.01815974,0.85795194
-5.82591296,1.42870336,0.00274312,0.19289444,0.04296455,0.33280887,0.39506248,0.01704666,0.80920514
-5.81990995,1.35773130,0.00260236,0.19092106,0.04284109,0.31190523,0.37607540,0.01597367,0.76210254
-5.81390695,1.29042190,0.00249235,0.18886200,0.04343987,0.29283544,0.35789699,0.01496229,0.71749508
-5.80790395,1.22812384,0.00241783,0.18685140,0.04483078,0.27593534,0.34089196,0.01403292,0.67618880
-5.80190095,1.17211152,0.00238340,0.18503146,0.04707811,0.26151719,0.32540401,0.01320447,0.63893331
-5.79589795,1.12356706,0.00239349,0.18354933,0.05023939,0.24986514,0.31175105,0.01249417,0.60641203
-5.78989495,1.08356416,0.00245240,0.18255376,0.05436415,0.24123134,0.30022093,0.01191723,0.57923399
-5.78389195,1.05305367,0.00256422,0.18219125,0.05949255,0.23583249,0.29106764,0.01148677,0.55792715
-5.77788894,1.03285069,0.00273288,0.18260209,0.06565400,0.23384682,0.28450805,0.01121357,0.54293306
-5.77188594,1.02362326,0.00296203,0.18391612,0.07286569,0.23541155,0.28071904,0.01110605,0.53460264
-5.76588294,1.02588239,0.00325505,0.18624865,0.08113117,0.24062063,0.27983500,0.01117015,0.53319304
-5.75987994,1.03997360,0.00361490,0.18969640,0.09043905,0.24952290,0.28194586,0.01140928,0.53886528
-5.75387694,1.06606997,0.00404412,0.19433378,0.10076182,0.26212064,0.28709543,0.01182435,0.55168276
-5.74787394,1.10416684,0.00454465,0.20020965,0.11205499,0.27836838,0.29528035,0.01241373,0.57161044
-5.74187094,1.15407857,0.00511774,0.20734465,0.12425648,0.29817232,0.30644950,0.01317329,0.59851490
-5.73586793,1.21543750,0.00576381,0.21572921,0.13728653,0.32139013,0.32050410,0.01409647,0.63216519
-5.72986493,1.28769553,0.00648237,0.22532256,0.15104805,0.34783143,0.33729849,0.01517432,0.67223471
-5.72386193,1.37012867,0.00727182,0.23605250,0.16542750,0.37725896,0.35664173,0.01639563,0.71830427
-5.71785893,1.46184489,0.00812941,0.24781625,0.18029645,0.40939057,0.37830011,0.01774706,0.76986635
-5.71185593,1.56179535,0.00905112,0.26048224,0.19551359,0.44390206,0.40200052,0.01921329,0.82633094
-5.70585293,1.66878942,0.01003161,0.27389294,0.21092749,0.48043096,0.42743482,0.02077720,0.88703284
-5.69984992,1.78151311,0.01106422,0.28786842,0.22637975,0.51858130,0.45426518,0.02242016,0.95124060
-5.69384692,1.89855109,0.01214098,0.30221089,0.24170874,0.55792927,0.48213021,0.02412224,1.01816713
-5.68784392,2.01841174,0.01325272,0.31670966,0.25675364,0.59802980,0.51065196,0.02586253,1.08698177
-5.68184092,2.13955480,0.01438916,0.33114670,0.27135868,0.63842378,0.53944349,0.02761945,1.15682376
-5.67583792,2.26042096,0.01553917,0.34530235,0.28537760,0.67864600,0.56811695,0.02937110,1.22681681
-5.66983492,2.37946264,0.01669098,0.35896115,0.29867790,0.71823340,0.59629178,0.03109560,1.29608447
-5.66383192,2.49517502,0.01783245,0.37191739,0.31114491,0.75673347,0.62360302,0.03277149,1.36376590
-5.65782891,2.60612636,0.01895145,0.38398039,0.32268545,0.79371258,0.64970914,0.03437804,1.42903162
-5.65182591,2.71098666,0.02003620,0.39497908,0.33323083,0.82876398,0.67429947,0.03589561,1.49109875
-5.64582291,2.80855374,0.02107563,0.40476598,0.34273916,0.86151510,0.69710066,0.03730598,1.54924534
-5.63981991,2.89777571,0.02205975,0.41322020,0.35119670,0.89163402,0.71788208,0.03859264,1.60282322
-5.63381691,2.97776921,0.02298000,0.42024950,0.35861827,0.91883491,0.73645993,0.03974106,1.65126901
-5.62781391,3.04783263,0.02382950,0.42579140,0.36504647,0.94288214,0.75269982,0.04073886,1.69411298
-5.62181091,3.10745394,0.02460336,0.42981317,0.37054988,0.96359300,0.76651780,0.04157601,1.73098527
-5.61580790,3.15631276,0.02529875,0.43231095,0.37522008,0.98083893,0.77787965,0.04224498,1.76161952
-5.60980490,3.19427676,0.02591501,0.43330781,0.37916763,0.99454528,0.78679862,0.04274071,1.78585349
-5.60380190,3.22139235,0.02645363,0.43285117,0.38251715,1.00468951,0.79333150,0.04306072,1.80362694
-5.59779890,3.23787036,0.02691808,0.43100941,0.38540153,1.01129811,0.79757338,0.04320500,1.81497669
-5.59179590,3.24406698,0.02731356,0.42786810,0.38795570,1.01444212,0.79965112,0.04317597,1.82002910
-5.58579290,3.24046118,0.02764675,0.42352581,0.39030995,1.01423174,0.79971603,0.04297828,1.81899040
-5.57978989,3.22762919,0.02792532,0.41808985,0.39258339,1.01081009,0.79793586,0.04261869,1.81213513
-5.57378689,3.20621757,0.02815751,0.41167200,0.39487754,1.00434637,0.79448673,0.04210579,1.79979329
-5.56778389,3.17691582,0.02835163,0.40438455,0.39727063,0.99502894,0.78954515,0.04144979,1.78233672
-5.56178089,3.14042984,0.02851557,0.39633662,0.39981278,0.98305830,0.78328070,0.04066221,1.76016538
-5.55577789,3.09745763,0.02865628,0.38763109,0.40252234,0.96864064,0.77584973,0.03975559,1.73369403
-5.54977489,3.04866812,0.02877938,0.37836210,0.40538373,0.95198190,0.76739027,0.03874318,1.70334006
