energy_ev,total_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,3.99808722,2.27579551,2.92673346,0.01650433,0.58715274,0.56453216,0.00000000
-5.99399700,4.15829593,2.33930495,3.05099187,0.01699674,0.60850636,0.58676541,0.00000000
-5.98799400,4.32211150,2.40923736,3.17749896,0.01745776,0.63002987,0.61092478,0.00000000
-5.98199100,4.49011636,2.48690537,3.30647714,0.01788696,0.65184261,0.63720922,0.00000000
-5.97598799,4.66288121,2.57359650,3.43813955,0.01828437,0.67406448,0.66580555,0.00000000
-5.96998499,4.84090852,2.67052225,3.57265220,0.01865029,0.69680781,0.69687648,0.00000000
-5.96398199,5.02457754,2.77876820,3.71009736,0.01898524,0.72016959,0.73054899,0.00000000
-5.95797899,5.21409357,2.89924725,3.85044004,0.01928976,0.74422443,0.76690350,0.00000000
-5.95197599,5.40944422,3.03265737,3.99349939,0.01956429,0.76901865,0.80596410,0.00000000
-5.94597299,5.61036464,3.17944527,4.13892673,0.01980911,0.79456579,0.84769042,0.00000000
-5.93996998,5.81631366,3.33977718,4.28619126,0.02002421,0.82084360,0.89197135,0.00000000
-5.93396698,6.02646178,3.51351729,4.43457455,0.02020928,0.84779285,0.93862083,0.00000000
-5.92796398,6.23969172,3.70021455,4.58317382,0.02036365,0.87531763,0.98737600,0.00000000
-5.92196098,6.45461132,3.89909772,4.73091420,0.02048637,0.90328733,1.03789765,0.00000000
-5.91595798,6.66957797,4.10907877,4.87656924,0.02057618,0.93153989,1.08977321,0.00000000
-5.90995498,6.88273353,4.32876400,5.01878867,0.02063166,0.95988614,1.14252187,0.00000000
-5.90395198,7.09204771,4.55647255,5.15613215,0.02065128,0.98811490,1.19560210,0.00000000
-5.89794897,7.29536810,4.79026142,5.28710732,0.02063351,1.01599859,1.24842096,0.00000000
-5.89194597,7.49047450,5.02795618,5.41021056,0.02057697,1.04329879,1.30034535,0.00000000
-5.88594297,7.67513528,5.26718664,5.52396858,0.02048053,1.06977182,1.35071447,0.00000000
-5.87993997,7.84716363,5.50542656,5.62697918,0.02034343,1.09517378,1.39885360,0.00000000
-5.87393697,8.00447166,5.74003651,5.71794969,0.02016537,1.11926501,1.44408841,0.00000000
-5.86793397,8.14512068,5.96830912,5.79573175,0.01994659,1.14181396,1.48575977,0.00000000
-5.86193097,8.26736633,6.18751602,5.85935140,0.01968793,1.16260029,1.52323847,0.00000000
-5.85592796,8.36969758,6.39495558,5.90803373,0.01939084,1.18141739,1.55593949,0.00000000
-5.84992496,8.45086898,6.58800092,5.94122182,0.01905740,1.19807437,1.58333552,0.00000000
-5.84392196,8.50992593,6.76414732,5.95858964,0.01869026,1.21239771,1.60496926,0.00000000
-5.83791896,8.54622297,6.92105835,5.96004915,0.01829260,1.22423275,1.62046424,0.00000000
-5.83191596,8.55943534,7.05661005,5.94575191,0.01786807,1.23344517,1.62953371,0.00000000
-5.82591296,8.54956419,7.16893220,5.91608559,0.01742066,1.23992268,1.63198758,0.00000000
-5.81990995,8.51693595,7.25644600,5.87166598,0.01695462,1.24357686,1.62773687,0.00000000
-5.81390695,8.46219636,7.31789723,5.81332505,0.01647438,1.24434555,1.61679575,0.00000000
-5.80790395,8.38629956,7.35238412,5.74209565,0.01598436,1.24219529,1.59928105,0.00000000
-5.80190095,8.29049283,7.35937906,5.65919335,0.01548896,1.23712425,1.57540916,0.00000000
-5.79589795,8.17629719,7.33874354,5.56599592,0.01499240,1.22916506,1.54549042,0.00000000
-5.78989495,8.04548428,7.29073558,5.46402087,0.01449865,1.21838768,1.50992133,0.00000000
-5.78389195,7.90004974,7.21600939,5.35490140,0.01401138,1.20490184,1.46917454,0.00000000
-5.77788894,7.74218330,7.11560690,5.24036101,0.01353389,1.18885900,1.42378730,0.00000000
-5.77188594,7.57423592,6.99094109,5.12218713,0.01306909,1.17045334,1.37434845,0.00000000
-5.76588294,7.39868404,6.84377160,5.00220384,0.01261946,1.14992184,1.32148458,0.00000000
-5.75987994,7.21809156,6.67617274,4.88224408,0.01218705,1.12754303,1.26584584,0.00000000
-5.75387694,7.03506960,6.49049491,4.76412153,0.01177349,1.10363431,1.20809166,0.00000000
-5.74787394,6.85223481,6.28932019,4.64960234,0.01138002,1.07854797,1.14887716,0.00000000
-5.74187094,6.67216657,6.07541316,4.54037714,0.01100747,1.05266567,1.08884031,0.00000000
-5.73586793,6.49736392,5.85166840,4.43803361,0.01065636,1.02639161,1.02859051,0.00000000
-5.72986493,6.33020282,5.62105575,4.34403004,0.01032687,1.00014459,0.96869867,0.00000000
-5.72386193,6.17289468,5.38656496,4.25967023,0.01001892,0.97434903,0.90968910,0.00000000
-5.71785893,6.02744689,5.15115087,4.18608034,0.00973218,0.94942550,0.85203320,0.00000000
-5.71185593,5.89562640,4.91768067,4.12418808,0.00946613,0.92578080,0.79614520,0.00000000
-5.70585293,5.77892710,4.68888431,4.07470479,0.00922007,0.90379814,0.74237968,0.00000000
-5.69984992,5.67854195,4.46730922,4.03811099,0.00899318,0.88382771,0.69103083,0.00000000
-5.69384692,5.59534064,4.25528023,4.01464578,0.00878451,0.86617799,0.64233332,0.00000000
-5.68784392,5.52985350,4.05486553,4.00430066,0.00859304,0.85110801,0.59646448,0.00000000
-5.68184092,5.48226219,3.86784903,4.00681805,0.00841770,0.83882103,0.55354758,0.00000000
-5.67583792,5.45239766,3.69570964,4.02169480,0.00825736,0.82945962,0.51365595,0.00000000
-5.66983492,5.43974561,3.53960751,4.04819096,0.00811086,0.82310238,0.47681771,0.00000000
-5.66383192,5.44345941,3.40037713,4.08534371,0.00797705,0.81976244,0.44302072,0.00000000
-5.65782891,5.46238051,3.27852721,4.13198645,0.00785477,0.81938751,0.41221780,0.00000000
-5.65182591,5.49506580,3.17424681,4.18677273,0.00774285,0.82186173,0.38433181,0.00000000
-5.64582291,5.53982151,3.08741732,4.24820469,0.00764013,0.82700893,0.35926052,0.00000000
-5.63981991,5.59474287,3.01762967,4.31466544,0.00754549,0.83459732,0.33688120,0.00000000
-5.63381691,5.65775871,2.96420618,4.38445483,0.00745780,0.84434531,0.31705482,0.00000000
-5.62781391,5.72668005,2.92622631,4.45582778,0.00737592,0.85592836,0.29962983,0.00000000
-5.62181091,5.79925165,2.90255576,4.52703455,0.00729875,0.86898654,0.28444549,0.00000000
-5.61580790,5.87320538,2.89187819,4.59636189,0.00722515,0.88313268,0.27133491,0.00000000
-5.60980490,5.94631447,2.89272901,4.66217450,0.00715400,0.89796090,0.26012757,0.00000000
-5.60380190,6.01644732,2.90353069,4.72295565,0.00708413,0.91305530,0.25065169,0.00000000
-5.59779890,6.08162000,2.92262908,4.77734623,0.00701436,0.92799878,0.24273623,0.00000000
-5.59179590,6.14004609,2.94833013,4.82418131,0.00694348,0.94238166,0.23621275,0.00000000
-5.58579290,6.19018301,2.97893675,4.86252327,0.00687028,0.95581022,0.23091716,0.00000000
-5.57978989,6.23077342,3.01278502,4.89169049,0.00679348,0.96791482,0.22669128,0.00000000
-5.57378689,6.26088080,3.04827938,4.91128084,0.00671186,0.97835761,0.22338442,0.00000000
-5.56778389,6.27991774,3.08392614,4.92118877,0.00662416,0.98683970,0.22085482,0.00000000
-5.56178089,6.28766601,3.11836457,4.92161527,0.00652921,0.99310754,0.21897105,0.00000000
-5.55577789,6.28428689,3.15039477,4.91306955,0.00642590,0.99695847,0.21761329,0.00000000
-5.54977489,6.27032108,3.17900158,4.89636183,0.00631323,0.99824519,0.21667445,0.00000000
-5.54377189,6.24667676,3.20337352,4.87258644,0.00619037,0.99687896,0.21606109,0.00000000
-5.53776888,6.21460551,3.22291595,4.84309489,0.00605665,0.99283140,0.21569408,0.00000000
-5.53176588,6.17566539,3.23725771,4.80945869,0.00591168,0.98613466,0.21550886,0.00000000
-5.52576288,6.13167158,3.24625044,4.77342231,0.00575529,0.97687987,0.21545533,0.00000000
-5.51975988,6.08463491,3.24996026,4.73684692,0.00558762,0.96521372,0.21549732,0.00000000
-5.51375688,6.03668979,3.24865156,4.70164627,0.00540911,0.95133330,0.21561153,0.00000000
-5.50775388,5.99001335,3.24276323,4.66971644,0.00522049,0.93547911,0.21578596,0.00000000
-5.50175088,5.94673835,3.23287772,4.64286174,0.00502280,0.91792648,0.21601799,0.00000000
-5.49574787,5.90886316,3.21968419,4.62271962,0.00481735,0.89897572,0.21631202,0.00000000
-5.48974487,5.87816240,3.20393693,4.61068770,0.00460567,0.87894124,0.21667673,0.00000000
-5.48374187,5.85610237,3.18641093,4.60785624,0.00438951,0.85814014,0.21712236,0.00000000
-5.47773887,5.84376538,3.16785681,4.61494958,0.00417073,0.83688081,0.21765777,0.00000000
-5.47173587,5.84178727,3.14895704,4.63227971,0.00395128,0.81545196,0.21828780,0.00000000
-5.46573287,5.85031159,3.13028615,4.65971507,0.00373313,0.79411269,0.21901083,0.00000000
-5.45972986,5.86896387,3.11227683,4.69666673,0.00351818,0.77308407,0.21981686,0.00000000
-5.45372686,5.89684821,3.09519417,4.74209387,0.00330823,0.75254275,0.22068620,0.00000000
-5.44772386,5.93256734,3.07911947,4.79452913,0.00310494,0.73261675,0.22158882,0.00000000
-5.44172086,5.97426652,3.06394487,4.85212352,0.00290972,0.71338388,0.22248455,0.00000000
-5.43571786,6.01969976,3.04937913,4.91270990,0.00272378,0.69487270,0.22332406,0.00000000
-5.42971486,6.06631627,3.03496461,4.97388235,0.00254805,0.67706603,0.22405058,0.00000000
-5.42371186,6.11136329,3.02010448,5.03308843,0.00238321,0.65990678,0.22460233,0.00000000
-5.41770885,6.15200074,3.00409860,5.08773026,0.00222965,0.64330573,0.22491556,0.00000000
-5.41170585,6.18542241,2.98618629,5.13526966,0.00208754,0.62715081,0.22492786,0.00000000
-5.40570285,6.20897767,2.96559312,5.17333259,0.00195679,0.61131734,0.22458176,0.00000000
-5.39969985,6.22028780,2.94157924,5.19980776,0.00183715,0.59567859,0.22382822,0.00000000
-5.39369685,6.21735104,2.91348617,5.21293462,0.00172817,0.58011597,0.22262987,0.00000000
-5.38769385,6.19863117,2.88077921,5.21137655,0.00162930,0.56452852,0.22096379,0.00000000
-5.38169085,6.16312509,2.84308301,5.19427552,0.00153990,0.54884077,0.21882358,0.00000000
-5.37568784,6.11040619,2.80020796,5.16128589,0.00145928,0.53300890,0.21622060,0.00000000
-5.36968484,6.04064132,2.75216599,5.11258549,0.00138672,0.51702467,0.21318436,0.00000000
-5.36368184,5.95458093,2.69917472,5.04886403,0.00132153,0.50091698,0.20976185,0.00000000
-5.35767884,5.85352295,2.64164991,4.97128935,0.00126302,0.48475106,0.20601599,0.00000000
-5.35167584,5.73925276,2.58018658,4.88145360,0.00121058,0.46862544,0.20202314,0.00000000
-5.34567284,5.61396244,2.51553010,4.78130235,0.00116361,0.45266676,0.19786995,0.00000000
-5.33966983,5.48015384,2.44853914,4.67305016,0.00112159,0.43702302,0.19364949,0.00000000
-5.33366683,5.34053033,2.38014262,4.55908712,0.00108406,0.42185554,0.18945716,0.00000000
-5.32766383,5.19788306,2.31129338,4.44188089,0.00105059,0.40733010,0.18538636,0.00000000
-5.32166083,5.05497709,2.24292126,4.32387905,0.00102080,0.39360798,0.18152424,0.00000000
-5.31565783,4.91444300,2.17588832,4.20741610,0.00099433,0.38083719,0.17794787,0.00000000
-5.30965483,4.77867882,2.11094871,4.09462952,0.00097084,0.36914446,0.17472079,0.00000000
-5.30365183,4.64976664,2.04871539,3.98738805,0.00095002,0.35862845,0.17189034,0.00000000
-5.29764882,4.52940698,1.98963523,3.88723516,0.00093153,0.34935442,0.16948581,0.00000000
-5.29164582,4.41887328,1.93397386,3.79534939,0.00091507,0.34135058,0.16751745,0.00000000
-5.28564282,4.31898758,1.88181050,3.71252258,0.00090028,0.33460638,0.16597638,0.00000000
-5.27963982,4.23011730,1.83304289,3.63915578,0.00088685,0.32907256,0.16483553,0.00000000
-5.27363682,4.15219197,1.78740150,3.57527220,0.00087442,0.32466305,0.16405123,0.00000000
-5.26763382,4.08473810,1.74447186,3.52054524,0.00086265,0.32125847,0.16356563,0.00000000
-5.26163082,4.02692909,1.70372346,3.47433950,0.00085120,0.31871093,0.16330967,0.00000000
-5.25562781,3.97764697,1.66454320,3.43576191,0.00083975,0.31685002,0.16320638,0.00000000
-5.24962481,3.93555228,1.62627148,3.40371985,0.00082798,0.31548942,0.16317444,0.00000000
-5.24362181,3.89915807,1.58823868,3.37698309,0.00081561,0.31443396,0.16313173,0.00000000
