energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.54714480,-1.58728303,1.25715502,-0.96378982,0.29050025,-0.25216014,0.51390822,-0.41497839,0.56815146,-0.10096882,0.00171276,-0.00021635,0.15036252,-0.06231171,0.00836592,-0.00937969,1.28978002,-0.93431136
-5.99399700,2.54420237,-1.70590887,1.24555788,-1.03658474,0.29286219,-0.27397320,0.50612833,-0.43723069,0.57913402,-0.10914646,0.00166468,-0.00023562,0.15442615,-0.06399597,0.00801153,-0.01008672,1.28069807,-1.00834521
-5.98799400,2.54048255,-1.83029788,1.23307469,-1.11328570,0.29453680,-0.29641243,0.49783683,-0.46121354,0.59103609,-0.11771684,0.00161581,-0.00025688,0.15913233,-0.06608385,0.00765951,-0.01083857,1.27010536,-1.08557042
-5.98199100,2.53625762,-1.95869719,1.21981291,-1.19278814,0.29547176,-0.31918822,0.48912273,-0.48657558,0.60393470,-0.12656153,0.00156682,-0.00027972,0.16454025,-0.06853846,0.00731415,-0.01162296,1.25808224,-1.16491341
-5.97598799,2.53174105,-2.08912154,1.20583543,-1.27384135,0.29562065,-0.34197783,0.48007334,-0.51289623,0.61788235,-0.13554707,0.00151835,-0.00030375,0.17070234,-0.07131005,0.00697986,-0.01242644,1.24468580,-1.24516776
-5.96998499,2.52709220,-2.21939593,1.19116435,-1.35507595,0.29494498,-0.36443197,0.47077505,-0.53969562,0.63290817,-0.14452770,0.00147102,-0.00032855,0.17766397,-0.07433713,0.00666097,-0.01323463,1.22995286,-1.32501993
-5.96398199,2.52242430,-2.34720744,1.17578672,-1.43503709,0.29341632,-0.38618287,0.46131469,-0.56644702,0.64901986,-0.15334873,0.00142542,-0.00035368,0.18546347,-0.07754804,0.00636152,-0.01403245,1.21390452,-1.40308060
-5.95797899,2.51781476,-2.47016498,1.15966185,-1.51222251,0.29101821,-0.40685367,0.45178115,-0.59259152,0.66620622,-0.16185037,0.00138206,-0.00037870,0.19413227,-0.08086284,0.00608504,-0.01480452,1.19655182,-1.47792052
-5.95197599,2.51331704,-2.58586496,1.14272968,-1.58512428,0.28774794,-0.42606864,0.44226717,-0.61755432,0.68444009,-0.16987201,0.00134139,-0.00040316,0.20369522,-0.08419552,0.00583443,-0.01553549,1.17790215,-1.54810971
-5.94597299,2.50897295,-2.69196050,1.12491951,-1.65227269,0.28361788,-0.44346405,0.43287132,-0.64076224,0.70368123,-0.17725663,0.00130376,-0.00042663,0.21417094,-0.08745646,0.00561183,-0.01621047,1.15796581,-1.61225879
