energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,4.53054911,1.82979499,3.17160517,0.01561578,0.74434318,0.86216740,0.00000000
-5.99399700,4.55538822,1.83868627,3.19725867,0.01513393,0.73164992,0.88524185,0.00000000
-5.98799400,4.58983677,1.85464081,3.22892090,0.01463819,0.71942931,0.91218598,0.00000000
-5.98199100,4.63461992,1.87810507,3.26702522,0.01413909,0.70788715,0.94300689,0.00000000
-5.97598799,4.69038383,1.90943367,3.31196107,0.01364704,0.69724451,0.97764854,0.00000000
-5.96998499,4.75765487,1.94886437,3.36404764,0.01317198,0.68773118,1.01598195,0.00000000
-5.96398199,4.83679868,1.99649440,3.42350697,0.01272306,0.67957842,1.05779653,0.00000000
-5.95797899,4.92798152,2.05226008,3.49043817,0.01230836,0.67301147,1.10279334,0.00000000
-5.95197599,5.03113669,2.11592098,3.56479454,0.01193463,0.66824223,1.15058083,0.00000000
-5.94597299,5.14593830,2.18705016,3.64636509,0.01160719,0.66546246,1.20067388,0.00000000
-5.93996998,5.27178427,2.26503117,3.73476187,0.01132973,0.66483797,1.25249629,0.00000000
-5.93396698,5.40779013,2.34906268,3.82941408,0.01110433,0.66650386,1.30538733,0.00000000
-5.92796398,5.55279425,2.43817065,3.92956966,0.01093146,0.67056106,1.35861210,0.00000000
-5.92196098,5.70537485,2.53122794,4.03430455,0.01081004,0.67707422,1.41137580,0.00000000
-5.91595798,5.86387794,2.62698045,4.14253949,0.01073762,0.68607091,1.46284137,0.00000000
-5.90995498,6.02645532,2.72407884,4.25306356,0.01071054,0.69754191,1.51215007,0.00000000
-5.90395198,6.19111066,2.82111427,4.36456360,0.01072415,0.71144257,1.55844401,0.00000000
-5.89794897,6.35575150,2.91665650,4.47565809,0.01077306,0.72769492,1.60088989,0.00000000
-5.89194597,6.51824473,3.00929263,4.58493385,0.01085137,0.74619019,1.63870291,0.00000000
-5.88594297,6.67647284,3.09766450,4.69098395,0.01095297,0.76679168,1.67116964,0.00000000
-5.87993997,6.82838826,3.18050323,4.79244495,0.01107172,0.78933756,1.69766902,0.00000000
-5.87393697,6.97206353,3.25665917,4.88803200,0.01120172,0.81364356,1.71769032,0.00000000
-5.86793397,7.10573496,3.32512621,4.97657001,0.01133748,0.83950528,1.73084747,0.00000000
-5.86193097,7.22783844,3.38505951,5.05702002,0.01147404,0.86670021,1.73688898,0.00000000
-5.85592796,7.33703595,3.43578630,5.12849955,0.01160715,0.89498927,1.73570309,0.00000000
-5.84992496,7.43223263,3.47680965,5.19029664,0.01173326,0.92411814,1.72731802,0.00000000
-5.84392196,7.51258413,3.50780566,5.24187720,0.01184960,0.95381833,1.71189749,0.00000000
-5.83791896,7.57749512,3.52861496,5.28288604,0.01195415,0.98380824,1.68973172,0.00000000
-5.83191596,7.62660978,3.53922937,5.31314200,0.01204557,1.01379439,1.66122451,0.00000000
-5.82591296,7.65979585,3.53977515,5.33262792,0.01212315,1.04347298,1.62687728,0.00000000
-5.81990995,7.67712380,3.53049422,5.34147649,0.01218667,1.07253198,1.58727061,0.00000000
-5.81390695,7.67884270,3.51172459,5.33995298,0.01223632,1.10065384,1.54304453,0.00000000
-5.80790395,7.66535478,3.48388142,5.32843595,0.01227253,1.12751898,1.49487824,0.00000000
-5.80190095,7.63718980,3.44743962,5.30739708,0.01229588,1.15281001,1.44347021,0.00000000
-5.79589795,7.59498081,3.40291889,5.27738092,0.01230698,1.17621663,1.38951948,0.00000000
-5.78989495,7.53944210,3.35087172,5.23898551,0.01230632,1.19744118,1.33370874,0.00000000
-5.78389195,7.47134991,3.29187436,5.19284442,0.01229428,1.21620454,1.27668974,0.00000000
-5.77788894,7.39152629,3.22652081,5.13961062,0.01227099,1.23225220,1.21907133,0.00000000
-5.77188594,7.30082596,3.15541934,5.07994257,0.01223635,1.24536022,1.16141020,0.00000000
