energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.47359639,-2.47357730,0.00039256,-0.00039256,0.39376867,-0.39376385,0.50756873,-0.50756902,0.30478346,-0.30477987,0.95593341,-0.95593058,1.21814264,-1.21813062,0.87405872,-0.87405641,0.00000000,-0.00000000
-5.99399700,2.52193914,-2.52192446,0.00039191,-0.00039191,0.40884455,-0.40884021,0.50634308,-0.50634456,0.30675696,-0.30675408,0.96919382,-0.96919277,1.25294451,-1.25293443,0.87932966,-0.87932924,0.00000000,-0.00000000
-5.98799400,2.56004904,-2.56003905,0.00039003,-0.00039003,0.42246937,-0.42246560,0.50275447,-0.50275711,0.30728620,-0.30728405,0.97877182,-0.97877254,1.28248883,-1.28248094,0.88083580,-0.88083725,0.00000000,-0.00000000
-5.98199100,2.58720644,-2.58720132,0.00038674,-0.00038674,0.43435854,-0.43435543,0.49691532,-0.49691905,0.30637909,-0.30637767,0.98464202,-0.98464447,1.30604813,-1.30604265,0.87862621,-0.87862950,0.00000000,-0.00000000
-5.97598799,2.60288929,-2.60288914,0.00038202,-0.00038202,0.44425906,-0.44425668,0.48898211,-0.48898684,0.30406560,-0.30406490,0.98684202,-0.98684614,1.32300947,-1.32300657,0.87281719,-0.87282222,0.00000000,-0.00000000
-5.96998499,2.60678339,-2.60678824,0.00037594,-0.00037594,0.45195764,-0.45195606,0.47914784,-0.47915347,0.30039594,-0.30039595,0.98546782,-0.98547353,1.33289408,-1.33289387,0.86358402,-0.86359071,0.00000000,-0.00000000
-5.96398199,2.59878776,-2.59879754,0.00036872,-0.00036872,0.45728782,-0.45728707,0.46763371,-0.46764014,0.29543847,-0.29543916,0.98066818,-0.98067538,1.33537305,-1.33537559,0.85115181,-0.85116004,0.00000000,-0.00000000
-5.95797899,2.57901492,-2.57902948,0.00036069,-0.00036068,0.46013552,-0.46013563,0.45468044,-0.45468754,0.28927736,-0.28927869,0.97263814,-0.97264668,1.33027847,-1.33028379,0.83578566,-0.83579528,0.00000000,-0.00000000
-5.95197599,2.54778607,-2.54780520,0.00035229,-0.00035229,0.46044300,-0.46044398,0.44053946,-0.44054711,0.28201006,-0.28201200,0.96161204,-0.96162180,1.31760954,-1.31761757,0.81778057,-0.81779142,0.00000000,-0.00000000
-5.94597299,2.50562130,-2.50564469,0.00034411,-0.00034411,0.45821094,-0.45821278,0.42546456,-0.42547264,0.27374483,-0.27374732,0.94785639,-0.94786722,1.29753322,-1.29754385,0.79745159,-0.79746352,0.00000000,-0.00000000
-5.93996998,2.45322510,-2.45325239,0.00033684,-0.00033683,0.45349860,-0.45350127,0.40970409,-0.40971247,0.26459816,-0.26460115,0.93166272,-0.93167446,1.27037959,-1.27039267,0.77512444,-0.77513727,0.00000000,-0.00000000
-5.93396698,2.39146770,-2.39149848,0.00033130,-0.00033129,0.44642208,-0.44642553,0.39349412,-0.39350269,0.25469239,-0.25469581,0.91334067,-0.91335316,1.23663196,-1.23664727,0.75112699,-0.75114056,0.00000000,-0.00000000
-5.92796398,2.32136280,-2.32139661,0.00032845,-0.00032844,0.43715072,-0.43715488,0.37705279,-0.37706143,0.24415334,-0.24415714,0.89321162,-0.89322471,1.19691219,-1.19692948,0.72578177,-0.72579591,0.00000000,-0.00000000
-5.92196098,2.24404243,-2.24407876,0.00032936,-0.00032934,0.42590188,-0.42590667,0.36057589,-0.36058450,0.23310821,-0.23311232,0.87160283,-0.87161636,1.15196185,-1.15198081,0.69939975,-0.69941429,0.00000000,-0.00000000
-5.91595798,2.16072979,-2.16076812,0.00033526,-0.00033524,0.41293424,-0.41293956,0.34423393,-0.34424242,0.22168361,-0.22168796,0.84884235,-0.84885616,1.10261999,-1.10264032,0.67227539,-0.67229017,0.00000000,-0.00000000
-5.90995498,2.07271095,-2.07275074,0.00034752,-0.00034749,0.39854001,-0.39854576,0.32817049,-0.32817879,0.21000382,-0.21000834,0.82525455,-0.82526848,1.04979860,-1.04981995,0.64468311,-0.64469799,0.00000000,-0.00000000
-5.90395198,1.98130637,-1.98134707,0.00036764,-0.00036761,0.38303637,-0.38304245,0.31250201,-0.31251005,0.19818927,-0.19819391,0.80115649,-0.80117041,0.99445648,-0.99447850,0.61687505,-0.61688989,0.00000000,-0.00000000
-5.89794897,1.88784301,-1.88788409,0.00039729,-0.00039725,0.36675645,-0.36676273,0.29731878,-0.29732650,0.18635530,-0.18635998,0.77685495,-0.77686873,0.93757294,-0.93759528,0.58908004,-0.58909472,0.00000000,-0.00000000
-5.89194597,1.79362816,-1.79366908,0.00043830,-0.00043824,0.35004024,-0.35004662,0.28268694,-0.28269431,0.17461102,-0.17461570,0.75264413,-0.75265763,0.88012202,-0.88014434,0.56150373,-0.56151813,0.00000000,-0.00000000
-5.88594297,1.69992537,-1.69996564,0.00049260,-0.00049254,0.33322587,-0.33323222,0.26865144,-0.26865841,0.16305860,-0.16306320,0.72880383,-0.72881693,0.82304843,-0.82307041,0.53432952,-0.53434353,0.00000000,-0.00000000
-5.87993997,1.60793352,-1.60797267,0.00056232,-0.00056225,0.31664139,-0.31664761,0.25523950,-0.25524605,0.15179257,-0.15179705,0.70559820,-0.70561080,0.76724594,-0.76726726,0.50772035,-0.50773388,0.00000000,-0.00000000
-5.87393697,1.51876927,-1.51880688,0.00064969,-0.00064959,0.30059759,-0.30060358,0.24246453,-0.24247065,0.14089949,-0.14090379,0.68327486,-0.68328686,0.71353888,-0.71355927,0.48182090,-0.48183388,0.00000000,-0.00000000
-5.86793397,1.43345349,-1.43348915,0.00075703,-0.00075692,0.28538189,-0.28538755,0.23033022,-0.23033589,0.13045776,-0.13046184,0.66206429,-0.66207559,0.66266743,-0.66268665,0.45676018,-0.45677254,0.00000000,-0.00000000
-5.86193097,1.35290165,-1.35293503,0.00088676,-0.00088663,0.27125353,-0.27125877,0.21883443,-0.21883966,0.12053767,-0.12054149,0.64217955,-0.64219009,0.61527688,-0.61529471,0.43265423,-0.43266589,0.00000000,-0.00000000
-5.85592796,1.27791853,-1.27794933,0.00104135,-0.00104120,0.25844023,-0.25844498,0.20797299,-0.20797776,0.11120158,-0.11120509,0.62381625,-0.62382595,0.57191110,-0.57192736,0.40960879,-0.40961971,0.00000000,-0.00000000
-5.84992496,1.20919696,-1.20922493,0.00122324,-0.00122307,0.24713634,-0.24714054,0.19774287,-0.19774719,0.10250428,-0.10250746,0.60715267,-0.60716147,0.53301024,-0.53302480,0.38772184,-0.38773197,0.00000000,-0.00000000
-5.84392196,1.14732052,-1.14734544,0.00143485,-0.00143465,0.23750239,-0.23750599,0.18814498,-0.18814885,0.09449355,-0.09449637,0.59235029,-0.59235814,0.49891234,-0.49892508,0.36708591,-0.36709522,0.00000000,-0.00000000
-5.83791896,1.09276976,-1.09279146,0.00167847,-0.00167825,0.22966613,-0.22966907,0.17918622,-0.17918964,0.08721080,-0.08721323,0.57955453,-0.57956138,0.46985860,-0.46986947,0.34779003,-0.34779847,0.00000000,-0.00000000
-5.83191596,1.04593166,-1.04595001,0.00195623,-0.00195598,0.22372472,-0.22372699,0.17088095,-0.17088392,0.08069180,-0.08069382,0.56889584,-0.56890166,0.44600192,-0.44601086,0.32992138,-0.32992893,0.00000000,-0.00000000
-5.82591296,1.00711166,-1.00712655,0.00227000,-0.00226973,0.21974815,-0.21974971,0.16325176,-0.16325427,0.07496751,-0.07496910,0.56049127,-0.56049602,0.42741785,-0.42742484,0.31356661,-0.31357325,0.00000000,-0.00000000
-5.81990995,0.97654760,-0.97655896,0.00262138,-0.00262108,0.21778338,-0.21778422,0.15632965,-0.15633170,0.07006497,-0.07006612,0.55444633,-0.55444997,0.41411768,-0.41412272,0.29881281,-0.29881850,0.00000000,-0.00000000
-5.81390695,0.95442503,-0.95443279,0.00301158,-0.00301125,0.21785924,-0.21785934,0.15015365,-0.15015525,0.06600819,-0.06600889,0.55085729,-0.55085981,0.40606262,-0.40606573,0.28574817,-0.28575291,0.00000000,-0.00000000
-5.80790395,0.94089288,-0.94089699,0.00344139,-0.00344103,0.21999152,-0.21999088,0.14477001,-0.14477115,0.06281896,-0.06281919,0.54981381,-0.54981518,0.40317861,-0.40317981,0.27446247,-0.27446622,0.00000000,-0.00000000
-5.80190095,0.93607882,-0.93607924,0.00391112,-0.00391073,0.22418819,-0.22418680,0.14023095,-0.14023162,0.06051772,-0.06051747,0.55140165,-0.55140184,0.40537073,-0.40537004,0.26504714,-0.26504988,0.00000000,-0.00000000
-5.79589795,0.94010334,-0.94010002,0.00442056,-0.00442015,0.23045426,-0.23045211,0.13659317,-0.13659337,0.05912417,-0.05912343,0.55570545,-0.55570445,0.41253676,-0.41253421,0.25759528,-0.25759701,0.00000000,-0.00000000
-5.78989495,0.95309165,-0.95308455,0.00496896,-0.00496853,0.23879602,-0.23879309,0.13391610,-0.13391582,0.05865791,-0.05865667,0.56281119,-0.56280897,0.42457899,-0.42457461,0.25220132,-0.25220200,0.00000000,-0.00000000
-5.78389195,0.97518258,-0.97517165,0.00555502,-0.00555457,0.24922438,-0.24922068,0.13226005,-0.13225930,0.05913875,-0.05913700,0.57280805,-0.57280457,0.44141379,-0.44140758,0.24896037,-0.24895997,0.00000000,-0.00000000
-5.77788894,1.00653360,-1.00651878,0.00617687,-0.00617640,0.26175705,-0.26175256,0.13168425,-0.13168301,0.06058687,-0.06058461,0.58578934,-0.58578459,0.46297825,-0.46297024,0.24796727,-0.24796579,0.00000000,-0.00000000
-5.77188594,1.04732134,-1.04730257,0.00683208,-0.00683161,0.27641921,-0.27641391,0.13224479,-0.13224304,0.06302272,-0.06301992,0.60185228,-0.60184621,0.48923368,-0.48922386,0.24931525,-0.24931265,0.00000000,-0.00000000
-5.76588294,1.09773695,-1.09771414,0.00751775,-0.00751726,0.29324269,-0.29323656,0.13399253,-0.13399029,0.06646654,-0.06646320,0.62109604,-0.62108862,0.52016542,-0.52015379,0.25309398,-0.25309024,0.00000000,-0.00000000
-5.75987994,1.15797610,-1.15794919,0.00823044,-0.00822996,0.31226340,-0.31225643,0.13697102,-0.13696828,0.07093768,-0.07093379,0.64361815,-0.64360935,0.55577912,-0.55576566,0.25938714,-0.25938224,0.00000000,-0.00000000
-5.75387694,1.22822348,-1.22819240,0.00896633,-0.00896585,0.33351718,-0.33350935,0.14121431,-0.14121107,0.07645350,-0.07644905,0.66950885,-0.66949865,0.59609325,-0.59607797,0.26826929,-0.26826320,0.00000000,-0.00000000
