energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-5.87993997,4.07728746,0.01659627,0.47276584,1.11842276,0.62057541,1.03373260,1.20052127,0.00937880,1.85479877
-5.87393697,4.05886183,0.01597029,0.46707645,1.12037715,0.61435202,1.02672360,1.19084922,0.00912544,1.85230197
-5.86793397,4.02900320,0.01531205,0.45995613,1.11890329,0.60684579,1.01757701,1.17699074,0.00891360,1.84458539
-5.86193097,3.98823298,0.01462864,0.45157677,1.11400497,0.59815721,1.00652988,1.15926355,0.00874228,1.83170638
-5.85592796,3.93736886,0.01392685,0.44215181,1.10576367,0.58841770,0.99387760,1.13808850,0.00861084,1.81385171
-5.84992496,3.87749929,0.01321305,0.43192940,1.09433722,0.57778544,0.97996811,1.11397503,0.00851904,1.79133304
-5.84392196,3.80994949,0.01249314,0.42118436,1.07995617,0.56644052,0.96519445,1.08750393,0.00846706,1.76457846
-5.83791896,3.73624032,0.01177254,0.41020945,1.06291767,0.55457949,0.94998576,1.05930819,0.00845552,1.73412025
-5.83191596,3.65804146,0.01105615,0.39930626,1.04357729,0.54240958,0.93479707,1.03005253,0.00848541,1.70057939
-5.82591296,3.57712049,0.01034839,0.38877593,1.02233877,0.53014272,0.92009799,1.00041266,0.00855809,1.66464705
-5.81990995,3.49528970,0.00965319,0.37891017,0.99964218,0.51798968,0.90636063,0.97105476,0.00867521,1.62706396
-5.81390695,3.41435246,0.00897405,0.36998285,0.97595085,0.50615441,0.89404720,0.94261606,0.00883862,1.58859801
-5.80790395,3.33605093,0.00831406,0.36224237,0.95173755,0.49482873,0.88359765,0.91568713,0.00905034,1.55002122
-5.80190095,3.26201694,0.00767594,0.35590517,0.92747039,0.48418772,0.87541760,0.89079653,0.00931243,1.51208655
-5.79589795,3.19372753,0.00706205,0.35115046,0.90359900,0.47438561,0.86986729,0.86839807,0.00962688,1.47550558
-5.78989495,3.13246658,0.00647445,0.34811631,0.88054149,0.46555252,0.86725154,0.84886126,0.00999554,1.44092773
-5.78389195,3.07929360,0.00591491,0.34689730,0.85867272,0.45779200,0.86781145,0.83246484,0.01041998,1.40892185
-5.77788894,3.03502053,0.00538490,0.34754348,0.83831422,0.45117940,0.87171781,0.81939360,0.01090138,1.37996064
-5.77188594,3.00019694,0.00488564,0.35006085,0.81972620,0.44576109,0.87906665,0.80973839,0.01144038,1.35440869
-5.76588294,2.97510395,0.00441808,0.35441305,0.80310195,0.44155447,0.88987695,0.80349894,0.01203697,1.33251419
-5.75987994,2.95975655,0.00398292,0.36052424,0.78856470,0.43854885,0.90409062,0.80058943,0.01269035,1.31440494
-5.75387694,2.95391399,0.00358063,0.36828289,0.77616712,0.43670688,0.92157463,0.80084616,0.01339882,1.30008837
-5.74787394,2.95709752,0.00321141,0.37754633,0.76589332,0.43596679,0.94212523,0.80403704,0.01415959,1.28945578
-5.74187094,2.96861448,0.00287522,0.38814585,0.75766335,0.43624506,0.96547408,0.80987246,0.01496875,1.28229037
-5.73586793,2.98758780,0.00257183,0.39989203,0.75133977,0.43743960,0.99129584,0.81801691,0.01582111,1.27827883
-5.72986493,3.01298949,0.00230075,0.41258020,0.74673611,0.43943326,1.01921720,0.82810103,0.01671020,1.27702586
-5.72386193,3.04367702,0.00206133,0.42599584,0.74362682,0.44209753,1.04882669,0.83973366,0.01762820,1.27807108
-5.71785893,3.07843109,0.00185272,0.43991960,0.74175813,0.44529650,1.07968518,0.85251346,0.01856596,1.28090759
-5.71185593,3.11599368,0.00167395,0.45413209,0.74085950,0.44889068,1.11133655,0.86603985,0.01951309,1.28500144
-5.70585293,3.15510499,0.00152388,0.46841807,0.74065504,0.45274085,1.14331825,0.87992292,0.02045808,1.28981122
-5.69984992,3.19453820,0.00140129,0.48257019,0.74087454,0.45671161,1.17517150,0.89379228,0.02138846,1.29480702
-5.69384692,3.23313105,0.00130489,0.49639212,0.74126346,0.46067469,1.20645083,0.90730450,0.02229108,1.29948796
-5.68784392,3.26981336,0.00123329,0.50970123,0.74159181,0.46451183,1.23673279,0.92014929,0.02315234,1.30339776
-5.68184092,3.30362985,0.00118508,0.52233061,0.74166117,0.46811711,1.26562365,0.93205422,0.02395859,1.30613763
-5.67583792,3.33375767,0.00115883,0.53413080,0.74130995,0.47139874,1.29276598,0.94278802,0.02469645,1.30737614
-5.66983492,3.35951842,0.00115306,0.54497098,0.74041658,0.47428025,1.31784415,0.95216255,0.02535323,1.30685579
-5.66383192,3.38038461,0.00116627,0.55473983,0.73890054,0.47670094,1.34058854,0.96003349,0.02591731,1.30439604
-5.65782891,3.39598039,0.00119696,0.56334610,0.73672137,0.47861570,1.36077864,0.96629974,0.02637854,1.29989296
-5.65182591,3.40607714,0.00124356,0.57071885,0.73387563,0.47999414,1.37824490,0.97090178,0.02672853,1.29331548
-5.64582291,3.41058417,0.00130450,0.57680743,0.73039234,0.48081914,1.39286947,0.97381894,0.02696101,1.28469884
-5.63981991,3.40953509,0.00137813,0.58158123,0.72632676,0.48108486,1.40458588,0.97506580,0.02707201,1.27413539
-5.63381691,3.40307083,0.00146276,0.58502914,0.72175335,0.48079436,1.41337755,0.97468779,0.02706003,1.26176355
-5.62781391,3.39141988,0.00155661,0.58715868,0.71675794,0.47995693,1.41927538,0.97275621,0.02692608,1.24775550
-5.62181091,3.37487696,0.00165784,0.58799495,0.71142977,0.47858530,1.42235440,0.96936269,0.02667363,1.23230423
-5.61580790,3.35378085,0.00176453,0.58757912,0.70585374,0.47669295,1.42272949,0.96461343,0.02630852,1.21561074
-5.60980490,3.32849276,0.00187467,0.58596672,0.70010339,0.47429162,1.42055047,0.95862325,0.02583866,1.19787210
-5.60380190,3.29937587,0.00198621,0.58322557,0.69423482,0.47138927,1.41599650,0.95150982,0.02527380,1.17927093
-5.59779890,3.26677730,0.00209703,0.57943351,0.68828211,0.46798862,1.40927006,0.94338809,0.02462512,1.15996680
-5.59179590,3.23101328,0.00220502,0.57467587,0.68225430,0.46408633,1.40059078,0.93436534,0.02390485,1.14009019
-5.58579290,3.19235816,0.00230805,0.56904287,0.67613423,0.45967310,1.39018919,0.92453697,0.02312582,1.11973906
-5.57978989,3.15103798,0.00240405,0.56262704,0.66987928,0.45473450,1.37830084,0.91398315,0.02230102,1.09897835
-5.57378689,3.10722894,0.00249107,0.55552070,0.66342395,0.44925281,1.36516092,0.90276675,0.02144322,1.07784226
-5.56778389,3.06106078,0.00256727,0.54781376,0.65668424,0.44320959,1.35099978,0.89093244,0.02056456,1.05633936
-5.56178089,3.01262524,0.00263101,0.53959191,0.64956365,0.43658902,1.33603952,0.87850721,0.01967626,1.03445996
-5.55577789,2.96198891,0.00268089,0.53093528,0.64196035,0.42938182,1.32049197,0.86550225,0.01878836,1.01218559
-5.54977489,2.90921027,0.00271579,0.52191776,0.63377539,0.42158966,1.30455810,0.85191621,0.01790958,0.98949985
-5.54377189,2.85435972,0.00273489,0.51260697,0.62492138,0.41322963,1.28842904,0.83773976,0.01704717,0.96640010
-5.53776888,2.79754190,0.00273774,0.50306492,0.61533124,0.40433877,1.27228866,0.82296111,0.01620701,0.94290944
-5.53176588,2.73891890,0.00272426,0.49334940,0.60496661,0.39497825,1.25631756,0.80757240,0.01539357,0.91908812
-5.52576288,2.67873316,0.00269473,0.48351592,0.59382544,0.38523701,1.24069829,0.79157661,0.01461011,0.89504382
-5.51975988,2.61732867,0.00264984,0.47362018,0.58194831,0.37523456,1.22562139,0.77499449,0.01385886,0.87094031
-5.51375688,2.55516921,0.00259064,0.46372082,0.56942319,0.36512277,1.21129183,0.75787134,0.01314123,0.84700370
-5.50775388,2.49285219,0.00251852,0.45388234,0.55638827,0.35508649,1.19793542,0.74028305,0.01245802,0.82352604
-5.50175088,2.43111715,0.00243520,0.44417793,0.54303269,0.34534273,1.18580443,0.72234108,0.01180975,0.80086592
-5.49574787,2.37084787,0.00234266,0.43469193,0.52959501,0.33613850,1.17518205,0.70419608,0.01119679,0.77944580
-5.48974487,2.31306745,0.00224313,0.42552180,0.51635939,0.32774707,1.16638512,0.68603975,0.01061966,0.75974599
-5.48374187,2.25892602,0.00213898,0.41677936,0.50364962,0.32046288,1.15976447,0.66810480,0.01007912,0.74229554
-5.47773887,2.20968106,0.00203272,0.40859103,0.49182104,0.31459502,1.15570282,0.65066286,0.00957637,0.72766002
-5.47173587,2.16667059,0.00192688,0.40109720,0.48125081,0.31045950,1.15460976,0.63402029,0.00911307,0.71642669
-5.46573287,2.13127998,0.00182403,0.39445039,0.47232665,0.30837055,1.15691398,0.61851201,0.00869141,0.70918748
-5.45972986,2.10490345,0.00172663,0.38881246,0.46543471,0.30863109,1.16305279,0.60449347,0.00831408,0.70652036
-5.45372686,2.08890149,0.00163708,0.38435079,0.46094687,0.31152278,1.17345935,0.59233117,0.00798418,0.70896980
-5.44772386,2.08455594,0.00155759,0.38123365,0.45920804,0.31729596,1.18854814,0.58239196,0.00770517,0.71702691
-5.44172086,2.09302451,0.00149020,0.37962498,0.46052397,0.32615976,1.20869950,0.57503166,0.00748067,0.73111029
-5.43571786,2.11529665,0.00143671,0.37967883,0.46515022,0.33827289,1.23424389,0.57058342,0.00731437,0.75154811
-5.42971486,2.15215289,0.00139868,0.38153366,0.47328244,0.35373540,1.26544705,0.56934650,0.00720984,0.77856235
-5.42371186,2.20412945,0.00137743,0.38530700,0.48504881,0.37258182,1.30249684,0.57157574,0.00717034,0.81225594
-5.41770885,2.27149010,0.00137400,0.39109059,0.50050467,0.39477601,1.34549284,0.57747242,0.00719872,0.85260335
-5.41170585,2.35420664,0.00138914,0.39894643,0.51962972,0.42020808,1.39443929,0.58717686,0.00729719,0.89944519
-5.40570285,2.45194935,0.00142337,0.40890386,0.54232804,0.44869350,1.44924230,0.60076315,0.00746726,0.95248737
-5.39969985,2.56408810,0.00147694,0.42095793,0.56843075,0.47997477,1.50971146,0.61823616,0.00770961,1.01130478
-5.39369685,2.68970447,0.00154983,0.43506917,0.59770140,0.51372545,1.57556603,0.63953118,0.00802402,1.07534972
-5.38769385,2.82761459,0.00164180,0.45116473,0.62984376,0.54955684,1.64644561,0.66451592,0.00840934,1.14396481
-5.38169085,2.97640190,0.00175239,0.46914086,0.66451176,0.58702689,1.72192458,0.69299505,0.00886346,1.21639996
-5.37568784,3.13445847,0.00188091,0.48886660,0.70132093,0.62565126,1.80152962,0.72471673,0.00938332,1.29183282
-5.36968484,3.30003298,0.00202649,0.51018837,0.73986105,0.66491613,1.88475907,0.75938101,0.00996499,1.36939188
-5.36368184,3.47128325,0.00218804,0.53293522,0.77970915,0.70429220,1.97110293,0.79664939,0.01060369,1.44818117
-5.35767884,3.64633046,0.00236431,0.55692439,0.82044233,0.74324954,2.06006193,0.83615525,0.01129391,1.52730563
-5.35167584,3.82331267,0.00255386,0.58196672,0.86164975,0.78127241,2.15116435,0.87751430,0.01202948,1.60589575
-5.34567284,4.00043455,0.00275508,0.60787164,0.90294312,0.81787366,2.24397899,0.92033464,0.01280367,1.68313050
-5.33966983,4.17601097,0.00296618,0.63445134,0.94396520,0.85260798,2.33812331,0.96422581,0.01360931,1.75825744
-5.33366683,4.34850216,0.00318522,0.66152375,0.98439587,0.88508336,2.43326560,1.00880624,0.01443886,1.83060886
-5.32766383,4.51653863,0.00341009,0.68891429,1.02395553,0.91497036,2.52912084,1.05370892,0.01528454,1.89961346
-5.32166083,4.67893474,0.00363851,0.71645613,1.06240568,0.94200868,2.62544008,1.09858484,0.01613838,1.96480290
-5.31565783,4.83469067,0.00386806,0.74398899,1.09954677,0.96601095,2.72199374,1.14310425,0.01699228,2.02581301
-5.30965483,4.98298294,0.00409618,0.77135667,1.13521365,0.98686332,2.81854986,1.18695577,0.01783810,2.08237992
-5.30365183,5.12314479,0.00432020,0.79840347,1.16926888,1.00452328,2.91484852,1.22984361,0.01866769,2.13433131
-5.29764882,5.25463821,0.00453734,0.82496993,1.20159462,1.01901456,3.01057436,1.27148337,0.01947291,2.18157382
-5.29164582,5.37702013,0.00474475,0.85088824,1.23208374,1.03041984,3.10532921,1.31159684,0.02024571,2.22407720
-5.28564282,5.48990554,0.00493959,0.87597785,1.26063077,1.03887139,3.19860709,1.34990669,0.02097811,2.26185678
-5.27963982,5.59293080,0.00511899,0.90004180,1.28712359,1.04454051,3.28977374,1.38613141,0.02166230,2.29495524
-5.27363682,5.68572019,0.00528020,0.92286422,1.31143650,1.04762629,3.37805296,1.41998149,0.02229067,2.32342507
-5.26763382,5.76785861,0.00542057,0.94420949,1.33342521,1.04834429,3.46252140,1.45115727,0.02285587,2.34731300
-5.26163082,5.83887299,0.00553767,0.96382327,1.35292436,1.04691589,3.54211307,1.47934909,0.02335095,2.36664740
-5.25562781,5.89822415,0.00562931,0.98143583,1.36974773,1.04355866,3.61563450,1.50423999,0.02376943,2.38142952
-5.24962481,5.94531033,0.00569362,0.99676746,1.38369131,1.03847848,3.68179045,1.52551122,0.02410548,2.39162909
-5.24362181,5.97948245,0.00572912,1.00953611,1.39453916,1.03186339,3.73921957,1.54285041,0.02435405,2.39718459
-5.23761881,6.00007049,0.00573477,1.01946688,1.40207164,1.02387965,3.78653871,1.55596217,0.02451106,2.39800797
-5.23161581,6.00641943,0.00571000,1.02630283,1.40607556,1.01466981,3.82239390,1.56458060,0.02457360,2.39399346
-5.22561281,5.99793245,0.00565474,1.02981681,1.40635570,1.00435279,3.84551543,1.56848303,0.02454007,2.38502964
-5.21960980,5.97411842,0.00556947,1.02982342,1.40274681,0.99302575,3.85477424,1.56750412,0.02441041,2.37101398
-5.21360680,5.93464049,0.00545519,1.02619050,1.39512542,0.98076736,3.84923648,1.56154948,0.02418620,2.35186852
