energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.66634413,-2.29340515,0.22375588,-0.75661141,0.15846974,-0.64812936,1.64973165,-0.77536898,1.61411092,-0.15711771,0.00126200,-0.00726129,1.30288649,-0.11655552,0.01184999,-0.04683788,0.35882275,-1.07322947
-5.99399700,3.62417575,-2.32127380,0.21264735,-0.76410241,0.15207257,-0.65496469,1.62736601,-0.79323027,1.61041729,-0.15888450,0.00110545,-0.00717419,1.29861508,-0.11826776,0.01066228,-0.04648503,0.34277047,-1.08765112
-5.98799400,3.57260814,-2.33918043,0.20270200,-0.76835040,0.14626026,-0.65855821,1.59960634,-0.80767076,1.60104186,-0.16003573,0.00096643,-0.00704921,1.28901183,-0.11943846,0.00957709,-0.04595372,0.32781222,-1.09759543
-5.98199100,3.51151241,-2.34707654,0.19389566,-0.76935555,0.14101505,-0.65888144,1.56648514,-0.81852355,1.58590517,-0.16057903,0.00084526,-0.00688880,1.27406855,-0.12005787,0.00859129,-0.04526484,0.31390132,-1.10302857
-5.97598799,3.44100963,-2.34507866,0.18620244,-0.76717076,0.13632727,-0.65595829,1.52814733,-0.82567943,1.56505208,-0.16053344,0.00074209,-0.00669591,1.25388100,-0.12012475,0.00770089,-0.04444175,0.30100023,-1.10399200
-5.96998499,3.36148192,-2.33345661,0.17959578,-0.76189744,0.13219659,-0.64986295,1.48485442,-0.82908717,1.53865578,-0.15992801,0.00065696,-0.00647386,1.22865157,-0.11964596,0.00690122,-0.04350938,0.28908248,-1.10059712
-5.96398199,3.27357222,-2.31261845,0.17404887,-0.75368028,0.12863272,-0.64071665,1.43698377,-0.82875248,1.50701662,-0.15880024,0.00058986,-0.00622630,1.19868765,-0.11863583,0.00618724,-0.04249336,0.27813377,-1.09301837
-5.95797899,3.17817270,-2.28309286,0.16953470,-0.74270138,0.12565551,-0.62868354,1.38502288,-0.82473572,1.47055547,-0.15719425,0.00054082,-0.00595705,1.16439571,-0.11711556,0.00555373,-0.04141910,0.26815224,-1.08148508
-5.95197599,3.07640175,-2.24550941,0.16602568,-0.72917368,0.12329464,-0.61396568,1.32955892,-0.81714846,1.42980204,-0.15515890,0.00050988,-0.00567006,1.12627131,-0.11511235,0.00499549,-0.04031098,0.25914780,-1.06627235
-5.94597299,2.96957109,-2.20057760,0.16349293,-0.71333415,0.12158869,-0.59679749,1.27126375,-0.80614906,1.38537845,-0.15274582,0.00049718,-0.00536929,1.08488528,-0.11265863,0.00450753,-0.03919156,0.25114084,-1.04769126
-5.93996998,2.85914430,-2.14906523,0.16190530,-0.69543684,0.12058392,-0.57743961,1.21087531,-0.79193739,1.33797885,-0.15000752,0.00050297,-0.00505862,1.04086687,-0.10979120,0.00408521,-0.03808096,0.24416026,-1.02607887
-5.93396698,2.74668916,-2.09177694,0.16122843,-0.67574604,0.12033257,-0.55617260,1.14917629,-0.77474894,1.28834616,-0.14699556,0.00052763,-0.00474182,0.99488453,-0.10655032,0.00372433,-0.03699625,0.23824116,-1.00178818
-5.92796398,2.63382601,-2.02953339,0.16142376,-0.65452972,0.12089100,-0.53329044,1.08697099,-0.75484839,1.23724705,-0.14375896,0.00057165,-0.00442245,0.94762537,-0.10297885,0.00342122,-0.03595111,0.23342218,-0.97517847
-5.92196098,2.52217505,-1.96315188,0.16244777,-0.63205347,0.12231759,-0.50909419,1.02506165,-0.73252305,1.18544643,-0.14034274,0.00063565,-0.00410383,0.89977416,-0.09912144,0.00317282,-0.03495553,0.22974297,-0.94660630
-5.91595798,2.41330496,-1.89342875,0.16425153,-0.60857507,0.12467052,-0.48388576,0.96422532,-0.70807606,1.13368265,-0.13678685,0.00072031,-0.00378900,0.85199303,-0.09502375,0.00297668,-0.03401570,0.22724159,-0.91641744
