energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.03681177,0.01615544,0.12913876,0.67863606,0.66610232,0.04851354,0.67075890,0.61344413,0.12023737
-5.99399700,2.06672966,0.01711504,0.13468376,0.68915896,0.68561570,0.04963249,0.66730739,0.61810526,0.11936752
-5.98799400,2.09794834,0.01811321,0.14056782,0.70245039,0.70509937,0.05059696,0.66418673,0.62435038,0.11854679
-5.98199100,2.12996559,0.01913993,0.14666998,0.71818285,0.72432429,0.05139522,0.66138291,0.63195222,0.11777995
-5.97598799,2.16218369,0.02018283,0.15286381,0.73596389,0.74304272,0.05201759,0.65885283,0.64063274,0.11706502
-5.96998499,2.19391502,0.02122737,0.15901986,0.75534038,0.76099110,0.05245655,0.65652274,0.65006806,0.11639287
-5.96398199,2.22439268,0.02225710,0.16500836,0.77580509,0.77789400,0.05270682,0.65428828,0.65989548,0.11574723
-5.95797899,2.25278602,0.02325405,0.17070186,0.79680582,0.79346898,0.05276545,0.65201621,0.66972273,0.11510519
-5.95197599,2.27822091,0.02419918,0.17597809,0.81775695,0.80743241,0.05263176,0.64954785,0.67913904,0.11443799
-5.94597299,2.29980424,0.02507296,0.18072265,0.83805326,0.81950608,0.05230732,0.64670429,0.68772782,0.11371232
-5.93996998,2.31665177,0.02585599,0.18483181,0.85708564,0.82942440,0.05179585,0.64329293,0.69508044,0.11289186
-5.93396698,2.32791836,0.02652962,0.18821511,0.87425829,0.83694213,0.05110314,0.63911529,0.70081059,0.11193904
-5.92796398,2.33282923,0.02707661,0.19079779,0.88900659,0.84184218,0.05023686,0.63397563,0.70456857,0.11081701
-5.92196098,2.33071096,0.02748177,0.19252298,0.90081515,0.84394338,0.04920647,0.62768997,0.70605485,0.10949151
-5.91595798,2.32102072,0.02773252,0.19335354,0.90923505,0.84310779,0.04802300,0.62009505,0.70503229,0.10793280
-5.90995498,2.30337244,0.02781937,0.19327346,0.91389970,0.83924737,0.04669895,0.61105676,0.70133645,0.10611737
-5.90395198,2.27755847,0.02773633,0.19228878,0.91453840,0.83232952,0.04524808,0.60047772,0.69488338,0.10402931
-5.89794897,2.24356581,0.02748112,0.19042796,0.91098704,0.82238145,0.04368527,0.58830339,0.68567465,0.10166149
