energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.63812770,0.03222084,0.04035159,0.53119338,0.00000000,0.05599536,0.79842207,0.39941989,0.95366672
-5.99399700,2.65815051,0.03272209,0.03883047,0.54608671,0.00000000,0.05597068,0.82152795,0.40575052,0.94389558
-5.98799400,2.67853747,0.03327102,0.03743960,0.56174758,0.00000000,0.05592997,0.84502916,0.41242833,0.93361543
-5.98199100,2.69893114,0.03385481,0.03619202,0.57795946,0.00000000,0.05588107,0.86864573,0.41935837,0.92286075
-5.97598799,2.71884556,0.03445727,0.03509474,0.59446227,0.00000000,0.05582869,0.89205224,0.42641618,0.91163990
-5.96998499,2.73766690,0.03505923,0.03414884,0.61095563,0.00000000,0.05577404,0.91488051,0.43344966,0.89993202
-5.96398199,2.75466197,0.03563913,0.03334972,0.62710435,0.00000000,0.05571466,0.93672490,0.44028241,0.88768618
-5.95797899,2.76899459,0.03617374,0.03268764,0.64254616,0.00000000,0.05564445,0.95715015,0.44671830,0.87482277
-5.95197599,2.77974919,0.03663900,0.03214836,0.65690134,0.00000000,0.05555385,0.97570164,0.45254730,0.86123703
-5.94597299,2.78596056,0.03701095,0.03171393,0.66978376,0.00000000,0.05543031,0.99191758,0.45755228,0.84680461
-5.93996998,2.78664857,0.03726664,0.03136358,0.68081306,0.00000000,0.05525882,1.00534270,0.46151639,0.83138863
-5.93396698,2.78085595,0.03738510,0.03107469,0.68962720,0.00000000,0.05502265,1.01554299,0.46423084,0.81484798
-5.92796398,2.76768762,0.03734814,0.03082371,0.69589496,0.00000000,0.05470414,1.02212057,0.46550275,0.79704634
-5.92196098,2.74634923,0.03714119,0.03058713,0.69932769,0.00000000,0.05428556,1.02472824,0.46516253,0.77786130
-5.91595798,2.71618337,0.03675382,0.03034242,0.69968997,0.00000000,0.05375002,1.02308288,0.46307074,0.75719316
-5.90995498,2.67670130,0.03618023,0.03006879,0.69680838,0.00000000,0.05308232,1.01697712,0.45912389,0.73497285
-5.90395198,2.62760903,0.03541949,0.02974799,0.69057833,0.00000000,0.05226973,1.00628869,0.45325906,0.71116854
-5.89794897,2.56882612,0.03447556,0.02936485,0.68096843,0.00000000,0.05130269,0.99098701,0.44545718,0.68579064
-5.89194597,2.50049664,0.03335718,0.02890786,0.66802231,0.00000000,0.05017535,0.97113669,0.43574477,0.65889483
