energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.40971088,0.00188531,0.07610610,0.19705664,0.00000000,0.13862994,0.09433712
-5.99399700,0.41205175,0.00202022,0.07525947,0.19880427,0.00000000,0.13763479,0.09377267
-5.98799400,0.42003900,0.00221037,0.07576886,0.20287053,0.00000000,0.13840419,0.09472585
-5.98199100,0.43400052,0.00245695,0.07756550,0.20956559,0.00000000,0.14106067,0.09716048
-5.97598799,0.45426739,0.00276105,0.08058953,0.21919152,0.00000000,0.14572513,0.10104948
-5.96998499,0.48116862,0.00312361,0.08479231,0.23203616,0.00000000,0.15251438,0.10637657
-5.96398199,0.51502472,0.00354533,0.09013786,0.24836691,0.00000000,0.16153834,0.11313739
-5.95797899,0.55614035,0.00402661,0.09660374,0.26842473,0.00000000,0.17289713,0.12133988
-5.95197599,0.60479612,0.00456744,0.10418121,0.29241832,0.00000000,0.18667800,0.13100391
-5.94597299,0.66124001,0.00516736,0.11287478,0.32051870,0.00000000,0.20295233,0.14216041
-5.93996998,0.72567850,0.00582540,0.12270120,0.35285432,0.00000000,0.22177270,0.15484978
-5.93396698,0.79826760,0.00654006,0.13368794,0.38950662,0.00000000,0.24317018,0.16911983
-5.92796398,0.87910415,0.00730924,0.14587123,0.43050635,0.00000000,0.26715189,0.18502321
-5.92196098,0.96821738,0.00813033,0.15929372,0.47583038,0.00000000,0.29369890,0.20261452
-5.91595798,1.06556103,0.00900017,0.17400188,0.52539931,0.00000000,0.32276457,0.22194702
-5.90995498,1.17100610,0.00991515,0.19004316,0.57907566,0.00000000,0.35427320,0.24306922
-5.90395198,1.28433439,0.01087126,0.20746310,0.63666276,0.00000000,0.38811933,0.26602133
-5.89794897,1.40523289,0.01186420,0.22630227,0.69790422,0.00000000,0.42416734,0.29083167
-5.89194597,1.53328917,0.01288943,0.24659340,0.76248416,0.00000000,0.46225161,0.31751327
-5.88594297,1.66798789,0.01394230,0.26835847,0.83002789,0.00000000,0.50217712,0.34606061
-5.87993997,1.80870848,0.01501806,0.29160602,0.90010342,0.00000000,0.54372048,0.37644663
