energy_ev,total_up,Ag_p_up,Ag_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.80102303,0.46167837,1.27661966,0.29316315,0.13814308,0.00313485,0.03271811,0.37183870,0.00000000
-5.99399700,1.68045172,0.42663894,1.19718632,0.26980012,0.12666644,0.00300296,0.03022088,0.34297940,0.00000000
-5.98799400,1.56356762,0.39227218,1.12041174,0.24688221,0.11561870,0.00287545,0.02776637,0.31493878,0.00000000
-5.98199100,1.45190320,0.35895062,1.04742422,0.22463509,0.10510308,0.00275427,0.02538110,0.28799929,0.00000000
-5.97598799,1.34682934,0.32700539,0.97923972,0.20325978,0.09520613,0.00264135,0.02308884,0.26240845,0.00000000
-5.96998499,1.24952923,0.29672060,0.91674169,0.18292893,0.08599673,0.00253856,0.02091029,0.23837459,0.00000000
-5.96398199,1.16097878,0.26832959,0.86066536,0.16378444,0.07752563,0.00244761,0.01886281,0.21606400,0.00000000
-5.95797899,1.08193380,0.24201285,0.81158658,0.14593618,0.06982558,0.00236993,0.01696040,0.19559962,0.00000000
-5.95197599,1.01292375,0.21789784,0.76991543,0.12946191,0.06291202,0.00230663,0.01521365,0.17706101,0.00000000
-5.94597299,0.95425199,0.19606020,0.73589438,0.11440816,0.05678412,0.00225846,0.01362990,0.16048564,0.00000000
-5.93996998,0.90600184,0.17652640,0.70960086,0.10079207,0.05142625,0.00222576,0.01221347,0.14587117,0.00000000
-5.93396698,0.86804795,0.15927751,0.69095394,0.08860384,0.04680965,0.00220842,0.01096596,0.13317873,0.00000000
-5.92796398,0.84007229,0.14425388,0.67972454,0.07780979,0.04289436,0.00220589,0.00988657,0.12233678,0.00000000
-5.92196098,0.82158388,0.13136041,0.67554890,0.06835569,0.03963118,0.00221720,0.00897254,0.11324560,0.00000000
-5.91595798,0.81194166,0.12047228,0.67794463,0.06017036,0.03696376,0.00224098,0.00821946,0.10578201,0.00000000
-5.90995498,0.81037941,0.11144079,0.68632890,0.05316921,0.03483055,0.00227551,0.00762177,0.09980425,0.00000000
-5.90395198,0.81603221,0.10409927,0.70003809,0.04725781,0.03316677,0.00231876,0.00717302,0.09515693,0.00000000
-5.89794897,0.82796355,0.09826877,0.71834845,0.04233512,0.03190626,0.00236848,0.00686623,0.09167576,0.00000000
-5.89194597,0.84519240,0.09376343,0.74049717,0.03829655,0.03098306,0.00242225,0.00669417,0.08919209,0.00000000
-5.88594297,0.86671968,0.09039543,0.76570330,0.03503667,0.03033297,0.00247758,0.00664954,0.08753714,0.00000000
-5.87993997,0.89155340,0.08797949,0.79318807,0.03245153,0.02989483,0.00253195,0.00672514,0.08654583,0.00000000
-5.87393697,0.91873213,0.08633680,0.82219410,0.03044062,0.02961160,0.00258295,0.00691389,0.08606018,0.00000000
-5.86793397,0.94734619,0.08529837,0.85200303,0.02890854,0.02943128,0.00262829,0.00720889,0.08593228,0.00000000
-5.86193097,0.97655623,0.08470783,0.88195131,0.02776621,0.02930758,0.00266593,0.00760331,0.08602676,0.00000000
-5.85592796,1.00560888,0.08442366,0.91144361,0.02693184,0.02920044,0.00269410,0.00809032,0.08622278,0.00000000
-5.84992496,1.03384929,0.08432084,0.93996380,0.02633161,0.02907630,0.00271136,0.00866293,0.08641557,0.00000000
-5.84392196,1.06073027,0.08429199,0.96708313,0.02590006,0.02890824,0.00271666,0.00931378,0.08651746,0.00000000
-5.83791896,1.08581805,0.08424803,0.99246563,0.02558028,0.02867592,0.00270934,0.01003500,0.08645848,0.00000000
-5.83191596,1.10879464,0.08411827,1.01587057,0.02532391,0.02836541,0.00268917,0.01081797,0.08618644,0.00000000
-5.82591296,1.12945687,0.08385021,1.03715208,0.02509098,0.02796879,0.00265635,0.01165322,0.08566669,0.00000000
-5.81990995,1.14771235,0.08340878,1.05625605,0.02484960,0.02748374,0.00261148,0.01253024,0.08488137,0.00000000
-5.81390695,1.16357237,0.08277535,1.07321451,0.02457550,0.02691291,0.00255555,0.01343746,0.08382836,0.00000000
-5.80790395,1.17714242,0.08194635,1.08813764,0.02425157,0.02626334,0.00248992,0.01436220,0.08251987,0.00000000
-5.80190095,1.18861029,0.08093162,1.10120385,0.02386718,0.02554568,0.00241626,0.01529075,0.08098071,0.00000000
-5.79589795,1.19823240,0.07975254,1.11264820,0.02341757,0.02477347,0.00233652,0.01620850,0.07924637,0.00000000
-5.78989495,1.20631878,0.07843998,1.12274951,0.02290304,0.02396236,0.00225283,0.01710016,0.07736083,0.00000000
-5.78389195,1.21321700,0.07703214,1.13181655,0.02232825,0.02312933,0.00216750,0.01795007,0.07537434,0.00000000
-5.77788894,1.21929560,0.07557232,1.14017382,0.02170142,0.02229195,0.00208291,0.01874251,0.07334104,0.00000000
-5.77188594,1.22492752,0.07410668,1.14814702,0.02103349,0.02146768,0.00200146,0.01946212,0.07131661,0.00000000
-5.76588294,1.23047382,0.07268206,1.15604901,0.02033742,0.02067323,0.00192548,0.02009435,0.06935603,0.00000000
-5.75987994,1.23626828,0.07134394,1.16416621,0.01962740,0.01992401,0.00185725,0.02062590,0.06751140,0.00000000
-5.75387694,1.24260322,0.07013455,1.17274612,0.01891818,0.01923367,0.00179882,0.02104514,0.06583000,0.00000000
-5.74787394,1.24971690,0.06909123,1.18198619,0.01822444,0.01861373,0.00175206,0.02134258,0.06435263,0.00000000
-5.74187094,1.25778306,0.06824513,1.19202443,0.01756034,0.01807338,0.00171857,0.02151117,0.06311225,0.00000000
-5.73586793,1.26690273,0.06762014,1.20293204,0.01693899,0.01761933,0.00169966,0.02154664,0.06213294,0.00000000
-5.72986493,1.27709889,0.06723230,1.21470847,0.01637227,0.01725584,0.00169630,0.02144771,0.06142933,0.00000000
-5.72386193,1.28831417,0.06708956,1.22727921,0.01587059,0.01698489,0.00170912,0.02121623,0.06100642,0.00000000
-5.71785893,1.30041183,0.06719197,1.24049646,0.01544293,0.01680640,0.00173843,0.02085716,0.06085984,0.00000000
-5.71185593,1.31318024,0.06753228,1.25414295,0.01509687,0.01671863,0.00178418,0.02037858,0.06097651,0.00000000
-5.70585293,1.32634100,0.06809699,1.26793902,0.01483893,0.01671871,0.00184604,0.01979147,0.06133576,0.00000000
-5.69984992,1.33956055,0.06886771,1.28155294,0.01467492,0.01680316,0.00192338,0.01910949,0.06191081,0.00000000
-5.69384692,1.35246526,0.06982296,1.29461436,0.01461043,0.01696859,0.00201539,0.01834869,0.06267060,0.00000000
-5.68784392,1.36465947,0.07094017,1.30673055,0.01465145,0.01721241,0.00212105,0.01752715,0.06358183,0.00000000
-5.68184092,1.37574623,0.07219793,1.31750512,0.01480510,0.01753355,0.00223931,0.01666455,0.06461124,0.00000000
-5.67583792,1.38534992,0.07357840,1.32655853,0.01508032,0.01793323,0.00236908,0.01578185,0.06572805,0.00000000
-5.66983492,1.39313995,0.07506969,1.33354967,0.01548867,0.01841567,0.00250938,0.01490082,0.06690631,0.00000000
-5.66383192,1.39885462,0.07666823,1.33819770,0.01604515,0.01898874,0.00265941,0.01404369,0.06812722,0.00000000
-5.65782891,1.40232407,0.07838096,1.34030304,0.01676885,0.01966454,0.00281861,0.01323284,0.06938133,0.00000000
-5.65182591,1.40349119,0.08022723,1.33976664,0.01768368,0.02045986,0.00298681,0.01249044,0.07067038,0.00000000
-5.64582291,1.40242930,0.08224029,1.33660632,0.01881886,0.02139645,0.00316425,0.01183823,0.07200883,0.00000000
