energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up
-6.00000000,3.41636250,0.58333334,2.03620627,0.01843842,0.01328544,0.02167979,0.00000000,0.87123182,0.00000000
-5.99399700,3.38588847,0.58534012,1.99825960,0.01911964,0.01291523,0.02184597,0.00000000,0.87709270,0.00000000
-5.98799400,3.35469165,0.58817120,1.95893395,0.01982459,0.01255077,0.02204465,0.00000000,0.88379472,0.00000000
-5.98199100,3.32245902,0.59161539,1.91825039,0.02054447,0.01219554,0.02226590,0.00000000,0.89110485,0.00000000
-5.97598799,3.28882472,0.59544157,1.87621755,0.02126967,0.01185293,0.02249869,0.00000000,0.89875939,0.00000000
-5.96998499,3.25339488,0.59940799,1.83283997,0.02198982,0.01152618,0.02273136,0.00000000,0.90647523,0.00000000
-5.96398199,3.21577426,0.60327200,1.78812700,0.02269397,0.01121844,0.02295206,0.00000000,0.91396191,0.00000000
-5.95797899,3.17559332,0.60679988,1.74210179,0.02337072,0.01093269,0.02314931,0.00000000,0.92093392,0.00000000
-5.95197599,3.13253436,0.60977637,1.69480981,0.02400852,0.01067174,0.02331237,0.00000000,0.92712263,0.00000000
-5.94597299,3.08635533,0.61201337,1.64632659,0.02459592,0.01043824,0.02343173,0.00000000,0.93228724,0.00000000
-5.93996998,3.03691013,0.61335763,1.59676402,0.02512190,0.01023461,0.02349947,0.00000000,0.93622430,0.00000000
-5.93396698,2.98416406,0.61369695,1.54627502,0.02557626,0.01006307,0.02350949,0.00000000,0.93877512,0.00000000
-5.92796398,2.92820381,0.61296478,1.49505602,0.02594997,0.00992551,0.02345776,0.00000000,0.93983103,0.00000000
-5.92196098,2.86924135,0.61114307,1.44334716,0.02623560,0.00982356,0.02334238,0.00000000,0.93933606,0.00000000
-5.91595798,2.80761147,0.60826321,1.39143013,0.02642770,0.00975842,0.02316358,0.00000000,0.93728718,0.00000000
-5.90995498,2.74376326,0.60440530,1.33962353,0.02652316,0.00973091,0.02292366,0.00000000,0.93373200,0.00000000
-5.90395198,2.67824605,0.59969567,1.28827616,0.02652158,0.00974136,0.02262673,0.00000000,0.92876445,0.00000000
-5.89794897,2.61169067,0.59430305,1.23775838,0.02642548,0.00978958,0.02227854,0.00000000,0.92251847,0.00000000
-5.89194597,2.54478716,0.58843353,1.18845216,0.02624056,0.00987478,0.02188612,0.00000000,0.91516057,0.00000000
-5.88594297,2.47826037,0.58232470,1.14074015,0.02597581,0.00999559,0.02145746,0.00000000,0.90688133,0.00000000
