energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,6.28205894,1.96072825,5.18220846,0.00353551,0.13868006,1.10336789,0.00216732
-5.99399700,6.22569571,1.95504687,5.15415917,0.00348345,0.13550025,1.07439992,0.00216257
-5.98799400,6.15252488,1.94339998,5.11202339,0.00342682,0.13196302,1.04249056,0.00215295
-5.98199100,6.06364976,1.92601389,5.05650243,0.00336598,0.12813660,1.00805903,0.00213867
-5.97598799,5.96027847,1.90317587,4.98838173,0.00330140,0.12409176,0.97154829,0.00211994
-5.96998499,5.84368503,1.87522257,4.90850164,0.00323369,0.11989962,0.93341470,0.00209699
-5.96398199,5.71517403,1.84252841,4.81773144,0.00316358,0.11562946,0.89411780,0.00207006
-5.95797899,5.57605039,1.80549463,4.71694794,0.00309186,0.11134680,0.85411073,0.00203935
-5.95197599,5.42759546,1.76453946,4.60701962,0.00301937,0.10711167,0.81383149,0.00200509
-5.94597299,5.27105025,1.72008992,4.48879661,0.00294699,0.10297717,0.77369541,0.00196748
-5.93996998,5.10760601,1.67257560,4.36310679,0.00287560,0.09898847,0.73408906,0.00192672
-5.93396698,4.93840196,1.62242451,4.23075759,0.00280604,0.09518209,0.69536578,0.00188302
-5.92796398,4.76452964,1.57006101,4.09254264,0.00273917,0.09158568,0.65784284,0.00183659
-5.92196098,4.58704263,1.51590573,3.94925240,0.00267575,0.08821814,0.62180044,0.00178765
-5.91595798,4.40697052,1.46037708,3.80168731,0.00261657,0.08509015,0.58748226,0.00173646
-5.90995498,4.22533532,1.40389413,3.65067213,0.00256233,0.08220503,0.55509750,0.00168330
-5.90395198,4.04316878,1.34688011,3.49706983,0.00251376,0.07955988,0.52482424,0.00162849
-5.89794897,3.86152878,1.28976625,3.34179372,0.00247154,0.07714693,0.49681367,0.00157241
-5.89194597,3.68151310,1.23299530,3.18581645,0.00243640,0.07495507,0.47119496,0.00151549
-5.88594297,3.50426935,1.17702409,3.03017473,0.00240908,0.07297136,0.44808032,0.00145819
-5.87993997,3.33099950,1.12232499,2.87596908,0.00239037,0.07118256,0.42756991,0.00140104
-5.87393697,3.16295849,1.06938545,2.72435799,0.00238110,0.06957654,0.40975611,0.00134462
-5.86793397,3.00144620,1.01870576,2.57654652,0.00238217,0.06814345,0.39472694,0.00128954
-5.86193097,2.84779281,0.97079462,2.43376940,0.00239451,0.06687671,0.38256819,0.00123645
-5.85592796,2.70333773,0.92616255,2.29726925,0.00241909,0.06577358,0.37336421,0.00118599
-5.84992496,2.56940296,0.88531332,2.16827077,0.00245690,0.06483551,0.36719702,0.00113882
-5.84392196,2.44726176,0.84873365,2.04795197,0.00250886,0.06406803,0.36414393,0.00109558
-5.83791896,2.33810401,0.81688142,1.93741364,0.00257585,0.06348036,0.36427362,0.00105685
-5.83191596,2.24299984,0.79017302,1.83764855,0.00265859,0.06308465,0.36764091,0.00102318
-5.82591296,2.16286314,0.76897021,1.74951171,0.00275764,0.06289499,0.37428051,0.00099501
-5.81990995,2.09841691,0.75356722,1.67369314,0.00287328,0.06292618,0.38420014,0.00097270
-5.81390695,2.05016191,0.74417864,1.61069439,0.00300550,0.06319233,0.39737345,0.00095650
-5.80790395,2.01835060,0.74092866,1.56081007,0.00315395,0.06370550,0.41373320,0.00094651
-5.80190095,2.00296761,0.74384237,1.52411522,0.00331784,0.06447425,0.43316529,0.00094273
-5.79589795,2.00371808,0.75283946,1.50045933,0.00349600,0.06550236,0.45550398,0.00094500
-5.78989495,2.02002474,0.76773087,1.48946735,0.00368678,0.06678781,0.48052888,0.00095300
-5.78389195,2.05103431,0.78821864,1.49054795,0.00388813,0.06832188,0.50796394,0.00096631
-5.77788894,2.09563335,0.81389921,1.50290868,0.00409757,0.07008869,0.53747888,0.00098436
-5.77188594,2.15247322,0.84427006,1.52557780,0.00431229,0.07206503,0.56869291,0.00100648
-5.76588294,2.22000355,0.87873983,1.55743176,0.00452915,0.07422062,0.60118112,0.00103192
-5.75987994,2.29651302,0.91664140,1.59722765,0.00474483,0.07651864,0.63448303,0.00105985
-5.75387694,2.38017612,0.95724777,1.64363914,0.00495588,0.07891675,0.66811331,0.00108939
-5.74787394,2.46910396,0.99979009,1.69529466,0.00515885,0.08136827,0.70157415,0.00111968
-5.74187094,2.56139741,1.04347729,1.75081650,0.00535039,0.08382374,0.73436882,0.00114986
-5.73586793,2.65520025,1.08751661,1.80885904,0.00552736,0.08623256,0.76601578,0.00117911
-5.72986493,2.74875048,1.13113427,1.86814502,0.00568693,0.08854484,0.79606292,0.00120669
-5.72386193,2.84042755,1.17359562,1.92749820,0.00582668,0.09071314,0.82410098,0.00123197
-5.71785893,2.92879387,1.21422395,1.98587141,0.00594466,0.09269429,0.84977596,0.00125443
-5.71185593,3.01262898,1.25241737,2.04236906,0.00603945,0.09445097,0.87279958,0.00127369
-5.70585293,3.09095520,1.28766317,2.09626320,0.00611022,0.09595313,0.89295770,0.00128949
-5.69984992,3.16305389,1.31954914,2.14700299,0.00615667,0.09717912,0.91011609,0.00130176
-5.69384692,3.22847210,1.34777159,2.19421732,0.00617909,0.09811653,0.92422357,0.00131054
-5.68784392,3.28701953,1.37213977,2.23771073,0.00617826,0.09876267,0.93531227,0.00131603
-5.68184092,3.33875641,1.39257669,2.27745324,0.00615543,0.09912470,0.94349524,0.00131854
-5.67583792,3.38397298,1.40911635,2.31356458,0.00611222,0.09921940,0.94896151,0.00131850
-5.66983492,3.42316188,1.42189760,2.34629389,0.00605057,0.09907258,0.95196887,0.00131643
-5.66383192,3.45698474,1.43115492,2.37599575,0.00597260,0.09871826,0.95283484,0.00131288
-5.65782891,3.48623450,1.43720645,2.40310376,0.00588056,0.09819747,0.95192613,0.00130845
-5.65182591,3.51179508,1.44043980,2.42810270,0.00577670,0.09755688,0.94964716,0.00130376
-5.64582291,3.53459993,1.44129613,2.45150039,0.00566324,0.09684727,0.94642797,0.00129938
-5.63981991,3.55559100,1.44025294,2.47380034,0.00554222,0.09612185,0.94271194,0.00129586
-5.63381691,3.57567943,1.43780629,2.49547598,0.00541553,0.09543454,0.93894380,0.00129365
-5.62781391,3.59570927,1.43445276,2.51694747,0.00528482,0.09483826,0.93555799,0.00129314
-5.62181091,3.61642504,1.43067194,2.53856155,0.00515146,0.09438318,0.93296793,0.00129459
-5.61580790,3.63844405,1.42690973,2.56057505,0.00501656,0.09411519,0.93155598,0.00129817
-5.60980490,3.66223406,1.42356308,2.58314239,0.00488097,0.09407443,0.93166460,0.00130390
-5.60380190,3.68809658,1.42096649,2.60630739,0.00474527,0.09429396,0.93358838,0.00131171
-5.59779890,3.71615610,1.41938073,2.62999932,0.00460984,0.09479871,0.93756736,0.00132139
-5.59179590,3.74635533,1.41898407,2.65403332,0.00447483,0.09560462,0.94378130,0.00133262
-5.58579290,3.77845624,1.41986633,2.67811501,0.00434026,0.09671803,0.95234518,0.00134499
-5.57978989,3.81204687,1.42202585,2.70184902,0.00420604,0.09813531,0.96330581,0.00135801
-5.57378689,3.84655344,1.42536960,2.72475111,0.00407199,0.09984280,0.97663963,0.00137111
-5.56778389,3.88125738,1.42971639,2.74626350,0.00393792,0.10181696,0.99225178,0.00138370
