energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.74279534,0.37417997,0.16595465,0.11917406,0.18375343,0.13441971,0.00053035
-5.99399700,0.76850896,0.40332680,0.16880844,0.11961734,0.19329678,0.14417327,0.00053005
-5.98799400,0.79924685,0.43753101,0.17239937,0.12011059,0.20436090,0.15560385,0.00053150
-5.98199100,0.83558137,0.47709467,0.17684570,0.12075034,0.21712997,0.16878353,0.00053513
-5.97598799,0.87811239,0.52229835,0.18227721,0.12164537,0.23179039,0.18377453,0.00054144
-5.96998499,0.92744435,0.57338713,0.18883050,0.12291335,0.24852372,0.20062498,0.00055100
-5.96398199,0.98416121,0.63055640,0.19664359,0.12467713,0.26749914,0.21936465,0.00056442
-5.95797899,1.04880068,0.69393800,0.20585021,0.12706064,0.28886575,0.24000120,0.00058237
-5.95197599,1.12182864,0.76358779,0.21657401,0.13018470,0.31274494,0.26251694,0.00060552
-5.94597299,1.20361533,0.83947498,0.22892288,0.13416282,0.33922334,0.28686651,0.00063457
-5.93996998,1.29441399,0.92147411,0.24298369,0.13909717,0.36834649,0.31297562,0.00067017
-5.93396698,1.39434306,1.00936004,0.25881764,0.14507490,0.40011361,0.34074086,0.00071297
-5.92796398,1.50337255,1.10280610,0.27645634,0.15216484,0.43447371,0.37003079,0.00076353
-5.92196098,1.62131498,1.20138572,0.29589887,0.16041474,0.47132307,0.40068808,0.00082238
-5.91595798,1.74782103,1.30457718,0.31710964,0.16984913,0.51050431,0.43253278,0.00088993
-5.90995498,1.88237971,1.41177128,0.34001741,0.18046773,0.55180696,0.46536628,0.00096650
-5.90395198,2.02432286,1.52228135,0.36451517,0.19224462,0.59496953,0.49897594,0.00105228
-5.89794897,2.17283324,1.63535504,0.39046094,0.20512790,0.63968286,0.53313992,0.00114733
-5.89194597,2.32695555,1.75018704,0.41767937,0.21904004,0.68559469,0.56763196,0.00125156
