energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.01468679,-2.01468177,0.01062191,-0.01062178,0.05127590,-0.05127561,1.09220597,-1.09220554,0.21283154,-0.21283121,0.77208019,-0.77207823,0.31308411,-0.31308307,0.02368938,-0.02368934,1.06204014,-1.06203771
-5.99399700,1.97685957,-1.97685446,0.00982521,-0.00982510,0.04904913,-0.04904886,1.07722116,-1.07722057,0.21044753,-0.21044719,0.75700074,-0.75699867,0.30521088,-0.30520989,0.02344206,-0.02344203,1.04419591,-1.04419340
-5.98799400,1.93894479,-1.93893967,0.00910787,-0.00910777,0.04691918,-0.04691893,1.06151458,-1.06151388,0.20792930,-0.20792895,0.74144169,-0.74143955,0.29788707,-0.29788614,0.02322979,-0.02322976,1.02610928,-1.02610674
-5.98199100,1.90160578,-1.90160074,0.00847178,-0.00847169,0.04488361,-0.04488337,1.04548602,-1.04548527,0.20531231,-0.20531196,0.72576469,-0.72576254,0.29127069,-0.29126985,0.02304416,-0.02304413,1.00814813,-1.00814561
-5.97598799,1.86552979,-1.86552493,0.00791927,-0.00791919,0.04294037,-0.04294013,1.02953731,-1.02953655,0.20263964,-0.20263930,0.71033187,-0.71032976,0.28552192,-0.28552119,0.02287740,-0.02287737,0.99069210,-0.99068965
-5.96998499,1.83141594,-1.83141134,0.00745303,-0.00745296,0.04108788,-0.04108766,1.01406354,-1.01406283,0.19996121,-0.19996087,0.69549730,-0.69549528,0.28080061,-0.28080001,0.02272285,-0.02272282,0.97412578,-0.97412345
-5.96398199,1.79996250,-1.79995827,0.00707601,-0.00707596,0.03932515,-0.03932494,0.99944500,-0.99944437,0.19733269,-0.19733237,0.68159889,-0.68159699,0.27726360,-0.27726315,0.02257534,-0.02257531,0.95883160,-0.95882945
-5.95797899,1.77185372,-1.77184993,0.00679126,-0.00679122,0.03765181,-0.03765161,0.98603967,-0.98603918,0.19481434,-0.19481405,0.66895089,-0.66894917,0.27506168,-0.27506139,0.02243154,-0.02243151,0.94518249,-0.94518057
-5.95197599,1.74774585,-1.74774260,0.00660177,-0.00660174,0.03606818,-0.03606799,0.97417638,-0.97417606,0.19246954,-0.19246929,0.65783719,-0.65783568,0.27433635,-0.27433625,0.02229015,-0.02229012,0.93353423,-0.93353259
-5.94597299,1.72825259,-1.72824996,0.00651034,-0.00651032,0.03457533,-0.03457514,0.96414837,-0.96414827,0.19036311,-0.19036290,0.64850515,-0.64850388,0.27521626,-0.27521636,0.02215197,-0.02215194,0.92421756,-0.92421623
-5.93996998,1.71392971,-1.71392776,0.00651938,-0.00651937,0.03317506,-0.03317488,0.95620728,-0.95620742,0.18855942,-0.18855927,0.64116035,-0.64115934,0.27781338,-0.27781370,0.02201984,-0.02201980,0.91752986,-0.91752889
-5.93396698,1.70525901,-1.70525779,0.00663078,-0.00663079,0.03186990,-0.03186973,0.95055728,-0.95055769,0.18712032,-0.18712023,0.63596190,-0.63596118,0.28221901,-0.28221955,0.02189849,-0.02189845,0.91372668,-0.91372609
-5.92796398,1.70263173,-1.70263130,0.00684574,-0.00684576,0.03066300,-0.03066284,0.94734960,-0.94735030,0.18610284,-0.18610281,0.63301854,-0.63301812,0.28849957,-0.28850034,0.02179423,-0.02179420,0.91301298,-0.91301281
-5.92196098,1.70633192,-1.70633231,0.00716461,-0.00716464,0.02955802,-0.02955787,0.94667715,-0.94667815,0.18555681,-0.18555686,0.63238545,-0.63238532,0.29669241,-0.29669342,0.02171459,-0.02171457,0.91553451,-0.91553476
-5.91595798,1.71652008,-1.71652130,0.00758676,-0.00758680,0.02855892,-0.02855878,0.94856962,-0.94857093,0.18552247,-0.18552260,0.63406179,-0.63406196,0.30680175,-0.30680298,0.02166784,-0.02166781,0.92136936,-0.92137004
-5.90995498,1.73321783,-1.73321988,0.00811043,-0.00811048,0.02766973,-0.02766961,0.95298915,-0.95299077,0.18602807,-0.18602828,0.63798911,-0.63798956,0.31879481,-0.31879627,0.02166244,-0.02166242,0.93052030,-0.93052141
-5.90395198,1.75629454,-1.75629738,0.00873263,-0.00873269,0.02689427,-0.02689415,0.95982688,-0.95982879,0.18708769,-0.18708798,0.64405073,-0.64405145,0.33259861,-0.33260028,0.02170653,-0.02170651,0.94290809,-0.94290960
-5.89794897,1.78545658,-1.78546017,0.00944904,-0.00944912,0.02623575,-0.02623565,0.96890076,-0.96890294,0.18869932,-0.18869968,0.65207218,-0.65207313,0.34809735,-0.34809923,0.02180734,-0.02180733,0.95836642,-0.95836832
-5.89194597,1.82024048,-1.82024475,0.01025393,-0.01025401,0.02569650,-0.02569641,0.97995497,-0.97995740,0.19084335,-0.19084378,0.66182287,-0.66182402,0.36513090,-0.36513295,0.02197069,-0.02197069,0.97663893,-0.97664116
-5.88594297,1.86001053,-1.86001539,0.01114008,-0.01114017,0.02527754,-0.02527747,0.99266142,-0.99266405,0.19348160,-0.19348211,0.67301919,-0.67302051,0.38349438,-0.38349657,0.02220047,-0.02220048,0.99737864,-0.99738117
-5.87993997,1.90396199,-1.90396733,0.01209880,-0.01209890,0.02497827,-0.02497822,1.00662355,-1.00662632,0.19655701,-0.19655757,0.68532910,-0.68533053,0.40293921,-0.40294151,0.02249829,-0.02249831,1.02015046,-1.02015322
-5.87393697,1.95113026,-1.95113594,0.01311992,-0.01312002,0.02479615,-0.02479610,1.02138278,-1.02138564,0.19999393,-0.19999453,0.69837825,-0.69837975,0.42317570,-0.42317808,0.02286312,-0.02286315,1.04443675,-1.04443967
-5.86793397,2.00040647,-2.00041235,0.01419183,-0.01419194,0.02472642,-0.02472640,1.03642772,-1.03643060,0.20369931,-0.20369995,0.71175780,-0.71175931,0.44387726,-0.44387967,0.02329115,-0.02329118,1.06964641,-1.06964940
-5.86193097,2.05055955,-2.05056546,0.01530163,-0.01530175,0.02476200,-0.02476199,1.05120608,-1.05120892,0.20756457,-0.20756523,0.72503368,-0.72503514,0.46468627,-0.46468867,0.02377569,-0.02377573,1.09512716,-1.09513014
-5.85592796,2.10026442,-2.10027018,0.01643522,-0.01643534,0.02489333,-0.02489333,1.06513915,-1.06514186,0.21146822,-0.21146888,0.73775724,-0.73775859,0.48522154,-0.48522387,0.02430725,-0.02430731,1.12018113,-1.12018401
-5.84992496,2.14813560,-2.14814104,0.01757754,-0.01757766,0.02510845,-0.02510846,1.07763834,-1.07764085,0.21527918,-0.21527981,0.74947707,-0.74947825,0.50508712,-0.50508933,0.02487375,-0.02487380,1.14408311,-1.14408580
-5.84392196,2.19276533,-2.19277027,0.01871278,-0.01871290,0.02539312,-0.02539314,1.08812350,-1.08812573,0.21886061,-0.21886121,0.75975150,-0.75975246,0.52388236,-0.52388440,0.02546076,-0.02546082,1.16610104,-1.16610343
-5.83791896,2.23276470,-2.23276896,0.01982470,-0.01982482,0.02573108,-0.02573111,1.09604201,-1.09604389,0.22207422,-0.22207476,0.76816158,-0.76816225,0.54121269,-0.54121452,0.02605200,-0.02605206,1.18551791,-1.18551992
-5.83191596,2.26680632,-2.26680974,0.02089694,-0.02089705,0.02610439,-0.02610443,1.10088809,-1.10088955,0.22478476,-0.22478522,0.77432381,-0.77432416,0.55670090,-0.55670247,0.02662978,-0.02662984,1.20165429,-1.20165584
-5.82591296,2.29366666,-2.29366910,0.02191338,-0.02191348,0.02649390,-0.02649394,1.10222128,-1.10222227,0.22686458,-0.22686495,0.77790235,-0.77790234,0.56999837,-0.56999963,0.02717561,-0.02717567,1.21389050,-1.21389151
-5.81990995,2.31226631,-2.31226763,0.02285851,-0.02285861,0.02687974,-0.02687978,1.09968336,-1.09968383,0.22819805,-0.22819831,0.77861996,-0.77861955,0.58079573,-0.58079665,0.02767080,-0.02767086,1.22168739,-1.22168779
-5.81390695,2.32170624,-2.32170634,0.02371784,-0.02371793,0.02724193,-0.02724197,1.09301268,-1.09301259,0.22868560,-0.22868575,0.77626738,-0.77626655,0.58883266,-0.58883321,0.02809710,-0.02809715,1.22460490,-1.22460466
-5.80790395,2.32129844,-2.32129725,0.02447824,-0.02447831,0.02756098,-0.02756101,1.08205526,-1.08205459,0.22824726,-0.22824728,0.77071048,-0.77070922,0.59390618,-0.59390635,0.02843729,-0.02843733,1.22231744,-1.22231650
-5.80190095,2.31058945,-2.31058693,0.02512831,-0.02512837,0.02781846,-0.02781849,1.06677201,-1.06677076,0.22682546,-0.22682534,0.76189504,-0.76189335,0.59587722,-0.59587698,0.02867580,-0.02867584,1.21462528,-1.21462365
