energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.86146238,0.01702741,0.82098595,0.47295834,0.57060392,0.79029963,1.12919923,0.01622278,1.39332696
-5.99399700,3.91544505,0.01639168,0.83649485,0.47903459,0.57653161,0.79554672,1.14993574,0.01719024,1.40779666
-5.98799400,3.96238786,0.01581736,0.84816242,0.48449930,0.58235517,0.79914883,1.16782438,0.01818392,1.42183629
-5.98199100,4.00216399,0.01530450,0.85582891,0.48940901,0.58809891,0.80113107,1.18278137,0.01919075,1.43559511
-5.97598799,4.03482952,0.01485140,0.85942453,0.49384387,0.59379426,0.80157131,1.19478849,0.02019615,1.44924988
-5.96998499,4.06062356,0.01445480,0.85897148,0.49790596,0.59947939,0.80059980,1.20389283,0.02118425,1.46300117
-5.96398199,4.07995895,0.01411020,0.85458238,0.50171631,0.60519794,0.79839606,1.21020357,0.02213832,1.47706732
-5.95797899,4.09340382,0.01381215,0.84645524,0.50541086,0.61099695,0.79518309,1.21388600,0.02304114,1.49167627
-5.95197599,4.10165517,0.01355460,0.83486526,0.50913539,0.61692407,0.79121933,1.21515312,0.02387550,1.50705560
-5.94597299,4.10550565,0.01333119,0.82015374,0.51303969,0.62302423,0.78678871,1.21425520,0.02462465,1.52342117
-5.93996998,4.10580545,0.01313559,0.80271487,0.51727127,0.62933596,0.78218922,1.21146777,0.02527285,1.54096513
-5.93396698,4.10342126,0.01296177,0.78298098,0.52196881,0.63588757,0.77772081,1.20707889,0.02580576,1.55984357
-5.92796398,4.09919447,0.01280429,0.76140686,0.52725581,0.64269345,0.77367296,1.20137604,0.02621098,1.58016491
-5.92196098,4.09390073,0.01265848,0.73845409,0.53323459,0.64975067,0.77031286,1.19463354,0.02647842,1.60197923
-5.91595798,4.08821303,0.01252061,0.71457596,0.53998113,0.65703620,0.76787450,1.18710091,0.02660064,1.62526947
-5.90995498,4.08267002,0.01238801,0.69020365,0.54754077,0.66450482,0.76654949,1.17899283,0.02657308,1.64994487
-5.90395198,4.07765130,0.01225908,0.66573430,0.55592524,0.67208794,0.76647979,1.17048114,0.02639429,1.67583710
-5.89794897,4.07336070,0.01213329,0.64152128,0.56511103,0.67969350,0.76775287,1.16168919,0.02606593,1.70269946
-5.89194597,4.06981842,0.01201108,0.61786715,0.57503920,0.68720686,0.77039943,1.15268877,0.02559278,1.73020922
-5.88594297,4.06686240,0.01189376,0.59501923,0.58561675,0.69449290,0.77439374,1.14349978,0.02498255,1.75797331
-5.87993997,4.06415862,0.01178325,0.57316803,0.59671939,0.70139910,0.77965654,1.13409248,0.02424571,1.78553714
-5.87393697,4.06121996,0.01168194,0.55244820,0.60819576,0.70775968,0.78606033,1.12439228,0.02339512,1.81239633
-5.86793397,4.05743261,0.01159239,0.53294187,0.61987272,0.71340053,0.79343671,1.11428670,0.02244568,1.83801106
-5.86193097,4.05208878,0.01151711,0.51468403,0.63156167,0.71814492,0.80158547,1.10363416,0.02141387,1.86182249
-5.85592796,4.04442403,0.01145825,0.49766942,0.64306560,0.72181962,0.81028487,1.09227427,0.02031734,1.88327074
-5.84992496,4.03365776,0.01141744,0.48186054,0.65418643,0.72426130,0.81930258,1.08003880,0.01917436,1.90181371
-5.84392196,4.01903469,0.01139555,0.46719623,0.66473252,0.72532298,0.82840697,1.06676323,0.01800341,1.91694606
-5.83791896,3.99986564,0.01139253,0.45360040,0.67452594,0.72488021,0.83737790,1.05229795,0.01682273,1.92821765
-5.83191596,3.97556578,0.01140733,0.44099035,0.68340915,0.72283680,0.84601684,1.03651888,0.01564989,1.93525064
-5.82591296,3.94568850,0.01143782,0.42928435,0.69125088,0.71912978,0.85415564,1.01933680,0.01450143,1.93775462
-5.81990995,3.90995360,0.01148087,0.41840817,0.69795091,0.71373345,0.86166368,1.00070514,0.01339262,1.93553908
-5.81390695,3.86826825,0.01153237,0.40830014,0.70344355,0.70666233,0.86845305,0.98062582,0.01233714,1.92852262
-5.80790395,3.82074018,0.01158740,0.39891491,0.70769967,0.69797278,0.87448162,0.95915286,0.01134698,1.91673861
-5.80190095,3.76768205,0.01164042,0.39022540,0.71072716,0.68776331,0.87975375,0.93639362,0.01043228,1.90033675
-5.79589795,3.70960708,0.01168548,0.38222335,0.71256982,0.67617340,0.88431869,0.91250767,0.00960126,1.87958061
-5.78989495,3.64721592,0.01171650,0.37491833,0.71330463,0.66338093,0.88826682,0.88770325,0.00886023,1.85484094
-5.78389195,3.58137522,0.01172752,0.36833535,0.71303769,0.64959821,0.89172368,0.86223155,0.00821361,1.82658509
-5.77788894,3.51308888,0.01171297,0.36251143,0.71189867,0.63506674,0.89484226,0.83637903,0.00766396,1.79536269
-5.77188594,3.44346298,0.01166792,0.35749126,0.71003437,0.62005082,0.89779375,0.81045810,0.00721207,1.76178829
-5.76588294,3.37366582,0.01158830,0.35332225,0.70760137,0.60483030,0.90075720,0.78479656,0.00685706,1.72652142
-5.75987994,3.30488488,0.01147106,0.35004922,0.70475822,0.58969255,0.90390853,0.75972635,0.00659645,1.69024488
-5.75387694,3.23828223,0.01131434,0.34770913,0.70165753,0.57492407,0.90740935,0.73557189,0.00642631,1.65364218
-5.74787394,3.17495042,0.01111749,0.34632603,0.69843827,0.56080195,0.91139619,0.71263871,0.00634137,1.61737494
-5.74187094,3.11587070,0.01088111,0.34590646,0.69521869,0.54758549,0.91597049,0.69120269,0.00633510,1.58206114
-5.73586793,3.06187526,0.01060702,0.34643566,0.69209018,0.53550831,0.92119004,0.67150053,0.00639990,1.54825525
-5.72986493,3.01361524,0.01029812,0.34787466,0.68911242,0.52477115,0.92706214,0.65372164,0.00652719,1.51643088
-5.72386193,2.97153577,0.00995827,0.35015845,0.68631007,0.51553574,0.93353897,0.63800197,0.00670758,1.48696689
-5.71785893,2.93585937,0.00959214,0.35319533,0.68367120,0.50791995,0.94051538,0.62441990,0.00693102,1.46013726
-5.71185593,2.90657816,0.00920492,0.35686748,0.68114757,0.50199425,0.94782948,0.61299442,0.00718700,1.43610533
-5.70585293,2.88345559,0.00880217,0.36103281,0.67865686,0.49777988,0.95526579,0.60368556,0.00746470,1.41492262
-5.69984992,2.86603745,0.00838956,0.36552796,0.67608666,0.49524862,0.96256125,0.59639721,0.00775322,1.39653204
-5.69384692,2.85367179,0.00797267,0.37017243,0.67330025,0.49432423,0.96941374,0.59098188,0.00804178,1.38077554
-5.68784392,2.84553697,0.00755676,0.37477362,0.67014375,0.49488559,0.97549276,0.58724751,0.00831996,1.36740567
-5.68184092,2.84067661,0.00714666,0.37913274,0.66645448,0.49677128,0.98045210,0.58496575,0.00857790,1.35610046
-5.67583792,2.83804009,0.00674655,0.38305118,0.66207007,0.49978565,0.98394371,0.58388148,0.00880654,1.34648111
-5.66983492,2.83652667,0.00635994,0.38633731,0.65683787,0.50370603,0.98563246,0.58372309,0.00899782,1.33813144
-5.66383192,2.83503166,0.00598958,0.38881321,0.65062434,0.50829081,0.98521094,0.58421316,0.00914487,1.33061839
-5.65782891,2.83249255,0.00563744,0.39032131,0.64332391,0.51328818,0.98241387,0.58507900,0.00924214,1.32351263
-5.65182591,2.82793316,0.00530473,0.39073048,0.63486681,0.51844520,0.97703129,0.58606266,0.00928556,1.31640842
-5.64582291,2.82050421,0.00499198,0.38994140,0.62522567,0.52351681,0.96892009,0.58693010,0.00927263,1.30894184
-5.63981991,2.80951849,0.00469909,0.38789101,0.61442043,0.52827450,0.95801326,0.58747911,0.00920240,1.30080673
-5.63381691,2.79447934,0.00442544,0.38455572,0.60252141,0.53251431,0.94432656,0.58754565,0.00907553,1.29176778
-5.62781391,2.77510138,0.00417002,0.37995340,0.58965031,0.53606385,0.92796206,0.58700856,0.00889420,1.28167018
-5.62181091,2.75132267,0.00393151,0.37414385,0.57597913,0.53878810,0.90910864,0.58579243,0.00866201,1.27044564
-5.61580790,2.72330798,0.00370843,0.36722794,0.56172699,0.54059374,0.88803916,0.58386852,0.00838387,1.25811460
-5.60980490,2.69144300,0.00349927,0.35934511,0.54715499,0.54143194,0.86510449,0.58125389,0.00806576,1.24478456
-5.60380190,2.65631989,0.00330251,0.35066961,0.53255924,0.54129928,0.84072453,0.57800871,0.00771463,1.23064481
-5.59779890,2.61871471,0.00311679,0.34140536,0.51826239,0.54023708,0.81537654,0.57423199,0.00733807,1.21595772
-5.59179590,2.57955764,0.00294092,0.33177973,0.50460382,0.53832884,0.78958115,0.57005585,0.00694417,1.20104698
-5.58579290,2.53989708,0.00277393,0.32203634,0.49192895,0.53569612,0.76388670,0.56563870,0.00654123,1.18628340
-5.57978989,2.50085903,0.00261510,0.31242727,0.48057803,0.53249289,0.73885211,0.56115741,0.00613757,1.17206863
-5.57378689,2.46360322,0.00246396,0.30320475,0.47087468,0.52889856,0.71502928,0.55679901,0.00574132,1.15881759
-5.56778389,2.42927749,0.00232029,0.29461284,0.46311470,0.52511001,0.69294532,0.55275199,0.00536021,1.14694015
-5.56178089,2.39897216,0.00218405,0.28687917,0.45755545,0.52133290,0.67308535,0.54919770,0.00500142,1.13682276
-5.55577789,2.37367600,0.00205538,0.28020726,0.45440611,0.51777258,0.65587645,0.54630204,0.00467147,1.12881068
-5.54977489,2.35423533,0.00193457,0.27476945,0.45381927,0.51462499,0.64167328,0.54420772,0.00437605,1.12319152
-5.54377189,2.34131781,0.00182193,0.27070094,0.45588411,0.51206786,0.63074588,0.54302753,0.00412002,1.12018063
-5.53776888,2.33538219,0.00171782,0.26809494,0.46062125,0.51025269,0.62327011,0.54283862,0.00390730,1.11990888
-5.53176588,2.33665524,0.00162257,0.26699927,0.46797976,0.50929766,0.61932095,0.54367813,0.00374087,1.12241346
-5.52576288,2.34511668,0.00153642,0.26741439,0.47783621,0.50928197,0.61886909,0.54554034,0.00362274,1.12763194
