energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.69384692,0.71793812,0.00807229,0.00000000,0.00946413,0.08312606,0.00399329,0.40919032,0.45242546,0.13209166
-5.68784392,0.76269025,0.00836629,0.00000000,0.00982401,0.09052267,0.00441166,0.43152077,0.48760474,0.14190620
-5.68184092,0.81042166,0.00867351,0.00000000,0.01015138,0.09837870,0.00487460,0.45549780,0.52396561,0.15236073
-5.67583792,0.86026623,0.00898421,0.00000000,0.01043929,0.10657963,0.00538061,0.48064471,0.56085794,0.16328323
-5.66983492,0.91133118,0.00928893,0.00000000,0.01068178,0.11500002,0.00592763,0.50647888,0.59760251,0.17449166
-5.66383192,0.96271191,0.00957867,0.00000000,0.01087401,0.12350573,0.00651304,0.53251955,0.63350423,0.18579720
-5.65782891,1.01350791,0.00984505,0.00000000,0.01101239,0.13195663,0.00713360,0.55829570,0.66786714,0.19700795
-5.65182591,1.06283919,0.01008046,0.00000000,0.01109463,0.14020972,0.00778542,0.58335381,0.70001092,0.20793284
-5.64582291,1.10986292,0.01027823,0.00000000,0.01111980,0.14812263,0.00846391,0.60726535,0.72928817,0.21838576
-5.63981991,1.15378974,0.01043274,0.00000000,0.01108825,0.15555721,0.00916384,0.62963376,0.75510204,0.22818976
-5.63381691,1.19389931,0.01053949,0.00000000,0.01100163,0.16238337,0.00987926,0.65010084,0.77692326,0.23718114
-5.62781391,1.22955454,0.01059524,0.00000000,0.01086269,0.16848274,0.01060357,0.66835226,0.79430615,0.24521327
-5.62181091,1.26021419,0.01059796,0.00000000,0.01067519,0.17375217,0.01132958,0.68412218,0.80690264,0.25216017
-5.61580790,1.28544334,0.01054693,0.00000000,0.01044371,0.17810694,0.01204950,0.69719688,0.81447391,0.25791944
-5.60980490,1.30492150,0.01044268,0.00000000,0.01017349,0.18148341,0.01275514,0.70741725,0.81689894,0.26241474
-5.60380190,1.31844822,0.01028694,0.00000000,0.00987016,0.18384116,0.01343790,0.71468033,0.81417976,0.26559753
-5.59779890,1.32594599,0.01008261,0.00000000,0.00953962,0.18516447,0.01408903,0.71893978,0.80644288,0.26744815
-5.59179590,1.32746058,0.00983362,0.00000000,0.00918780,0.18546304,0.01469970,0.72020539,0.79393716,0.26797607
-5.58579290,1.32315886,0.00954482,0.00000000,0.00882053,0.18477197,0.01526127,0.71854185,0.77702784,0.26721956
-5.57978989,1.31332425,0.00922187,0.00000000,0.00844333,0.18315106,0.01576542,0.71406672,0.75618729,0.26524455
-5.57378689,1.29835010,0.00887109,0.00000000,0.00806138,0.18068335,0.01620440,0.70694785,0.73198259,0.26214289
-5.56778389,1.27873130,0.00849929,0.00000000,0.00767937,0.17747305,0.01657128,0.69740028,0.70506065,0.25803013
-5.56178089,1.25505426,0.00811363,0.00000000,0.00730148,0.17364287,0.01686011,0.68568276,0.67613121,0.25304271
