energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.24314420,0.01569973,0.00000000,0.00998718,0.35215657,0.64258633,0.29710110,0.03650927,1.08167167
-5.99399700,2.22665033,0.01559713,0.00000000,0.00991676,0.34513084,0.63909408,0.29455854,0.03629289,1.07949267
-5.98799400,2.20713217,0.01547568,0.00000000,0.00986534,0.33769556,0.63486568,0.29197536,0.03594461,1.07582487
-5.98199100,2.18481516,0.01533728,0.00000000,0.00983068,0.32995034,0.63005218,0.28936465,0.03547037,1.07069702
-5.97598799,2.15988630,0.01518336,0.00000000,0.00980957,0.32198277,0.62479106,0.28672548,0.03487714,1.06412575
-5.96998499,2.13248774,0.01501480,0.00000000,0.00979798,0.31386644,0.61920062,0.28404307,0.03417271,1.05611367
-5.96398199,2.10271376,0.01483193,0.00000000,0.00979116,0.30565968,0.61337540,0.28128952,0.03336554,1.04664884
-5.95797899,2.07061105,0.01463447,0.00000000,0.00978388,0.29740515,0.60738253,0.27842524,0.03246456,1.03570554
-5.95197599,2.03618218,0.01442165,0.00000000,0.00977057,0.28913003,0.60125948,0.27540092,0.03147907,1.02324631
-5.94597299,1.99939183,0.01419224,0.00000000,0.00974562,0.28084706,0.59501303,0.27215994,0.03041859,1.00922498
-5.93996998,1.96017548,0.01394468,0.00000000,0.00970353,0.27255612,0.58861971,0.26864114,0.02929281,0.99359066
-5.93396698,1.91844989,0.01367723,0.00000000,0.00963918,0.26424639,0.58202750,0.26478185,0.02811148,0.97629217
-5.92796398,1.87412480,0.01338811,0.00000000,0.00954800,0.25589889,0.57515895,0.26052100,0.02688432,0.95728303
-5.92196098,1.82711524,0.01307566,0.00000000,0.00942618,0.24748929,0.56791542,0.25580209,0.02562100,0.93652638
-5.91595798,1.77735371,0.01273847,0.00000000,0.00927080,0.23899082,0.56018234,0.25057612,0.02433106,0.91399990
-5.90995498,1.72480175,0.01237554,0.00000000,0.00907994,0.23037714,0.55183531,0.24480407,0.02302382,0.88970021
-5.90395198,1.66946027,0.01198640,0.00000000,0.00885275,0.22162502,0.54274675,0.23845909,0.02170838,0.86364687
-5.89794897,1.61137818,0.01157116,0.00000000,0.00858947,0.21271670,0.53279274,0.23152803,0.02039350,0.83588547
-5.89194597,1.55065898,0.01113063,0.00000000,0.00829140,0.20364187,0.52186000,0.22401260,0.01908757,0.80649002
-5.88594297,1.48746511,0.01066628,0.00000000,0.00796085,0.19439914,0.50985238,0.21592975,0.01779853,0.77556424
-5.87993997,1.42201979,0.01018029,0.00000000,0.00760104,0.18499695,0.49669687,0.20731160,0.01653380,0.74324204
-5.87393697,1.35460655,0.00967552,0.00000000,0.00721593,0.17545399,0.48234872,0.19820471,0.01530026,0.70968682
-5.86793397,1.28556640,0.00915538,0.00000000,0.00681016,0.16579903,0.46679547,0.18866890,0.01410414,0.67509003
-5.86193097,1.21529288,0.00862382,0.00000000,0.00638876,0.15607029,0.45005983,0.17877554,0.01295104,0.63966876
-5.85592796,1.14422546,0.00808519,0.00000000,0.00595708,0.14631438,0.43220120,0.16860559,0.01184588,0.60366263
-5.84992496,1.07284145,0.00754414,0.00000000,0.00552056,0.13658490,0.41331590,0.15824731,0.01079289,0.56733018
-5.84392196,1.00164706,0.00700548,0.00000000,0.00508459,0.12694082,0.39353615,0.14779387,0.00979560,0.53094480
-5.83791896,0.93116800,0.00647412,0.00000000,0.00465435,0.11744467,0.37302785,0.13734091,0.00885690,0.49479047
-5.83191596,0.86194010,0.00595492,0.00000000,0.00423470,0.10816081,0.35198750,0.12698420,0.00797907,0.45915761
-5.82591296,0.79450049,0.00545261,0.00000000,0.00383008,0.09915363,0.33063832,0.11681747,0.00716380,0.42433906
-5.81990995,0.72937975,0.00497171,0.00000000,0.00344440,0.09048607,0.30922595,0.10693049,0.00641231,0.39062652
-5.81390695,0.66709535,0.00451652,0.00000000,0.00308105,0.08221820,0.28801398,0.09740754,0.00572544,0.35830759
