energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.56936341,0.18418809,0.00000000,0.59796751,0.86490641,0.58216847,0.00000000
-5.99399700,1.58622703,0.18710897,0.00000000,0.60345641,0.87345161,0.58102935,0.00000000
-5.98799400,1.59820773,0.18927702,0.00000000,0.60721716,0.87932451,0.57787495,0.00000000
-5.98199100,1.60517687,0.19067215,0.00000000,0.60929464,0.88245899,0.57275341,0.00000000
-5.97598799,1.60707683,0.19128310,0.00000000,0.60976725,0.88282463,0.56574570,0.00000000
-5.96998499,1.60392170,0.19110808,0.00000000,0.60874508,0.88042636,0.55696297,0.00000000
-5.96398199,1.59579749,0.19015546,0.00000000,0.60636758,0.87530379,0.54654369,0.00000000
-5.95797899,1.58286202,0.18844438,0.00000000,0.60280111,0.86753056,0.53465062,0.00000000
-5.95197599,1.56534434,0.18600544,0.00000000,0.59823639,0.85721348,0.52146783,0.00000000
-5.94597299,1.54354372,0.18288119,0.00000000,0.59288576,0.84449157,0.50719776,0.00000000
-5.93996998,1.51782790,0.17912658,0.00000000,0.58698053,0.82953498,0.49205840,0.00000000
-5.93396698,1.48863057,0.17480913,0.00000000,0.58076817,0.81254354,0.47628050,0.00000000
-5.92796398,1.45644760,0.17000890,0.00000000,0.57450946,0.79374501,0.46010494,0.00000000
-5.92196098,1.42183213,0.16481816,0.00000000,0.56847539,0.77339293,0.44377996,0.00000000
-5.91595798,1.38538816,0.15934074,0.00000000,0.56294399,0.75176388,0.42755837,0.00000000
-5.90995498,1.34776267,0.15369104,0.00000000,0.55819672,0.72915424,0.41169464,0.00000000
-5.90395198,1.30963633,0.14799276,0.00000000,0.55451470,0.70587650,0.39644167,0.00000000
-5.89794897,1.27171288,0.14237731,0.00000000,0.55217453,0.68225502,0.38204752,0.00000000
-5.89194597,1.23470744,0.13698203,0.00000000,0.55144376,0.65862146,0.36875181,0.00000000
-5.88594297,1.19933406,0.13194816,0.00000000,0.55257619,0.63531003,0.35678197,0.00000000
-5.87993997,1.16629291,0.12741874,0.00000000,0.55580685,0.61265261,0.34634950,0.00000000
-5.87393697,1.13625743,0.12353649,0.00000000,0.56134692,0.59097390,0.33764614,0.00000000
-5.86793397,1.10986199,0.12044166,0.00000000,0.56937871,0.57058691,0.33084024,0.00000000
-5.86193097,1.08769032,0.11826992,0.00000000,0.58005071,0.55178871,0.32607341,0.00000000
-5.85592796,1.07026514,0.11715047,0.00000000,0.59347303,0.53485669,0.32345751,0.00000000
