energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.16506231,0.19080902,0.00492253,0.88366305,0.48237785,0.60510020,0.00000000
-5.99399700,1.09602987,0.17949671,0.00462554,0.82444916,0.45721813,0.56772586,0.00000000
-5.98799400,1.03042068,0.16874242,0.00434036,0.76698033,0.43364439,0.53200142,0.00000000
-5.98199100,0.96965535,0.15878311,0.00407275,0.71225841,0.41228768,0.49864553,0.00000000
-5.97598799,0.91505787,0.14984549,0.00382800,0.66120324,0.39374287,0.46831987,0.00000000
-5.96998499,0.86783153,0.14214187,0.00361081,0.61463706,0.37855705,0.44161738,0.00000000
-5.96398199,0.82903857,0.13586666,0.00342521,0.57327231,0.36721918,0.41905274,0.00000000
-5.95797899,0.79958356,0.13119336,0.00327455,0.53770283,0.36015125,0.40105480,0.00000000
-5.95197599,0.78020046,0.12827216,0.00316140,0.50839821,0.35770084,0.38796109,0.00000000
-5.94597299,0.77144311,0.12722792,0.00308757,0.48570098,0.36013518,0.38001411,0.00000000
-5.93996998,0.77367892,0.12815867,0.00305412,0.46982637,0.36763647,0.37735947,0.00000000
-5.93396698,0.78708541,0.13113440,0.00306135,0.46086425,0.38029865,0.38004546,0.00000000
-5.92796398,0.81164957,0.13619622,0.00310883,0.45878279,0.39812543,0.38802418,0.00000000
-5.92196098,0.84716967,0.14335572,0.00319548,0.46343372,0.42102968,0.40115396,0.00000000
-5.91595798,0.89325974,0.15259461,0.00331957,0.47455880,0.44883419,0.41920320,0.00000000
-5.90995498,0.94935649,0.16386462,0.00347883,0.49179738,0.48127397,0.44185549,0.00000000
-5.90395198,1.01472904,0.17708760,0.00367048,0.51469499,0.51800013,0.46871614,0.00000000
-5.89794897,1.08849159,0.19215605,0.00389135,0.54271290,0.55858546,0.49932018,0.00000000
-5.89194597,1.16961910,0.20893395,0.00413790,0.57523869,0.60253196,0.53314193,0.00000000
-5.88594297,1.25696641,0.22725806,0.00440638,0.61159793,0.64928031,0.56960611,0.00000000
-5.87993997,1.34929066,0.24693983,0.00469286,0.65106695,0.69822127,0.60810063,0.00000000
-5.87393697,1.44527713,0.26776788,0.00499335,0.69288669,0.74870915,0.64799083,0.00000000
-5.86793397,1.54356815,0.28951110,0.00530387,0.73627771,0.80007703,0.68863510,0.00000000
-5.86193097,1.64279482,0.31192252,0.00562057,0.78045609,0.85165353,0.72940165,0.00000000
-5.85592796,1.74161073,0.33474385,0.00593980,0.82465002,0.90278077,0.76968583,0.00000000
-5.84992496,1.83872687,0.35771060,0.00625818,0.86811676,0.95283296,0.80892778,0.00000000
-5.84392196,1.93294658,0.38055782,0.00657269,0.91015953,1.00123502,0.84662947,0.00000000
-5.83791896,2.02319939,0.40302625,0.00688072,0.95014373,1.04748049,0.88237074,0.00000000
-5.83191596,2.10857214,0.42486864,0.00718012,0.98751196,1.09114805,0.91582333,0.00000000
