energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,4.13903320,0.41675570,0.00000000,1.67840022,1.92901506,0.06095828,2.17815218
-5.99399700,4.14202903,0.41747837,0.00000000,1.67430876,1.93825605,0.06068867,2.17572909
-5.98799400,4.14308325,0.41827712,0.00000000,1.66903932,1.94819766,0.06031957,2.17217740
-5.98199100,4.14192495,0.41910277,0.00000000,1.66272812,1.95857198,0.05983649,2.16748482
-5.97598799,4.13838669,0.41992015,0.00000000,1.65555715,1.96913599,0.05922774,2.16168684
-5.96998499,4.13242373,0.42071276,0.00000000,1.64775738,1.97968492,0.05848522,2.15487077
-5.96398199,4.12412813,0.42148661,0.00000000,1.63961036,1.99006349,0.05760507,2.14717755
-5.95797899,4.11373671,0.42227297,0.00000000,1.63144777,2.00017465,0.05658814,2.13880136
-5.95197599,4.10163281,0.42312998,0.00000000,1.62364895,2.00998537,0.05544022,2.12998700
-5.94597299,4.08834112,0.42414283,0.00000000,1.61663602,2.01952939,0.05417213,2.12102503
-5.93996998,4.07451586,0.42542247,0.00000000,1.61086667,2.02890653,0.05279954,2.11224480
-5.93396698,4.06092227,0.42710295,0.00000000,1.60682443,2.03827875,0.05134263,2.10400549
-5.92796398,4.04841183,0.42933724,0.00000000,1.60500661,2.04786277,0.04982547,2.09668532
-5.92196098,4.03789195,0.43229176,0.00000000,1.60591006,2.05791964,0.04827533,2.09066915
-5.91595798,4.03029089,0.43613980,0.00000000,1.61001504,2.06874139,0.04672179,2.08633480
-5.90995498,4.02651917,0.44105394,0.00000000,1.61776766,2.08063530,0.04519577,2.08403836
-5.90395198,4.02742884,0.44719797,0.00000000,1.62956154,2.09390634,0.04372847,2.08409901
-5.89794897,4.03377222,0.45471842,0.00000000,1.64571930,2.10883847,0.04235027,2.08678380
-5.89194597,4.04616178,0.46373632,0.00000000,1.66647468,2.12567558,0.04108975,2.09229304
-5.88594297,4.06503318,0.47433932,0.00000000,1.69195631,2.14460303,0.03997261,2.10074683
-5.87993997,4.09061316,0.48657480,0.00000000,1.72217376,2.16573067,0.03902087,2.11217355
-5.87393697,4.12289419,0.50044415,0.00000000,1.75700692,2.18907838,0.03825202,2.12650099
-5.86793397,4.16161747,0.51589866,0.00000000,1.79619938,2.21456495,0.03767849,2.14355062
-5.86193097,4.20626570,0.53283721,0.00000000,1.83935654,2.24200127,0.03730720,2.16303593
-5.85592796,4.25606654,0.55110595,0.00000000,1.88594872,2.27108842,0.03713940,2.18456499
-5.84992496,4.31000738,0.57050019,0.00000000,1.93531980,2.30142121,0.03717060,2.20764781
-5.84392196,4.36686150,0.59076827,0.00000000,1.98670113,2.33249745,0.03739086,2.23170850
-5.83791896,4.42522515,0.61161759,0.00000000,2.03923062,2.36373291,0.03778512,2.25610220
-5.83191596,4.48356443,0.63272238,0.00000000,2.09197639,2.39448168,0.03833385,2.28013635
-5.82591296,4.54027043,0.65373315,0.00000000,2.14396433,2.42406128,0.03901379,2.30309574
-5.81990995,4.59372069,0.67428727,0.00000000,2.19420850,2.45178159,0.03979881,2.32427044
-5.81390695,4.64234417,0.69402047,0.00000000,2.24174335,2.47697646,0.04066087,2.34298543
-5.80790395,4.68468731,0.71257866,0.00000000,2.28565628,2.49903648,0.04157107,2.35863074
-5.80190095,4.71947793,0.72962974,0.00000000,2.32511956,2.51744137,0.04250067,2.37069067
-5.79589795,4.74568409,0.74487487,0.00000000,2.35941995,2.53179040,0.04342206,2.37877048
