energy_ev,total_up,Ga_p_up,Ga_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.93700983,0.17608553,0.00000000,0.30551756,0.35414538,0.49105175,0.00000000
-5.99399700,1.02686446,0.19428521,0.00000000,0.33767047,0.38739583,0.53545251,0.00000000
-5.98799400,1.12444527,0.21435015,0.00000000,0.37315765,0.42324597,0.58304017,0.00000000
-5.98199100,1.22978906,0.23634925,0.00000000,0.41213137,0.46167724,0.63372540,0.00000000
-5.97598799,1.34299144,0.26036631,0.00000000,0.45477239,0.50269021,0.68744734,0.00000000
-5.96998499,1.46419841,0.28649680,0.00000000,0.50128555,0.54630237,0.74417217,0.00000000
-5.96398199,1.59359204,0.31484337,0.00000000,0.55189289,0.59254379,0.80388909,0.00000000
-5.95797899,1.73137009,0.34550973,0.00000000,0.60682424,0.64145058,0.86660343,0.00000000
-5.95197599,1.87771949,0.37859314,0.00000000,0.66630530,0.69305613,0.93232685,0.00000000
-5.94597299,2.03278418,0.41417559,0.00000000,0.73054314,0.74738034,1.00106487,0.00000000
-5.93996998,2.19662819,0.45231377,0.00000000,0.79970965,0.80441706,1.07280181,0.00000000
-5.93396698,2.36919511,0.49302833,0.00000000,0.87392324,0.86412029,1.14748401,0.00000000
-5.92796398,2.55026598,0.53629276,0.00000000,0.95322946,0.92638974,1.22500180,0.00000000
-5.92196098,2.73941740,0.58202244,0.00000000,1.03758139,0.99105646,1.30517130,0.00000000
-5.91595798,2.93598248,0.63006446,0.00000000,1.12682060,1.05786960,1.38771714,0.00000000
-5.90995498,3.13901699,0.68018884,0.00000000,1.22065985,1.12648490,1.47225709,0.00000000
-5.90395198,3.34727344,0.73208183,0.00000000,1.31866845,1.19645617,1.55829002,0.00000000
-5.89794897,3.55918534,0.78534189,0.00000000,1.42026133,1.26723037,1.64518797,0.00000000
-5.89194597,3.77286380,0.83947883,0.00000000,1.52469291,1.33814708,1.73219358,0.00000000
-5.88594297,3.98610795,0.89391667,0.00000000,1.63105647,1.40844296,1.81842336,0.00000000
