energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.89638193,0.01510107,0.02434395,2.25961986,0.47415006,0.02402460,1.92191850,0.82242546,0.19510916
-5.99399700,2.82177008,0.01423386,0.02334533,2.20318033,0.46038544,0.02360277,1.87440802,0.80229009,0.19056981
-5.98799400,2.74088045,0.01338538,0.02236830,2.14078958,0.44550236,0.02316791,1.82253245,0.78001694,0.18558529
-5.98199100,2.65507531,0.01255971,0.02141825,2.07355659,0.42969890,0.02273369,1.76721908,0.75596206,0.18025710
-5.97598799,2.56586388,0.01176051,0.02050154,2.00271685,0.41319975,0.02231398,1.70949408,0.73053531,0.17469654
-5.96998499,2.47484808,0.01099101,0.01962517,1.92958939,0.39624837,0.02192241,1.65044576,0.70418446,0.16902069
-5.96398199,2.38366400,0.01025407,0.01879637,1.85553028,0.37909842,0.02157182,1.59118482,0.67737803,0.16334810
-5.95797899,2.29392162,0.00955216,0.01802220,1.78188458,0.36200478,0.02127379,1.53280366,0.65058739,0.15779444
-5.95197599,2.20714544,0.00888728,0.01730918,1.70993895,0.34521455,0.02103810,1.47633613,0.62426908,0.15246818
-5.94597299,2.12471876,0.00826104,0.01666288,1.64087694,0.32895849,0.02087231,1.42271993,0.59884809,0.14746660
-5.93996998,2.04783394,0.00767451,0.01608762,1.57573886,0.31344319,0.02078135,1.37276296,0.57470268,0.14287225
-5.93396698,1.97745084,0.00712830,0.01558616,1.51538801,0.29884437,0.02076725,1.32711534,0.55215167,0.13875001
-5.92796398,1.91426533,0.00662245,0.01515953,1.46048456,0.28530157,0.02082893,1.28624812,0.53144427,0.13514493
-5.92196098,1.85868893,0.00615648,0.01480686,1.41146802,0.27291439,0.02096216,1.25043965,0.51275328,0.13208085
-5.91595798,1.81084044,0.00572937,0.01452537,1.36854912,0.26174049,0.02115959,1.21977000,0.49617146,0.12955994
-5.90995498,1.77054967,0.00533957,0.01431035,1.33171079,0.25179524,0.02141095,1.19412357,0.48171137,0.12756307
-5.90395198,1.73737285,0.00498508,0.01415534,1.30071844,0.24305320,0.02170337,1.17319962,0.46930845,0.12605109
-5.89794897,1.71061879,0.00466346,0.01405227,1.27513833,0.23545110,0.02202180,1.15653006,0.45882715,0.12496686
-5.89194597,1.68938432,0.00437193,0.01399175,1.25436337,0.22889221,0.02234952,1.14350350,0.45006960,0.12423798
-5.88594297,1.67259730,0.00410749,0.01396335,1.23764481,0.22325192,0.02266878,1.13339452,0.44278651,0.12378003
-5.87993997,1.65906513,0.00386694,0.01395597,1.22412827,0.21838417,0.02296136,1.12539648,0.43668964,0.12350027
-5.87393697,1.64752636,0.00364705,0.01395822,1.21289248,0.21412838,0.02320934,1.11865661,0.43146515,0.12330148
-5.86793397,1.63670333,0.00344464,0.01395876,1.20298898,0.21031667,0.02339568,1.11231171,0.42678748,0.12308596
-5.86193097,1.62535339,0.00325667,0.01394670,1.19348114,0.20678101,0.02350488,1.10552288,0.42233289,0.12275935
-5.85592796,1.61231672,0.00308030,0.01391195,1.18348078,0.20335998,0.02352353,1.09750798,0.41779221,0.12223420
-5.84992496,1.59655882,0.00291302,0.01384549,1.17218121,0.19990488,0.02344079,1.08757045,0.41288242,0.12143315
-5.84392196,1.57720624,0.00275264,0.01373966,1.15888525,0.19628502,0.02324874,1.07512355,0.40735644,0.12029160
