energy_ev,total_up,Mo_p_up,Mo_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.67560608,0.59335011,0.89715581,0.44812674,0.00755316,0.60243634,0.00000000
-5.99399700,1.57645773,0.56424675,0.84352173,0.42365369,0.00718151,0.56387836,0.00000000
-5.98799400,1.48542822,0.54147034,0.79285959,0.40261459,0.00685247,0.52665012,0.00000000
-5.98199100,1.40362673,0.52512900,0.74587238,0.38519906,0.00657267,0.49124486,0.00000000
-5.97598799,1.33209348,0.51531346,0.70323118,0.37156532,0.00634819,0.45814978,0.00000000
-5.96998499,1.27176975,0.51208421,0.66555932,0.36183224,0.00618444,0.42783535,0.00000000
-5.96398199,1.22347156,0.51545915,0.63341857,0.35607227,0.00608599,0.40074578,0.00000000
-5.95797899,1.18786790,0.52540236,0.60729786,0.35430566,0.00605652,0.37729129,0.00000000
-5.95197599,1.16546468,0.54181470,0.58760501,0.35649638,0.00609869,0.35784204,0.00000000
-5.94597299,1.15659461,0.56452688,0.57466144,0.36254992,0.00621417,0.34272400,0.00000000
-5.93996998,1.16141359,0.59329536,0.56870029,0.37231324,0.00640358,0.33221670,0.00000000
-5.93396698,1.17990348,0.62780150,0.56986747,0.38557706,0.00666654,0.32655269,0.00000000
-5.92796398,1.21188096,0.66765416,0.57822579,0.40208026,0.00700173,0.32591855,0.00000000
-5.92196098,1.25701219,0.71239576,0.59376155,0.42151659,0.00740696,0.33045727,0.00000000
-5.91595798,1.31483229,0.76151164,0.61639340,0.44354329,0.00787930,0.34027159,0.00000000
-5.90995498,1.38476900,0.81444258,0.64598285,0.46779149,0.00841521,0.35542808,0.00000000
-5.90395198,1.46616916,0.87059979,0.68234593,0.49387793,0.00901069,0.37596162,0.00000000
-5.89794897,1.55832712,0.92938197,0.72526538,0.52141746,0.00966140,0.40187997,0.00000000
-5.89194597,1.66051352,0.99019363,0.77450279,0.55003604,0.01036287,0.43316811,0.00000000
-5.88594297,1.77200307,1.05246365,0.82981008,0.57938334,0.01111060,0.46979211,0.00000000
-5.87993997,1.89210019,1.11566344,0.89093967,0.60914460,0.01190023,0.51170219,0.00000000
-5.87393697,2.02016079,1.17932345,0.95765284,0.63905092,0.01272765,0.55883492,0.00000000
-5.86793397,2.15560927,1.24304724,1.02972574,0.66888760,0.01358906,0.61111418,0.00000000
-5.86193097,2.29794942,1.30652218,1.10695270,0.69849984,0.01448103,0.66845088,0.00000000
-5.85592796,2.44676856,1.36952610,1.18914644,0.72779553,0.01540052,0.73074133,0.00000000
-5.84992496,2.60173417,1.43192916,1.27613510,0.75674479,0.01634485,0.79786419,0.00000000
-5.84392196,2.76258296,1.49369085,1.36775598,0.78537604,0.01731160,0.86967607,0.00000000
-5.83791896,2.92910250,1.55485175,1.46384625,0.81376888,0.01829852,0.94600595,0.00000000
-5.83191596,3.10110605,1.61552050,1.56423090,0.84204372,0.01930338,1.02664843,0.00000000
-5.82591296,3.27840149,1.67585628,1.66870834,0.87034883,0.02032377,1.11135632,0.00000000
-5.81990995,3.46075602,1.73604770,1.77703454,0.89884515,0.02135695,1.19983272,0.00000000
-5.81390695,3.64785808,1.79628889,1.88890625,0.92768972,0.02239958,1.29172307,0.00000000
-5.80790395,3.83927877,1.85675422,2.00394448,0.95701860,0.02344761,1.38660770,0.00000000
-5.80190095,4.03443491,1.91757274,2.12167906,0.98692993,0.02449606,1.48399519,0.00000000
-5.79589795,4.23255595,1.97880388,2.24153533,1.01746837,0.02553886,1.58331733,0.00000000
-5.78989495,4.43265698,2.04041569,2.36282400,1.04861156,0.02656882,1.68392591,0.00000000
-5.78389195,4.63351995,2.10226690,2.48473501,1.08025947,0.02757756,1.78509204,0.00000000
-5.77788894,4.83368458,2.16409386,2.60633615,1.11222746,0.02855554,1.88600819,0.00000000
-5.77188594,5.03145047,2.22550333,2.72657693,1.14424323,0.02949216,1.98579339,0.00000000
-5.76588294,5.22489095,2.28597162,2.84429817,1.17594842,0.03037596,2.08350162,0.00000000
-5.75987994,5.41187906,2.34485026,2.95824712,1.20690443,0.03119480,2.17813362,0.00000000
-5.75387694,5.59012500,2.40137829,3.06709812,1.23660280,0.03193619,2.26865168,0.00000000
-5.74787394,5.75722431,2.45470067,3.16947816,1.26447942,0.03258763,2.35399749,0.00000000
-5.74187094,5.91071494,2.50389199,3.26399662,1.28993217,0.03313696,2.43311228,0.00000000
-5.73586793,6.04814142,2.54798463,3.34927819,1.31234120,0.03357278,2.50495897,0.00000000
-5.72986493,6.16712352,2.58600015,3.42399800,1.33109097,0.03388482,2.56854543,0.00000000
-5.72386193,6.26542689,2.61698236,3.48691742,1.34559297,0.03406433,2.62294828,0.00000000
-5.71785893,6.34103282,2.64003095,3.53691942,1.35530837,0.03410440,2.66733631,0.00000000
-5.71185593,6.39220447,2.65433398,3.57304218,1.35976923,0.03400030,2.70099275,0.00000000
-5.70585293,6.41754691,2.65919803,3.59450959,1.35859772,0.03374963,2.72333573,0.00000000
-5.69984992,6.41605873,2.65407470,3.60075766,1.35152225,0.03335258,2.73393596,0.00000000
-5.69384692,6.38717338,2.63858260,3.59145581,1.33839007,0.03281192,2.73253134,0.00000000
-5.68784392,6.33078866,2.61252386,3.56652242,1.31917576,0.03213306,2.71903771,0.00000000
-5.68184092,6.24728360,2.57589477,3.52613402,1.29398533,0.03132396,2.69355560,0.00000000
-5.67583792,6.13752230,2.52889030,3.47072807,1.26305603,0.03039499,2.65637258,0.00000000
-5.66983492,6.00284472,2.47190245,3.40099913,1.22675179,0.02935869,2.60796134,0.00000000
-5.66383192,5.84504528,2.40551287,3.31788872,1.18555489,0.02822952,2.54897335,0.00000000
-5.65782891,5.66633999,2.33047999,3.22256939,1.14005408,0.02702358,2.48022857,0.00000000
-5.65182591,5.46932374,2.24772167,3.11642348,1.09092998,0.02575819,2.40270130,0.00000000
-5.64582291,5.25691917,2.15829387,3.00101730,1.03893833,0.02445159,2.31750275,0.00000000
-5.63981991,5.03231890,2.06336648,2.87807163,0.98489188,0.02312255,2.22586081,0.00000000
-5.63381691,4.79892308,1.96419705,2.74942931,0.92964163,0.02179000,2.12909757,0.00000000
-5.62781391,4.56027383,1.86210354,2.61702090,0.87405806,0.02047267,2.02860514,0.00000000
-5.62181091,4.31998847,1.75843682,2.48282911,0.81901305,0.01918879,1.92582049,0.00000000
-5.61580790,4.08169305,1.65455378,2.34885291,0.76536288,0.01795573,1.82219982,0.00000000
-5.60980490,3.84895745,1.55179179,2.21707213,0.71393281,0.01678979,1.71919303,0.00000000
-5.60380190,3.62523340,1.45144500,2.08941292,0.66550336,0.01570591,1.61821892,0.00000000
-5.59779890,3.41379625,1.35474308,1.96771499,0.62079853,0.01471747,1.52064147,0.00000000
-5.59179590,3.21769124,1.26283248,1.85370088,0.58047588,0.01383615,1.42774784,0.00000000
-5.58579290,3.03968509,1.17676076,1.74894765,0.54511846,0.01307174,1.34072825,0.00000000
-5.57978989,2.88222302,1.09746373,1.65486157,0.51522828,0.01243208,1.26065817,0.00000000
-5.57378689,2.74739187,1.02575573,1.57265583,0.49122135,0.01192296,1.18848315,0.00000000
-5.56778389,2.63688947,0.96232268,1.50333168,0.47342376,0.01154806,1.12500634,0.00000000
-5.56178089,2.55200057,0.90771808,1.44766319,0.46206888,0.01130896,1.07087894,0.00000000
-5.55577789,2.49357953,0.86236145,1.40618583,0.45729523,0.01120514,1.02659362,0.00000000
-5.54977489,2.46204012,0.82653935,1.37918915,0.45914518,0.01123402,0.99248101,0.00000000
-5.54377189,2.45735261,0.80040842,1.36671365,0.46756418,0.01139104,0.96870914,0.00000000
-5.53776888,2.47904852,0.78400051,1.36855209,0.48240076,0.01166976,0.95528584,0.00000000
-5.53176588,2.52623307,0.77722938,1.38425541,0.50340728,0.01206204,0.95206402,0.00000000
-5.52576288,2.59760566,0.77989898,1.41314327,0.53024175,0.01255814,0.95874948,0.00000000
-5.51975988,2.69148835,0.79171285,1.45431942,0.56247081,0.01314701,0.97491128,0.00000000
-5.51375688,2.80586220,0.81228456,1.50669166,0.59957425,0.01381649,0.99999427,0.00000000
-5.50775388,2.93841115,0.84114886,1.56899644,0.64095135,0.01455358,1.03333350,0.00000000
-5.50175088,3.08657296,0.87777323,1.63982758,0.68592915,0.01534478,1.07417026,0.00000000
-5.49574787,3.24759622,0.92156978,1.71766894,0.73377292,0.01617634,1.12166920,0.00000000
-5.48974487,3.41860250,0.97190705,1.80093013,0.78369892,0.01703465,1.17493640,0.00000000
-5.48374187,3.59665210,1.02812154,1.88798475,0.83488932,0.01790655,1.23303774,0.00000000
