energy_ev,total_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,0.29353978,0.02178305,0.08630503,0.00149857,0.08215824,0.09679017,0.00000000
-5.99399700,0.24842788,0.01818374,0.07255574,0.00122193,0.06986215,0.08161046,0.00000000
-5.98799400,0.20886188,0.01509380,0.06061729,0.00099154,0.05899443,0.06837386,0.00000000
-5.98199100,0.17444802,0.01246133,0.05033214,0.00080143,0.04947351,0.05692441,0.00000000
-5.97598799,0.14476742,0.01023709,0.04154266,0.00064627,0.04120568,0.04710255,0.00000000
-5.96998499,0.11939065,0.00837520,0.03409486,0.00052142,0.03408950,0.03874962,0.00000000
-5.96398199,0.09789075,0.00683384,0.02784171,0.00042292,0.02801983,0.03171183,0.00000000
-5.95797899,0.07985456,0.00557574,0.02264589,0.00034756,0.02289138,0.02584370,0.00000000
-5.95197599,0.06489234,0.00456873,0.01838206,0.00029288,0.01860182,0.02101091,0.00000000
-5.94597299,0.05264578,0.00378617,0.01493877,0.00025719,0.01505425,0.01709270,0.00000000
-5.93996998,0.04279455,0.00320738,0.01221992,0.00023962,0.01215933,0.01398384,0.00000000
-5.93396698,0.03506147,0.00281815,0.01014612,0.00024015,0.00983687,0.01159627,0.00000000
-5.92796398,0.02921684,0.00261126,0.00865579,0.00025970,0.00801702,0.00986050,0.00000000
-5.92196098,0.02508183,0.00258706,0.00770617,0.00030021,0.00664126,0.00872688,0.00000000
-5.91595798,0.02253157,0.00275419,0.00727448,0.00036472,0.00566297,0.00816677,0.00000000
-5.90995498,0.02149783,0.00313043,0.00735899,0.00045750,0.00504801,0.00817381,0.00000000
-5.90395198,0.02197175,0.00374363,0.00798039,0.00058422,0.00477504,0.00876522,0.00000000
-5.89794897,0.02400663,0.00463282,0.00918317,0.00075205,0.00483582,0.00998321,0.00000000
-5.89194597,0.02772084,0.00584941,0.01103734,0.00096989,0.00523554,0.01189653,0.00000000
-5.88594297,0.03330094,0.00745849,0.01364009,0.00124849,0.00599305,0.01460211,0.00000000
-5.87993997,0.04100478,0.00954014,0.01711772,0.00160067,0.00714114,0.01822675,0.00000000
-5.87393697,0.05116451,0.01219078,0.02162741,0.00204143,0.00872676,0.02292870,0.00000000
-5.86793397,0.06418918,0.01552436,0.02735890,0.00258806,0.01081126,0.02889910,0.00000000
-5.86193097,0.08056649,0.01967340,0.03453584,0.00326031,0.01347035,0.03636302,0.00000000
-5.85592796,0.10086344,0.02478969,0.04341657,0.00408029,0.01679410,0.04557994,0.00000000
-5.84992496,0.12572516,0.03104455,0.05429421,0.00507252,0.02088645,0.05684350,0.00000000
