energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.44859981,-8.44859942,0.58069638,-0.58069639,1.26802827,-1.26802825,0.12106097,-0.12106098,0.68213786,-0.68213771,1.71218163,-1.71218123,1.62734376,-1.62734389,0.08978263,-0.08978262,3.05804920,-3.05804916
-5.99399700,8.38362089,-8.38362076,0.58003304,-0.58003307,1.27472281,-1.27472283,0.12257470,-0.12257472,0.67045418,-0.67045406,1.66755992,-1.66755958,1.62080183,-1.62080199,0.08908160,-0.08908159,3.03909840,-3.03909847
-5.98799400,8.34553554,-8.34553565,0.58208360,-0.58208366,1.28564136,-1.28564142,0.12449730,-0.12449732,0.66128598,-0.66128587,1.62942768,-1.62942741,1.61804735,-1.61804754,0.08861146,-0.08861146,3.03026268,-3.03026284
-5.98199100,8.33262886,-8.33262918,0.58675180,-0.58675189,1.30050450,-1.30050459,0.12675432,-0.12675434,0.65447477,-0.65447469,1.59781148,-1.59781128,1.61853219,-1.61853239,0.08834475,-0.08834475,3.03099844,-3.03099869
-5.97598799,8.34226780,-8.34226829,0.59385030,-0.59385041,1.31889447,-1.31889458,0.12925961,-0.12925963,0.64977911,-0.64977904,1.57253027,-1.57253012,1.62156141,-1.62156162,0.08824545,-0.08824545,3.04041823,-3.04041854
-5.96998499,8.37102493,-8.37102555,0.60310737,-0.60310750,1.34027199,-1.34027213,0.13191831,-0.13191833,0.64688619,-0.64688614,1.55321535,-1.55321526,1.62632381,-1.62632402,0.08827084,-0.08827084,3.05733192,-3.05733229
-5.96398199,8.41482865,-8.41482935,0.61417664,-0.61417679,1.36399743,-1.36399759,0.13462990,-0.13462992,0.64542615,-0.64542611,1.53933654,-1.53933650,1.63192653,-1.63192673,0.08837355,-0.08837355,3.08029783,-3.08029824
-5.95797899,8.46913347,-8.46913421,0.62664912,-0.62664928,1.38935539,-1.38935556,0.13729154,-0.13729156,0.64498808,-0.64498805,1.53023320,-1.53023320,1.63743236,-1.63743254,0.08850374,-0.08850374,3.10768155,-3.10768197
-5.95197599,8.52910351,-8.52910423,0.64006741,-0.64006757,1.41558179,-1.41558195,0.13980130,-0.13980131,0.64513734,-0.64513731,1.52514878,-1.52514881,1.64189797,-1.64189812,0.08861130,-0.08861129,3.13772020,-3.13772062
-5.94597299,8.58980167,-8.58980232,0.65394129,-0.65394146,1.44189251,-1.44189267,0.14206132,-0.14206133,0.64543326,-0.64543323,1.52326743,-1.52326748,1.64441147,-1.64441158,0.08864796,-0.08864795,3.16858959,-3.16859000
-5.93996998,8.64637703,-8.64637758,0.66776435,-0.66776451,1.46751239,-1.46751253,0.14398081,-0.14398081,0.64544656,-0.64544652,1.52375106,-1.52375113,1.64412775,-1.64412781,0.08856929,-0.08856928,3.19847174,-3.19847211
-5.93396698,8.69424314,-8.69424353,0.68103076,-0.68103091,1.49170343,-1.49170356,0.14547862,-0.14547861,0.64477571,-0.64477567,1.52577535,-1.52577542,1.64030015,-1.64030016,0.08833645,-0.08833644,3.22562004,-3.22562035
-5.92796398,8.72924026,-8.72924047,0.69325188,-0.69325202,1.51379107,-1.51379117,0.14648550,-0.14648549,0.64306166,-0.64306160,1.52856314,-1.52856321,1.63230718,-1.63230713,0.08791756,-0.08791755,3.24841983,-3.24842008
-5.92196098,8.74777570,-8.74777569,0.70397184,-0.70397196,1.53318743,-1.53318750,0.14694592,-0.14694590,0.64000019,-0.64000012,1.53141395,-1.53141401,1.61967335,-1.61967325,0.08728889,-0.08728888,3.26544208,-3.26544225
-5.91595798,8.74693703,-8.74693678,0.71278168,-0.71278177,1.54941068,-1.54941072,0.14681927,-0.14681924,0.63535160,-0.63535151,1.53372845,-1.53372850,1.60208349,-1.60208332,0.08643548,-0.08643546,3.27548822,-3.27548830
-5.90995498,8.72457455,-8.72457404,0.71933151,-0.71933157,1.56209961,-1.56209961,0.14608068,-0.14608064,0.62894731,-0.62894721,1.53502686,-1.53502689,1.57939005,-1.57938982,0.08535148,-0.08535146,3.27762474,-3.27762471
-5.90395198,8.67935049,-8.67934973,0.72334028,-0.72334032,1.57102289,-1.57102286,0.14472118,-0.14472114,0.62069323,-0.62069312,1.53496077,-1.53496078,1.55161360,-1.55161331,0.08404009,-0.08404006,3.27120636,-3.27120623
-5.89794897,8.61075411,-8.61075309,0.72460282,-0.72460283,1.57608274,-1.57608268,0.14274747,-0.14274742,0.61056980,-0.61056967,1.53331800,-1.53331799,1.51893651,-1.51893617,0.08251303,-0.08251301,3.25588733,-3.25588710
-5.89194597,8.51908318,-8.51908191,0.72299399,-0.72299396,1.57731283,-1.57731272,0.14018105,-0.14018099,0.59862895,-0.59862880,1.53002045,-1.53002041,1.48169070,-1.48169031,0.08078982,-0.08078980,3.23162062,-3.23162029
-5.88594297,8.40539387,-8.40539238,0.71846983,-0.71846978,1.57487070,-1.57487056,0.13705707,-0.13705700,0.58498815,-0.58498799,1.52511533,-1.52511528,1.44034001,-1.44033957,0.07889660,-0.07889657,3.19864557,-3.19864514
-5.87993997,8.27142252,-8.27142083,0.71106582,-0.71106573,1.56902520,-1.56902503,0.13342272,-0.13342265,0.56982196,-0.56982179,1.51876042,-1.51876035,1.39545839,-1.39545792,0.07686482,-0.07686479,3.15746490,-3.15746439
-5.87393697,8.11948368,-8.11948181,0.70089231,-0.70089220,1.56013957,-1.56013938,0.12933534,-0.12933527,0.55335163,-0.55335145,1.51120424,-1.51120415,1.34770505,-1.34770456,0.07472973,-0.07472970,3.10881243,-3.10881184
-5.86793397,7.95234995,-7.95234793,0.68812762,-0.68812748,1.54865119,-1.54865098,0.12486032,-0.12486024,0.53583321,-0.53583302,1.50276234,-1.50276223,1.29779777,-1.29779726,0.07252881,-0.07252878,3.05361331,-3.05361265
-5.86193097,7.77311995,-7.77311783,0.67300894,-0.67300877,1.53504903,-1.53504880,0.12006884,-0.12006876,0.51754490,-0.51754471,1.49379116,-1.49379104,1.24648563,-1.24648511,0.07030007,-0.07030004,2.99293883,-2.99293811
-5.85592796,7.58508077,-7.58507858,0.65582178,-0.65582159,1.51985008,-1.51984984,0.11503559,-0.11503551,0.49877419,-0.49877400,1.48466084,-1.48466072,1.19452243,-1.19452191,0.06808052,-0.06808049,2.92795808,-2.92795732
-5.84992496,7.39157170,-7.39156947,0.63688835,-0.63688814,1.50357593,-1.50357569,0.10983650,-0.10983642,0.47980548,-0.47980528,1.47572862,-1.47572849,1.14264194,-1.14264143,0.06590471,-0.06590468,2.85988882,-2.85988804
