energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.11095338,0.06903394,0.00000000,0.02217677,1.24498654,0.71418140,0.69940299
-5.99399700,2.22040034,0.07238149,0.00000000,0.02289008,1.30805144,0.74972793,0.73568094
-5.98799400,2.32507796,0.07559825,0.00000000,0.02357165,1.36884357,0.78259682,0.77101924
-5.98199100,2.42304017,0.07862493,0.00000000,0.02420693,1.42622188,0.81216030,0.80477075
-5.97598799,2.51238635,0.08140366,0.00000000,0.02478148,1.47905861,0.83783398,0.83628512
-5.96998499,2.59132285,0.08387979,0.00000000,0.02528153,1.52627596,0.85909612,0.86492951
-5.96398199,2.65822300,0.08600385,0.00000000,0.02569437,1.56688214,0.87550543,0.89010929
-5.95797899,2.71168262,0.08773325,0.00000000,0.02600884,1.60000532,0.88671627,0.91128789
-5.95197599,2.75056872,0.08903377,0.00000000,0.02621569,1.62492389,0.89249092,0.92800507
-5.94597299,2.77405912,0.08988083,0.00000000,0.02630788,1.64109162,0.89270797,0.93989259
-5.93996998,2.78167108,0.09026032,0.00000000,0.02628081,1.64815669,0.88736672,0.94668670
-5.93396698,2.77327764,0.09016911,0.00000000,0.02613243,1.64597357,0.87658727,0.94823689
-5.92796398,2.74911104,0.08961515,0.00000000,0.02586333,1.63460732,0.86060632,0.94451051
-5.92196098,2.70975303,0.08861706,0.00000000,0.02547667,1.61433023,0.83976886,0.93559311
-5.91595798,2.65611259,0.08720344,0.00000000,0.02497806,1.58561081,0.81451629,0.92168444
-5.90995498,2.58939226,0.08541173,0.00000000,0.02437531,1.54909592,0.78537139,0.90309046
-5.90395198,2.51104463,0.08328681,0.00000000,0.02367824,1.50558679,0.75292098,0.88021166
-5.89794897,2.42272118,0.08087930,0.00000000,0.02289826,1.45601022,0.71779697,0.85352841
-5.89194597,2.32621575,0.07824372,0.00000000,0.02204808,1.40138620,0.68065676,0.82358381
-5.88594297,2.22340537,0.07543661,0.00000000,0.02114128,1.34279359,0.64216376,0.79096517
-5.87993997,2.11619089,0.07251452,0.00000000,0.02019194,1.28133532,0.60296885,0.75628462
-5.87393697,2.00644011,0.06953225,0.00000000,0.01921423,1.21810464,0.56369356,0.72015996
-5.86793397,1.89593563,0.06654111,0.00000000,0.01822208,1.15415391,0.52491553,0.68319647
-5.86193097,1.78632944,0.06358749,0.00000000,0.01722883,1.09046699,0.48715669,0.64597036
-5.85592796,1.67910577,0.06071170,0.00000000,0.01624698,1.02793643,0.45087456,0.60901452
