energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
3.25662831,2.58785279,1.15851166,0.73728513,0.00605449,0.25222000,0.31387887,0.67741448,0.65818863,0.00000000
3.26263132,2.48761042,1.09939376,0.71024460,0.00569406,0.24199837,0.30462665,0.65135463,0.62912580,0.00000000
3.26863432,2.38287086,1.03731179,0.68281485,0.00531838,0.23111514,0.29488188,0.62352371,0.59921805,0.00000000
3.27463732,2.27518320,0.97320095,0.65531533,0.00493386,0.21975269,0.28478343,0.59438623,0.56888015,0.00000000
3.28064032,2.16602235,0.90798973,0.62802624,0.00454668,0.20808890,0.27446068,0.56439957,0.53850680,0.00000000
3.28664332,2.05676376,0.84257863,0.60118706,0.00416273,0.19629320,0.26403181,0.53400409,0.50846664,0.00000000
3.29264632,1.94866531,0.77782100,0.57499746,0.00378743,0.18452334,0.25360313,0.50361486,0.47909807,0.00000000
3.29864932,1.84285644,0.71450676,0.54962021,0.00342570,0.17292296,0.24326926,0.47361525,0.45070668,0.00000000
3.30465233,1.74033411,0.65334937,0.52518571,0.00308187,0.16161990,0.23311422,0.44435237,0.42356429,0.00000000
3.31065533,1.64196491,0.59497619,0.50179786,0.00275962,0.15072537,0.22321316,0.41613439,0.39790942,0.00000000
3.31665833,1.54849216,0.53992236,0.47954057,0.00246206,0.14033382,0.21363465,0.38922950,0.37394888,0.00000000
3.32266133,1.46054675,0.48862789,0.45848453,0.00219167,0.13052335,0.20444335,0.36386631,0.35186026,0.00000000
3.32866433,1.37866028,0.44143797,0.43869364,0.00195039,0.12135666,0.19570277,0.34023538,0.33179483,0.00000000
3.33466733,1.30327905,0.39860570,0.42023072,0.00173967,0.11288236,0.18747798,0.31849148,0.31388075,0.00000000
3.34067034,1.23477747,0.36029711,0.40316200,0.00156053,0.10513644,0.17983804,0.29875633,0.29822598,0.00000000
3.34667334,1.17346983,0.32659774,0.38756016,0.00141367,0.09814380,0.17285801,0.28112149,0.28492093,0.00000000
3.35267634,1.11961936,0.29752028,0.37350580,0.00129948,0.09191977,0.16662032,0.26565095,0.27404033,0.00000000
3.35867934,1.07344400,0.27301281,0.36108703,0.00121819,0.08647146,0.16121555,0.25238349,0.26564439,0.00000000
3.36468234,1.03511868,0.25296715,0.35039759,0.00116990,0.08179883,0.15674235,0.24133443,0.25977915,0.00000000
3.37068534,1.00477387,0.23722697,0.34153329,0.00115463,0.07789559,0.15330668,0.23249673,0.25647589,0.00000000
3.37668834,0.98249106,0.22559545,0.33458734,0.00117239,0.07474972,0.15102023,0.22584164,0.25574991,0.00000000
3.38269135,0.96829561,0.21784211,0.32964466,0.00122319,0.07234378,0.14999821,0.22131871,0.25759867,0.00000000
3.38869435,0.96214773,0.21370908,0.32677577,0.00130705,0.07065498,0.15035649,0.21885553,0.26199950,0.00000000
3.39469735,0.96393279,0.21291639,0.32603054,0.00142400,0.06965502,0.15220820,0.21835721,0.26890730,0.00000000
3.40070035,0.97345169,0.21516675,0.32743214,0.00157407,0.06930993,0.15566005,0.21970598,0.27825218,0.00000000
3.40670335,0.99041253,0.22014961,0.33097185,0.00175724,0.06957973,0.16080823,0.22276099,0.28993755,0.00000000
3.41270635,1.01442432,0.22754492,0.33660478,0.00197339,0.07041828,0.16773432,0.22735854,0.30383872,0.00000000
3.41870935,1.04499362,0.23702649,0.34424685,0.00222226,0.07177315,0.17650119,0.23331298,0.31980226,0.00000000
3.42471236,1.08152451,0.24826529,0.35377337,0.00250336,0.07358565,0.18714893,0.24041835,0.33764623,0.00000000
3.43071536,1.12332240,0.26093264,0.36501905,0.00281592,0.07579116,0.19969116,0.24845082,0.35716124,0.00000000
3.43671836,1.16960153,0.27470347,0.37777975,0.00315880,0.07831962,0.21411169,0.25717199,0.37811257,0.00000000
3.44272136,1.21949622,0.28925963,0.39181559,0.00353044,0.08109633,0.23036163,0.26633296,0.40024303,0.00000000
3.44872436,1.27207527,0.30429311,0.40685559,0.00392880,0.08404296,0.24835715,0.27567909,0.42327663,0.00000000
3.45472736,1.32635910,0.31950934,0.42260338,0.00435126,0.08707880,0.26797793,0.28495520,0.44692287,0.00000000
3.46073037,1.38133882,0.33463021,0.43874381,0.00479468,0.09012220,0.28906641,0.29391122,0.47088137,0.00000000
3.46673337,1.43599648,0.34939689,0.45495026,0.00525528,0.09309214,0.31142790,0.30230775,0.49484684,0.00000000
3.47273637,1.48932563,0.36357220,0.47089224,0.00572872,0.09590985,0.33483170,0.30992160,0.51851401,0.00000000
3.47873937,1.54035152,0.37694248,0.48624302,0.00621006,0.09850048,0.35901322,0.31655084,0.54158256,0.00000000
3.48474237,1.58815000,0.38931885,0.50068703,0.00669387,0.10079465,0.38367711,0.32201931,0.56376168,0.00000000
3.49074537,1.63186479,0.40053784,0.51392683,0.00717425,0.10272996,0.40850157,0.32618029,0.58477443,0.00000000
3.49674837,1.67072241,0.41046133,0.52568939,0.00764495,0.10425227,0.43314360,0.32891925,0.60436163,0.00000000
3.50275138,1.70404467,0.41897588,0.53573156,0.00809948,0.10531680,0.45724527,0.33015559,0.62228542,0.00000000
3.50875438,1.73125841,0.42599156,0.54384462,0.00853122,0.10588890,0.48044099,0.32984334,0.63833245,0.00000000
3.51475738,1.75190256,0.43144029,0.54985786,0.00893360,0.10594464,0.50236534,0.32797075,0.65231672,0.00000000
3.52076038,1.76563269,0.43527395,0.55364122,0.00930024,0.10547101,0.52266161,0.32455899,0.66408225,0.00000000
3.52676338,1.77222311,0.43746244,0.55510684,0.00962511,0.10446590,0.54099063,0.31965991,0.67350546,0.00000000
3.53276638,1.77156690,0.43799167,0.55420982,0.00990268,0.10293773,0.55703960,0.31335315,0.68049747,0.00000000
3.53876938,1.76367408,0.43686184,0.55094803,0.01012809,0.10090488,0.57053076,0.30574257,0.68500623,0.00000000
3.54477239,1.74866824,0.43408605,0.54536111,0.01029727,0.09839481,0.58122941,0.29695243,0.68701840,0.00000000
3.55077539,1.72678168,0.42968924,0.53752878,0.01040707,0.09544309,0.58895115,0.28712320,0.68656110,0.00000000
3.55677839,1.69834949,0.42370756,0.52756844,0.01045535,0.09209214,0.59356784,0.27640745,0.68370307,0.00000000
3.56278139,1.66380241,0.41618823,0.51563220,0.01044106,0.08839001,0.59501212,0.26496566,0.67855548,0.00000000
3.56878439,1.62365858,0.40718965,0.50190333,0.01036426,0.08438895,0.59328020,0.25296239,0.67127182,0.00000000
3.57478739,1.57851423,0.39678177,0.48659218,0.01022612,0.08014407,0.58843282,0.24056258,0.66204695,0.00000000
3.58079040,1.52903314,0.38504663,0.46993168,0.01002891,0.07571192,0.58059408,0.22792835,0.65111491,0.00000000
3.58679340,1.47593492,0.37207878,0.45217241,0.00977595,0.07114925,0.56994834,0.21521605,0.63874554,0.00000000
3.59279640,1.41998198,0.35798556,0.43357733,0.00947146,0.06651173,0.55673512,0.20257379,0.62523959,0.00000000
3.59879940,1.36196534,0.34288702,0.41441621,0.00912052,0.06185287,0.54124212,0.19013931,0.61092243,0.00000000
3.60480240,1.30268935,0.32691544,0.39495987,0.00872888,0.05722305,0.52379669,0.17803827,0.59613641,0.00000000
3.61080540,1.24295547,0.31021433,0.37547439,0.00830281,0.05266872,0.50475599,0.16638283,0.58123191,0.00000000
3.61680840,1.18354555,0.29293682,0.35621534,0.00784896,0.04823176,0.48449620,0.15527057,0.56655745,0.00000000
3.62281141,1.12520500,0.27524364,0.33742217,0.00737417,0.04394901,0.46340128,0.14478375,0.55244911,0.00000000
3.62881441,1.06862631,0.25730053,0.31931305,0.00688533,0.03985196,0.44185157,0.13498877,0.53921981,0.00000000
3.63481741,1.01443360,0.23927532,0.30208017,0.00638918,0.03596665,0.42021287,0.12593595,0.52714872,0.00000000
3.64082041,0.96316880,0.22133482,0.28588579,0.00589220,0.03231366,0.39882626,0.11765952,0.51647154,0.00000000
3.64682341,0.91528000,0.20364157,0.27085913,0.00540048,0.02890831,0.37799918,0.11017793,0.50737201,0.00000000
3.65282641,0.87111271,0.18635071,0.25709423,0.00491961,0.02576095,0.35799806,0.10349442,0.49997514,0.00000000
3.65882941,0.83090440,0.16960711,0.24464897,0.00445461,0.02287738,0.33904274,0.09759778,0.49434274,0.00000000
3.66483242,0.79478265,0.15354291,0.23354522,0.00400989,0.02025933,0.32130293,0.09246351,0.49047132,0.00000000
3.67083542,0.76276727,0.13827557,0.22377020,0.00358919,0.01790506,0.30489680,0.08805516,0.48829280,0.00000000
3.67683842,0.73477630,0.12390657,0.21527902,0.00319563,0.01580997,0.28989154,0.08432599,0.48767788,0.00000000
3.68284142,0.71063569,0.11052077,0.20799823,0.00283171,0.01396722,0.27630605,0.08122078,0.48844224,0.00000000
3.68884442,0.69009241,0.09818642,0.20183048,0.00249936,0.01236845,0.26411537,0.07867798,0.49035507,0.00000000
3.69484742,0.67283040,0.08695595,0.19665973,0.00220003,0.01100434,0.25325660,0.07663181,0.49314974,0.00000000
3.70085043,0.65848853,0.07686723,0.19235726,0.00193473,0.00986528,0.24363607,0.07501461,0.49653599,0.00000000
3.70685343,0.64667996,0.06794545,0.18878776,0.00170419,0.00894187,0.23513734,0.07375908,0.50021313,0.00000000
3.71285643,0.63701183,0.06020533,0.18581556,0.00150889,0.00822543,0.22762960,0.07280048,0.50388354,0.00000000
3.71885943,0.62910429,0.05365355,0.18331066,0.00134922,0.00770839,0.22097611,0.07207865,0.50726575,0.00000000
3.72486243,0.62260820,0.04829144,0.18115408,0.00122554,0.00738457,0.21504222,0.07153977,0.51010642,0.00000000
3.73086543,0.61722026,0.04411741,0.17924265,0.00113829,0.00724935,0.20970267,0.07113785,0.51219073,0.00000000
3.73686843,0.61269518,0.04112938,0.17749267,0.00108806,0.00729980,0.20484789,0.07083572,0.51335046,0.00000000
3.74287144,0.60885410,0.03932675,0.17584254,0.00107567,0.00753455,0.20038891,0.07060571,0.51346939,0.00000000
3.74887444,0.60558891,0.03871201,0.17425409,0.00110217,0.00795366,0.19626085,0.07042975,0.51248597,0.00000000
3.75487744,0.60286237,0.03929179,0.17271264,0.00116895,0.00855830,0.19242480,0.07029908,0.51039288,0.00000000
3.76088044,0.60070389,0.04107721,0.17122580,0.00127762,0.00935033,0.18886809,0.07021347,0.50723371,0.00000000
3.76688344,0.59920156,0.04408368,0.16982103,0.00143010,0.01033182,0.18560304,0.07018001,0.50309709,0.00000000
3.77288644,0.59849046,0.04832996,0.16854222,0.00162848,0.01150442,0.18266424,0.07021161,0.49810848,0.00000000
3.77888944,0.59873837,0.05383648,0.16744534,0.00187498,0.01286871,0.18010467,0.07032515,0.49242026,0.00000000
3.78489245,0.60012934,0.06062315,0.16659348,0.00217180,0.01442351,0.17799070,0.07053949,0.48620070,0.00000000
3.79089545,0.60284613,0.06870646,0.16605150,0.00252107,0.01616519,0.17639653,0.07087342,0.47962254,0.00000000
3.79689845,0.60705257,0.07809624,0.16588069,0.00292458,0.01808703,0.17539809,0.07134359,0.47285169,0.00000000
3.80290145,0.61287667,0.08879202,0.16613345,0.00338371,0.02017857,0.17506688,0.07196266,0.46603687,0.00000000
3.80890445,0.62039536,0.10077917,0.16684861,0.00389921,0.02242516,0.17546406,0.07273756,0.45930068,0.00000000
3.81490745,0.62962193,0.11402517,0.16804736,0.00447100,0.02480761,0.17663494,0.07366822,0.45273254,0.00000000
3.82091046,0.64049644,0.12847593,0.16973012,0.00509801,0.02730198,0.17860427,0.07474657,0.44638393,0.00000000
3.82691346,0.65288005,0.14405262,0.17187449,0.00577802,0.02987963,0.18137249,0.07595604,0.44026607,0.00000000
3.83291646,0.66655324,0.16064899,0.17443434,0.00650751,0.03250740,0.18491307,0.07727148,0.43435009,0.00000000
3.83891946,0.68121818,0.17812963,0.17734022,0.00728156,0.03514810,0.18917115,0.07865961,0.42856963,0.00000000
3.84492246,0.69650523,0.19632906,0.18050085,0.00809378,0.03776115,0.19406339,0.08007981,0.42282556,0.00000000
3.85092546,0.71198301,0.21505208,0.18380579,0.00893627,0.04030348,0.19947918,0.08148542,0.41699255,0.00000000
3.85692846,0.72717190,0.23407522,0.18712914,0.00979971,0.04273055,0.20528308,0.08282531,0.41092700,0.00000000
3.86293147,0.74155995,0.25314960,0.19033395,0.01067341,0.04499757,0.21131838,0.08404568,0.40447579,0.00000000
3.86893447,0.75462081,0.27200499,0.19327731,0.01154551,0.04706077,0.21741160,0.08509209,0.39748541,0.00000000
3.87493747,0.76583252,0.29035513,0.19581573,0.01240318,0.04887876,0.22337782,0.08591148,0.38981087,0.00000000
3.88094047,0.77469654,0.30790413,0.19781060,0.01323292,0.05041384,0.22902654,0.08645426,0.38132394,0.00000000
3.88694347,0.78075589,0.32435379,0.19913353,0.01402086,0.05163327,0.23416784,0.08667614,0.37192028,0.00000000
3.89294647,0.78361193,0.33941153,0.19967120,0.01475318,0.05251033,0.23861860,0.08653985,0.36152519,0.00000000
3.89894947,0.78293862,0.35279870,0.19932961,0.01541643,0.05302531,0.24220853,0.08601654,0.35009760,0.00000000
