energy_ev,total_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.21047386,0.57147957,0.27402365,0.37670150,0.15444197,0.00127262,0.11197212,0.01558533,0.57308937
-5.99399700,1.25128612,0.58652843,0.29010251,0.37972304,0.15749042,0.00145128,0.11328991,0.01692779,0.59251809
-5.98799400,1.29035130,0.59953250,0.30621997,0.38130845,0.16088309,0.00165574,0.11420869,0.01834108,0.61025215
-5.98199100,1.32737355,0.61039974,0.32227412,0.38137370,0.16462684,0.00188917,0.11469996,0.01981784,0.62611791
-5.97598799,1.36213117,0.61910491,0.33816856,0.37987088,0.16873099,0.00215473,0.11474499,0.02134965,0.63999030
-5.96998499,1.39448177,0.62569154,0.35381345,0.37679188,0.17320701,0.00245553,0.11433583,0.02292715,0.65179609
-5.96398199,1.42436354,0.63027077,0.36912622,0.37217043,0.17806800,0.00279441,0.11347595,0.02453998,0.66151508
-5.95797899,1.45179262,0.63301714,0.38403185,0.36608239,0.18332759,0.00317389,0.11218035,0.02617689,0.66917903
-5.95197599,1.47685659,0.63416145,0.39846284,0.35864421,0.18899856,0.00359591,0.11047517,0.02782581,0.67486845
-5.94597299,1.49970430,0.63398099,0.41235873,0.35000978,0.19509105,0.00406174,0.10839693,0.02947399,0.67870734
-5.93996998,1.52053273,0.63278754,0.42566536,0.34036559,0.20161054,0.00457175,0.10599119,0.03110811,0.68085623
-5.93396698,1.53957142,0.63091387,0.43833377,0.32992467,0.20855569,0.00512529,0.10331102,0.03271448,0.68150380
-5.92796398,1.55706552,0.62869930,0.45031899,0.31891954,0.21591622,0.00572052,0.10041507,0.03427915,0.68085758
-5.92196098,1.57325818,0.62647516,0.46157859,0.30759442,0.22367090,0.00635430,0.09736557,0.03578814,0.67913419
-5.91595798,1.58837342,0.62455076,0.47207123,0.29619728,0.23178590,0.00702211,0.09422617,0.03722758,0.67654959
-5.90995498,1.60260028,0.62320071,0.48175530,0.28497190,0.24021353,0.00771803,0.09105986,0.03858387,0.67330981
-5.90395198,1.61607918,0.62265408,0.49058757,0.27415039,0.24889157,0.00843471,0.08792700,0.03984387,0.66960257
-5.89794897,1.62889111,0.62308596,0.49852215,0.26394642,0.25774328,0.00916353,0.08488357,0.04099501,0.66559027
-5.89194597,1.64105026,0.62461166,0.50550971,0.25454938,0.26667800,0.00989462,0.08197963,0.04202544,0.66140439
-5.88594297,1.65250026,0.62728385,0.51149705,0.24611975,0.27559256,0.01061717,0.07925812,0.04292415,0.65714171
-5.87993997,1.66311439,0.63109250,0.51642709,0.23878556,0.28437327,0.01131961,0.07675400,0.04368111,0.65286235
-5.87393697,1.67269938,0.63596758,0.52023934,0.23264022,0.29289852,0.01198993,0.07449371,0.04428733,0.64858956
-5.86793397,1.68100276,0.64178417,0.52287083,0.22774145,0.30104184,0.01261603,0.07249491,0.04473501,0.64431125
-5.86193097,1.68772313,0.64836950,0.52425754,0.22411145,0.30867531,0.01318611,0.07076665,0.04501763,0.63998304
-5.85592796,1.69252287,0.65551160,0.52433620,0.22173798,0.31567309,0.01368902,0.06930962,0.04513007,0.63553256
-5.84992496,1.69504260,0.66296887,0.52304664,0.22057633,0.32191499,0.01411470,0.06811676,0.04506874,0.63086480
-5.84392196,1.69491659,0.67048014,0.52033430,0.22055204,0.32728988,0.01445449,0.06717397,0.04483170,0.62586812
-5.83791896,1.69178848,0.67777466,0.51615304,0.22156407,0.33169880,0.01470153,0.06646099,0.04441879,0.62042066
-5.83191596,1.68532657,0.68458167,0.51046806,0.22348844,0.33505761,0.01485099,0.06595232,0.04383175,0.61439682
