energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.04832875,0.36324027,1.48300880,0.00398004,0.08839663,0.17830621,0.11554463,0.28239000,0.00000000
-5.99399700,1.95659048,0.36474106,1.40795902,0.00396849,0.08418590,0.16698759,0.11154864,0.27552266,0.00000000
-5.98799400,1.87272349,0.36915200,1.33785642,0.00394316,0.08014887,0.15750655,0.10798088,0.27051612,0.00000000
-5.98199100,1.79695454,0.37636609,1.27302536,0.00390399,0.07627355,0.14983366,0.10481475,0.26731621,0.00000000
-5.97598799,1.72948754,0.38626984,1.21375842,0.00385135,0.07255420,0.14393081,0.10203098,0.26586377,0.00000000
-5.96998499,1.67050732,0.39874588,1.16031692,0.00378596,0.06899159,0.13975348,0.09961794,0.26609695,0.00000000
-5.96398199,1.62017936,0.41367440,1.11292951,0.00370898,0.06559297,0.13725231,0.09757136,0.26795274,0.00000000
-5.95797899,1.57864555,0.43093348,1.07178887,0.00362187,0.06237156,0.13637398,0.09589358,0.27136758,0.00000000
-5.95197599,1.54601631,0.45039830,1.03704657,0.00352640,0.05934570,0.13706143,0.09459237,0.27627721,0.00000000
-5.94597299,1.52235988,0.47193943,1.00880657,0.00342461,0.05653785,0.13925346,0.09367944,0.28261568,0.00000000
-5.93996998,1.50768929,0.49542040,0.98711766,0.00331870,0.05397330,0.14288381,0.09316878,0.29031374,0.00000000
-5.93396698,1.50194812,0.52069467,0.97196545,0.00321097,0.05167891,0.14787987,0.09307485,0.29929668,0.00000000
-5.92796398,1.50499604,0.54760229,0.96326448,0.00310380,0.04968180,0.15416109,0.09341085,0.30948189,0.00000000
-5.92196098,1.51659513,0.57596654,0.96085098,0.00299954,0.04800814,0.16163736,0.09418708,0.32077621,0.00000000
-5.91595798,1.53639819,0.60559079,0.96447705,0.00290044,0.04668209,0.17020749,0.09540955,0.33307343,0.00000000
-5.90995498,1.56393989,0.63625583,0.97380680,0.00280865,0.04572493,0.17975787,0.09707882,0.34625207,0.00000000
