energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,15.01401502,3.73499813,9.89579038,0.03338902,0.96866004,0.91459962,0.47543296,0.09075372,2.34219566
-5.99399700,14.75223085,3.74401787,9.69358495,0.03376964,0.96365119,0.90307183,0.46770142,0.08803632,2.30514796
-5.98799400,14.49552517,3.75140581,9.49686863,0.03427301,0.95887847,0.89096949,0.46030998,0.08534062,2.26845820
-5.98199100,14.24740413,3.75728541,9.30807298,0.03489966,0.95434468,0.87851371,0.45343067,0.08269337,2.23285137
-5.97598799,14.01097645,3.76171300,9.12933317,0.03564751,0.95003711,0.86592092,0.44722029,0.08011791,2.19899935
-5.96998499,13.78887853,3.76468161,8.96243726,0.03651212,0.94592605,0.85339721,0.44181680,0.07763358,2.16750321
-5.96398199,13.58322566,3.76612976,8.80879314,0.03748710,0.94196457,0.84113407,0.43733667,0.07525543,2.13888003
-5.95797899,13.39558995,3.76595436,8.66941347,0.03856461,0.93808937,0.82930580,0.43387329,0.07299410,2.11355471
-5.95197599,13.22700372,3.76402695,8.54491777,0.03973588,0.93422263,0.81806845,0.43149646,0.07085592,2.09185667
-5.94597299,13.07798604,3.76021189,8.43555025,0.04099180,0.93027479,0.80756027,0.43025290,0.06884326,2.07402114
-5.93996998,12.94858867,3.75438540,8.34121113,0.04232347,0.92614790,0.79790331,0.43016752,0.06695506,2.06019449
-5.93396698,12.83845726,3.74645387,8.26149860,0.04372272,0.92173943,0.78920600,0.43124542,0.06518743,2.05044265
-5.92796398,12.74690266,3.73637019,8.19575848,0.04518247,0.91694629,0.78156616,0.43347427,0.06353447,2.04476184
-5.92196098,12.67297750,3.72414691,8.14313845,0.04669706,0.91166876,0.77507416,0.43682702,0.06198903,2.04309038
-5.91595798,12.61555316,3.70986511,8.10264371,0.04826237,0.90581432,0.76981574,0.44126456,0.06054355,2.04532062
-5.90995498,12.57339295,3.69367849,8.07319152,0.04987576,0.89930098,0.76587414,0.44673829,0.05919083,2.05131015
-5.90395198,12.54521780,3.67581208,8.05366212,0.05153586,0.89206019,0.76333127,0.45319233,0.05792465,2.06089136
-5.89794897,12.52976197,3.65655586,8.04294426,0.05324220,0.88403914,0.76226766,0.46056542,0.05674038,2.07387888
-5.89194597,12.52581714,3.63625359,8.03997405,0.05499465,0.87520252,0.76276118,0.46879225,0.05563529,2.09007459
-5.88594297,12.53226411,3.61528761,8.04376630,0.05679281,0.86553366,0.76488442,0.47780443,0.05460878,2.10927003
-5.87993997,12.54809243,3.59406081,8.05343811,0.05863523,0.85503514,0.76870102,0.48753095,0.05366245,2.13124665
-5.87393697,12.57240900,3.57297699,8.06822463,0.06051867,0.84372895,0.77426111,0.49789838,0.05279988,2.15577396
-5.86793397,12.60443708,3.55242111,8.08748766,0.06243738,0.83165623,0.78159629,0.50883080,0.05202643,2.18260648
-5.86193097,12.64350776,3.53274089,8.11071735,0.06438245,0.81887669,0.79071439,0.52024955,0.05134872,2.21148004
-5.85592796,12.68904590,3.51423118,8.13752803,0.06634129,0.80546784,0.80159471,0.53207309,0.05077421,2.24210814
-5.84992496,12.74055262,3.49712225,8.16764873,0.06829731,0.79152391,0.81418390,0.54421695,0.05031055,2.27417925
-5.84392196,12.79758623,3.48157300,8.20090934,0.07022984,0.77715473,0.82839310,0.55659380,0.04996501,2.30735558
-5.83791896,12.85974318,3.46766963,8.23722303,0.07211422,0.76248430,0.84409655,0.56911395,0.04974393,2.34127383
-5.83191596,12.92664021,3.45542990,8.27656582,0.07392230,0.74764928,0.86113200,0.58168606,0.04965213,2.37554839
-5.82591296,12.99789875,3.44481294,8.31895399,0.07562301,0.73279725,0.87930296,0.59421824,0.04969249,2.40977696
