energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,7.32462865,2.36597788,0.78684905,0.03943954,0.47973743,3.34008580,2.36249263,0.04400638,4.04533300
-5.99399700,7.23291622,2.35752370,0.78263035,0.03892205,0.47195934,3.29843526,2.32635825,0.04287418,3.99587707
-5.98799400,7.13057388,2.34432697,0.77895448,0.03841330,0.46366241,3.24863239,2.28577197,0.04177469,3.94051383
-5.98199100,7.01893984,2.32681287,0.77597541,0.03791382,0.45491949,3.19154406,2.24114708,0.04070501,3.88011575
-5.97598799,6.89950335,2.30548386,0.77382522,0.03742324,0.44581751,3.12817478,2.19296752,0.03966184,3.81563287
-5.96998499,6.77386199,2.28090038,0.77260867,0.03694046,0.43645569,3.05963685,2.14177436,0.03864184,3.74806366
-5.96398199,6.64367468,2.25365886,0.77239821,0.03646380,0.42694336,2.98711683,2.08815078,0.03764182,3.67842355
-5.95797899,6.51061227,2.22436811,0.77322996,0.03599118,0.41739751,2.91183975,2.03270612,0.03665903,3.60771253
-5.95197599,6.37630753,2.19362513,0.77510053,0.03552018,0.40793989,2.83503224,1.97605954,0.03569123,3.53688305
-5.94597299,6.24230674,2.16199153,0.77796508,0.03504824,0.39869412,2.75788621,1.91882381,0.03473683,3.46680957
-5.93996998,6.11002482,2.12997179,0.78173669,0.03457267,0.38978255,2.68152445,1.86159005,0.03379488,3.39826122
-5.93396698,5.98070613,2.09799446,0.78628712,0.03409078,0.38132338,2.60696941,1.80491379,0.03286510,3.33187857
-5.92796398,5.85539252,2.06639713,0.79144904,0.03359997,0.37342780,2.53511661,1.74930293,0.03194776,3.26815573
-5.92196098,5.73490020,2.03541596,0.79701970,0.03309771,0.36619761,2.46671352,1.69520804,0.03104364,3.20742852
-5.91595798,5.61980642,2.00518037,0.80276603,0.03258166,0.35972322,2.40234475,1.64301526,0.03015386,3.14986920
-5.90995498,5.51044648,1.97571295,0.80843089,0.03204969,0.35408223,2.34242417,1.59304203,0.02927981,3.09548796
-5.90395198,5.40692113,1.94693460,0.81374051,0.03149991,0.34933870,2.28719396,1.54553568,0.02842298,3.04414110
-5.89794897,5.30911408,1.91867463,0.81841258,0.03093074,0.34554301,2.23673067,1.50067474,0.02758490,2.99554539
-5.89194597,5.21671856,1.89068521,0.82216503,0.03034094,0.34273255,2.19095788,1.45857293,0.02676701,2.94929799
-5.88594297,5.12927180,1.86265940,0.82472493,0.02972966,0.34093298,2.14966475,1.41928543,0.02597060,2.90490096
-5.87993997,5.04619586,1.83425178,0.82583732,0.02909650,0.34016023,2.11252965,1.38281708,0.02519678,2.86178922
-5.87393697,4.96684290,1.80510083,0.82527366,0.02844153,0.34042301,2.07914783,1.34913214,0.02444650,2.81936079
-5.86793397,4.89054305,1.77485174,0.82283960,0.02776538,0.34172581,2.04906190,1.31816512,0.02372052,2.77700805
-5.86193097,4.81665284,1.74317880,0.81838177,0.02706924,0.34407223,2.02179385,1.28983224,0.02301950,2.73414868
-5.85592796,4.74460235,1.70980623,0.81179353,0.02635491,0.34746845,1.99687733,1.26404304,0.02234406,2.69025525
-5.84992496,4.67393905,1.67452659,0.80301927,0.02562480,0.35192678,1.97388888,1.24071167,0.02169485,2.64488222
-5.84392196,4.60436697,1.63721608,0.79205751,0.02488201,0.35746902,1.95247683,1.21976757,0.02107272,2.59768955
-5.83791896,4.53577949,1.59784606,0.77896240,0.02413024,0.36412948,1.93238668,1.20116503,0.02047873,2.54846208
-5.83191596,4.46828471,1.55649040,0.76384385,0.02337385,0.37195753,1.91348203,1.18489144,0.01991436,2.49712425
-5.82591296,4.40222244,1.51332853,0.74686634,0.02261780,0.38101939,1.89576006,1.17097377,0.01938156,2.44374958
-5.81990995,4.33817208,1.46864405,0.72824632,0.02186763,0.39139916,1.87936092,1.15948329,0.01888285,2.38856481
-5.81390695,4.27695105,1.42281914,0.70824851,0.02112938,0.40319878,1.86457050,1.15053801,0.01842142,2.33194875
-5.80790395,4.21960359,1.37632507,0.68718113,0.02040959,0.41653695,1.85181635,1.14430308,0.01800114,2.27442574
-5.80190095,4.16738006,1.32970917,0.66539018,0.01971512,0.43154677,1.84165672,1.14098864,0.01762665,2.21665420
-5.79589795,4.12170724,1.28357903,0.64325305,0.01905316,0.44837224,1.83476284,1.14084543,0.01730330,2.15941059
-5.78989495,4.08415011,1.23858435,0.62117146,0.01843107,0.46716346,1.83189514,1.14415800,0.01703711,2.10356918
-5.78389195,4.05636637,1.19539733,0.59956392,0.01785627,0.48807073,1.83387400,1.15123562,0.01683472,2.05007853
-5.77788894,4.04005466,1.15469235,0.57885797,0.01733615,0.51123761,1.84154607,1.16240122,0.01670326,1.99993506
-5.77188594,4.03689823,1.11712559,0.55948217,0.01687789,0.53679312,1.85574747,1.17797844,0.01665015,1.95415486
-5.76588294,4.04850565,1.08331547,0.54185812,0.01648836,0.56484348,1.87726529,1.19827736,0.01668296,1.91374434
-5.75987994,4.07635072,1.05382461,0.52639256,0.01617394,0.59546344,1.90679886,1.22357917,0.01680914,1.87967078
-5.75387694,4.12171359,1.02914386,0.51346976,0.01594043,0.62868796,1.94492273,1.25412053,0.01703580,1.85283380
-5.74787394,4.18562542,1.00967907,0.50344433,0.01579288,0.66450422,1.99205283,1.29007803,0.01736940,1.83403848
-5.74187094,4.26881885,0.99574094,0.49663454,0.01573545,0.70284472,2.04841768,1.33155351,0.01781551,1.82397134
-5.73586793,4.37168632,0.98753835,0.49331633,0.01577134,0.74358167,2.11403595,1.37856090,0.01837852,1.82317978
-5.72986493,4.49424836,0.98517532,0.49371817,0.01590270,0.78652322,2.18870192,1.43101517,0.01906139,1.83205589
-5.72386193,4.63613333,0.98865152,0.49801684,0.01613052,0.83141171,2.27197970,1.48872403,0.01986543,1.85082514
-5.71785893,4.79656995,0.99786642,0.50633415,0.01645464,0.87792429,2.36320674,1.55138287,0.02079013,1.87954039
-5.71185593,4.97439321,1.01262648,0.51873491,0.01687375,0.92567602,2.46150710,1.61857328,0.02183301,1.91808134
-5.70585293,5.16806393,1.03265530,0.53522588,0.01738540,0.97422557,2.56581382,1.68976554,0.02298961,1.96615957
-5.69984992,5.37570130,1.05760590,0.55575597,0.01798608,1.02308335,2.67490000,1.76432493,0.02425346,2.02332862
-5.69384692,5.59512750,1.08707465,0.58021753,0.01867130,1.07172187,2.78741712,1.84152194,0.02561620,2.08899890
-5.68784392,5.82392253,1.12061608,0.60844865,0.01943574,1.11958814,2.90193897,1.92054607,0.02706773,2.16245641
-5.68184092,6.05948709,1.15775788,0.64023651,0.02027337,1.16611745,3.01700937,2.00052266,0.02859644,2.24288458
-5.67583792,6.29911098,1.19801532,0.67532146,0.02117759,1.21074824,3.13119126,2.08053232,0.03018952,2.32938806
-5.66983492,6.54004397,1.24090439,0.71340188,0.02214145,1.25293731,3.24311485,2.15963212,0.03183325,2.42101738
-5.66383192,6.77956613,1.28595318,0.75413948,0.02315776,1.29217476,3.35152247,2.23687775,0.03351343,2.51679328
-5.65782891,7.01505472,1.33271089,0.79716498,0.02421923,1.32799813,3.45530782,2.31134584,0.03521574,2.61572971
-5.65182591,7.24404468,1.38075425,0.84208398,0.02531865,1.36000500,3.55354767,2.38215557,0.03692610,2.71685429
-5.64582291,7.46428028,1.42969102,0.88848280,0.02644896,1.38786362,3.64552433,2.44848869,0.03863104,2.81922571
-5.63981991,7.67375600,1.47916083,0.93593422,0.02760335,1.41132100,3.73073781,2.50960726,0.04031799,2.92194713
-5.63381691,7.87074521,1.52883324,0.98400295,0.02877528,1.43020821,3.80890705,2.56486840,0.04197554,3.02417544
-5.62781391,8.05381577,1.57840354,1.03225076,0.02995856,1.44444265,3.87996012,2.61373570,0.04359360,3.12512618
-5.62181091,8.22183267,1.62758663,1.08024125,0.03114730,1.45402714,3.94401424,2.65578673,0.04516349,3.22407429
