energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.10717814,0.41092416,0.55566153,0.06027998,0.03399402,0.03705237,1.73355087
-5.99399700,3.12920314,0.41284026,0.55790023,0.06079649,0.03367239,0.03715307,1.74910306
-5.98799400,3.13734739,0.41305006,0.55746625,0.06108291,0.03318105,0.03712934,1.75718526
-5.98199100,3.13225495,0.41162855,0.55453528,0.06116811,0.03252692,0.03699785,1.75810056
-5.97598799,3.11495729,0.40870257,0.54935514,0.06108799,0.03172230,0.03678100,1.75236088
-5.96998499,3.08682527,0.40444371,0.54223686,0.06088447,0.03078418,0.03650615,1.74066080
-5.96398199,3.04951164,0.39906024,0.53354376,0.06060440,0.02973336,0.03620475,1.72384640
-5.95797899,3.00488657,0.39278833,0.52367915,0.06029824,0.02859362,0.03591135,1.70288047
-5.95197599,2.95496905,0.38588298,0.51307295,0.06001869,0.02739068,0.03566251,1.67880556
-5.94597299,2.90185706,0.37860905,0.50216795,0.05981936,0.02615137,0.03549572,1.65270666
-5.93996998,2.84765914,0.37123272,0.49140607,0.05975338,0.02490267,0.03544830,1.62567471
-5.93396698,2.79442983,0.36401369,0.48121523,0.05987207,0.02367092,0.03555631,1.59877251
-5.92796398,2.74411119,0.35719833,0.47199709,0.06022375,0.02248107,0.03585353,1.57300402
-5.92196098,2.69848184,0.35101392,0.46411615,0.06085260,0.02135608,0.03637056,1.54928791
-5.91595798,2.65911478,0.34566418,0.45789038,0.06179767,0.02031645,0.03713396,1.52843593
-5.90995498,2.62734456,0.34132592,0.45358369,0.06309201,0.01937989,0.03816553,1.51113637
-5.90395198,2.60424401,0.33814689,0.45140015,0.06476190,0.01856114,0.03948181,1.49794269
-5.89794897,2.59061019,0.33624473,0.45148021,0.06682626,0.01787192,0.04109361,1.48926695
-5.89194597,2.58695920,0.33570674,0.45389878,0.06929614,0.01732106,0.04300577,1.48537782
-5.88594297,2.59352883,0.33659057,0.45866511,0.07217429,0.01691473,0.04521711,1.48640269
-5.87993997,2.61028837,0.33892537,0.46572446,0.07545493,0.01665676,0.04772053,1.49233310
-5.87393697,2.63695445,0.34271350,0.47496127,0.07912354,0.01654912,0.05050325,1.50303324
-5.86793397,2.67301214,0.34793254,0.48620387,0.08315685,0.01659245,0.05354725,1.51825076
-5.86193097,2.71774023,0.35453755,0.49923044,0.08752287,0.01678659,0.05682991,1.53762954
-5.85592796,2.77024003,0.36246349,0.51377608,0.09218118,0.01713125,0.06032471,1.56072391
-5.84992496,2.82946692,0.37162778,0.52954084,0.09708322,0.01762659,0.06400209,1.58701414
-5.84392196,2.89426385,0.38193291,0.54619844,0.10217290,0.01827384,0.06783039,1.61592274
-5.83791896,2.96339629,0.39326926,0.56340555,0.10738732,0.01907585,0.07177689,1.64683137
-5.83191596,3.03558775,0.40551785,0.58081124,0.11265764,0.02003753,0.07580876,1.67909815
-5.82591296,3.10955513,0.41855330,0.59806659,0.11791019,0.02116628,0.07989407,1.71207497
-5.81990995,3.18404315,0.43224672,0.61483384,0.12306778,0.02247216,0.08400269,1.74512453
-5.81390695,3.25785680,0.44646867,0.63079510,0.12805105,0.02396799,0.08810703,1.77763665
-5.80790395,3.32989085,0.46109186,0.64566023,0.13278012,0.02566919,0.09218267,1.80904352
-5.80190095,3.39915536,0.47599385,0.65917350,0.13717617,0.02759350,0.09620873,1.83883313
-5.79589795,3.46479620,0.49105915,0.67111900,0.14116319,0.02976038,0.10016806,1.86656071
-5.78989495,3.52610965,0.50618108,0.68132447,0.14466966,0.03219025,0.10404712,1.89185736
-5.78389195,3.58255033,0.52126282,0.68966344,0.14763020,0.03490353,0.10783573,1.91443566
-5.77788894,3.63373205,0.53621785,0.69605566,0.14998715,0.03791941,0.11152647,1.93409176
-5.77188594,3.67942133,0.55096954,0.70046577,0.15169192,0.04125453,0.11511400,1.95070392
-5.76588294,3.71952392,0.56544994,0.70290040,0.15270616,0.04492154,0.11859420,1.96422746
-5.75987994,3.75406499,0.57959771,0.70340380,0.15300273,0.04892755,0.12196322,1.97468623
-5.75387694,3.78316395,0.59335543,0.70205230,0.15256631,0.05327270,0.12521657,1.98216119
-5.74787394,3.80700546,0.60666628,0.69894789,0.15139376,0.05794874,0.12834825,1.98677667
-5.74187094,3.82580838,0.61947050,0.69421137,0.14949414,0.06293785,0.13135000,1.98868504
-5.73586793,3.83979449,0.63170177,0.68797528,0.14688844,0.06821171,0.13421088,1.98805095
-5.72986493,3.84915929,0.64328386,0.68037718,0.14360895,0.07373094,0.13691694,1.98503591
-5.72386193,3.85404661,0.65412792,0.67155346,0.13969847,0.07944497,0.13945138,1.97978447
-5.71785893,3.85452919,0.66413069,0.66163417,0.13520909,0.08529236,0.14179495,1.97241281
-5.71185593,3.85059643,0.67317390,0.65073898,0.13020098,0.09120164,0.14392672,1.96300076
-5.70585293,3.84215067,0.68112506,0.63897447,0.12474084,0.09709270,0.14582515,1.95158761
-5.69984992,3.82901233,0.68783982,0.62643286,0.11890030,0.10287864,0.14746947,1.93817246
-5.69384692,3.81093401,0.69316584,0.61319220,0.11275435,0.10846812,0.14884119,1.92271880
-5.68784392,3.78762284,0.69694817,0.59931783,0.10637959,0.11376802,0.14992579,1.90516344
-5.68184092,3.75876980,0.69903588,0.58486504,0.09985267,0.11868643,0.15071438,1.88542901
-5.67583792,3.72408426,0.69928962,0.56988255,0.09324877,0.12313576,0.15120528,1.86343939
-5.66983492,3.68333153,0.69758979,0.55441672,0.08664019,0.12703591,0.15140536,1.83913690
-5.66383192,3.63637086,0.69384476,0.53851595,0.08009511,0.13031722,0.15133112,1.81250014
-5.65782891,3.58319146,0.68799869,0.52223502,0.07367659,0.13292321,0.15100921,1.78356106
-5.65182591,3.52394362,0.68003850,0.50563911,0.06744169,0.13481291,0.15047663,1.75242009
-5.64582291,3.45896293,0.66999937,0.48880704,0.06144087,0.13596262,0.14978024,1.71925804
-5.63981991,3.38878533,0.65796854,0.47183362,0.05571757,0.13636705,0.14897577,1.68434374
-5.63381691,3.31415163,0.64408694,0.45483079,0.05030804,0.13603978,0.14812619,1.64803663
-5.62781391,3.23600065,0.62854859,0.43792756,0.04524129,0.13501306,0.14729958,1.61078380
-5.62181091,3.15545075,0.61159757,0.42126853,0.04053932,0.13333678,0.14656659,1.57311140
-5.61580790,3.07377029,0.59352278,0.40501118,0.03621736,0.13107688,0.14599742,1.53561055
-5.60980490,2.99233827,0.57465048,0.38932194,0.03228436,0.12831316,0.14565870,1.49891834
-5.60380190,2.91259683,0.55533520,0.37437127,0.02874354,0.12513654,0.14561019,1.46369480
-5.59779890,2.83599811,0.53594912,0.36032790,0.02559290,0.12164607,0.14590166,1.43059706
-5.59179590,2.76394794,0.51687073,0.34735265,0.02282593,0.11794562,0.14656988,1.40025180
-5.58579290,2.69774929,0.49847293,0.33559199,0.02043219,0.11414056,0.14763620,1.37322778
-5.57978989,2.63854835,0.48111145,0.32517181,0.01839795,0.11033448,0.14910453,1.35000957
-5.57378689,2.58728603,0.46511378,0.31619156,0.01670676,0.10662611,0.15096009,1.33097413
-5.56778389,2.54465712,0.45076927,0.30871927,0.01533999,0.10310654,0.15316888,1.31637132
