energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,4.59479802,0.93301874,2.45675765,0.00298100,0.46751440,1.24940633,0.98230431,0.03824779,0.38503810
-5.99399700,4.57344045,0.94266533,2.45532941,0.00298061,0.46195346,1.25479379,0.96251719,0.03855068,0.38850473
-5.98799400,4.55341794,0.95351055,2.45515960,0.00298131,0.45604570,1.25998211,0.94315939,0.03879114,0.39231008
-5.98199100,4.53523695,0.96534204,2.45655625,0.00298439,0.44983708,1.26487983,0.92443120,0.03896855,0.39638955
-5.97598799,4.51923035,0.97790626,2.45971295,0.00299121,0.44336967,1.26935933,0.90649778,0.03908338,0.40065776
-5.96998499,4.50556369,0.99091950,2.46471056,0.00300321,0.43668215,1.27326463,0.88948910,0.03913724,0.40501208
-5.96398199,4.49425077,1.00408067,2.47152481,0.00302193,0.42981084,1.27642187,0.87350165,0.03913286,0.40933705
-5.95797899,4.48517671,1.01708516,2.48003876,0.00304901,0.42279104,1.27865171,0.85860142,0.03907409,0.41350947
-5.95197599,4.47812717,1.02963905,2.49005934,0.00308623,0.41565869,1.27978299,0.84482809,0.03896585,0.41740380
-5.94597299,4.47282129,1.04147283,2.50133666,0.00313544,0.40845215,1.27966661,0.83220002,0.03881406,0.42089781
-5.93996998,4.46894627,1.05235393,2.51358484,0.00319863,0.40121391,1.27818898,0.82071968,0.03862552,0.42387787
-5.93396698,4.46619112,1.06209720,2.52650297,0.00327786,0.39399215,1.27528384,0.81037922,0.03840778,0.42624400
-5.92796398,4.46427752,1.07057285,2.53979476,0.00337525,0.38684199,1.27094186,0.80116569,0.03816898,0.42791404
-5.92196098,4.46298551,1.07771120,2.55318589,0.00349295,0.37982617,1.26521712,0.79306581,0.03791763,0.42882709
-5.91595798,4.46217251,1.08350412,2.56643768,0.00363305,0.37301525,1.25823003,0.78606972,0.03766235,0.42894576
-5.90995498,4.46178439,1.08800278,2.57935665,0.00379754,0.36648712,1.25016643,0.78017373,0.03741168,0.42825734
-5.90395198,4.46185782,1.09131207,2.59179904,0.00398819,0.36032582,1.24127256,0.77538180,0.03717372,0.42677382
-5.89794897,4.46251366,1.09358182,2.60367053,0.00420652,0.35461969,1.23184640,0.77170560,0.03695590,0.42453063
-5.89194597,4.46394196,1.09499534,2.61492087,0.00445363,0.34945893,1.22222546,0.76916328,0.03676465,0.42158441
-5.88594297,4.46637934,1.09575601,2.62553426,0.00473013,0.34493251,1.21277180,0.76777700,0.03660510,0.41800981
-5.87993997,4.47008026,1.09607262,2.63551591,0.00503605,0.34112482,1.20385514,0.76756917,0.03648086,0.41389546
-5.87393697,4.47528407,1.09614437,2.64487609,0.00537071,0.33811193,1.19583481,0.76855799,0.03639373,0.40933952
-5.86793397,4.48217989,1.09614646,2.65361263,0.00573265,0.33595782,1.18904169,0.77075212,0.03634352,0.40444487
-5.86193097,4.49087188,1.09621698,2.66169332,0.00611957,0.33471076,1.18376105,0.77414521,0.03632793,0.39931423
-5.85592796,4.50134700,1.09644615,2.66903961,0.00652827,0.33439990,1.18021733,0.77871035,0.03634251,0.39404557
-5.84992496,4.51344788,1.09686827,2.67551280,0.00695466,0.33503241,1.17856166,0.78439497,0.03638061,0.38872789
-5.84392196,4.52685255,1.09745712,2.68090393,0.00739375,0.33659128,1.17886285,0.79111639,0.03643357,0.38343771
-5.83791896,4.54106299,1.09812499,2.68492849,0.00783973,0.33903388,1.18110230,0.79875861,0.03649087,0.37823634
-5.83191596,4.55540355,1.09872540,2.68722633,0.00828608,0.34229146,1.18517322,0.80717027,0.03654042,0.37316810
-5.82591296,4.56902992,1.09905946,2.68736743,0.00872565,0.34626963,1.19088399,0.81616439,0.03656894,0.36825955
-5.81990995,4.58094883,1.09888549,2.68486336,0.00915090,0.35084981,1.19796582,0.82551974,0.03656237,0.36351979
-5.81390695,4.59004776,1.09793135,2.67918402,0.00955406,0.35589178,1.20608390,0.83498407,0.03650641,0.35894170
-5.80790395,4.59513369,1.09590884,2.66977919,0.00992736,0.36123705,1.21485180,0.84427919,0.03638700,0.35450408
-5.80190095,4.59497905,1.09252941,2.65610347,0.01026331,0.36671317,1.22384823,0.85310768,0.03619086,0.35017459
-5.79589795,4.58837293,1.08752021,2.63764381,0.01055492,0.37213864,1.23263528,0.86116113,0.03590608,0.34591326
-5.78989495,4.57417497,1.08063984,2.61394776,0.01079596,0.37732844,1.24077743,0.86812957,0.03552253,0.34167635
-5.78389195,4.55136938,1.07169271,2.58465125,0.01098120,0.38209982,1.24786021,0.87371174,0.03503236,0.33742045
-5.77788894,4.51911652,1.06054158,2.54950407,0.01110663,0.38627825,1.25350793,0.87762584,0.03443035,0.33310644
-5.77188594,4.47679926,1.04711738,2.50839200,0.01116961,0.38970324,1.25739947,0.87962019,0.03371415,0.32870327
-5.76588294,4.42406210,1.03142616,2.46135391,0.01116904,0.39223380,1.25928160,0.87948348,0.03288449,0.32419113
-5.75987994,4.36084091,1.01355257,2.40859329,0.01110541,0.39375345,1.25897944,0.87705407,0.03194517,0.31956412
-5.75387694,4.28738186,0.99366008,2.35048307,0.01098082,0.39417442,1.25640342,0.87222791,0.03090306,0.31483207
-5.74787394,4.20424859,0.97198776,2.28756379,0.01079896,0.39344102,1.25155293,0.86496476,0.02976789,0.31002144
-5.74187094,4.11231724,0.94884403,2.22053477,0.01056502,0.39153189,1.24451631,0.85529238,0.02855200,0.30517541
-5.73586793,4.01275947,0.92459765,2.15023889,0.01028550,0.38846130,1.23546751,0.84330843,0.02726996,0.30035292
-5.72986493,3.90701416,0.89966641,2.07764134,0.00996807,0.38427914,1.22465960,0.82918005,0.02593819,0.29562691
-5.72386193,3.79674902,0.87450416,2.00380353,0.00962127,0.37906984,1.21241551,0.81314099,0.02457445,0.29108175
-5.71785893,3.68381367,0.84958668,1.92985303,0.00925426,0.37295016,1.19911641,0.79548644,0.02319736,0.28680990
-5.71185593,3.57018612,0.82539692,1.85695098,0.00887651,0.36606589,1.18518832,0.77656571,0.02182592,0.28290816
-5.70585293,3.45791483,0.80241036,1.78625817,0.00849754,0.35858779,1.17108740,0.75677302,0.02047896,0.27947349
-5.69984992,3.34905852,0.78108081,1.71890126,0.00812652,0.35070662,1.15728459,0.73653681,0.01917473,0.27659863
-5.69384692,3.24562616,0.76182720,1.65594034,0.00777208,0.34262773,1.14425001,0.71630785,0.01793046,0.27436782
-5.68784392,3.14951917,0.74502174,1.59833903,0.00744199,0.33456526,1.13243784,0.69654674,0.01676198,0.27285266
-5.68184092,3.06247809,0.73097980,1.54693830,0.00714291,0.32673621,1.12227207,0.67771120,0.01568344,0.27210844
-5.67583792,2.98603537,0.71995157,1.50243466,0.00688024,0.31935460,1.11413356,0.66024359,0.01470704,0.27217099
-5.66983492,2.92147591,0.71211597,1.46536354,0.00665796,0.31262589,1.10834893,0.64455922,0.01384286,0.27305428
-5.66383192,2.86980652,0.70757654,1.43608821,0.00647852,0.30674190,1.10518147,0.63103579,0.01309876,0.27474887
-5.65782891,2.83173511,0.70635974,1.41479455,0.00634282,0.30187636,1.10482448,0.62000427,0.01248027,0.27722127
-5.65182591,2.80766009,0.70841529,1.40149145,0.00625023,0.29818115,1.10739706,0.61174163,0.01199063,0.28041430
-5.64582291,2.79766991,0.71361882,1.39601693,0.00619865,0.29578350,1.11294258,0.60646546,0.01163082,0.28424841
-5.63981991,2.80155257,0.72177643,1.39804929,0.00618460,0.29478392,1.12142977,0.60433070,0.01139959,0.28862404
-5.63381691,2.81881430,0.73263133,1.40712291,0.00620346,0.29525516,1.13275621,0.60542842,0.01129361,0.29342471
-5.62781391,2.84870632,0.74587201,1.42264786,0.00624956,0.29724186,1.14675436,0.60978658,0.01130759,0.29852108
-5.62181091,2.89025854,0.76114210,1.44393266,0.00631651,0.30076113,1.16319939,0.61737262,0.01143440,0.30377539
-5.61580790,2.94231856,0.77805123,1.47020909,0.00639738,0.30580363,1.18181892,0.62809759,0.01166528,0.30904657
-5.60980490,3.00359439,0.79618694,1.50065833,0.00648499,0.31233529,1.20230392,0.64182157,0.01198998,0.31419538
-5.60380190,3.07269896,0.81512695,1.53443732,0.00657216,0.32029938,1.22432046,0.65836002,0.01239699,0.31908969
-5.59779890,3.14819497,0.83445164,1.57070452,0.00665197,0.32961891,1.24752185,0.67749074,0.01287372,0.32360945
-5.59179590,3.22863811,0.85375617,1.60864422,0.00671801,0.34019902,1.27156059,0.69896099,0.01340670,0.32765128
-5.58579290,3.31261730,0.87266185,1.64748866,0.00676456,0.35192950,1.29609975,0.72249465,0.01398186,0.33113245
-5.57978989,3.39879059,0.89082645,1.68653721,0.00678680,0.36468717,1.32082342,0.74779886,0.01458475,0.33399394
-5.57378689,3.48591569,0.90795293,1.72517235,0.00678096,0.37833813,1.34544571,0.77457023,0.01520075,0.33620273
-5.56778389,3.57287438,0.92379645,1.76287183,0.00674440,0.39273972,1.36971822,0.80250011,0.01581541,0.33775296
-5.56178089,3.65869034,0.93816927,1.79921707,0.00667566,0.40774243,1.39343569,0.83127921,0.01641466,0.33866604
-5.55577789,3.74254041,0.95094347,1.83389763,0.00657452,0.42319146,1.41643972,0.86060124,0.01698511,0.33898979
-5.54977489,3.82375934,0.96205148,1.86671183,0.00644193,0.43892825,1.43862063,0.89016573,0.01751430,0.33879651
-5.54377189,3.90183859,0.97148432,1.89756392,0.00627994,0.45479179,1.45991741,0.91968031,0.01799099,0.33818018
-5.53776888,3.97641984,0.97928784,1.92645795,0.00609163,0.47062001,1.48031589,0.94886223,0.01840541,0.33725299
-5.53176588,4.04728400,0.98555708,1.95348883,0.00588092,0.48625108,1.49984534,0.97743970,0.01874944,0.33614119
-5.52576288,4.11433666,0.99042909,1.97883110,0.00565244,0.50152487,1.51857362,1.00515295,0.01901684,0.33498062
-5.51975988,4.17759101,0.99407458,2.00272574,0.00541136,0.51628441,1.53660108,1.03175530,0.01920337,0.33391200
-5.51375688,4.23714901,0.99668872,2.02546572,0.00516319,0.53037759,1.55405346,1.05701440,0.01930692,0.33307620
-5.50775388,4.29318173,0.99848158,2.04738051,0.00491357,0.54365891,1.57107391,1.08071369,0.01932752,0.33260971
-5.50175088,4.34590968,0.99966849,2.06882032,0.00466815,0.55599128,1.58781446,1.10265419,0.01926732,0.33264035
-5.49574787,4.39558361,1.00046080,2.09014014,0.00443235,0.56724797,1.60442693,1.12265661,0.01913055,0.33328347
-5.48974487,4.44246632,1.00105729,2.11168427,0.00421125,0.57731438,1.62105378,1.14056368,0.01892334,0.33463861
-5.48374187,4.48681597,1.00163658,2.13377151,0.00400947,0.58608985,1.63781891,1.15624263,0.01865352,0.33678685
-5.47773887,4.52887094,1.00235064,2.15668149,0.00383100,0.59348919,1.65481871,1.16958772,0.01833040,0.33978873
-5.47173587,4.56883667,1.00331976,2.18064230,0.00367921,0.59944395,1.67211376,1.18052259,0.01796444,0.34368283
-5.46573287,4.60687454,1.00462890,2.20581993,0.00355669,0.60390336,1.68972137,1.18900217,0.01756692,0.34848504
-5.45972986,4.64309286,1.00632554,2.23230966,0.00346531,0.60683493,1.70760937,1.19501425,0.01714963,0.35418843
-5.45372686,4.67754033,1.00841911,2.26012974,0.00340616,0.60822457,1.72569148,1.19858012,0.01672447,0.36076370
-5.44772386,4.71020187,1.01088183,2.28921759,0.00337960,0.60807634,1.74382457,1.19975465,0.01630310,0.36816022
-5.44172086,4.74099711,1.01365089,2.31942883,0.00338524,0.60641179,1.76180821,1.19862533,0.01589667,0.37630755
-5.43571786,4.76978161,1.01663196,2.35053905,0.00342205,0.60326897,1.77938661,1.19531045,0.01551547,0.38511741
-5.42971486,4.79635093,1.01970371,2.38224870,0.00348839,0.59870113,1.79625321,1.18995650,0.01516868,0.39448605
-5.42371186,4.82044756,1.02272321,2.41419075,0.00358211,0.59277524,1.81205793,1.18273470,0.01486423,0.40429695
-5.41770885,4.84177058,1.02553203,2.44594115,0.00370058,0.58557033,1.82641686,1.17383697,0.01460863,0.41442381
-5.41170585,4.85998790,1.02796277,2.47703178,0.00384084,0.57717587,1.83892433,1.16347145,0.01440689,0.42473367
-5.40570285,4.87475076,1.02984567,2.50696538,0.00399965,0.56769006,1.84916675,1.15185769,0.01426251,0.43509026
-5.39969985,4.88570983,1.03101519,2.53523200,0.00417360,0.55721828,1.85673772,1.13922186,0.01417757,0.44535728
-5.39369685,4.89253250,1.03131618,2.56132632,0.00435918,0.54587157,1.86125386,1.12579209,0.01415277,0.45540173
-5.38769385,4.89492033,1.03060938,2.58476505,0.00455291,0.53376534,1.86237038,1.11179403,0.01418759,0.46509700
-5.38169085,4.89262603,1.02877611,2.60510370,0.00475139,0.52101809,1.85979584,1.09744701,0.01428048,0.47432580
-5.37568784,4.88546889,1.02572191,2.62195202,0.00495139,0.50775032,1.85330511,1.08296059,0.01442900,0.48298277
-5.36968484,4.87334791,1.02137888,2.63498721,0.00514996,0.49408345,1.84275000,1.06853186,0.01463007,0.49097663
-5.36368184,4.85625174,1.01570686,2.64396452,0.00534448,0.48013879,1.82806680,1.05434325,0.01488013,0.49823192
-5.35767884,4.83426485,1.00869324,2.64872452,0.00553272,0.46603652,1.80928040,1.04056099,0.01517534,0.50469016
-5.35167584,4.80756935,1.00035154,2.64919693,0.00571292,0.45189455,1.78650469,1.02733410,0.01551170,0.51031044
-5.34567284,4.77644223,0.99071887,2.64540062,0.00588383,0.43782738,1.75993918,1.01479376,0.01588521,0.51506947
-5.33966983,4.74124811,0.97985244,2.63744004,0.00604474,0.42394481,1.72986203,1.00305304,0.01629193,0.51896097
-5.33366683,4.70242752,0.96782536,2.62549813,0.00619552,0.41035059,1.69661981,0.99220683,0.01672804,0.52199456
-5.32766383,4.66048139,0.95472201,2.60982624,0.00633659,0.39714095,1.66061457,0.98233186,0.01718989,0.52419408
-5.32166083,4.61595228,0.94063323,2.59073147,0.00646897,0.38440323,1.62228888,0.97348669,0.01767391,0.52559551
-5.31565783,4.56940334,0.92565163,2.56856217,0.00659419,0.37221439,1.58210957,0.96571170,0.01817662,0.52624448
-5.30965483,4.52139583,0.90986734,2.54369223,0.00671424,0.36063971,1.54055108,0.95902887,0.01869453,0.52619353
-5.30365183,4.47246631,0.89336427,2.51650496,0.00683155,0.34973158,1.49807909,0.95344147,0.01922409,0.52549921
-5.29764882,4.42310461,0.87621728,2.48737728,0.00694885,0.33952858,1.45513535,0.94893363,0.01976156,0.52421912
-5.29164582,4.37373346,0.85849015,2.45666487,0.00706903,0.33005480,1.41212423,0.94546985,0.02030295,0.52240898
-5.28564282,4.32469072,0.84023453,2.42468894,0.00719510,0.32131945,1.36940156,0.94299448,0.02084396,0.52011990
-5.27963982,4.27621508,0.82148993,2.39172511,0.00732993,0.31331694,1.32726622,0.94143134,0.02137990,0.51739591
-5.27363682,4.22843574,0.80228441,2.35799476,0.00747618,0.30602719,1.28595458,0.94068358,0.02190566,0.51427187
-5.26763382,4.18136653,0.78263617,2.32365918,0.00763610,0.29941642,1.24563794,0.94063376,0.02241575,0.51077179
-5.26163082,4.13490476,0.76255569,2.28881670,0.00781139,0.29343829,1.20642285,0.94114452,0.02290430,0.50690777
-5.25562781,4.08883482,0.74204824,2.25350267,0.00800305,0.28803521,1.16835403,0.94205965,0.02336512,0.50267934
-5.24962481,4.04283638,0.72111666,2.21769239,0.00821125,0.28314012,1.13141974,0.94320590,0.02379184,0.49807365
