energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.51754785,0.00676742,0.49334445,0.83534704,0.91734384,0.02186061,1.70255535,0.99998323,0.48652162
-5.99399700,3.54602314,0.00669565,0.48913539,0.83933040,0.92782709,0.02268187,1.72798282,1.01355002,0.48588267
-5.98799400,3.57927604,0.00660458,0.48626727,0.84467402,0.93859243,0.02348562,1.75563586,1.02840351,0.48616400
-5.98199100,3.61731207,0.00649613,0.48472912,0.85142273,0.94969826,0.02426718,1.78547775,1.04458228,0.48738043
-5.97598799,3.65996002,0.00637249,0.48448075,0.85958621,0.96115984,0.02502082,1.81738613,1.06209149,0.48951656
-5.96998499,3.70684244,0.00623599,0.48545005,0.86912867,0.97294096,0.02573978,1.85113755,1.08088882,0.49252343
-5.96398199,3.75735357,0.00608903,0.48753096,0.87995990,0.98494790,0.02641618,1.88639568,1.10087159,0.49631630
-5.95797899,3.81064685,0.00593394,0.49058255,0.89192842,0.99702623,0.02704115,1.92270455,1.12186602,0.50077392
-5.95197599,3.86563400,0.00577293,0.49442919,0.90481731,1.00896087,0.02760496,1.95948777,1.14361964,0.50573944
-5.94597299,3.92099677,0.00560800,0.49886231,0.91834350,1.02047953,0.02809725,1.99605428,1.16579775,0.51102309
-5.93996998,3.97521200,0.00544092,0.50364361,0.93216055,1.03125965,0.02850738,2.03161105,1.18798436,0.51640649
-5.93396698,4.02658948,0.00527319,0.50850978,0.94586539,1.04093858,0.02882473,2.06528256,1.20968803,0.52164875
-5.92796398,4.07332162,0.00510605,0.51317876,0.95900858,1.04912664,0.02903916,2.09613634,1.23035270,0.52649390
-5.92196098,4.11354295,0.00494051,0.51735725,0.97110796,1.05542244,0.02914142,2.12321375,1.24937295,0.53067951
-5.91595798,4.14539689,0.00477735,0.52074925,0.98166506,1.05942974,0.02912355,2.14556453,1.26611336,0.53394610
-5.90995498,4.16710658,0.00461724,0.52306528,0.99018342,1.06077504,0.02897932,2.16228345,1.27993092,0.53604687
