energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,8.15494214,0.67587587,0.63965397,0.01993813,1.02053527,2.48285378,3.79152871,0.08766373,2.27066858
-5.99399700,8.17275391,0.68401033,0.65759726,0.01952704,1.01988331,2.49751010,3.77542670,0.09013444,2.29499262
-5.98799400,8.18839910,0.69267575,0.67519401,0.01916045,1.01951654,2.51348578,3.75828899,0.09254344,2.31854974
-5.98199100,8.20182791,0.70183555,0.69230208,0.01884154,1.01949144,2.53075583,3.74022293,0.09487006,2.34119246
-5.97598799,8.21291833,0.71144785,0.70877001,0.01857252,1.01984580,2.54924818,3.72130134,0.09709235,2.36276273
-5.96998499,8.22146674,0.72146272,0.72443878,0.01835456,1.02059581,2.56883839,3.70155885,0.09918733,2.38308924
-5.96398199,8.22718305,0.73182009,0.73914439,0.01818775,1.02173392,2.58934634,3.68098981,0.10113136,2.40198599
-5.95797899,8.22969098,0.74244849,0.75272119,0.01807108,1.02322758,2.61053524,3.65954811,0.10290052,2.41925253
-5.95197599,8.22853381,0.75326470,0.76500583,0.01800250,1.02501895,2.63211313,3.63714908,0.10447119,2.43467571
-5.94597299,8.22318584,0.76417412,0.77584168,0.01797891,1.02702577,2.65373693,3.61367366,0.10582059,2.44803317
-5.93996998,8.21306925,0.77507211,0.78508342,0.01799630,1.02914321,2.67501916,3.58897477,0.10692743,2.45909829
-5.93396698,8.19757598,0.78584595,0.79260184,0.01804986,1.03124698,2.69553703,3.56288588,0.10777253,2.46764652
-5.92796398,8.17609384,0.79637748,0.79828834,0.01813405,1.03319730,2.71484371,3.53523138,0.10833945,2.47346272
-5.92196098,8.14803585,0.80654623,0.80205918,0.01824282,1.03484392,2.73248153,3.50583853,0.10861514,2.47634941
-5.91595798,8.11287162,0.81623283,0.80385910,0.01836973,1.03603182,2.74799661,3.47455030,0.10859042,2.47613536
-5.90995498,8.07015938,0.82532277,0.80366428,0.01850813,1.03660745,2.76095441,3.44123867,0.10826051,2.47268424
-5.90395198,8.01957726,0.83371001,0.80148451,0.01865134,1.03642528,2.77095575,3.40581763,0.10762535,2.46590304
-5.89794897,7.96095242,0.84130070,0.79736438,0.01879278,1.03535441,2.77765258,3.36825532,0.10668983,2.45574980
-5.89194597,7.89428649,0.84801659,0.79138360,0.01892617,1.03328493,2.78076313,3.32858445,0.10546393,2.44224034
-5.88594297,7.81977616,0.85379823,0.78365635,0.01904566,1.03013373,2.78008560,3.28691065,0.10396267,2.42545368
-5.87993997,7.73782773,0.85860767,0.77432974,0.01914599,1.02584967,2.77551003,3.24341792,0.10220589,2.40553600
-5.87393697,7.64906467,0.86243092,0.76358138,0.01922257,1.02041755,2.76702777,3.19837101,0.10021797,2.38270275
-5.86793397,7.55432766,0.86527970,0.75161630,0.01927161,1.01386107,2.75473808,3.15211423,0.09802737,2.35723888
-5.86193097,7.45466651,0.86719277,0.73866314,0.01929020,1.00624425,2.73885152,3.10506671,0.09566597,2.32949708
-5.85592796,7.35132413,0.86823670,0.72496981,0.01927633,0.99767148,2.71968977,3.05771404,0.09316849,2.29989386
-5.84992496,7.24571253,0.86850589,0.71079881,0.01922899,0.98828598,2.69768183,3.01059650,0.09057159,2.26890362
-5.84392196,7.13938159,0.86812208,0.69642214,0.01914810,0.97826677,2.67335642,2.96429435,0.08791309,2.23705061
-5.83791896,7.03398128,0.86723306,0.68211611,0.01903455,0.96782412,2.64733065,2.91941048,0.08523105,2.20489907
-5.83191596,6.93121855,0.86601072,0.66815605,0.01889009,0.95719380,2.62029528,2.87655125,0.08256286,2.17304153
-5.82591296,6.83281019,0.86464834,0.65481093,0.01871735,0.94663004,2.59299675,2.83630629,0.07994431,2.14208567
-5.81990995,6.74043329,0.86335714,0.64233826,0.01851966,0.93639777,2.56621661,2.79922786,0.07740875,2.11263992
-5.81390695,6.65567496,0.86236211,0.63097901,0.01830099,0.92676409,2.54074879,2.76581097,0.07498627,2.08529837
-5.80790395,6.57998321,0.86189718,0.62095295,0.01806580,0.91798950,2.51737564,2.73647486,0.07270297,2.06062507
-5.80190095,6.51462092,0.86219974,0.61245428,0.01781891,0.91031922,2.49684339,2.71154680,0.07058040,2.03913868
-5.79589795,6.46062455,0.86350473,0.60564780,0.01756530,0.90397475,2.47983801,2.69124899,0.06863505,2.02129754
-5.78989495,6.41876957,0.86603838,0.60066563,0.01731001,0.89914620,2.46696237,2.67568914,0.06687804,2.00748604
-5.78389195,6.38954390,0.87001178,0.59760459,0.01705793,0.89598558,2.45871564,2.66485520,0.06531504,1.99800265
-5.77788894,6.37313078,0.87561456,0.59652435,0.01681366,0.89460137,2.45547578,2.65861469,0.06394622,1.99305024
-5.77188594,6.36940186,0.88300881,0.59744651,0.01658138,0.89505453,2.45748590,2.65671852,0.06276657,1.99272912
-5.76588294,6.37792113,0.89232366,0.60035444,0.01636467,0.89735619,2.46484515,2.65880948,0.06176618,1.99703313
-5.75987994,6.39795961,0.90365053,0.60519432,0.01616646,0.90146703,2.47750460,2.66443486,0.06093091,2.00584919
-5.75387694,6.42852054,0.91703943,0.61187692,0.01598891,0.90729849,2.49526833,2.67306284,0.06024301,2.01896029
-5.74787394,6.46837406,0.93249647,0.62028058,0.01583335,0.91471558,2.51779988,2.68410196,0.05968200,2.03605201
-5.74187094,6.51610014,0.94998265,0.63025489,0.01570027,0.92354146,2.54463373,2.69692286,0.05922554,2.05672238
-5.73586793,6.57013805,0.96941402,0.64162534,0.01558931,0.93356325,2.57519140,2.71088126,0.05885046,2.08049467
-5.72986493,6.62884024,0.99066330,0.65419849,0.01549932,0.94453919,2.60880158,2.72534140,0.05853367,2.10683270
-5.72386193,6.69052852,1.01356274,0.66776768,0.01542839,0.95620658,2.64472337,2.73969873,0.05825317,2.13515798
