energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,3.71803124,-0.53511607,3.00417920,-0.53731280,1.06941046,-0.12103997,0.00180323,-0.00011258,1.10983408,-0.19149872,0.14368590,-0.02189978,0.71534845,-0.08959826,0.55090973,-0.04969344,0.15311804,-0.02311164
-5.99399700,3.80609609,-0.56910341,3.12390829,-0.56097720,1.07597469,-0.13218010,0.00201601,-0.00012085,1.12803005,-0.20539390,0.14525624,-0.02415994,0.74219472,-0.09433505,0.57689876,-0.05256367,0.15868937,-0.02373022
-5.98799400,3.89022818,-0.61670634,3.24732308,-0.59840523,1.08117726,-0.14647436,0.00224350,-0.00013528,1.14610509,-0.22416334,0.14619109,-0.02690008,0.76815892,-0.10149580,0.60183998,-0.05695881,0.16396768,-0.02490718
-5.98199100,3.97041758,-0.67832586,3.37387802,-0.65020954,1.08526230,-0.16401249,0.00248520,-0.00015635,1.16421820,-0.24794682,0.14651350,-0.03012411,0.79311196,-0.11118657,0.62551304,-0.06295986,0.16891514,-0.02665015
-5.97598799,4.04656282,-0.75428732,3.50277997,-0.71693434,1.08843505,-0.18486034,0.00274037,-0.00018473,1.18246222,-0.27684916,0.14625877,-0.03383010,0.81691902,-0.12351020,0.64770563,-0.07065335,0.17349635,-0.02896466
-5.96998499,4.11844922,-0.84481982,3.63298039,-0.79903694,1.09085088,-0.20905373,0.00300803,-0.00022119,1.20085349,-0.31093207,0.14547313,-0.03800961,0.83943766,-0.13856325,0.66821593,-0.08012901,0.17767833,-0.03185352
-5.96398199,4.18573431,-0.95003302,3.76317952,-0.89686528,1.09260723,-0.23659184,0.00328698,-0.00026669,1.21932521,-0.35020518,0.14421204,-0.04264690,0.86051658,-0.15643218,0.68685503,-0.09147687,0.18143063,-0.03531609
-5.95797899,4.24794182,-1.06989250,3.89184289,-1.01063242,1.09373906,-0.26743051,0.00357578,-0.00032231,1.23772523,-0.39461674,0.14253826,-0.04771837,0.87999542,-0.17718879,0.70344947,-0.10478369,0.18472533,-0.03934753
-5.95197599,4.30446474,-1.20419480,4.01723054,-1.14038886,1.09421786,-0.30147591,0.00387280,-0.00038927,1.25581814,-0.44404458,0.14051970,-0.05319212,0.89770552,-0.20088522,0.71784367,-0.12012891,0.18753728,-0.04393793
-5.94597299,4.35457776,-1.35254364,4.13743803,-1.28599415,1.09395451,-0.33857880,0.00417623,-0.00046893,1.27329206,-0.49828783,0.13822713,-0.05902774,0.91347187,-0.22754858,0.72990236,-0.13758007,0.18984427,-0.04907154
-5.93996998,4.39745868,-1.51432888,4.25044801,-1.44708934,1.09280562,-0.37853009,0.00448413,-0.00056271,1.28976960,-0.55706006,0.13573193,-0.06517637,0.92711608,-0.25717547,0.73951290,-0.15718797,0.19162731,-0.05472597
-5.93396698,4.43221800,-1.68870959,4.35419052,-1.62307191,1.09058318,-0.42105791,0.00479446,-0.00067215,1.30482263,-0.61998449,0.13310388,-0.07158107,0.93846033,-0.28972651,0.74658739,-0.17898163,0.19287097,-0.06087156
-5.92796398,4.45793511,-1.87460282,4.44660941,-1.81307495,1.08706696,-0.46582656,0.00510512,-0.00079884,1.31799029,-0.68659174,0.13040913,-0.07817746,0.94733224,-0.32512136,0.75106457,-0.20296320,0.19356371,-0.06747085
-5.92196098,4.47369961,-2.07067934,4.52573210,-2.01595243,1.08201888,-0.51243779,0.00541404,-0.00094437,1.32879915,-0.75632075,0.12770837,-0.08489478,0.95357024,-0.36323427,0.75291133,-0.22910316,0.19369832,-0.07447828
-5.91595798,4.47865528,-2.27536728,4.58973951,-2.23027194,1.07519875,-0.56043456,0.00571919,-0.00111034,1.33678474,-0.82852298,0.12505535,-0.09165716,0.95702938,-0.40389056,0.75212379,-0.25733589,0.19327223,-0.08184010
