energy_ev,total_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.73255382,0.14557579,0.10672919,0.60117859,0.72410866,0.00130800,0.46187174,0.00690671,0.16700340
-5.99399700,1.66869621,0.13979068,0.10400994,0.57709326,0.70050513,0.00127231,0.44216211,0.00651766,0.16232360
-5.98799400,1.61388490,0.13478307,0.10184190,0.55607426,0.68080460,0.00124286,0.42486939,0.00615261,0.15860143
-5.98199100,1.56918269,0.13065538,0.10030073,0.53842794,0.66546449,0.00122020,0.41029263,0.00581744,0.15595146
-5.97598799,1.53545494,0.12749807,0.09945299,0.52439422,0.65485693,0.00120479,0.39867514,0.00551723,0.15447531
-5.96998499,1.51337194,0.12539028,0.09935587,0.51415023,0.64926837,0.00119697,0.39020519,0.00525626,0.15426174
-5.96398199,1.50341465,0.12440064,0.10005707,0.50781486,0.64890058,0.00119706,0.38501758,0.00503795,0.15538690
-5.95797899,1.50588249,0.12458808,0.10159468,0.50545373,0.65387277,0.00120527,0.38319587,0.00486493,0.15791457
-5.95197599,1.52090201,0.12600240,0.10399705,0.50708407,0.66422432,0.00122181,0.38477483,0.00473905,0.16189623
-5.94597299,1.54843525,0.12868457,0.10728260,0.51267899,0.67991760,0.00124683,0.38974290,0.00466141,0.16737091
-5.93996998,1.58828706,0.13266667,0.11145951,0.52217088,0.70084072,0.00128049,0.39804428,0.00463245,0.17436467
-5.93396698,1.64011081,0.13797129,0.11652526,0.53545374,0.72681002,0.00132292,0.40958079,0.00465197,0.18288972
-5.92796398,1.70341227,0.14461054,0.12246605,0.55238435,0.75757205,0.00137423,0.42421313,0.00471917,0.19294313
-5.92196098,1.77755189,0.15258459,0.12925611,0.57278241,0.79280537,0.00143456,0.44176177,0.00483274,0.20450524
-5.91595798,1.86174583,0.16187985,0.13685701,0.59642970,0.83212213,0.00150401,0.46200763,0.00499088,0.21753780
-5.90995498,1.95506660,0.17246689,0.14521690,0.62306878,0.87506983,0.00158270,0.48469258,0.00519133,0.23198197
-5.90395198,2.05644411,0.18429830,0.15426998,0.65240141,0.92113348,0.00167073,0.50952013,0.00543142,0.24775644
-5.89794897,2.16466825,0.19730657,0.16393605,0.68408733,0.96973869,0.00176820,0.53615661,0.00570811,0.26475569
-5.89194597,2.27839408,0.21140228,0.17412048,0.71774365,1.02025590,0.00187521,0.56423296,0.00601805,0.28284871
-5.88594297,2.39615060,0.22647273,0.18471452,0.75294542,1.07200619,0.00199189,0.59334762,0.00635758,0.30187840
-5.87993997,2.51635389,0.24238121,0.19559607,0.78922773,1.12426888,0.00211836,0.62307052,0.00672284,0.32166164
-5.87393697,2.63732541,0.25896705,0.20663100,0.82608958,1.17629114,0.00225477,0.65294842,0.00710983,0.34199036
-5.86793397,2.75731549,0.27604662,0.21767510,0.86299974,1.22729958,0.00240134,0.68251169,0.00751447,0.36263366
-5.86193097,2.87453216,0.29341529,0.22857646,0.89940458,1.27651375,0.00255833,0.71128234,0.00793271,0.38334092
-5.85592796,2.98717473,0.31085039,0.23917854,0.93473787,1.32316130,0.00272605,0.73878338,0.00836069,0.40384605
-5.84992496,3.09347144,0.32811521,0.24932357,0.96843215,1.36649449,0.00290493,0.76454902,0.00879477,0.42387270
-5.84392196,3.19171985,0.34496376,0.25885642,0.99993148,1.40580734,0.00309546,0.78813558,0.00923176,0.44314025
-5.83791896,3.28032862,0.36114641,0.26762861,1.02870491,1.44045305,0.00329820,0.80913267,0.00966896,0.46137052
-5.83191596,3.35785896,0.37641589,0.27550243,1.05426021,1.46986080,0.00351380,0.82717400,0.01010436,0.47829481
-5.82591296,3.42306391,0.39053366,0.28235500,1.07615724,1.49355130,0.00374294,0.84194765,0.01053670,0.49366102
-5.81990995,3.47492354,0.40327623,0.28808196,1.09402015,1.51115036,0.00398631,0.85320501,0.01096555,0.50724057
-5.81390695,3.51267442,0.41444129,0.29260075,1.10754806,1.52239970,0.00424456,0.86076810,0.01139143,0.51883482
-5.80790395,3.53583163,0.42385314,0.29585324,1.11652345,1.52716454,0.00451825,0.86453481,0.01181574,0.52828053
-5.80190095,3.54420212,0.43136743,0.29780761,1.12081785,1.52543742,0.00480775,0.86448178,0.01224079,0.53545430
-5.79589795,3.53788841,0.43687482,0.29845928,1.12039461,1.51733791,0.00511319,0.86066466,0.01266970,0.54027566
-5.78989495,3.51728220,0.44030346,0.29783094,1.11530844,1.50310815,0.00543439,0.85321564,0.01310625,0.54270863
-5.78389195,3.48304792,0.44162018,0.29597160,1.10570171,1.48310421,0.00577074,0.84233837,0.01355473,0.54276174
-5.77788894,3.43609672,0.44083030,0.29295456,1.09179780,1.45778365,0.00612115,0.82830037,0.01401968,0.54048649
-5.77188594,3.37755189,0.43797626,0.28887467,1.07389166,1.42768953,0.00648401,0.81142319,0.01450563,0.53597424
-5.76588294,3.30870720,0.43313494,0.28384465,1.05233809,1.39343179,0.00685707,0.79207086,0.01501679,0.52935195
-5.75987994,3.23098001,0.42641401,0.27799086,1.02753834,1.35566654,0.00723748,0.77063694,0.01555672,0.52077660
-5.75387694,3.14586121,0.41794747,0.27144864,0.99992560,1.31507422,0.00762176,0.74753097,0.01612804,0.51042904
-5.74787394,3.05486425,0.40789063,0.26435743,0.96995016,1.27233766,0.00800580,0.72316461,0.01673207,0.49850714
-5.74187094,2.95947566,0.39641471,0.25685588,0.93806489,1.22812088,0.00838495,0.69793846,0.01736860,0.48521897
-5.73586793,2.86110914,0.38370155,0.24907717,0.90471170,1.18304959,0.00875405,0.67222976,0.01803565,0.47077604
-5.72986493,2.76106534,0.36993836,0.24114487,0.87030952,1.13769424,0.00910760,0.64638175,0.01872930,0.45538709
-5.72386193,2.66049892,0.35531302,0.23316927,0.83524437,1.09255620,0.00943982,0.62069503,0.01944362,0.43925261
-5.71785893,2.56039422,0.34000996,0.22524463,0.79986180,1.04805783,0.00974487,0.59542119,0.02017072,0.42256036
-5.71185593,2.46155028,0.32420676,0.21744719,0.76446182,1.00453637,0.01001697,0.57075901,0.02090081,0.40548200
-5.70585293,2.36457553,0.30807159,0.20983425,0.72929660,0.96224223,0.01025059,0.54685324,0.02162243,0.38817081
-5.69984992,2.26989194,0.29176144,0.20244407,0.69457057,0.92134111,0.01044065,0.52379584,0.02232280,0.37076078
-5.69384692,2.17774787,0.27542122,0.19529683,0.66044283,0.88192005,0.01058264,0.50162962,0.02298816,0.35336658
-5.68784392,2.08823855,0.25918353,0.18839628,0.62703162,0.84399662,0.01067283,0.48035384,0.02360430,0.33608473
-5.68184092,2.00133262,0.24316906,0.18173224,0.59442022,0.80753081,0.01070837,0.45993148,0.02415704,0.31899549
-5.67583792,1.91690316,0.22748751,0.17528357,0.56266397,0.77243877,0.01068741,0.44029762,0.02463282,0.30216532
-5.66983492,1.83476114,0.21223881,0.16902157,0.53179787,0.73860772,0.01060917,0.42136858,0.02501928,0.28564985
