energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.17108027,-1.22373084,0.68982988,-0.66841203,0.34308407,-0.23393668,0.00518968,-0.00698020,0.43261050,-0.47022515,0.02654878,-0.03095163,0.10496192,-0.17235474
-5.99399700,1.15078480,-1.23331538,0.65598009,-0.69049256,0.34148144,-0.23576676,0.00526401,-0.00705862,0.42269356,-0.47743774,0.02657060,-0.03086718,0.10481810,-0.17076754
-5.98799400,1.12954727,-1.24017469,0.62288997,-0.71306687,0.33955178,-0.23702910,0.00534588,-0.00711824,0.41256057,-0.48402619,0.02654803,-0.03068234,0.10451425,-0.16843305
-5.98199100,1.10769983,-1.24475053,0.59097426,-0.73628587,0.33735429,-0.23780261,0.00543412,-0.00716015,0.40236174,-0.49013564,0.02647875,-0.03040727,0.10406428,-0.16543821
-5.97598799,1.08557128,-1.24751981,0.56059766,-0.76028206,0.33495331,-0.23817310,0.00552758,-0.00718564,0.39224247,-0.49591688,0.02636162,-0.03005364,0.10348343,-0.16188137
-5.96998499,1.06347740,-1.24896534,0.53206743,-0.78515241,0.33241600,-0.23822802,0.00562519,-0.00719612,0.38233965,-0.50151506,0.02619667,-0.02963398,0.10278740,-0.15786816
-5.96398199,1.04171190,-1.24954705,0.50562826,-0.81094237,0.32980989,-0.23805133,0.00572591,-0.00719300,0.37277828,-0.50705880,0.02598495,-0.02916101,0.10199152,-0.15350726
-5.95797899,1.02053854,-1.24967529,0.48145960,-0.83763179,0.32720049,-0.23771872,0.00582876,-0.00717757,0.36366868,-0.51265025,0.02572842,-0.02864704,0.10110998,-0.14890620
-5.95197599,1.00018456,-1.24968755,0.45967525,-0.86512380,0.32464900,-0.23729355,0.00593284,-0.00715092,0.35510415,-0.51835684,0.02542973,-0.02810344,0.10015522,-0.14416760
-5.94597299,0.98083569,-1.24983005,0.44032522,-0.89323724,0.32221023,-0.23682366,0.00603727,-0.00711387,0.34715933,-0.52420494,0.02509208,-0.02754019,0.09913748,-0.13938574
-5.93996998,0.96263293,-1.25024503,0.42339952,-0.92170351,0.31993087,-0.23633931,0.00614122,-0.00706697,0.33988919,-0.53017610,0.02471896,-0.02696563,0.09806444,-0.13464387
