energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.31456540,0.91183948,2.18224163,0.00214621,0.78988309,0.46556126,0.00000000,1.32241419,0.46231766
-5.99399700,4.43635031,0.94444327,2.22583357,0.00197967,0.82331456,0.47701146,0.00000000,1.39019935,0.48285880
-5.98799400,4.56230195,0.97911712,2.27280904,0.00181820,0.85668519,0.48891056,0.00000000,1.45753202,0.50369374
-5.98199100,4.69086860,1.01542630,2.32258040,0.00166402,0.88959813,0.50109661,0.00000000,1.52347932,0.52459600
-5.97598799,4.82021366,1.05285825,2.37436366,0.00151901,0.92163525,0.51337965,0.00000000,1.58709347,0.54532121
-5.96998499,4.94826807,1.09083648,2.42720008,0.00138478,0.95236914,0.52554769,0.00000000,1.64743971,0.56561367
-5.96398199,5.07279500,1.12873799,2.47998587,0.00126257,0.98137596,0.53737396,0.00000000,1.70362505,0.58521363
-5.95797899,5.19146386,1.16591328,2.53150893,0.00115333,1.00824879,0.54862519,0.00000000,1.75482676,0.60386490
-5.95197599,5.30193037,1.20170824,2.58049087,0.00105768,1.03261058,0.55907040,0.00000000,1.80031910,0.62132236
-5.94597299,5.40191889,1.23548675,2.62563252,0.00097599,1.05412645,0.56848992,0.00000000,1.83949708,0.63735919
-5.93996998,5.48930321,1.26665297,2.66566093,0.00090835,1.07251429,0.57668398,0.00000000,1.87189612,0.65177329
-5.93396698,5.56218189,1.29467218,2.69937560,0.00085463,1.08755366,0.58348051,0.00000000,1.89720665,0.66439276
-5.92796398,5.61894483,1.31908909,2.72569201,0.00081450,1.09909214,0.58874181,0.00000000,1.91528304,0.67508008
-5.92196098,5.65832805,1.33954270,2.74368041,0.00078748,1.10704931,0.59236953,0.00000000,1.92614642,0.68373498
-5.91595798,5.67945434,1.35577691,2.75259833,0.00077293,1.11141787,0.59430799,0.00000000,1.92998147,0.69029571
-5.90995498,5.68185847,1.36764650,2.75191537,0.00077012,1.11226229,0.59454545,0.00000000,1.92712741,0.69473895
-5.90395198,5.66549614,1.37511802,2.74132952,0.00077821,1.10971491,0.59311344,0.00000000,1.91806379,0.69707832
-5.89794897,5.63073699,1.37826585,2.72077453,0.00079629,1.10397001,0.59008416,0.00000000,1.90339198,0.69736161
-5.89194597,5.57834269,1.37726350,2.69041818,0.00082341,1.09527615,0.58556620,0.00000000,1.88381337,0.69566717
-5.88594297,5.50943166,1.37237095,2.65065209,0.00085857,1.08392717,0.57969879,0.00000000,1.86010534,0.69209942
-5.87993997,5.42543286,1.36391863,2.60207370,0.00090072,1.07025259,0.57264503,0.00000000,1.83309634,0.68678404
-5.87393697,5.32803110,1.35228907,2.54546161,0.00094880,1.05460755,0.56458430,0.00000000,1.80364106,0.67986294
-5.86793397,5.21910679,1.33789729,2.48174561,0.00100174,1.03736305,0.55570457,0.00000000,1.77259681,0.67148938
-5.86193097,5.10067290,1.32117097,2.41197292,0.00105843,1.01889663,0.54619473,0.00000000,1.74080182,0.66182335
-5.85592796,4.97481189,1.30253144,2.33727213,0.00111779,0.99958382,0.53623742,0.00000000,1.70905626,0.65102751
-5.84992496,4.84361493,1.28237651,2.25881647,0.00117872,0.97979063,0.52600276,0.00000000,1.67810624,0.63926370
-5.84392196,4.70912559,1.26106581,2.17778778,0.00124014,0.95986706,0.51564314,0.00000000,1.64863100,0.62669021
-5.83791896,4.57328949,1.23890946,2.09534251,0.00130100,0.94014166,0.50528919,0.00000000,1.62123317,0.61345958
-5.83191596,4.43791097,1.21616016,2.01258080,0.00136027,0.92091710,0.49504720,0.00000000,1.59643200,0.59971712
-5.82591296,4.30461764,1.19300906,1.93051950,0.00141696,0.90246658,0.48499774,0.00000000,1.57465901,0.58559993
-5.81990995,4.17483288,1.16958532,1.85006980,0.00147016,0.88503091,0.47519570,0.00000000,1.55625565,0.57123633
-5.81390695,4.04975616,1.14595892,1.77201977,0.00151900,0.86881612,0.46567125,0.00000000,1.54147257,0.55674553
-5.80790395,3.93035095,1.12214646,1.69702206,0.00156271,0.85399155,0.45643197,0.00000000,1.53046987,0.54223744
-5.80190095,3.81733950,1.09811918,1.62558665,0.00160061,0.84068810,0.44746550,0.00000000,1.52331815,0.52781258
-5.79589795,3.71120382,1.07381272,1.55807852,0.00163211,0.82899679,0.43874286,0.00000000,1.51999982,0.51356185
-5.78989495,3.61219226,1.04913779,1.49471981,0.00165674,0.81896758,0.43022188,0.00000000,1.52041090,0.49956623
-5.78389195,3.52033090,1.02399115,1.43559617,0.00167415,0.81060852,0.42185089,0.00000000,1.52436298,0.48589638
-5.77788894,3.43543915,0.99826624,1.38066663,0.00168409,0.80388531,0.41357212,0.00000000,1.53158573,0.47261209
-5.77188594,3.35714906,0.97186295,1.32977657,0.00168647,0.79872155,0.40532504,0.00000000,1.54173020,0.45976182
-5.76588294,3.28492788,0.94469616,1.28267306,0.00168127,0.79499983,0.39704919,0.00000000,1.55437313,0.44738217
-5.75987994,3.21810341,0.91670271,1.23902206,0.00166863,0.79256382,0.38868676,0.00000000,1.56902297,0.43549761
-5.75387694,3.15589185,0.88784663,1.19842691,0.00164877,0.79122159,0.38018468,0.00000000,1.58512763,0.42412052
-5.74787394,3.09742768,0.85812267,1.16044733,0.00162203,0.79075032,0.37149631,0.00000000,1.60208464,0.41325158
-5.74187094,3.04179524,0.82755807,1.12461860,0.00158882,0.79090236,0.36258275,0.00000000,1.61925367,0.40288068
-5.73586793,2.98806137,0.79621287,1.09047016,0.00154963,0.79141282,0.35341385,0.00000000,1.63597163,0.39298844
-5.72986493,2.93530858,0.76417879,1.05754324,0.00150503,0.79200832,0.34396893,0.00000000,1.65157012,0.38354817
-5.72386193,2.88266800,0.73157705,1.02540700,0.00145561,0.79241695,0.33423723,0.00000000,1.66539498,0.37452854
-5.71785893,2.82935114,0.69855528,0.99367280,0.00140201,0.79237893,0.32421827,0.00000000,1.67682732,0.36589663
-5.71185593,2.77467965,0.66528385,0.96200615,0.00134490,0.79165768,0.31392195,0.00000000,1.68530534,0.35762135
