energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.08470774,0.00459788,0.18439570,0.28799792,0.59724705,0.76065077,1.09591745,0.00000000
-5.99399700,2.15218028,0.00476253,0.19276031,0.30459787,0.59671827,0.80123110,1.11320009,0.00000000
-5.98799400,2.21817636,0.00492211,0.20072398,0.32125806,0.59500868,0.84273471,1.12842363,0.00000000
-5.98199100,2.28294871,0.00507661,0.20821499,0.33786039,0.59244458,0.88516891,1.14190730,0.00000000
-5.97598799,2.34671691,0.00522593,0.21516172,0.35426618,0.58935200,0.92851513,1.15397022,0.00000000
-5.96998499,2.40964054,0.00536974,0.22149321,0.37031625,0.58604271,0.97272265,1.16491089,0.00000000
-5.96398199,2.47179539,0.00550752,0.22713986,0.38583223,0.58280097,1.01770380,1.17498779,0.00000000
-5.95797899,2.53315420,0.00563845,0.23203430,0.40061915,0.57987163,1.06333097,1.18440210,0.00000000
-5.95197599,2.59357330,0.00576140,0.23611253,0.41446934,0.57745015,1.10943576,1.19328361,0.00000000
-5.94597299,2.65278621,0.00587496,0.23931524,0.42716760,0.57567503,1.15581043,1.20168068,0.00000000
-5.93996998,2.71040469,0.00597740,0.24158931,0.43849758,0.57462301,1.20221161,1.20955479,0.00000000
-5.93396698,2.76592755,0.00606677,0.24288942,0.44824898,0.57430728,1.24836610,1.21678026,0.00000000
-5.92796398,2.81875667,0.00614095,0.24317980,0.45622540,0.57467866,1.29397856,1.22314902,0.00000000
-5.92196098,2.86821961,0.00619768,0.24243585,0.46225244,0.57562983,1.33874051,1.22838039,0.00000000
-5.91595798,2.91359758,0.00623473,0.24064578,0.46618564,0.57700218,1.38234015,1.23213535,0.00000000
-5.90995498,2.95415721,0.00624996,0.23781196,0.46791790,0.57859508,1.42447244,1.23403454,0.00000000
-5.90395198,2.98918442,0.00624144,0.23395203,0.46738591,0.58017695,1.46484873,1.23367914,0.00000000
-5.89794897,3.01801850,0.00620755,0.22909964,0.46457528,0.58149766,1.50320542,1.23067346,0.00000000
-5.89194597,3.04008461,0.00614708,0.22330478,0.45952407,0.58230161,1.53931107,1.22464812,0.00000000
-5.88594297,3.05492295,0.00605932,0.21663356,0.45232447,0.58234084,1.57297172,1.21528262,0.00000000
-5.87993997,3.06221321,0.00594411,0.20916768,0.44312254,0.58138757,1.60403395,1.20232617,0.00000000
-5.87393697,3.06179306,0.00580191,0.20100319,0.43211599,0.57924568,1.63238587,1.18561575,0.00000000
-5.86793397,3.05367009,0.00563377,0.19224905,0.41955006,0.57576054,1.65795602,1.16509059,0.00000000
-5.86193097,3.03802681,0.00544137,0.18302509,0.40571173,0.57082682,1.68071048,1.14080243,0.00000000
-5.85592796,3.01521891,0.00522697,0.17345982,0.39092240,0.56439418,1.70064871,1.11292111,0.00000000
-5.84992496,2.98576719,0.00499336,0.16368793,0.37552962,0.55647040,1.71779862,1.08173547,0.00000000
-5.84392196,2.95034419,0.00474375,0.15384770,0.35989792,0.54712226,1.73221146,1.04764956,0.00000000
-5.83791896,2.90975645,0.00448176,0.14407839,0.34439938,0.53647403,1.74395717,1.01117458,0.00000000
-5.83191596,2.86492372,0.00421123,0.13451767,0.32940420,0.52470379,1.75312082,0.97291698,0.00000000
-5.82591296,2.81685640,0.00393618,0.12529923,0.31527168,0.51203798,1.75980035,0.93356337,0.00000000
-5.81990995,2.76663237,0.00366066,0.11655056,0.30234180,0.49874437,1.76410620,0.89386311,0.00000000
-5.81390695,2.71537420,0.00338867,0.10839110,0.29092782,0.48512383,1.76616267,0.85460919,0.00000000
-5.80790395,2.66422766,0.00312408,0.10093051,0.28130987,0.47150135,1.76611103,0.81661824,0.00000000
-5.80190095,2.61434184,0.00287049,0.09426738,0.27372978,0.45821652,1.76411397,0.78071044,0.00000000
-5.79589795,2.56685120,0.00263120,0.08848817,0.26838700,0.44561391,1.76036085,0.74768984,0.00000000
-5.78989495,2.52285939,0.00240916,0.08366637,0.26543574,0.43403357,1.75507312,0.71832564,0.00000000
-5.78389195,2.48342453,0.00220691,0.07986193,0.26498309,0.42380190,1.74850905,0.69333487,0.00000000
-5.77788894,2.44954535,0.00202654,0.07712087,0.26708808,0.41522306,1.74096699,0.67336673,0.00000000
-5.77188594,2.42214773,0.00186973,0.07547492,0.27176149,0.40857114,1.73278628,0.65898864,0.00000000
-5.76588294,2.40207088,0.00173768,0.07494143,0.27896625,0.40408309,1.72434526,0.65067436,0.00000000
-5.75987994,2.39005287,0.00163121,0.07552317,0.28861845,0.40195256,1.71605585,0.64879389,0.00000000
-5.75387694,2.38671513,0.00155073,0.07720830,0.30058861,0.40232474,1.70835431,0.65360553,0.00000000
-5.74787394,2.39254602,0.00149626,0.07997033,0.31470350,0.40529229,1.70168851,0.66524976,0.00000000
-5.74187094,2.40788374,0.00146755,0.08376822,0.33074817,0.41089234,1.69650183,0.68374529,0.00000000
-5.73586793,2.43289934,0.00146402,0.08854653,0.34846855,0.41910474,1.69321440,0.70898720,0.00000000
-5.72986493,2.46758074,0.00148491,0.09423573,0.36757443,0.42985167,1.69220269,0.74074725,0.00000000
-5.72386193,2.51171891,0.00152927,0.10075276,0.38774310,0.44299855,1.69377858,0.77867668,0.00000000
-5.71785893,2.56489776,0.00159605,0.10800177,0.40862372,0.45835651,1.69816916,0.82231145,0.00000000
-5.71185593,2.62648884,0.00168412,0.11587522,0.42984242,0.47568630,1.70549872,0.87108014,0.00000000
-5.70585293,2.69565238,0.00179237,0.12425530,0.45100836,0.49470379,1.71577420,0.92431467,0.00000000
-5.69984992,2.77134559,0.00191975,0.13301568,0.47172061,0.51508689,1.72887536,0.98126358,0.00000000
-5.69384692,2.85233896,0.00206533,0.14202367,0.49157589,0.53648384,1.74455054,1.04110810,0.00000000
-5.68784392,2.93724071,0.00222832,0.15114264,0.51017714,0.55852263,1.76241879,1.10298043,0.00000000
-5.68184092,3.02452934,0.00240817,0.16023473,0.52714249,0.58082132,1.78197858,1.16598402,0.00000000
-5.67583792,3.11259315,0.00260457,0.16916381,0.54211462,0.60299886,1.80262288,1.22921516,0.00000000
-5.66983492,3.19977565,0.00281749,0.17779842,0.55477014,0.62468606,1.82366030,1.29178529,0.00000000
-5.66383192,3.28442483,0.00304721,0.18601479,0.56482847,0.64553622,1.84434104,1.35284310,0.00000000
-5.65782891,3.36494416,0.00329431,0.19369963,0.57206005,0.66523490,1.86388673,1.41159560,0.00000000
-5.65182591,3.43984292,0.00355968,0.20075272,0.57629339,0.68350854,1.88152227,1.46732725,0.00000000
-5.64582291,3.50778320,0.00384448,0.20708903,0.57742057,0.70013132,1.89650830,1.51941626,0.00000000
-5.63981991,3.56762128,0.00415012,0.21264038,0.57540100,0.71493006,1.90817225,1.56734733,0.00000000
-5.63381691,3.61844113,0.00447821,0.21735656,0.57026312,0.72778683,1.91593652,1.61072027,0.00000000
-5.62781391,3.65957833,0.00483046,0.22120580,0.56210387,0.73863926,1.91934212,1.64925401,0.00000000
-5.62181091,3.69063318,0.00520867,0.22417463,0.55108608,0.74747845,1.91806653,1.68278601,0.00000000
-5.61580790,3.71147242,0.00561459,0.22626717,0.53743359,0.75434464,1.91193491,1.71126702,0.00000000
-5.60980490,3.72221973,0.00604989,0.22750381,0.52142458,0.75932104,1.90092411,1.73475180,0.00000000
-5.60380190,3.72323571,0.00651607,0.22791957,0.50338308,0.76252608,1.88515947,1.75338626,0.00000000
-5.59779890,3.71508874,0.00701441,0.22756203,0.48366932,0.76410462,1.86490462,1.76739188,0.00000000
-5.59179590,3.69851873,0.00754590,0.22648907,0.46266912,0.76421861,1.84054525,1.77704850,0.00000000
-5.58579290,3.67439586,0.00811127,0.22476662,0.44078288,0.76303786,1.81256762,1.78267648,0.00000000
-5.57978989,3.64367695,0.00871097,0.22246636,0.41841457,0.76073136,1.78153352,1.78461927,0.00000000
-5.57378689,3.60736185,0.00934520,0.21966364,0.39596123,0.75745959,1.74805283,1.78322740,0.00000000
-5.56778389,3.56645240,0.01001400,0.21643573,0.37380325,0.75336841,1.71275552,1.77884482,0.00000000
-5.56178089,3.52191593,0.01071737,0.21286020,0.35229592,0.74858456,1.67626449,1.77179819,0.00000000
