energy_ev,total_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.49518685,0.65008881,0.40244110,0.52649314,1.11211249,0.00436737,0.17891951,0.85990012,0.00000000
-5.99399700,2.38250257,0.61894347,0.38636018,0.50887628,1.05909211,0.00393249,0.17164410,0.81971759,0.00000000
-5.98799400,2.27533021,0.59029215,0.37194036,0.49280720,1.00653892,0.00354249,0.16502681,0.78290143,0.00000000
-5.98199100,2.17472164,0.56430266,0.35926985,0.47839870,0.95513788,0.00319756,0.15911711,0.74967058,0.00000000
-5.97598799,2.08156893,0.54108576,0.34838933,0.46572062,0.90554396,0.00289715,0.15394867,0.72016433,0.00000000
-5.96998499,1.99659059,0.52069481,0.33929267,0.45479821,0.85836980,0.00264011,0.14953812,0.69444282,0.00000000
-5.96398199,1.92032335,0.50312719,0.33192900,0.44561195,0.81417479,0.00242483,0.14588455,0.67248991,0.00000000
-5.95797899,1.85311998,0.48832740,0.32620599,0.43809914,0.77345605,0.00224933,0.14296980,0.65421837,0.00000000
-5.95197599,1.79515325,0.47619174,0.32199431,0.43215730,0.73664144,0.00211139,0.14075955,0.63947737,0.00000000
-5.94597299,1.74642592,0.46657462,0.31913319,0.42764922,0.70408481,0.00200867,0.13920515,0.62806208,0.00000000
-5.93996998,1.70678645,0.45929609,0.31743687,0.42440965,0.67606359,0.00193880,0.13824602,0.61972508,0.00000000
-5.93396698,1.67594966,0.45415057,0.31670189,0.42225335,0.65277847,0.00189944,0.13781280,0.61418940,0.00000000
-5.92796398,1.65352148,0.45091622,0.31671479,0.42098419,0.63435529,0.00188836,0.13783071,0.61116250,0.00000000
-5.92196098,1.63902669,0.44936478,0.31726017,0.42040490,0.62084860,0.00190352,0.13822331,0.61035090,0.00000000
-5.91595798,1.63193827,0.44927132,0.31812865,0.42032715,0.61224686,0.00194308,0.13891630,0.61147466,0.00000000
-5.90995498,1.63170692,0.45042362,0.31912461,0.42058116,0.60847866,0.00200542,0.13984120,0.61428128,0.00000000
-5.90395198,1.63778930,0.45263063,0.32007319,0.42102478,0.60941965,0.00208920,0.14093877,0.61855818,0.00000000
-5.89794897,1.64967367,0.45572969,0.32082653,0.42155112,0.61489991,0.00219335,0.14216191,0.62414321,0.00000000
-5.89194597,1.66690145,0.45959220,0.32126866,0.42209464,0.62471121,0.00231704,0.14347800,0.63093271,0.00000000
-5.88594297,1.68908376,0.46412740,0.32131921,0.42263513,0.63861387,0.00245971,0.14487035,0.63888645,0.00000000
-5.87993997,1.71591212,0.46928410,0.32093541,0.42319939,0.65634311,0.00262104,0.14633891,0.64802933,0.00000000
-5.87393697,1.74716269,0.47505033,0.32011253,0.42386048,0.67761450,0.00280092,0.14789996,0.65844942,0.00000000
-5.86793397,1.78269404,0.48145085,0.31888267,0.42473444,0.70212854,0.00299942,0.14958487,0.67029240,0.00000000
-5.86193097,1.82243849,0.48854264,0.31731193,0.42597466,0.72957422,0.00321676,0.15143802,0.68375263,0.00000000
-5.85592796,1.86638776,0.49640871,0.31549611,0.42776402,0.75963175,0.00345327,0.15351376,0.69906090,0.00000000
