energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.68784392,2.40338602,0.23261480,0.00178276,0.33609543,0.43854528,0.36722403,0.34605661
-5.68184092,2.25735683,0.22142780,0.00168053,0.30741401,0.41600889,0.34069048,0.32590688
-5.67583792,2.11223499,0.21056725,0.00158037,0.27953506,0.39327611,0.31502994,0.30567942
-5.66983492,1.96976088,0.20021499,0.00148390,0.25270056,0.37064667,0.29050475,0.28559813
-5.66383192,1.83158820,0.19055146,0.00139271,0.22711637,0.34841785,0.26736143,0.26587878
-5.65782891,1.69925019,0.18175149,0.00130836,0.20295014,0.32687789,0.24582618,0.24672444
-5.65182591,1.57413109,0.17398042,0.00123236,0.18033061,0.30629999,0.22610099,0.22832144
-5.64582291,1.45744364,0.16739046,0.00116609,0.15934805,0.28693686,0.20836052,0.21083599
-5.63981991,1.35021264,0.16211754,0.00111079,0.14005601,0.26901601,0.19274973,0.19441167
-5.63381691,1.25326438,0.15827854,0.00106754,0.12247379,0.25273588,0.17938223,0.17916762
-5.62781391,1.16722166,0.15596879,0.00103725,0.10658990,0.23826270,0.16833914,0.16519748
-5.62181091,1.09250360,0.15526012,0.00102059,0.09236585,0.22572824,0.15966866,0.15256908
-5.61580790,1.02932961,0.15619901,0.00101803,0.07974042,0.21522823,0.15338595,0.14132479
-5.60980490,0.97772663,0.15880525,0.00102980,0.06863396,0.20682152,0.14947338,0.13148230
-5.60380190,0.93753890,0.16307074,0.00105587,0.05895272,0.20052982,0.14788114,0.12303597
-5.59779890,0.90843951,0.16895867,0.00109597,0.05059294,0.19633803,0.14852799,0.11595839
-5.59179590,0.88994323,0.17640308,0.00114955,0.04344455,0.19419502,0.15130226,0.11020227
-5.58579290,0.88142023,0.18530874,0.00121583,0.03739459,0.19401488,0.15606316,0.10570248
-5.57978989,0.88211038,0.19555161,0.00129374,0.03233008,0.19567865,0.16264220,0.10237811
-5.57378689,0.89113816,0.20697980,0.00138201,0.02814036,0.19903642,0.17084510,0.10013467
-5.56778389,0.90752818,0.21941531,0.00147909,0.02471904,0.20390991,0.18045397,0.09886623
-5.56178089,0.93022154,0.23265637,0.00158325,0.02196544,0.21009553,0.19123005,0.09845767
-5.55577789,0.95809312,0.24648076,0.00169256,0.01978558,0.21736789,0.20291691,0.09878680
-5.54977489,0.98997016,0.26064986,0.00180495,0.01809282,0.22548389,0.21524429,0.09972661
-5.54377189,1.02465200,0.27491351,0.00191822,0.01680827,0.23418723,0.22793245,0.10114744
-5.53776888,1.06093121,0.28901571,0.00203010,0.01586083,0.24321345,0.24069719,0.10291926
-5.53176588,1.09761587,0.30270087,0.00213831,0.01518717,0.25229538,0.25325530,0.10491383
-5.52576288,1.13355266,0.31572049,0.00224057,0.01473151,0.26116892,0.26533037,0.10700703
-5.51975988,1.16765037,0.32784016,0.00233470,0.01444536,0.26957898,0.27665892,0.10908095
-5.51375688,1.19890306,0.33884636,0.00241866,0.01428721,0.27728548,0.28699651,0.11102613
-5.50775388,1.22641236,0.34855306,0.00249059,0.01422222,0.28406923,0.29612370,0.11274347
-5.50175088,1.24940772,0.35680761,0.00254885,0.01422197,0.28973737,0.30385156,0.11414607
-5.49574787,1.26726405,0.36349563,0.00259211,0.01426414,0.29412828,0.31002657,0.11516083
-5.48974487,1.27951578,0.36854483,0.00261933,0.01433235,0.29711576,0.31453463,0.11572965
-5.48374187,1.28586655,0.37192721,0.00262983,0.01441588,0.29861217,0.31730394,0.11581032
-5.47773887,1.28619402,0.37365981,0.00262328,0.01450960,0.29857049,0.31830665,0.11537700
-5.47173587,1.28054933,0.37380361,0.00259971,0.01461369,0.29698516,0.31755917,0.11442019
-5.46573287,1.26915111,0.37246081,0.00255952,0.01473360,0.29389163,0.31512101,0.11294629
-5.45972986,1.25237398,0.36977045,0.00250345,0.01487973,0.28936461,0.31109218,0.11097666
-5.45372686,1.23073207,0.36590245,0.00243255,0.01506730,0.28351508,0.30560937,0.10854627
-5.44772386,1.20485803,0.36105054,0.00234815,0.01531601,0.27648622,0.29884075,0.10570194
-5.44172086,1.17547835,0.35542416,0.00225180,0.01564973,0.26844828,0.29097995,0.10250027
-5.43571786,1.14338605,0.34923983,0.00214527,0.01609597,0.25959284,0.28223913,0.09900537
-5.42971486,1.10941185,0.34271227,0.00203041,0.01668541,0.25012640,0.27284166,0.09528636
-5.42371186,1.07439494,0.33604587,0.00190918,0.01745121,0.24026380,0.26301461,0.09141495
-5.41770885,1.03915468,0.32942670,0.00178355,0.01842821,0.23022162,0.25298137,0.08746294
-5.41170585,1.00446427,0.32301558,0.00165543,0.01965205,0.22021183,0.24295471,0.08349999
-5.40570285,0.97102750,0.31694243,0.00152669,0.02115813,0.21043592,0.23313058,0.07959156
-5.39969985,0.93945940,0.31130234,0.00139904,0.02298048,0.20107980,0.22368282,0.07579719
-5.39369685,0.91027145,0.30615321,0.00127405,0.02515054,0.19230944,0.21475906,0.07216911
-5.38769385,0.88386190,0.30151543,0.00115310,0.02769583,0.18426771,0.20647795,0.06875132
-5.38169085,0.86051120,0.29737331,0.00103738,0.03063866,0.17707206,0.19892764,0.06557902
-5.37568784,0.84038277,0.29367824,0.00092785,0.03399470,0.17081357,0.19216582,0.06267849
-5.36968484,0.82352864,0.29035348,0.00082527,0.03777176,0.16555691,0.18622095,0.06006737
-5.36368184,0.80989961,0.28730021,0.00073020,0.04196859,0.16134149,0.18109487,0.05775525
-5.35767884,0.79935929,0.28440452,0.00064299,0.04657379,0.15818355,0.17676647,0.05574469
-5.35167584,0.79170140,0.28154515,0.00056383,0.05156507,0.15607915,0.17319627,0.05403232
-5.34567284,0.78666929,0.27860135,0.00049276,0.05690871,0.15500792,0.17033176,0.05261032
-5.33966983,0.78397712,0.27546061,0.00042968,0.06255941,0.15493740,0.16811320,0.05146788
-5.33366683,0.78333153,0.27202602,0.00037442,0.06846051,0.15582787,0.16647963,0.05059282
-5.32766383,0.78445328,0.26822259,0.00032670,0.07454472,0.15763745,0.16537488,0.04997313
-5.32166083,0.78709786,0.26400268,0.00028622,0.08073522,0.16032736,0.16475337,0.04959856
-5.31565783,0.79107446,0.25934992,0.00025266,0.08694732,0.16386708,0.16458530,0.04946199
