energy_ev,total_up,Au_p_up,Au_d_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up
-6.00000000,8.29763905,0.68499331,6.13088011,1.11497119,0.00000000,0.09895679,0.40054976
-5.99399700,8.39542145,0.70660919,6.20020081,1.13624217,0.00000000,0.09685256,0.40301362
-5.98799400,8.48694461,0.72877323,6.26498417,1.15555563,0.00000000,0.09466324,0.40543714
-5.98199100,8.57287804,0.75129090,6.32600309,1.17286287,0.00000000,0.09243282,0.40785321
-5.97598799,8.65381196,0.77394207,6.38397368,1.18812800,0.00000000,0.09020334,0.41028739
-5.96998499,8.73022580,0.79648642,6.43952239,1.20132638,0.00000000,0.08801391,0.41275817
-5.96398199,8.80246383,0.81867013,6.49315842,1.21244339,0.00000000,0.08589981,0.41527762
-5.95797899,8.87071909,0.84023337,6.54525292,1.22147353,0.00000000,0.08389179,0.41785229
-5.95197599,8.93502660,0.86091849,6.59602584,1.22842006,0.00000000,0.08201549,0.42048428
-5.94597299,8.99526581,0.88047845,6.64554099,1.23329514,0.00000000,0.08029119,0.42317237
-5.93996998,9.05117224,0.89868517,6.69370915,1.23612040,0.00000000,0.07873361,0.42591316
-5.93396698,9.10235718,0.91533743,6.74029910,1.23692797,0.00000000,0.07735198,0.42870212
-5.92796398,9.14833432,0.93026784,6.78495542,1.23576177,0.00000000,0.07615031,0.43153435
-5.92196098,9.18855142,0.94334853,6.82722210,1.23267887,0.00000000,0.07512774,0.43440525
-5.91595798,9.22242520,0.95449537,6.86657034,1.22775083,0.00000000,0.07427912,0.43731080
-5.90995498,9.24937741,0.96367018,6.90242913,1.22106479,0.00000000,0.07359562,0.44024755
-5.90395198,9.26886997,0.97088117,6.93421678,1.21272412,0.00000000,0.07306547,0.44321234
-5.89794897,9.28043760,0.97618122,6.96137199,1.20284861,0.00000000,0.07267468,0.44620179
-5.89194597,9.28371614,0.97966429,6.98338299,1.19157395,0.00000000,0.07240784,0.44921155
-5.88594297,9.27846579,0.98146009,6.99981361,1.17905063,0.00000000,0.07224883,0.45223551
-5.87993997,9.26458814,0.98172729,7.01032532,1.16544223,0.00000000,0.07218155,0.45526498
-5.87393697,9.24213716,0.98064567,7.01469480,1.15092304,0.00000000,0.07219053,0.45828796
-5.86793397,9.21132395,0.97840769,7.01282660,1.13567539,0.00000000,0.07226148,0.46128862
-5.86193097,9.17251585,0.97520991,7.00476110,1.11988659,0.00000000,0.07238172,0.46424712
-5.85592796,9.12623073,0.97124474,6.99067775,1.10374572,0.00000000,0.07254051,0.46713970
-5.84992496,9.07312726,0.96669305,6.97089420,1.08744057,0.00000000,0.07272928,0.46993922
-5.84392196,9.01399214,0.96171791,6.94586177,1.07115463,0.00000000,0.07294168,0.47261613
-5.83791896,8.94972534,0.95645986,6.91615775,1.05506447,0.00000000,0.07317356,0.47513979
-5.83191596,8.88132407,0.95103387,6.88247519,1.03933750,0.00000000,0.07342289,0.47748010
-5.82591296,8.80986614,0.94552806,6.84561052,1.02413017,0.00000000,0.07368942,0.47960939
-5.81990995,8.73649333,0.94000415,6.80644958,1.00958663,0.00000000,0.07397445,0.48150440
-5.81390695,8.66239478,0.93449957,6.76595228,0.99583776,0.00000000,0.07428036,0.48314822
-5.80790395,8.58879079,0.92903080,6.72513625,0.98300059,0.00000000,0.07461017,0.48453205
-5.80190095,8.51691672,0.92359791,6.68505952,0.97117797,0.00000000,0.07496706,0.48565669
-5.79589795,8.44800712,0.91818965,6.64680271,0.96045839,0.00000000,0.07535384,0.48653349
-5.78989495,8.38327981,0.91278893,6.61145068,0.95091587,0.00000000,0.07577249,0.48718486
-5.78389195,8.32392007,0.90737820,6.58007407,0.94260989,0.00000000,0.07622365,0.48764411
-5.77788894,8.27106481,0.90194443,6.55371104,0.93558517,0.00000000,0.07670627,0.48795465
-5.77188594,8.22578713,0.89648346,6.53334967,0.92987157,0.00000000,0.07721726,0.48816863
-5.76588294,8.18908160,0.89100337,6.51991150,0.92548375,0.00000000,0.07775132,0.48834502
-5.75987994,8.16185072,0.88552695,6.51423682,0.92242096,0.00000000,0.07830081,0.48854721
-5.75387694,8.14489343,0.88009302,6.51707240,0.92066695,0.00000000,0.07885582,0.48884043
-5.74787394,8.13889614,0.87475677,6.52906208,0.92018994,0.00000000,0.07940435,0.48928896
-5.74187094,8.14442707,0.86958920,6.55074098,0.92094304,0.00000000,0.07993264,0.48995349
-5.73586793,8.16193460,0.86467577,6.58253360,0.92286494,0.00000000,0.08042557,0.49088864
-5.72986493,8.19174983,0.86011443,6.62475601,0.92588122,0.00000000,0.08086729,0.49214097
-5.72386193,8.23409380,0.85601341,6.67762233,0.92990604,0.00000000,0.08124180,0.49374755
-5.71785893,8.28908902,0.85248874,6.74125502,0.93484453,0.00000000,0.08153370,0.49573513
-5.71185593,8.35677516,0.84966180,6.81569869,0.94059563,0.00000000,0.08172889,0.49812007
-5.70585293,8.43712787,0.84765712,6.90093653,0.94705544,0.00000000,0.08181535,0.50090897
-5.69984992,8.53007999,0.84660040,6.99690860,0.95412086,0.00000000,0.08178373,0.50409998
-5.69384692,8.63554358,0.84661686,7.10353049,0.96169350,0.00000000,0.08162804,0.50768468
-5.68784392,8.75343145,0.84782998,7.22071151,0.96968355,0.00000000,0.08134611,0.51165036
-5.68184092,8.88367657,0.85036048,7.34837063,0.97801340,0.00000000,0.08093996,0.51598263
-5.67583792,9.02624761,0.85432554,7.48644926,0.98662088,0.00000000,0.08041602,0.52066797
-5.66983492,9.18115925,0.85983811,7.63491940,0.99546183,0.00000000,0.07978521,0.52569630
