energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up
-6.00000000,4.98983452,0.08990538,0.45439041,1.14680423,0.78395296,0.90739793,0.69455446,2.15563540,0.00000000
-5.99399700,4.89235427,0.09000460,0.43321368,1.09287033,0.76478117,0.89501050,0.69930678,2.13600091,0.00000000
-5.98799400,4.79267896,0.09001298,0.41220795,1.03967403,0.74457005,0.88180223,0.70397278,2.11484331,0.00000000
-5.98199100,4.69151748,0.08992234,0.39157590,0.98759059,0.72361031,0.86782590,0.70836416,2.09217309,0.00000000
-5.97598799,4.58956642,0.08972237,0.37151116,0.93697273,0.70219587,0.85313574,0.71228972,2.06801032,0.00000000
-5.96998499,4.48750014,0.08940139,0.35219493,0.88814881,0.68061664,0.83778739,0.71556125,2.04238631,0.00000000
-5.96398199,4.38596156,0.08894716,0.33379261,0.84142094,0.65915151,0.82183826,0.71799958,2.01534582,0.00000000
-5.95797899,4.28555387,0.08834782,0.31645051,0.79706320,0.63806156,0.80534822,0.71944072,1.98694958,0.00000000
-5.95197599,4.18683365,0.08759277,0.30029274,0.75531993,0.61758391,0.78838065,0.71974164,1.95727706,0.00000000
-5.94597299,4.09030544,0.08667360,0.28541862,0.71640446,0.59792639,0.77100362,0.71878554,1.92642920,0.00000000
-5.93996998,3.99641787,0.08558483,0.27190056,0.68049820,0.57926314,0.75329127,0.71648627,1.89453078,0.00000000
-5.93396698,3.90556109,0.08432462,0.25978277,0.64775040,0.56173143,0.73532512,0.71279165,1.86173215,0.00000000
-5.92796398,3.81806558,0.08289519,0.24908064,0.61827855,0.54542961,0.71719520,0.70768539,1.82820980,0.00000000
-5.92196098,3.73420197,0.08130309,0.23978113,0.59216944,0.53041634,0.69900095,0.70118766,1.79416586,0.00000000
-5.91595798,3.65418169,0.07955922,0.23184402,0.56948110,0.51671109,0.68085162,0.69335396,1.75982595,0.00000000
-5.90995498,3.57815841,0.07767861,0.22520403,0.55024532,0.50429581,0.66286634,0.68427260,1.72543562,0.00000000
-5.90395198,3.50623010,0.07567997,0.21977383,0.53447081,0.49311770,0.64517353,0.67406073,1.69125534,0.00000000
-5.89794897,3.43844178,0.07358503,0.21544777,0.52214688,0.48309302,0.62790984,0.66285913,1.65755421,0.00000000
-5.89194597,3.37478890,0.07141776,0.21210619,0.51324742,0.47411163,0.61121862,0.65082621,1.62460287,0.00000000
-5.88594297,3.31522158,0.06920343,0.20962014,0.50773500,0.46604234,0.59524786,0.63813136,1.59266578,0.00000000
-5.87993997,3.25964965,0.06696764,0.20785634,0.50556486,0.45873861,0.58014788,0.62494818,1.56199355,0.00000000
-5.87393697,3.20794861,0.06473532,0.20668217,0.50668852,0.45204458,0.56606862,0.61144781,1.53281567,0.00000000
-5.86793397,3.15996646,0.06252984,0.20597036,0.51105683,0.44580114,0.55315680,0.59779291,1.50533407,0.00000000
-5.86193097,3.11553109,0.06037214,0.20560338,0.51862207,0.43985188,0.54155299,0.58413243,1.47971786,0.00000000
-5.85592796,3.07445810,0.05828014,0.20547707,0.52933904,0.43404854,0.53138850,0.57059740,1.45609950,0.00000000
-5.84992496,3.03655848,0.05626818,0.20550361,0.54316481,0.42825607,0.52278240,0.55729800,1.43457241,0.00000000
-5.84392196,3.00164560,0.05434680,0.20561349,0.56005702,0.42235674,0.51583841,0.54432184,1.41519008,0.00000000
-5.83791896,2.96954097,0.05252258,0.20575647,0.57997073,0.41625342,0.51064188,0.53173350,1.39796641,0.00000000
-5.83191596,2.94007809,0.05079831,0.20590156,0.60285376,0.40987178,0.50725670,0.51957515,1.38287708,0.00000000
-5.82591296,2.91310383,0.04917323,0.20603593,0.62864071,0.40316143,0.50572236,0.50786801,1.36986150,0.00000000
-5.81990995,2.88847699,0.04764347,0.20616288,0.65724586,0.39609580,0.50605092,0.49661461,1.35882514,0.00000000
-5.81390695,2.86606383,0.04620256,0.20629904,0.68855528,0.38867097,0.50822418,0.48580137,1.34964180,0.00000000
-5.80790395,2.84573068,0.04484199,0.20647086,0.72241869,0.38090351,0.51219108,0.47540140,1.34215546,0.00000000
-5.80190095,2.82733389,0.04355185,0.20671072,0.75864152,0.37282731,0.51786533,0.46537723,1.33618183,0.00000000
-5.79589795,2.81070799,0.04232141,0.20705289,0.79697784,0.36448984,0.52512374,0.45568334,1.33150928,0.00000000
-5.78989495,2.79565278,0.04113966,0.20752942,0.83712471,0.35594786,0.53380508,0.44626825,1.32789939,0.00000000
-5.78389195,2.78192066,0.03999576,0.20816650,0.87871870,0.34726296,0.54371000,0.43707630,1.32508732,0.00000000
-5.77788894,2.76920537,0.03887945,0.20898122,0.92133496,0.33849709,0.55460207,0.42804890,1.32278234,0.00000000
-5.77188594,2.75713344,0.03778131,0.20997913,0.96448948,0.32970850,0.56621011,0.41912549,1.32066889,0.00000000
-5.76588294,2.74525957,0.03669300,0.21115260,1.00764455,0.32094808,0.57823202,0.41024419,1.31840855,0.00000000
-5.75987994,2.73306680,0.03560730,0.21248022,1.05021786,0.31225660,0.59034012,0.40134233,1.31564342,0.00000000
-5.75387694,2.71997219,0.03451818,0.21392707,1.09159477,0.30366269,0.60218802,0.39235693,1.31200098,0.00000000
-5.74787394,2.70533830,0.03342079,0.21544603,1.13114366,0.29518188,0.61341882,0.38322535,1.30710083,0.00000000
-5.74187094,2.68849016,0.03231136,0.21697987,1.16823356,0.28681659,0.62367452,0.37388614,1.30056313,0.00000000
-5.73586793,2.66873714,0.03118714,0.21846402,1.20225341,0.27855703,0.63260618,0.36428019,1.29201867,0.00000000
-5.72986493,2.64539866,0.03004631,0.21982984,1.23263199,0.27038303,0.63988457,0.35435214,1.28112016,0.00000000
-5.72386193,2.61783235,0.02888791,0.22100812,1.25885736,0.26226641,0.64521064,0.34405216,1.26755418,0.00000000
-5.71785893,2.58546284,0.02771174,0.22193263,1.28049485,0.25417392,0.64832550,0.33333789,1.25105336,0.00000000
-5.71185593,2.54780945,0.02651835,0.22254337,1.29720242,0.24607041,0.64901923,0.32217645,1.23140772,0.00000000
-5.70585293,2.50451100,0.02530898,0.22278941,1.30874256,0.23792195,0.64713808,0.31054650,1.20847479,0.00000000
-5.69984992,2.45534592,0.02408556,0.22263112,1.31498988,0.22969889,0.64258977,0.29844000,1.18218753,0.00000000
-5.69384692,2.40024645,0.02285069,0.22204156,1.31593395,0.22137836,0.63534635,0.28586368,1.15255966,0.00000000
-5.68784392,2.33930572,0.02160763,0.22100712,1.31167707,0.21294633,0.62544462,0.27284003,1.11968777,0.00000000
-5.68184092,2.27277732,0.02036029,0.21952726,1.30242716,0.20439897,0.61298398,0.25940765,1.08375010,0.00000000
-5.67583792,2.20106720,0.01911319,0.21761344,1.28848607,0.19574327,0.59812186,0.24562098,1.04500183,0.00000000
-5.66983492,2.12471848,0.01787136,0.21528737,1.27023404,0.18699697,0.58106686,0.23154928,1.00376713,0.00000000
-5.66383192,2.04438998,0.01664033,0.21257877,1.24811121,0.17818778,0.56207015,0.21727503,0.96042831,0.00000000
-5.65782891,1.96082992,0.01542596,0.20952267,1.22259726,0.16935205,0.54141542,0.20289158,0.91541272,0.00000000
-5.65182591,1.87484630,0.01423433,0.20615665,1.19419042,0.16053297,0.51940798,0.18850052,0.86917797,0.00000000
-5.64582291,1.78727583,0.01307158,0.20251814,1.16338702,0.15177847,0.49636368,0.17420847,0.82219637,0.00000000
-5.63981991,1.69895329,0.01194377,0.19864201,1.13066283,0.14313905,0.47259800,0.16012388,0.77493950,0.00000000
-5.63381691,1.61068290,0.01085666,0.19455851,1.09645700,0.13466557,0.44841611,0.14635370,0.72786346,0.00000000
-5.62781391,1.52321339,0.00981562,0.19029195,1.06115967,0.12640731,0.42410408,0.13300022,0.68139584,0.00000000
-5.62181091,1.43721800,0.00882542,0.18585995,1.02510354,0.11841027,0.39992180,0.12015827,0.63592472,0.00000000
-5.61580790,1.35328012,0.00789014,0.18127338,0.98855986,0.11071605,0.37609776,0.10791282,0.59179043,0.00000000
-5.60980490,1.27188523,0.00701305,0.17653714,0.95173868,0.10336103,0.35282581,0.09633712,0.54928006,0.00000000
-5.60380190,1.19341905,0.00619655,0.17165136,0.91479304,0.09637627,0.33026393,0.08549144,0.50862497,0.00000000
-5.59779890,1.11817154,0.00544213,0.16661334,0.87782669,0.08978783,0.30853481,0.07542251,0.47000119,0.00000000
-5.59179590,1.04634619,0.00475038,0.16141972,0.84090445,0.08361761,0.28772816,0.06616349,0.43353239,0.00000000
-5.58579290,0.97807352,0.00412102,0.15606895,0.80406440,0.07788461,0.26790432,0.05773460,0.39929508,0.00000000
-5.57978989,0.91342771,0.00355293,0.15056380,0.76733095,0.07260658,0.24909887,0.05014424,0.36732554,0.00000000
-5.57378689,0.85244518,0.00304429,0.14491372,0.73072795,0.06780186,0.23132796,0.04339054,0.33762796,0.00000000
-5.56778389,0.79514380,0.00259263,0.13913702,0.69429086,0.06349136,0.21459378,0.03746328,0.31018329,0.00000000
-5.56178089,0.74154160,0.00219500,0.13326257,0.65807727,0.05970063,0.19889014,0.03234597,0.28495813,0.00000000
-5.55577789,0.69167398,0.00184803,0.12733103,0.62217531,0.05646171,0.18420750,0.02801804,0.26191331,0.00000000
-5.54977489,0.64560845,0.00154811,0.12139561,0.58670943,0.05381489,0.17053756,0.02445706,0.24101166,0.00000000
-5.54377189,0.60345631,0.00129147,0.11552207,0.55184338,0.05181016,0.15787687,0.02164079,0.22222470,0.00000000
-5.53776888,0.56538082,0.00107433,0.10978828,0.51778036,0.05050818,0.14622969,0.01954909,0.20553785,0.00000000
-5.53176588,0.53160148,0.00089294,0.10428313,0.48476061,0.04998089,0.13560976,0.01816544,0.19095422,0.00000000
-5.52576288,0.50239445,0.00074371,0.09910494,0.45305646,0.05031151,0.12604110,0.01747816,0.17849671,0.00000000
-5.51975988,0.47808911,0.00062327,0.09435944,0.42296552,0.05159399,0.11755792,0.01748123,0.16820844,0.00000000
-5.51375688,0.45906098,0.00052849,0.09015735,0.39480229,0.05393177,0.11020363,0.01817461,0.16015170,0.00000000
-5.50775388,0.44572126,0.00045656,0.08661163,0.36888860,0.05743593,0.10402911,0.01956410,0.15440534,0.00000000
-5.50175088,0.43850347,0.00040497,0.08383462,0.34554360,0.06222263,0.09909034,0.02166072,0.15106086,0.00000000
-5.49574787,0.43784739,0.00037153,0.08193491,0.32507349,0.06840988,0.09544555,0.02447960,0.15021734,0.00000000
-5.48974487,0.44418103,0.00035436,0.08101427,0.30776152,0.07611376,0.09315202,0.02803848,0.15197536,0.00000000
-5.48374187,0.45790108,0.00035190,0.08116448,0.29385854,0.08544400,0.09226262,0.03235569,0.15643025,0.00000000
-5.47773887,0.47935233,0.00036284,0.08246435,0.28357452,0.09649923,0.09282228,0.03744790,0.16366478,0.00000000
-5.47173587,0.50880689,0.00038616,0.08497682,0.27707107,0.10936190,0.09486452,0.04332757,0.17374160,0.00000000
-5.46573287,0.54644384,0.00042104,0.08874635,0.27445531,0.12409310,0.09840812,0.05000023,0.18669581,0.00000000
-5.45972986,0.59233014,0.00046689,0.09379663,0.27577523,0.14072760,0.10345414,0.05746172,0.20252779,0.00000000
-5.45372686,0.64640380,0.00052327,0.10012867,0.28101665,0.15926920,0.10998333,0.06569555,0.22119681,0.00000000
-5.44772386,0.70845999,0.00058994,0.10771947,0.29010199,0.17968695,0.11795419,0.07467042,0.24261565,0.00000000
-5.44172086,0.77814139,0.00066680,0.11652127,0.30289081,0.20191215,0.12730166,0.08433824,0.26664662,0.00000000
-5.43571786,0.85493345,0.00075391,0.12646159,0.31918256,0.22583693,0.13793672,0.09463255,0.29309934,0.00000000
-5.42971486,0.93816563,0.00085151,0.13744398,0.33872126,0.25131421,0.14974686,0.10546767,0.32173060,0.00000000
-5.42371186,1.02701919,0.00096000,0.14934985,0.36120255,0.27815957,0.16259769,0.11673865,0.35224651,0.00000000
-5.41770885,1.12054217,0.00108001,0.16204107,0.38628280,0.30615516,0.17633554,0.12832203,0.38430721,0.00000000
-5.41170585,1.21767182,0.00121244,0.17536371,0.41359061,0.33505559,0.19079124,0.14007763,0.41753424,0.00000000
-5.40570285,1.31726421,0.00135847,0.18915262,0.44274016,0.36459592,0.20578496,0.15185121,0.45152040,0.00000000
-5.39969985,1.41813072,0.00151964,0.20323691,0.47334654,0.39450151,0.22113201,0.16347809,0.48584223,0.00000000
-5.39369685,1.51908038,0.00169790,0.21744615,0.50504245,0.42449956,0.23664951,0.17478768,0.52007447,0.00000000
-5.38769385,1.61896671,0.00189565,0.23161710,0.53749584,0.45433175,0.25216358,0.18560858,0.55380632,0.00000000
-5.38169085,1.71673735,0.00211582,0.24560073,0.57042794,0.48376767,0.26751697,0.19577440,0.58665882,0.00000000
-5.37568784,1.81148430,0.00236188,0.25926915,0.60363082,0.51261826,0.28257659,0.20512978,0.61830253,0.00000000
-5.36968484,1.90249250,0.00263787,0.27252221,0.63698375,0.54074865,0.29724067,0.21353650,0.64847489,0.00000000
-5.36368184,1.98928403,0.00294840,0.28529340,0.67046740,0.56808962,0.31144517,0.22087944,0.67699625,0.00000000
-5.35767884,2.07165568,0.00329864,0.29755465,0.70417500,0.59464695,0.32516899,0.22707203,0.70378380,0.00000000
-5.35167584,2.14970707,0.00369429,0.30931966,0.73831958,0.62050797,0.33843767,0.23206092,0.72886241,0.00000000
-5.34567284,2.22385755,0.00414143,0.32064559,0.77323662,0.64584475,0.35132521,0.23582975,0.75237178,0.00000000
-5.33966983,2.29484992,0.00464650,0.33163281,0.80938123,0.67091341,0.36395374,0.23840161,0.77456917,0.00000000
-5.33366683,2.36373986,0.00521609,0.34242253,0.84731971,0.69604931,0.37649098,0.23984024,0.79582732,0.00000000
-5.32766383,2.43187070,0.00585678,0.35319233,0.88771511,0.72165800,0.38914529,0.24024974,0.81662723,0.00000000
-5.32166083,2.50083360,0.00657497,0.36414967,0.93130699,0.74820211,0.40215851,0.23977281,0.83754601,0.00000000
-5.31565783,2.57241430,0.00737664,0.37552347,0.97888570,0.77618454,0.41579673,0.23858754,0.85923991,0.00000000
-5.30965483,2.64852828,0.00826713,0.38755421,1.03126191,0.80612863,0.43033927,0.23690297,0.88242305,0.00000000
-5.30365183,2.73114676,0.00925094,0.40048276,1.08923249,0.83855598,0.44606640,0.23495338,0.90784284,0.00000000
-5.29764882,2.82221679,0.01033150,0.41453859,1.15354382,0.87396316,0.46324625,0.23299186,0.93625284,0.00000000
-5.29164582,2.92357901,0.01151103,0.42992781,1.22485428,0.91279817,0.48212159,0.23128309,0.96838444,0.00000000
