energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,2.41192727,0.54088475,0.98550083,0.03166867,0.05808684,0.12639805,0.82015003,0.84513080,0.00000000
-5.99399700,2.48237134,0.56131709,1.01365257,0.03178899,0.05947872,0.12795673,0.84698995,0.86853335,0.00000000
-5.98799400,2.54797858,0.58121636,1.04011880,0.03171879,0.06065329,0.12890377,0.87238824,0.88989100,0.00000000
-5.98199100,2.60856717,0.60046348,1.06497312,0.03145965,0.06160298,0.12923764,0.89616902,0.90907412,0.00000000
-5.97598799,2.66415620,0.61895999,1.08839961,0.03101818,0.06232488,0.12897344,0.91819742,0.92601419,0.00000000
-5.96998499,2.71493990,0.63662239,1.11068288,0.03040568,0.06282026,0.12814124,0.93837058,0.94069416,0.00000000
-5.96398199,2.76125686,0.65337622,1.13219531,0.02963770,0.06309396,0.12678416,0.95660776,0.95313732,0.00000000
-5.95797899,2.80355602,0.66915024,1.15338179,0.02873341,0.06315374,0.12495596,0.97284034,0.96339540,0.00000000
-5.95197599,2.84236143,0.68387117,1.17474280,0.02771491,0.06300950,0.12271847,0.98700251,0.97153674,0.00000000
-5.94597299,2.87823769,0.69745947,1.19681633,0.02660643,0.06267266,0.12013894,0.99902324,0.97763523,0.00000000
-5.93996998,2.91175769,0.70982652,1.22015936,0.02543351,0.06215545,0.11728738,1.00882036,0.98176074,0.00000000
-5.93396698,2.94347433,0.72087337,1.24532943,0.02422217,0.06147042,0.11423407,1.01629695,0.98397157,0.00000000
-5.92796398,2.97389696,0.73049122,1.27286671,0.02299813,0.06062994,0.11104728,1.02134053,0.98430935,0.00000000
-5.92196098,3.00347330,0.73856367,1.30327695,0.02178602,0.05964596,0.10779139,1.02382501,0.98279658,0.00000000
-5.91595798,3.03257701,0.74497046,1.33701554,0.02060872,0.05852978,0.10452527,1.02361536,0.97943683,0.00000000
-5.90995498,3.06150050,0.74959256,1.37447275,0.01948680,0.05729211,0.10130124,1.02057453,0.97421739,0.00000000
-5.90395198,3.09045227,0.75231813,1.41596023,0.01843803,0.05594306,0.09816427,1.01457223,0.96711407,0.00000000
-5.89794897,3.11955795,0.75304895,1.46169880,0.01747706,0.05449236,0.09515171,1.00549484,0.95809749,0.00000000
-5.89194597,3.14886369,0.75170682,1.51180747,0.01661516,0.05294959,0.09229322,0.99325570,0.94714049,0.00000000
-5.88594297,3.17834087,0.74823941,1.56629367,0.01586015,0.05132440,0.08961113,0.97780509,0.93422569,0.00000000
-5.87993997,3.20789095,0.74262511,1.62504492,0.01521639,0.04962678,0.08712087,0.95913901,0.91935284,0.00000000
-5.87393697,3.23734953,0.73487658,1.68782199,0.01468486,0.04786724,0.08483162,0.93730622,0.90254512,0.00000000
