energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.56976542,-0.56976540,0.00026119,-0.00026119,0.14196512,-0.14196511,0.04969779,-0.04969778,0.09287813,-0.09287813,0.00335676,-0.00335676,0.10494888,-0.10494887
-5.99399700,0.59327778,-0.59327776,0.00028136,-0.00028136,0.14884591,-0.14884591,0.05428558,-0.05428558,0.09634635,-0.09634635,0.00343116,-0.00343116,0.10818896,-0.10818896
-5.98799400,0.61589661,-0.61589659,0.00030095,-0.00030095,0.15556709,-0.15556709,0.05906363,-0.05906363,0.09960471,-0.09960471,0.00349114,-0.00349114,0.11120287,-0.11120287
-5.98199100,0.63748252,-0.63748251,0.00031962,-0.00031962,0.16208233,-0.16208233,0.06401021,-0.06401021,0.10262830,-0.10262830,0.00353588,-0.00353588,0.11397923,-0.11397923
-5.97598799,0.65791495,-0.65791493,0.00033705,-0.00033705,0.16834771,-0.16834771,0.06910163,-0.06910162,0.10539552,-0.10539552,0.00356469,-0.00356469,0.11651273,-0.11651272
-5.96998499,0.67709495,-0.67709493,0.00035295,-0.00035295,0.17432255,-0.17432254,0.07431255,-0.07431255,0.10788866,-0.10788866,0.00357706,-0.00357706,0.11880446,-0.11880445
-5.96398199,0.69494759,-0.69494758,0.00036702,-0.00036702,0.17997020,-0.17997019,0.07961632,-0.07961631,0.11009433,-0.11009433,0.00357266,-0.00357266,0.12086212,-0.12086212
-5.95797899,0.71142374,-0.71142373,0.00037903,-0.00037903,0.18525871,-0.18525871,0.08498514,-0.08498514,0.11200389,-0.11200389,0.00355136,-0.00355136,0.12270005,-0.12270005
-5.95197599,0.72650102,-0.72650100,0.00038876,-0.00038876,0.19016139,-0.19016139,0.09039032,-0.09039032,0.11361371,-0.11361371,0.00351323,-0.00351323,0.12433902,-0.12433902
-5.94597299,0.74018380,-0.74018379,0.00039608,-0.00039608,0.19465713,-0.19465712,0.09580235,-0.09580235,0.11492530,-0.11492530,0.00345858,-0.00345858,0.12580585,-0.12580584
-5.93996998,0.75250218,-0.75250216,0.00040090,-0.00040090,0.19873052,-0.19873051,0.10119093,-0.10119093,0.11594529,-0.11594528,0.00338794,-0.00338794,0.12713266,-0.12713266
-5.93396698,0.76350968,-0.76350966,0.00040322,-0.00040322,0.20237175,-0.20237175,0.10652496,-0.10652495,0.11668517,-0.11668517,0.00330207,-0.00330207,0.12835599,-0.12835599
-5.92796398,0.77327991,-0.77327989,0.00040309,-0.00040309,0.20557628,-0.20557628,0.11177242,-0.11177242,0.11716090,-0.11716090,0.00320198,-0.00320198,0.12951552,-0.12951552
-5.92196098,0.78190205,-0.78190202,0.00040067,-0.00040067,0.20834419,-0.20834419,0.11690028,-0.11690028,0.11739227,-0.11739227,0.00308888,-0.00308888,0.13065258,-0.13065258
-5.91595798,0.78947533,-0.78947531,0.00039621,-0.00039621,0.21067946,-0.21067945,0.12187437,-0.12187437,0.11740210,-0.11740210,0.00296419,-0.00296419,0.13180849,-0.13180849
