energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.77345714,0.00414138,0.07146364,0.47546233,0.12407387,0.01444259,0.96680097,0.18165351,0.16769135
-5.99399700,1.66249243,0.00374307,0.06746803,0.44390878,0.11606288,0.01351866,0.90469522,0.16739507,0.15972384
-5.98799400,1.55339427,0.00339012,0.06380320,0.41275140,0.10812870,0.01269438,0.84326360,0.15375128,0.15180418
-5.98199100,1.44681655,0.00308032,0.06045164,0.38220857,0.10033223,0.01196460,0.78294158,0.14078976,0.14396324
-5.97598799,1.34336173,0.00281200,0.05739048,0.35248055,0.09273358,0.01132425,0.72413997,0.12856246,0.13623075
-5.96998499,1.24358360,0.00258410,0.05459352,0.32374873,0.08539173,0.01076877,0.66724343,0.11710752,0.12863602
-5.96398199,1.14799041,0.00239626,0.05203325,0.29617517,0.07836413,0.01029455,0.61260919,0.10645133,0.12120859
-5.95797899,1.05704812,0.00224886,0.04968275,0.26990237,0.07170630,0.00989928,0.56056599,0.09661069,0.11397878
-5.95197599,0.97118368,0.00214302,0.04751758,0.24505325,0.06547153,0.00958232,0.51141334,0.08759502,0.10697811
-5.94597299,0.89078822,0.00208065,0.04551728,0.22173137,0.05971052,0.00934489,0.46542114,0.07940841,0.10023965
-5.93996998,0.81622013,0.00206434,0.04366674,0.20002140,0.05447113,0.00919033,0.42282955,0.07205166,0.09379820
-5.93396698,0.74780801,0.00209737,0.04195721,0.17998976,0.04979821,0.00912415,0.38384941,0.06552407,0.08769032
-5.92796398,0.68585333,0.00218356,0.04038705,0.16168552,0.04573349,0.00915409,0.34866289,0.05982510,0.08195430
-5.92196098,0.63063293,0.00232726,0.03896207,0.14514144,0.04231550,0.00929003,0.31742458,0.05495581,0.07662994
-5.91595798,0.58240109,0.00253311,0.03769572,0.13037518,0.03957960,0.00954389,0.29026281,0.05092007,0.07175832
-5.90995498,0.54139125,0.00280596,0.03660888,0.11739066,0.03755796,0.00992935,0.26728110,0.04772562,0.06738135
-5.90395198,0.50781725,0.00315066,0.03572950,0.10617941,0.03627962,0.01046158,0.24855976,0.04538494,0.06354135
-5.89794897,0.48187409,0.00357184,0.03509206,0.09672199,0.03577048,0.01115685,0.23415736,0.04391600,0.06028058
-5.89194597,0.46373805,0.00407370,0.03473686,0.08898934,0.03605323,0.01203209,0.22411208,0.04334287,0.05764064
-5.88594297,0.45356635,0.00465975,0.03470931,0.08294409,0.03714728,0.01310437,0.21844282,0.04369624,0.05566199
-5.87993997,0.45149630,0.00533256,0.03505915,0.07854174,0.03906858,0.01439043,0.21715001,0.04501402,0.05438338
-5.87393697,0.45764407,0.00609349,0.03583969,0.07573172,0.04182936,0.01590605,0.22021614,0.04734177,0.05384141
-5.86793397,0.47210320,0.00694242,0.03710720,0.07445831,0.04543782,0.01766554,0.22760597,0.05073336,0.05407008
-5.86193097,0.49494312,0.00787757,0.03892033,0.07466146,0.04989784,0.01968117,0.23926662,0.05525157,0.05510049
