energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
-6.00000000,5.82994413,0.03530768,4.28756206,0.18576200,0.00038048,1.65568909,2.68261037
-5.99399700,5.93927880,0.03604420,4.37424507,0.18578656,0.00038764,1.68568945,2.74934142
-5.98799400,6.03704125,0.03669668,4.45318262,0.18534502,0.00039414,1.71360491,2.81166905
-5.98199100,6.12048999,0.03723987,4.52236250,0.18436572,0.00039972,1.73856942,2.86829771
-5.97598799,6.18698633,0.03765084,4.57980823,0.18279132,0.00040416,1.75974549,2.91791015
-5.96998499,6.23408030,0.03790981,4.62364137,0.18058132,0.00040724,1.77634815,2.95920842
-5.96398199,6.25959421,0.03800085,4.65214366,0.17771396,0.00040877,1.78766851,2.99095721
-5.95797899,6.26170051,0.03791257,4.66381688,0.17418757,0.00040860,1.79309617,3.01202772
-5.95197599,6.23899132,0.03763854,4.65743803,0.17002119,0.00040660,1.79213989,3.02144039
-5.94597299,6.19053681,0.03717763,4.63210783,0.16525456,0.00040270,1.78444563,3.01840460
-5.93996998,6.11593020,0.03653415,4.58729056,0.15994751,0.00039687,1.76981154,3.00235366
-5.93396698,6.01531751,0.03571781,4.52284361,0.15417874,0.00038914,1.74819917,2.97297344
-5.92796398,5.88941087,0.03474350,4.43903529,0.14804407,0.00037956,1.71974036,2.93022333
-5.92196098,5.73948456,0.03363092,4.33655022,0.14165429,0.00036824,1.68473959,2.87434836
-5.91595798,5.56735393,0.03240406,4.21648169,0.13513262,0.00035535,1.64367134,2.80588203
-5.90995498,5.37533761,0.03109056,4.08031126,0.12861191,0.00034108,1.59717249,2.72563931
-5.90395198,5.16620451,0.02972092,3.92987603,0.12223165,0.00032565,1.54602970,2.63470010
-5.89794897,4.94310713,0.02832773,3.76732482,0.11613487,0.00030930,1.49116218,2.53438379
-5.89194597,4.70950382,0.02694480,3.59506470,0.11046502,0.00029231,1.43360005,2.42621575
-5.88594297,4.46907242,0.02560624,3.41569988,0.10536280,0.00027497,1.37445902,2.31188717
-5.87993997,4.22561852,0.02434564,3.23196508,0.10096317,0.00025754,1.31491201,2.19320982
-5.87393697,3.98298132,0.02319522,3.04665586,0.09739236,0.00024033,1.25615864,2.07206755
-5.86793397,3.74494028,0.02218503,2.86255843,0.09476507,0.00022360,1.19939341,1.95036642
-5.86193097,3.51512569,0.02134229,2.68238121,0.09318189,0.00020762,1.14577364,1.82998530
-5.85592796,3.29693578,0.02069075,2.50869074,0.09272679,0.00019264,1.09638815,1.71272899
-5.84992496,3.09346307,0.02025014,2.34385386,0.09346499,0.00017889,1.05222779,1.60028518
