energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,5.13359555,0.00345184,0.56147359,0.13437019,2.74275970,0.61106035,0.51553131,2.25366030,0.46963349
-5.99399700,5.03804121,0.00343390,0.57768165,0.13034995,2.65985690,0.61878297,0.53181507,2.14630574,0.45758091
-5.98799400,4.93864576,0.00340521,0.59289405,0.12619052,2.57591249,0.62559925,0.54734204,2.03826887,0.44520783
-5.98199100,4.83615471,0.00336531,0.60695747,0.12194886,2.49169909,0.63145115,0.56196358,1.93074807,0.43255846
-5.97598799,4.73147895,0.00331410,0.61975105,0.11768745,2.40805076,0.63631061,0.57555465,1.82492957,0.41970382
-5.96998499,4.62566225,0.00325180,0.63118900,0.11347224,2.32583535,0.64017963,0.58801622,1.72195926,0.40673735
-5.96398199,4.51984459,0.00317896,0.64122225,0.10937047,2.24592565,0.64308939,0.59927699,1.62291604,0.39376978
-5.95797899,4.41522262,0.00309642,0.64983912,0.10544839,2.16917024,0.64509860,0.60929448,1.52878729,0.38092367
-5.95197599,4.31300884,0.00300526,0.65706500,0.10176899,2.09636534,0.64629094,0.61805537,1.44044737,0.36832765
-5.94597299,4.21439090,0.00290680,0.66296103,0.09838989,2.02822838,0.64677203,0.62557520,1.35863947,0.35611082
-5.93996998,4.12049269,0.00280251,0.66762193,0.09536134,1.96537457,0.64666562,0.63189724,1.28396133,0.34439736
-5.93396698,4.03233838,0.00269396,0.67117288,0.09272456,1.90829706,0.64610954,0.63709084,1.21685515,0.33330168
-5.92796398,3.95082093,0.00258280,0.67376567,0.09051032,1.85735146,0.64525130,0.64124900,1.15760175,0.32292429
-5.92196098,3.87667589,0.00247065,0.67557424,0.08873796,1.81274534,0.64424353,0.64448542,1.10631906,0.31334837
-5.91595798,3.81046137,0.00235910,0.67678961,0.08741484,1.77453279,0.64323947,0.64693101,1.06296485,0.30463743
-5.90995498,3.75254474,0.00224964,0.67761448,0.08653612,1.74261442,0.64238858,0.64873002,1.02734344,0.29683381
-5.90395198,3.70309627,0.00214359,0.67825747,0.08608510,1.71674254,0.64183235,0.65003576,0.99911604,0.28995822
-5.89794897,3.66208957,0.00204216,0.67892739,0.08603388,1.69653123,0.64170053,0.65100613,0.97781437,0.28401017
-5.89194597,3.62930872,0.00194633,0.67982743,0.08634449,1.68147094,0.64210772,0.65179910,0.96285698,0.27896932
-5.88594297,3.60436123,0.00185688,0.68114961,0.08697023,1.67094677,0.64315055,0.65256815,0.95356776,0.27479744
-5.87993997,3.58669624,0.00177439,0.68306953,0.08785744,1.66425989,0.64490536,0.65345788,0.94919600,0.27144104
-5.87393697,3.57562699,0.00169922,0.68574160,0.08894735,1.66065095,0.64742646,0.65459992,0.94893741,0.26883442
-5.86793397,3.57035639,0.00163155,0.68929491,0.09017809,1.65932483,0.65074507,0.65610922,0.95195542,0.26690289
-5.86193097,3.57000463,0.00157134,0.69382977,0.09148674,1.65947555,0.65486879,0.65808090,0.95740223,0.26556613
-5.85592796,3.57363775,0.00151842,0.69941510,0.09281138,1.66031052,0.65978179,0.66058767,0.96443899,0.26474145
-5.84992496,3.58029606,0.00147244,0.70608671,0.09409291,1.66107332,0.66544550,0.66367797,0.97225467,0.26434684
-5.84392196,3.58902144,0.00143296,0.71384655,0.09527683,1.66106421,0.67179992,0.66737490,0.98008304,0.26430366
-5.83791896,3.59888276,0.00139941,0.72266291,0.09631463,1.65965773,0.67876548,0.67167595,0.98721761,0.26453897
