energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.02412119,0.00438552,0.40329771,0.03252876,0.09533434,0.41562512,0.25336955
-5.99399700,1.10442763,0.00465811,0.43573305,0.03468688,0.10243245,0.45167143,0.27255890
-5.98799400,1.18624056,0.00492359,0.46884741,0.03687223,0.10959339,0.48857875,0.29203029
-5.98199100,1.26855689,0.00517795,0.50225178,0.03905221,0.11671955,0.52595357,0.31154097
-5.97598799,1.35031086,0.00541734,0.53553058,0.04119322,0.12370865,0.56336907,0.33083478
-5.96998499,1.43039250,0.00563814,0.56824813,0.04326142,0.13045610,0.60036981,0.34964697
-5.96398199,1.50766924,0.00583700,0.59995645,0.04522353,0.13685755,0.63647784,0.36770982
-5.95797899,1.58101013,0.00601093,0.63020419,0.04704773,0.14281163,0.67120018,0.38475876
-5.95197599,1.64931208,0.00615734,0.65854644,0.04870456,0.14822278,0.70403776,0.40053891
-5.94597299,1.71152729,0.00627412,0.68455523,0.05016781,0.15300407,0.73449536,0.41481171
-5.93996998,1.76669085,0.00635963,0.70783036,0.05141530,0.15707982,0.76209262,0.42736157
-5.93396698,1.81394760,0.00641279,0.72801009,0.05242963,0.16038808,0.78637562,0.43800209
-5.92796398,1.85257717,0.00643308,0.74478144,0.05319877,0.16288263,0.80692864,0.44658184
-5.92196098,1.88201609,0.00642051,0.75788958,0.05371646,0.16453462,0.82338580,0.45298917
-5.91595798,1.90187599,0.00637570,0.76714592,0.05398249,0.16533359,0.83544208,0.45715606
-5.90995498,1.91195711,0.00629979,0.77243455,0.05400271,0.16528803,0.84286311,0.45906078
-5.90395198,1.91225622,0.00619445,0.77371661,0.05378886,0.16442514,0.84549352,0.45872903
-5.89794897,1.90296857,0.00606187,0.77103251,0.05335818,0.16279010,0.84326324,0.45623368
-5.89194597,1.88448357,0.00590466,0.76450160,0.05273282,0.16044464,0.83619144,0.45169306
