energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.83791896,0.77081256,0.00038787,0.02256311,0.08547971,0.14110974,0.12435492,0.51106361,0.22809285,0.00000000
-5.83191596,0.70881678,0.00034011,0.01997641,0.07527410,0.13411386,0.11014428,0.46963983,0.21073673,0.00000000
-5.82591296,0.65077893,0.00029666,0.01759222,0.06602347,0.12766611,0.09718327,0.43048023,0.19465986,0.00000000
-5.81990995,0.59672079,0.00025737,0.01540804,0.05767995,0.12170978,0.08542613,0.39369445,0.17982062,0.00000000
-5.81390695,0.54660219,0.00022208,0.01341960,0.05019245,0.11618382,0.07481917,0.35934341,0.16616257,0.00000000
-5.80790395,0.50032670,0.00019057,0.01162098,0.04350738,0.11102475,0.06530207,0.32744188,0.15361694,0.00000000
-5.80190095,0.45774892,0.00016262,0.01000476,0.03756950,0.10616866,0.05680914,0.29796255,0.14210551,0.00000000
-5.79589795,0.41868318,0.00013799,0.00856222,0.03232267,0.10155331,0.04927078,0.27084134,0.13154350,0.00000000
-5.78989495,0.38291308,0.00011642,0.00728354,0.02771061,0.09712002,0.04261483,0.24598357,0.12184273,0.00000000
-5.78389195,0.35020140,0.00009766,0.00615805,0.02367761,0.09281548,0.03676796,0.22327080,0.11291449,0.00000000
-5.77788894,0.32029995,0.00008145,0.00517449,0.02016918,0.08859331,0.03165701,0.20256769,0.10467235,0.00000000
-5.77188594,0.29295898,0.00006755,0.00432127,0.01713271,0.08441521,0.02721019,0.18372900,0.09703459,0.00000000
-5.76588294,0.26793559,0.00005572,0.00358669,0.01451802,0.08025186,0.02335819,0.16660598,0.08992625,0.00000000
-5.75987994,0.24500114,0.00004572,0.00295918,0.01227775,0.07608336,0.02003512,0.15105228,0.08328067,0.00000000
-5.75387694,0.22394724,0.00003735,0.00242752,0.01036785,0.07189926,0.01717926,0.13692904,0.07704061,0.00000000
-5.74787394,0.20459030,0.00003041,0.00198102,0.00874779,0.06769831,0.01473368,0.12410907,0.07115881,0.00000000
-5.74187094,0.18677473,0.00002473,0.00160964,0.00738078,0.06348768,0.01264660,0.11248022,0.06559813,0.00000000
-5.73586793,0.17037475,0.00002015,0.00130415,0.00623390,0.05928212,0.01087172,0.10194773,0.06033119,0.00000000
-5.72986493,0.15529500,0.00001653,0.00105622,0.00527813,0.05510269,0.00936825,0.09243590,0.05533977,0.00000000
-5.72386193,0.14147025,0.00001375,0.00085841,0.00448828,0.05097547,0.00810088,0.08388896,0.05061383,0.00000000
-5.71785893,0.12886428,0.00001174,0.00070432,0.00384296,0.04693017,0.00703967,0.07627146,0.04615037,0.00000000
-5.71185593,0.11746826,0.00001041,0.00058851,0.00332437,0.04299874,0.00615978,0.06956817,0.04195221,0.00000000
-5.70585293,0.10729892,0.00000971,0.00050651,0.00291818,0.03921405,0.00544121,0.06378374,0.03802673,0.00000000
-5.69984992,0.09839648,0.00000963,0.00045483,0.00261331,0.03560874,0.00486842,0.05894211,0.03438466,0.00000000
-5.69384692,0.09082280,0.00001014,0.00043091,0.00240172,0.03221420,0.00443001,0.05508595,0.03103893,0.00000000
-5.68784392,0.08465956,0.00001126,0.00043304,0.00227819,0.02905978,0.00411832,0.05227598,0.02800372,0.00000000
-5.68184092,0.08000672,0.00001303,0.00046037,0.00224010,0.02617225,0.00392907,0.05059036,0.02529366,0.00000000
-5.67583792,0.07698108,0.00001548,0.00051277,0.00228722,0.02357542,0.00386100,0.05012398,0.02292316,0.00000000
-5.66983492,0.07571504,0.00001871,0.00059083,0.00242146,0.02128999,0.00391545,0.05098776,0.02090595,0.00000000
-5.66383192,0.07635536,0.00002278,0.00069573,0.00264668,0.01933357,0.00409605,0.05330779,0.01925476,0.00000000
-5.65782891,0.07906173,0.00002782,0.00082920,0.00296840,0.01772085,0.00440834,0.05722415,0.01798105,0.00000000
-5.65182591,0.08400509,0.00003393,0.00099337,0.00339362,0.01646385,0.00485936,0.06288950,0.01709492,0.00000000
-5.64582291,0.09136553,0.00004124,0.00119074,0.00393049,0.01557220,0.00545727,0.07046705,0.01660500,0.00000000
-5.63981991,0.10132954,0.00004991,0.00142397,0.00458805,0.01505348,0.00621093,0.08012802,0.01651830,0.00000000
-5.63381691,0.11408654,0.00006008,0.00169584,0.00537593,0.01491350,0.00712947,0.09204848,0.01684016,0.00000000
-5.62781391,0.12982462,0.00007192,0.00200909,0.00630395,0.01515654,0.00822177,0.10640531,0.01757401,0.00000000
-5.62181091,0.14872542,0.00008557,0.00236625,0.00738180,0.01578547,0.00949604,0.12337159,0.01872119,0.00000000
-5.61580790,0.17095818,0.00010120,0.00276951,0.00861861,0.01680180,0.01095925,0.14311112,0.02028061,0.00000000
-5.60980490,0.19667308,0.00011895,0.00322059,0.01002249,0.01820568,0.01261669,0.16577243,0.02224840,0.00000000
-5.60380190,0.22599401,0.00013896,0.00372056,0.01160016,0.01999567,0.01447141,0.19148214,0.02461753,0.00000000
-5.59779890,0.25901095,0.00016133,0.00426971,0.01335645,0.02216856,0.01652382,0.22033813,0.02737736,0.00000000
-5.59179590,0.29577234,0.00018617,0.00486742,0.01529389,0.02471909,0.01877129,0.25240250,0.03051329,0.00000000
-5.58579290,0.33627763,0.00021351,0.00551206,0.01741234,0.02763956,0.02120781,0.28769476,0.03400642,0.00000000
-5.57978989,0.38047044,0.00024339,0.00620088,0.01970855,0.03091955,0.02382386,0.32618544,0.03783331,0.00000000
-5.57378689,0.42823275,0.00027579,0.00693002,0.02217595,0.03454561,0.02660627,0.36779050,0.04196598,0.00000000
-5.56778389,0.47938031,0.00031063,0.00769443,0.02480439,0.03850101,0.02953837,0.41236679,0.04637196,0.00000000
-5.56178089,0.53365980,0.00034779,0.00848794,0.02758004,0.04276559,0.03260019,0.45970893,0.05101461,0.00000000
-5.55577789,0.59074788,0.00038709,0.00930334,0.03048533,0.04731578,0.03576891,0.50954777,0.05585376,0.00000000
-5.54977489,0.65025246,0.00042830,0.01013245,0.03349912,0.05212463,0.03901944,0.56155075,0.06084639,0.00000000
-5.54377189,0.71171631,0.00047113,0.01096636,0.03659689,0.05716215,0.04232516,0.61532427,0.06594775,0.00000000
-5.53776888,0.77462295,0.00051522,0.01179556,0.03975108,0.06239568,0.04565879,0.67041809,0.07111248,0.00000000
-5.53176588,0.83840495,0.00056017,0.01261024,0.04293160,0.06779048,0.04899334,0.72633190,0.07629606,0.00000000
-5.52576288,0.90245439,0.00060552,0.01340051,0.04610640,0.07331039,0.05230318,0.78252374,0.08145623,0.00000000
-5.51975988,0.96613515,0.00065077,0.01415669,0.04924214,0.07891872,0.05556506,0.83842039,0.08655457,0.00000000
-5.51375688,1.02879685,0.00069537,0.01486960,0.05230500,0.08457903,0.05875912,0.89342914,0.09155793,0.00000000
-5.50775388,1.08978977,0.00073876,0.01553084,0.05526146,0.09025619,0.06186978,0.94695082,0.09643984,0.00000000
-5.50175088,1.14848047,0.00078036,0.01613307,0.05807920,0.09591720,0.06488655,0.99839357,0.10118169,0.00000000
-5.49574787,1.20426733,0.00081956,0.01667020,0.06072797,0.10153222,0.06780456,1.04718690,0.10577367,0.00000000
-5.48974487,1.25659565,0.00085579,0.01713764,0.06318042,0.10707530,0.07062489,1.09279556,0.11021533,0.00000000
-5.48374187,1.30497152,0.00088847,0.01753240,0.06541295,0.11252517,0.07335469,1.13473271,0.11451587,0.00000000
-5.47773887,1.34897412,0.00091709,0.01785323,0.06740639,0.11786577,0.07600691,1.17257185,0.11869389,0.00000000
-5.47173587,1.38826576,0.00094115,0.01810064,0.06914670,0.12308667,0.07859983,1.20595708,0.12277677,0.00000000
-5.46573287,1.42259949,0.00096023,0.01827690,0.07062543,0.12818326,0.08115626,1.23461129,0.12679966,0.00000000
-5.45972986,1.45182372,0.00097399,0.01838597,0.07184015,0.13315675,0.08370254,1.25834199,0.13080396,0.00000000
-5.45372686,1.47588389,0.00098217,0.01843339,0.07279464,0.13801404,0.08626724,1.27704440,0.13483560,0.00000000
-5.44772386,1.49482104,0.00098459,0.01842613,0.07349896,0.14276729,0.08887982,1.29070184,0.13894285,0.00000000
-5.44172086,1.50876729,0.00098118,0.01837242,0.07396937,0.14743345,0.09156912,1.29938336,0.14317410,0.00000000
-5.43571786,1.51793862,0.00097196,0.01828150,0.07422811,0.15203360,0.09436184,1.30323867,0.14757542,0.00000000
-5.42971486,1.52262515,0.00095707,0.01816346,0.07430292,0.15659225,0.09728109,1.30249061,0.15218814,0.00000000
-5.42371186,1.52317939,0.00093673,0.01802899,0.07422657,0.16113662,0.10034508,1.29742562,0.15704660,0.00000000
-5.41770885,1.52000307,0.00091127,0.01788916,0.07403617,0.16569587,0.10356600,1.28838239,0.16217605,0.00000000
-5.41170585,1.51353304,0.00088110,0.01775528,0.07377240,0.17030050,0.10694915,1.27573944,0.16759092,0.00000000
-5.40570285,1.50422694,0.00084671,0.01763870,0.07347872,0.17498174,0.11049244,1.25990204,0.17329347,0.00000000
-5.39969985,1.49254921,0.00080866,0.01755068,0.07320045,0.17977114,0.11418623,1.24128902,0.17927297,0.00000000
-5.39369685,1.47895809,0.00076754,0.01750231,0.07298387,0.18470035,0.11801352,1.22032011,0.18550546,0.00000000
-5.38769385,1.46389403,0.00072399,0.01750443,0.07287534,0.18980093,0.12195058,1.19740423,0.19195400,0.00000000
-5.38169085,1.44776998,0.00067867,0.01756758,0.07292037,0.19510446,0.12596793,1.17292924,0.19856962,0.00000000
-5.37568784,1.43096391,0.00063224,0.01770198,0.07316276,0.20064265,0.13003167,1.14725353,0.20529280,0.00000000
-5.36968484,1.41381357,0.00058536,0.01791756,0.07364384,0.20644757,0.13410509,1.12069959,0.21205545,0.00000000
-5.36368184,1.39661369,0.00053866,0.01822389,0.07440166,0.21255191,0.13815049,1.09354983,0.21878345,0.00000000
-5.35767884,1.37961531,0.00049273,0.01863022,0.07547030,0.21898911,0.14213117,1.06604455,0.22539942,0.00000000
-5.35167584,1.36302720,0.00044811,0.01914544,0.07687922,0.22579346,0.14601341,1.03838209,0.23182581,0.00000000
-5.34567284,1.34701877,0.00040533,0.01977799,0.07865265,0.23299987,0.14976840,1.01072076,0.23798806,0.00000000
-5.33966983,1.33172427,0.00036481,0.02053579,0.08080901,0.24064343,0.15337403,0.98318243,0.24381770,0.00000000
-5.33366683,1.31724755,0.00032695,0.02142608,0.08336041,0.24875860,0.15681635,0.95585730,0.24925526,0.00000000
