energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.75329637,0.00576070,0.04596234,0.02574619,0.34718646,0.08896049,0.07081682,0.16805512,0.04549873
-5.99399700,0.78261412,0.00558601,0.05243312,0.02753729,0.35242476,0.09190715,0.07659757,0.16547861,0.04725788
-5.98799400,0.82385929,0.00548782,0.05961273,0.02958375,0.36343774,0.09668389,0.08356400,0.16615771,0.04954798
-5.98199100,0.87668703,0.00545833,0.06751668,0.03185964,0.38003443,0.10330433,0.09171904,0.17001974,0.05232332
-5.97598799,0.94062252,0.00548872,0.07615266,0.03433420,0.40196418,0.11176826,0.10105398,0.17696398,0.05553022
-5.96998499,1.01506890,0.00556946,0.08551953,0.03697253,0.42892198,0.12206116,0.11154793,0.18686396,0.05910835
-5.96398199,1.09931490,0.00569048,0.09560647,0.03973631,0.46055304,0.13415323,0.12316730,0.19956890,0.06299221
-5.95797899,1.19254189,0.00584151,0.10639213,0.04258469,0.49645698,0.14799803,0.13586507,0.21490454,0.06711262
-5.95197599,1.29383098,0.00601222,0.11784392,0.04547527,0.53619159,0.16353099,0.14958023,0.23267338,0.07139843
-5.94597299,1.40217016,0.00619253,0.12991740,0.04836512,0.57927643,0.18066759,0.16423711,0.25265461,0.07577812
-5.93996998,1.51646197,0.00637282,0.14255588,0.05121189,0.62519641,0.19930181,0.17974486,0.27460391,0.08018151
-5.93396698,1.63553191,0.00654409,0.15569011,0.05397481,0.67340567,0.21930453,0.19599717,0.29825339,0.08454137
-5.92796398,1.75813803,0.00669821,0.16923833,0.05661577,0.72333179,0.24052253,0.21287209,0.32331186,0.08879494
-5.92196098,1.88298175,0.00682802,0.18310636,0.05910021,0.77438068,0.26277790,0.23023230,0.34946581,0.09288528
-5.91595798,2.00872038,0.00692754,0.19718820,0.06139796,0.82594221,0.28586822,0.24792565,0.37638110,0.09676243
-5.90995498,2.13398133,0.00699200,0.21136678,0.06348387,0.87739667,0.30956761,0.26578625,0.40370570,0.10038433
-5.90395198,2.25737802,0.00701799,0.22551505,0.06533828,0.92812217,0.33362868,0.28363596,0.43107345,0.10371744
-5.89794897,2.37752769,0.00700345,0.23949754,0.06694727,0.97750284,0.35778555,0.30128649,0.45810897,0.10673701
-5.89194597,2.49307075,0.00694769,0.25317212,0.06830270,1.02493790,0.38175787,0.31854201,0.48443364,0.10942716
-5.88594297,2.60269167,0.00685135,0.26639226,0.06940204,1.06985134,0.40525578,0.33520232,0.50967251,0.11178049
-5.87993997,2.70514090,0.00671636,0.27900952,0.07024807,1.11170210,0.42798585,0.35106652,0.53346202,0.11379760
-5.87393697,2.79925764,0.00654583,0.29087642,0.07084829,1.14999449,0.44965759,0.36593714,0.55545830,0.11548621
-5.86793397,2.88399272,0.00634393,0.30184951,0.07121434,1.18428845,0.46999064,0.37962460,0.57534564,0.11686021
-5.86193097,2.95843119,0.00611575,0.31179267,0.07136127,1.21420952,0.48872211,0.39195192,0.59284490,0.11793859
-5.85592796,3.02181386,0.00586715,0.32058048,0.07130678,1.23945803,0.50561397,0.40275948,0.60772153,0.11874426
-5.84992496,3.07355706,0.00560463,0.32810159,0.07107047,1.25981718,0.52046012,0.41190969,0.61979272,0.11930297
-5.84392196,3.11326994,0.00533512,0.33426195,0.07067321,1.27515966,0.53309286,0.41929144,0.62893340,0.11964228
-5.83791896,3.14076847,0.00506586,0.33898783,0.07013649,1.28545257,0.54338845,0.42482398,0.63508082,0.11979069
-5.83191596,3.15608545,0.00480426,0.34222843,0.06948199,1.29076016,0.55127147,0.42846028,0.63823732,0.11977691
-5.82591296,3.15947584,0.00455775,0.34395806,0.06873123,1.29124435,0.55671788,0.43018944,0.63847131,0.11962937
-5.81990995,3.15141685,0.00433366,0.34417766,0.06790539,1.28716263,0.55975639,0.43003824,0.63591607,0.11937593
-5.81390695,3.13260243,0.00413918,0.34291568,0.06702522,1.27886353,0.56046826,0.42807156,0.63076660,0.11904371
-5.80790395,3.10393175,0.00398118,0.34022815,0.06611110,1.26677932,0.55898539,0.42439162,0.62327441,0.11865917
-5.80190095,3.06649174,0.00386621,0.33619803,0.06518312,1.25141630,0.55548666,0.41913613,0.61374046,0.11824819
-5.79589795,3.02153396,0.00380041,0.33093367,0.06426129,1.23334272,0.55019288,0.41247517,0.60250653,0.11783627
-5.78989495,2.97044595,0.00378944,0.32456654,0.06336560,1.21317464,0.54336030,0.40460711,0.58994520,0.11744869
-5.78389195,2.91471810,0.00383843,0.31724822,0.06251617,1.19156014,0.53527312,0.39575347,0.57644896,0.11711061
-5.77788894,2.85590666,0.00395188,0.30914677,0.06173323,1.16916242,0.52623527,0.38615311,0.56241876,0.11684703
-5.77188594,2.79559433,0.00413363,0.30044260,0.06103705,1.14664223,0.51656179,0.37605579,0.54825246,0.11668260
-5.76588294,2.73534961,0.00438676,0.29132400,0.06044760,1.12464029,0.50657031,0.36571546,0.53433371,0.11664132
-5.75987994,2.67668650,0.00471346,0.28198247,0.05998424,1.10376048,0.49657304,0.35538345,0.52102156,0.11674596
-5.75387694,2.62102622,0.00511496,0.27260817,0.05966514,1.08455431,0.48686953,0.34530204,0.50864136,0.11701737
-5.74787394,2.56966246,0.00559142,0.26338548,0.05950662,1.06750744,0.47774079,0.33569836,0.49747722,0.11747374
-5.74187094,2.52373198,0.00614184,0.25448906,0.05952240,1.05302883,0.46944500,0.32677923,0.48776641,0.11812969
-5.73586793,2.48419170,0.00676393,0.24608047,0.05972286,1.04144302,0.46221501,0.31872694,0.47969582,0.11899548
-5.72986493,2.45180381,0.00745407,0.23830562,0.06011423,1.03298610,0.45625800,0.31169621,0.47340075,0.12007623
-5.72386193,2.42712959,0.00820723,0.23129307,0.06069792,1.02780542,0.45175709,0.30581258,0.46896596,0.12137133
-5.71785893,2.41053259,0.00901704,0.22515334,0.06147000,1.02596330,0.44887516,0.30117209,0.46642899,0.12287416
-5.71185593,2.40219113,0.00987573,0.21997927,0.06242079,1.02744459,0.44776048,0.29784255,0.46578549,0.12457200
-5.70585293,2.40211986,0.01077430,0.21584740,0.06353481,1.03216783,0.44855398,0.29586604,0.46699640,0.12644633
-5.69984992,2.41019922,0.01170266,0.21282030,0.06479093,1.03999935,0.45139768,0.29526274,0.46999653,0.12847350
-5.69384692,2.42621160,0.01264980,0.21094978,0.06616280,1.05076985,0.45644381,0.29603569,0.47470405,0.13062569
-5.68784392,2.44988207,0.01360411,0.21028070,0.06761967,1.06429232,0.46386397,0.29817644,0.48103052,0.13287225
-5.68184092,2.48092160,0.01455367,0.21085523,0.06912737,1.08038053,0.47385765,0.30167102,0.48889078,0.13518115
-5.67583792,2.51907002,0.01548657,0.21271723,0.07064965,1.09886689,0.48665937,0.30650607,0.49821213,0.13752073
