energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.68020724,0.01062139,0.03475966,0.21981252,0.26569384,0.07409235,0.04081795,0.00799214,0.29670164
-5.99399700,0.75490859,0.01056524,0.03899333,0.24270342,0.29967837,0.08163643,0.04568340,0.00885801,0.32725927
-5.98799400,0.83406696,0.01054087,0.04343866,0.26695532,0.33574753,0.08958626,0.05085106,0.00978267,0.35954852
-5.98199100,0.91708786,0.01055475,0.04805421,0.29238461,0.37364173,0.09787462,0.05628526,0.01076027,0.39331028
-5.97598799,1.00322216,0.01061179,0.05279064,0.31875997,0.41303546,0.10641917,0.06194081,0.01178300,0.42822117
-5.96998499,1.09157262,0.01071515,0.05759142,0.34580458,0.45353954,0.11512365,0.06776340,0.01284110,0.46389719
-5.96398199,1.18110686,0.01086607,0.06239376,0.37320035,0.49470586,0.12387972,0.07369028,0.01392299,0.49990003
-5.95797899,1.27067661,0.01106388,0.06712999,0.40059417,0.53603482,0.13256955,0.07965143,0.01501536,0.53574618
-5.95197599,1.35904309,0.01130596,0.07172916,0.42760616,0.57698527,0.14106900,0.08557101,0.01610352,0.57091856
-5.94597299,1.44490789,0.01158782,0.07611898,0.45383969,0.61698681,0.14925145,0.09136921,0.01717163,0.60488046
-5.93996998,1.52694840,0.01190328,0.08022793,0.47889278,0.65545412,0.15699201,0.09696442,0.01820312,0.63709128
-5.93396698,1.60385672,0.01224464,0.08398749,0.50237065,0.69180291,0.16417208,0.10227553,0.01918112,0.66702357
-5.92796398,1.67438056,0.01260294,0.08733441,0.52389890,0.72546693,0.17068401,0.10722455,0.02008888,0.69418074
-5.92196098,1.73736460,0.01296827,0.09021293,0.54313676,0.75591544,0.17643579,0.11173913,0.02091034,0.71811469
-5.91595798,1.79179073,0.01333009,0.09257684,0.55979000,0.78267041,0.18135547,0.11575515,0.02163055,0.73844271
-5.90995498,1.83681535,0.01367759,0.09439134,0.57362292,0.80532287,0.18539513,0.11921915,0.02223612,0.75486287
-5.90395198,1.87180225,0.01400004,0.09563445,0.58446886,0.82354759,0.18853437,0.12209055,0.02271571,0.76716723
-5.89794897,1.89634959,0.01428715,0.09629817,0.59223884,0.83711552,0.19078293,0.12434343,0.02306034,0.77525233
-5.89194597,1.91030966,0.01452941,0.09638905,0.59692792,0.84590342,0.19218253,0.12596808,0.02326374,0.77912635
-5.88594297,1.91380065,0.01471838,0.09592831,0.59861888,0.84990016,0.19280766,0.12697187,0.02332250,0.77891275
-5.87993997,1.90720949,0.01484701,0.09495147,0.59748322,0.84920948,0.19276537,0.12737973,0.02323622,0.77484996
-5.87393697,1.89118587,0.01490986,0.09350743,0.59377903,0.84404884,0.19219393,0.12723394,0.02300753,0.76728722
-5.86793397,1.86662717,0.01490323,0.09165710,0.58784616,0.83474448,0.19126041,0.12659343,0.02264197,0.75667659
-5.86193097,1.83465497,0.01482534,0.08947156,0.58009836,0.82172276,0.19015727,0.12553241,0.02214785,0.74356140
-5.85592796,1.79658373,0.01467638,0.08702991,0.57101295,0.80549800,0.18909790,0.12413850,0.02153596,0.72856143
-5.84992496,1.75388289,0.01445845,0.08441679,0.56111811,0.78665728,0.18831133,0.12251034,0.02081922,0.71235541
-5.84392196,1.70813348,0.01417558,0.08171975,0.55097825,0.76584278,0.18803614,0.12075474,0.02001229,0.69566132
-5.83791896,1.66098079,0.01383351,0.07902647,0.54117783,0.74373209,0.18851382,0.11898354,0.01913111,0.67921518
-5.83191596,1.61408483,0.01343957,0.07642201,0.53230420,0.72101745,0.18998166,0.11731011,0.01819239,0.66374898
-5.82591296,1.56906994,0.01300244,0.07398619,0.52492990,0.69838443,0.19266540,0.11584584,0.01721319,0.64996851
-5.81990995,1.52747555,0.01253185,0.07179108,0.51959493,0.67649085,0.19677176,0.11469645,0.01621039,0.63853168
-5.81390695,1.49070944,0.01203829,0.06989887,0.51678967,0.65594683,0.20248126,0.11395850,0.01520026,0.63002813
-5.80790395,1.46000514,0.01153272,0.06835997,0.51693878,0.63729638,0.20994123,0.11371606,0.01419807,0.62496061
-5.80190095,1.43638485,0.01102621,0.06721160,0.52038676,0.62100144,0.21925955,0.11403772,0.01321772,0.62372895
-5.79589795,1.42062907,0.01052962,0.06647677,0.52738548,0.60742870,0.23049916,0.11497401,0.01227148,0.62661682
-5.78989495,1.41325384,0.01005334,0.06616378,0.53808438,0.59683977,0.24367359,0.11655542,0.01136976,0.63378206
-5.78389195,1.41449655,0.00960695,0.06626618,0.55252339,0.58938503,0.25874372,0.11879096,0.01052098,0.64525065
-5.77788894,1.42431066,0.00919905,0.06676322,0.57062921,0.58510122,0.27561607,0.12166751,0.00973151,0.66091479
-5.77188594,1.44236970,0.00883704,0.06762080,0.59221502,0.58391305,0.29414260,0.12514983,0.00900568,0.68053511
-5.76588294,1.46808041,0.00852699,0.06879278,0.61698374,0.58563864,0.31412225,0.12918140,0.00834585,0.70374714
-5.75987994,1.50060483,0.00827358,0.07022281,0.64453511,0.58999857,0.33530438,0.13368599,0.00775259,0.73007184
-5.75387694,1.53889056,0.00808007,0.07184636,0.67437624,0.59662837,0.35739390,0.13857000,0.00722478,0.75893013
-5.74787394,1.58170852,0.00794841,0.07359307,0.70593565,0.60509377,0.38005832,0.14372543,0.00675994,0.78966096
-5.74187094,1.62769678,0.00787926,0.07538930,0.73858041,0.61490845,0.40293630,0.14903352,0.00635439,0.82154238
-5.73586793,1.67540927,0.00787226,0.07716074,0.77163581,0.62555340,0.42564782,0.15436876,0.00600359,0.85381517
-5.72986493,1.72336762,0.00792616,0.07883500,0.80440721,0.63649730,0.44780535,0.15960334,0.00570239,0.88570810
-5.72386193,1.77011436,0.00803910,0.08034419,0.83620311,0.64721723,0.46902597,0.16461168,0.00544529,0.91646409
