energy_ev,total_up,Cd_p_up,Cd_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,0.80839301,0.33513090,0.14768679,0.04441712,0.00065022,0.04748420,0.51503668
-5.99399700,0.82262534,0.34752524,0.15205972,0.04547826,0.00067069,0.04940601,0.51594303
-5.98799400,0.83645215,0.35969962,0.15635883,0.04648560,0.00068993,0.05138322,0.51648755
-5.98199100,0.84994032,0.37159427,0.16058704,0.04742609,0.00070770,0.05342092,0.51679796
-5.97598799,0.86315294,0.38315550,0.16474705,0.04828819,0.00072382,0.05552234,0.51699136
-5.96998499,0.87614138,0.39433330,0.16883992,0.04906171,0.00073815,0.05768822,0.51716898
-5.96398199,0.88893770,0.40507884,0.17286374,0.04973762,0.00075058,0.05991624,0.51741152
-5.95797899,0.90154776,0.41534192,0.17681224,0.05030792,0.00076104,0.06220045,0.51777527
-5.95197599,0.91394528,0.42506856,0.18067362,0.05076544,0.00076950,0.06453084,0.51828919
-5.94597299,0.92606725,0.43419899,0.18442957,0.05110376,0.00077594,0.06689300,0.51895303
-5.93996998,0.93781105,0.44266618,0.18805456,0.05131713,0.00078036,0.06926795,0.51973655
-5.93396698,0.94903344,0.45039497,0.19151550,0.05140046,0.00078277,0.07163216,0.52058002
-5.92796398,0.95955165,0.45730207,0.19477184,0.05134931,0.00078321,0.07395774,0.52139581
-5.92196098,0.96914670,0.46329694,0.19777607,0.05115999,0.00078171,0.07621289,0.52207136
-5.91595798,0.97756898,0.46828349,0.20047475,0.05082965,0.00077830,0.07836252,0.52247313
-5.90995498,0.98454585,0.47216281,0.20280993,0.05035643,0.00077303,0.08036912,0.52245172
-5.90395198,0.98979119,0.47483655,0.20472100,0.04973965,0.00076594,0.08219378,0.52184775
-5.89794897,0.99301660,0.47621112,0.20614695,0.04897996,0.00075708,0.08379740,0.52049854
-5.89194597,0.99394362,0.47620232,0.20702881,0.04807958,0.00074654,0.08514202,0.51824514
-5.88594297,0.99231672,0.47474029,0.20731236,0.04704242,0.00073438,0.08619215,0.51493964
-5.87993997,0.98791626,0.47177447,0.20695074,0.04587426,0.00072072,0.08691620,0.51045224
-5.87393697,0.98057097,0.46727836,0.20590715,0.04458289,0.00070567,0.08728779,0.50467801
-5.86793397,0.97016924,0.46125380,0.20415714,0.04317815,0.00068938,0.08728696,0.49754290
-5.86193097,0.95666863,0.45373445,0.20169069,0.04167192,0.00067204,0.08690121,0.48900872
-5.85592796,0.94010309,0.44478831,0.19851374,0.04007815,0.00065386,0.08612629,0.47907695
