energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,4.83777120,-6.72383492,0.01655038,-0.11460739,0.54977951,-1.36757122,1.95105793,-2.37178510,1.03305581,-1.75274264,2.11136047,-2.26358103,0.00000000,-0.00000000,0.90018278,-1.04134955,0.16778325,-0.20661779
-5.99399700,4.93389030,-6.73837796,0.01657057,-0.11580819,0.54388971,-1.35931362,1.93105188,-2.39953419,1.07028074,-1.74851252,2.17001408,-2.30024484,0.00000000,-0.00000000,0.92119788,-1.05493307,0.17061217,-0.20343370
-5.98799400,5.01935769,-6.75155660,0.01660553,-0.11672146,0.53664869,-1.35043080,1.90507805,-2.42575410,1.10650356,-1.74326350,2.22380133,-2.33587350,0.00000000,-0.00000000,0.94052762,-1.06741515,0.17296359,-0.20065764
-5.98199100,5.09220731,-6.76190135,0.01664145,-0.11732193,0.52809273,-1.34051382,1.87348252,-2.44950654,1.14098053,-1.73664328,2.27163958,-2.37006595,0.00000000,-0.00000000,0.95778235,-1.07865151,0.17476978,-0.19825045
-5.97598799,5.15056360,-6.76779904,0.01666551,-0.11758626,0.51827344,-1.32912910,1.83664672,-2.46981249,1.17296776,-1.72826612,2.31248409,-2.40237561,0.00000000,-0.00000000,0.97257447,-1.08848344,0.17596959,-0.19616468
-5.96998499,5.19267525,-6.76754767,0.01666596,-0.11749379,0.50725345,-1.31583833,1.79497249,-2.48568656,1.20173496,-1.71773066,2.34535090,-2.43231703,0.00000000,-0.00000000,0.98452620,-1.09674145,0.17650973,-0.19434590
-5.96398199,5.21695287,-6.75941498,0.01663233,-0.11702745,0.49510281,-1.30021874,1.74886959,-2.49617264,1.22658093,-1.70463831,2.36934089,-2.45937458,0.00000000,-0.00000000,0.99327852,-1.10324976,0.17634613,-0.19273407
-5.95797899,5.22200928,-6.74169835,0.01655552,-0.11617438,0.48189607,-1.28188272,1.69874625,-2.50037922,1.24685021,-1.68861142,2.38366428,-2.48301295,0.00000000,-0.00000000,0.99850104,-1.10783127,0.17544518,-0.19126511
-5.95197599,5.20670086,-6.71278378,0.01642792,-0.11492666,0.46771033,-1.26049602,1.64500287,-2.49751267,1.26195035,-1.66931036,2.38766449,-2.50268893,0.00000000,-0.00000000,0.99990233,-1.11031302,0.17378492,-0.18987242
-5.94597299,5.17016761,-6.67120138,0.01624355,-0.11328177,0.45262412,-1.23579359,1.58802887,-2.48690696,1.27136894,-1.64644887,2.38084030,-2.51786436,0.00000000,-0.00000000,0.99724025,-1.11053167,0.17135593,-0.18848853
-5.93996998,5.11186997,-6.61567559,0.01599813,-0.11124295,0.43671710,-1.20759247,1.52820216,-2.46804862,1.27468970,-1.61980716,2.36286512,-2.52801958,0.00000000,-0.00000000,0.99033179,-1.10833903,0.16816202,-0.18704665
-5.93396698,5.03161968,-6.54516813,0.01568909,-0.10881937,0.42007042,-1.17580116,1.46589100,-2.44059569,1.27160677,-1.58924215,2.33360239,-2.53266720,0.00000000,-0.00000000,0.97906174,-1.10360719,0.16422060,-0.18548220
-5.92796398,4.92960266,-6.45891259,0.01531564,-0.10602614,0.40276757,-1.14042517,1.40145735,-2.40439005,1.26193638,-1.55469470,2.29311589,-2.53136555,0.00000000,-0.00000000,0.96338980,-1.09623342,0.15956263,-0.18373430
-5.92196098,4.80639196,-6.35643964,0.01487870,-0.10288417,0.38489557,-1.10156860,1.33526111,-2.35946281,1.24562527,-1.51619365,2.24167441,-2.52373170,0.00000000,-0.00000000,0.94335549,-1.08614430,0.15423221,-0.18174710
-5.91595798,4.66294916,-6.23759264,0.01438087,-0.09941976,0.36654620,-1.05943178,1.26766448,-2.30603260,1.22275529,-1.47385665,2.17975012,-2.50945358,0.00000000,-0.00000000,0.91908057,-1.07329939,0.14828575,-0.17947098
-5.90995498,4.50061351,-6.10253360,0.01382625,-0.09566412,0.34781719,-1.01430523,1.19903581,-2.24449735,1.19354383,-1.42788807,2.10801034,-2.48830091,0.00000000,-0.00000000,0.89076876,-1.05769414,0.14179069,-0.17686362
-5.90395198,4.32107852,-5.95174012,0.01322035,-0.09165274,0.32881311,-0.96656038,1.12975236,-2.17542003,1.15833991,-1.37857404,2.02730298,-2.46013486,0.00000000,-0.00000000,0.85870246,-1.03936205,0.13482394,-0.17389088
-5.89794897,4.12635645,-5.78599405,0.01256983,-0.08742459,0.30964591,-0.91663755,1.06020145,-2.09950944,1.11761611,-1.32627535,1.93863593,-2.42491607,0.00000000,-0.00000000,0.82323675,-1.01837619,0.12746991,-0.17052753
-5.89194597,3.91873203,-5.60636302,0.01188232,-0.08302131,0.29043493,-0.86503186,0.99078005,-2.01759710,1.07195652,-1.27141832,1.84315123,-2.38271098,0.00000000,-0.00000000,0.78479073,-0.99485000,0.11981840,-0.16675774
-5.88594297,3.70070705,-5.41417608,0.01116613,-0.07848627,0.27130651,-0.81227781,0.92189238,-1.93061158,1.02204137,-1.21448432,1.74209503,-2.33369633,0.00000000,-0.00000000,0.74383661,-0.96893740,0.11196228,-0.16257540
-5.87993997,3.47493825,-5.21099468,0.01043001,-0.07386368,0.25239304,-0.75893318,0.85394599,-1.83955134,0.96862888,-1.15599846,1.63678452,-2.27816156,0.00000000,-0.00000000,0.70088700,-0.94083228,0.10399510,-0.15798422
