energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-5.61580790,4.33496572,0.18299830,3.98849804,0.09154350,0.00935238,0.04831275,0.20627083
-5.60980490,4.31227303,0.18645601,3.95992647,0.09167298,0.00924606,0.04812511,0.21256186
-5.60380190,4.29612741,0.18999839,3.93753073,0.09197351,0.00915129,0.04807974,0.21904921
-5.59779890,4.28614557,0.19358204,3.92099830,0.09243458,0.00906850,0.04817878,0.22566798
-5.59179590,4.28170589,0.19715688,3.90979654,0.09303918,0.00899764,0.04841947,0.23234356
-5.58579290,4.28197999,0.20066720,3.90320232,0.09376419,0.00893823,0.04879432,0.23899317
-5.57978989,4.28597037,0.20405297,3.90033716,0.09458100,0.00888939,0.04929125,0.24552772
-5.57378689,4.29255264,0.20725142,3.90020646,0.09545622,0.00884996,0.04989399,0.25185401
-5.56778389,4.30052091,0.21019884,3.90174131,0.09635265,0.00881852,0.05058263,0.25787719
-5.56178089,4.30863487,0.21283249,3.90384177,0.09723035,0.00879353,0.05133419,0.26350333
-5.55577789,4.31566715,0.21509274,3.90541998,0.09804783,0.00877337,0.05212337,0.26864217
-5.54977489,4.32044960,0.21692509,3.90544214,0.09876336,0.00875647,0.05292336,0.27320990
-5.54377189,4.32191720,0.21828233,3.90296807,0.09933625,0.00874132,0.05370673,0.27713184
-5.53776888,4.31914836,0.21912646,3.89718729,0.09972823,0.00872665,0.05444634,0.28034502
-5.53176588,4.31140061,0.21943048,3.88745067,0.09990465,0.00871138,0.05511621,0.28280048
-5.52576288,4.29814050,0.21917993,3.87329687,0.09983573,0.00869477,0.05569246,0.28446526
-5.51975988,4.27906698,0.21837399,3.85447266,0.09949755,0.00867644,0.05615414,0.28532391
-5.51375688,4.25412747,0.21702631,3.83094675,0.09887294,0.00865636,0.05648394,0.28537962
-5.50775388,4.22352600,0.21516523,3.80291633,0.09795208,0.00863492,0.05666882,0.28465461
-5.50175088,4.18772298,0.21283362,3.77080639,0.09673294,0.00861292,0.05670056,0.28319006
-5.49574787,4.14742657,0.21008813,3.73526122,0.09522137,0.00859151,0.05657601,0.28104535
-5.48974487,4.10357540,0.20699794,3.69712858,0.09343100,0.00857222,0.05629727,0.27829669
-5.48374187,4.05731318,0.20364305,3.65743644,0.09138280,0.00855685,0.05587169,0.27503514
-5.47773887,4.00995558,0.20011205,3.61736297,0.08910448,0.00854743,0.05531160,0.27136410
-5.47173587,3.96295022,0.19649963,3.57820049,0.08662954,0.00854614,0.05463391,0.26739636
-5.46573287,3.91783093,0.19290368,3.54131415,0.08399626,0.00855518,0.05385958,0.26325075
-5.45972986,3.87616738,0.18942227,3.50809671,0.08124640,0.00857672,0.05301287,0.25904857
-5.45372686,3.83951190,0.18615050,3.47992067,0.07842398,0.00861273,0.05212054,0.25490984
-5.44772386,3.80934493,0.18317742,3.45808921,0.07557378,0.00866492,0.05121091,0.25094966
-5.44172086,3.78702104,0.18058303,3.44378763,0.07274005,0.00873460,0.05031290,0.24727459
-5.43571786,3.77371739,0.17843562,3.43803688,0.06996512,0.00882262,0.04945507,0.24397939
-5.42971486,3.77038637,0.17678939,3.44165101,0.06728820,0.00892924,0.04866468,0.24114410
-5.42371186,3.77771434,0.17568254,3.45519984,0.06474425,0.00905409,0.04796681,0.23883158
-5.41770885,3.79608793,0.17513590,3.47897860,0.06236307,0.00919616,0.04738357,0.23708568
-5.41170585,3.82556926,0.17515207,3.51298565,0.06016857,0.00935369,0.04693344,0.23592998
-5.40570285,3.86588132,0.17571521,3.55690924,0.05817824,0.00952429,0.04663082,0.23536720
-5.39969985,3.91640404,0.17679141,3.61012419,0.05640286,0.00970490,0.04648563,0.23537930
-5.39369685,3.97618148,0.17832962,3.67169864,0.05484649,0.00989186,0.04650316,0.23592822
-5.38769385,4.04394017,0.18026320,3.74041097,0.05350655,0.01008101,0.04668403,0.23695726
-5.38169085,4.11811800,0.18251187,3.81477649,0.05237426,0.01026783,0.04702438,0.23839304
-5.37568784,4.19690291,0.18498416,3.89308319,0.05143514,0.01044750,0.04751609,0.24014789
-5.36968484,4.27828015,0.18758014,3.97343529,0.05066977,0.01061509,0.04814719,0.24212279
-5.36368184,4.36008644,0.19019442,4.05380344,0.05005457,0.01076567,0.04890235,0.24421042
-5.35767884,4.44006947,0.19271925,4.13207964,0.04956279,0.01089450,0.04976340,0.24629861
-5.35167584,4.51595039,0.19504764,4.20613525,0.04916547,0.01099716,0.05070987,0.24827376
-5.34567284,4.58548751,0.19707645,4.27388000,0.04883250,0.01106964,0.05171964,0.25002426
-5.33966983,4.64653886,0.19870927,4.33332001,0.04853357,0.01110854,0.05276945,0.25144382
-5.33366683,4.69712151,0.19985901,4.38261299,0.04823921,0.01111110,0.05383541,0.25243454
-5.32766383,4.73546591,0.20045021,4.42011860,0.04792166,0.01107532,0.05489357,0.25290971
-5.32166083,4.76006322,0.20042090,4.44444250,0.04755564,0.01099999,0.05592027,0.25279618
-5.31565783,4.76970455,0.19972406,4.45447269,0.04711909,0.01088472,0.05689257,0.25203630
-5.30965483,4.76351072,0.19832860,4.44940710,0.04659367,0.01072995,0.05778861,0.25058945
-5.30365183,4.74095204,0.19621981,4.42877175,0.04596519,0.01053691,0.05858784,0.24843294
-5.29764882,4.70185769,0.19339945,4.39242916,0.04522383,0.01030761,0.05927135,0.24556255
-5.29164582,4.64641484,0.18988530,4.34057709,0.04436425,0.01004471,0.05982209,0.24199245
-5.28564282,4.57515795,0.18571034,4.27373808,0.04338554,0.00975148,0.06022506,0.23775471
-5.27963982,4.48894903,0.18092159,4.19274041,0.04229102,0.00943172,0.06046761,0.23289844
-5.27363682,4.38895000,0.17557861,4.09869168,0.04108796,0.00908960,0.06053959,0.22748844
-5.26763382,4.27658837,0.16975178,3.99294607,0.03978714,0.00872961,0.06043359,0.22160360
-5.26163082,4.15351780,0.16352046,3.87706681,0.03840240,0.00835642,0.06014514,0.21533504
-5.25562781,4.02157492,0.15697091,3.75278524,0.03695006,0.00797476,0.05967291,0.20878403
-5.24962481,3.88273415,0.15019432,3.62195792,0.03544837,0.00758939,0.05901885,0.20205970
-5.24362181,3.73906178,0.14328479,3.48652339,0.03391690,0.00720492,0.05818833,0.19527677
-5.23761881,3.59267081,0.13633730,3.34845953,0.03237598,0.00682580,0.05719020,0.18855308
-5.23161581,3.44567767,0.12944595,3.20974305,0.03084613,0.00645622,0.05603680,0.18200723
-5.22561281,3.30016179,0.12270224,3.07231179,0.02934754,0.00610003,0.05474383,0.17575612
-5.21960980,3.15812882,0.11619351,2.93803060,0.02789961,0.00576076,0.05333023,0.16991255
-5.21360680,3.02147797,0.11000164,2.80866143,0.02652057,0.00544150,0.05181791,0.16458297
-5.20760380,2.89197376,0.10420192,2.68583772,0.02522709,0.00514493,0.05023136,0.15986515
-5.20160080,2.77122245,0.09886210,2.57104331,0.02403409,0.00487330,0.04859719,0.15584614
-5.19559780,2.66065280,0.09404164,2.46559570,0.02295443,0.00462837,0.04694368,0.15260022
-5.18959480,2.56150120,0.08979116,2.37063342,0.02199884,0.00441146,0.04530007,0.15018708
-5.18359180,2.47480070,0.08615205,2.28710722,0.02117580,0.00422344,0.04369603,0.14865028
-5.17758879,2.40137373,0.08315621,2.21577461,0.02049147,0.00406472,0.04216090,0.14801584
-5.17158579,2.34182791,0.08082592,2.15719734,0.01994972,0.00393527,0.04072306,0.14829126
-5.16558279,2.29655480,0.07917388,2.11174137,0.01955214,0.00383465,0.03940923,0.14946479
-5.15957979,2.26573103,0.07820331,2.07957902,0.01929810,0.00376203,0.03824389,0.15150523
-5.15357679,2.24932173,0.07790812,2.06069282,0.01918484,0.00371618,0.03724866,0.15436209
-5.14757379,2.24708593,0.07827325,2.05488096,0.01920760,0.00369555,0.03644183,0.15796629
-5.14157079,2.25858380,0.07927505,2.06176411,0.01935974,0.00369829,0.03583795,0.16223140
-5.13556778,2.28318572,0.08088179,2.08079345,0.01963293,0.00372226,0.03544752,0.16705537
-5.12956478,2.32008322,0.08305425,2.11126007,0.02001733,0.00376509,0.03527678,0.17232282
-5.12356178,2.36830173,0.08574650,2.15230563,0.02050186,0.00382426,0.03532770,0.17790784
-5.11755878,2.42671537,0.08890677,2.20293448,0.02107443,0.00389710,0.03559793,0.18367719
-5.11155578,2.49406382,0.09247852,2.26202739,0.02172231,0.00398086,0.03608106,0.18949392
-5.10555278,2.56897135,0.09640166,2.32835699,0.02243246,0.00407278,0.03676688,0.19522126
-5.09954977,2.64996813,0.10061394,2.40060507,0.02319193,0.00417015,0.03764180,0.20072668
-5.09354677,2.73551372,0.10505257,2.47738177,0.02398835,0.00427035,0.03868935,0.20588597
-5.08754377,2.82402281,0.10965591,2.55724685,0.02481034,0.00437093,0.03989083,0.21058731
-5.08154077,2.91389281,0.11436537,2.63873272,0.02564807,0.00446967,0.04122600,0.21473504
-5.07553777,3.00353312,0.11912738,2.72036926,0.02649374,0.00456461,0.04267384,0.21825308
-5.06953477,3.09139562,0.12389538,2.80071002,0.02734209,0.00465413,0.04421336,0.22108791
-5.06353177,3.17600575,0.12863177,2.87835942,0.02819086,0.00473699,0.04582443,0.22321086
-5.05752876,3.25599352,0.13330978,2.95200034,0.02904122,0.00481234,0.04748860,0.22461977
-5.05152576,3.33012350,0.13791514,3.02042143,0.02989809,0.00487980,0.04918989,0.22533977
-5.04552276,3.39732299,0.14244740,3.08254340,0.03077041,0.00493942,0.05091541,0.22542331
-5.03951976,3.45670731,0.14692092,3.13744317,0.03167121,0.00499171,0.05265606,0.22494924
-5.03351676,3.50760102,0.15136533,3.18437525,0.03261763,0.00503765,0.05440687,0.22402104
-5.02751376,3.54955428,0.15582550,3.22278909,0.03363066,0.00507862,0.05616737,0.22276423
-5.02151076,3.58235314,0.16036082,3.25234164,0.03473482,0.00511639,0.05794159,0.22132293
