energy_ev,total_up,Ga_p_up,Ga_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.17811344,0.02172219,0.00000000,0.07109729,0.06360814,0.09187308,0.00000000
-5.99399700,0.16242055,0.02015809,0.00000000,0.06611220,0.05730096,0.08406626,0.00000000
-5.98799400,0.14900736,0.01888794,0.00000000,0.06219144,0.05172792,0.07748069,0.00000000
-5.98199100,0.13797217,0.01792958,0.00000000,0.05937200,0.04692405,0.07216530,0.00000000
-5.97598799,0.12938353,0.01729692,0.00000000,0.05768144,0.04291253,0.06815469,0.00000000
-5.96998499,0.12328278,0.01700020,0.00000000,0.05713801,0.03970617,0.06547019,0.00000000
-5.96398199,0.11968708,0.01704626,0.00000000,0.05775088,0.03730890,0.06412115,0.00000000
-5.95797899,0.11859268,0.01743884,0.00000000,0.05952059,0.03571750,0.06410634,0.00000000
-5.95197599,0.11997843,0.01817890,0.00000000,0.06243962,0.03492323,0.06541555,0.00000000
-5.94597299,0.12380919,0.01926494,0.00000000,0.06649309,0.03491353,0.06803109,0.00000000
-5.93996998,0.13003933,0.02069330,0.00000000,0.07165957,0.03567350,0.07192938,0.00000000
-5.93396698,0.13861596,0.02245847,0.00000000,0.07791209,0.03718738,0.07708243,0.00000000
-5.92796398,0.14948218,0.02455339,0.00000000,0.08521932,0.03943978,0.08345939,0.00000000
-5.92196098,0.16258004,0.02696974,0.00000000,0.09354686,0.04241676,0.09102791,0.00000000
-5.91595798,0.17785346,0.02969829,0.00000000,0.10285886,0.04610681,0.09975560,0.00000000
-5.90995498,0.19525086,0.03272918,0.00000000,0.11311966,0.05050149,0.10961133,0.00000000
-5.90395198,0.21472774,0.03605230,0.00000000,0.12429575,0.05559608,0.12056648,0.00000000
-5.89794897,0.23624881,0.03965762,0.00000000,0.13635768,0.06138987,0.13259609,0.00000000
-5.89194597,0.25979002,0.04353560,0.00000000,0.14928208,0.06788633,0.14567987,0.00000000
-5.88594297,0.28534002,0.04767754,0.00000000,0.16305352,0.07509314,0.15980290,0.00000000
-5.87993997,0.31290118,0.05207603,0.00000000,0.17766628,0.08302190,0.17495625,0.00000000
-5.87393697,0.34249004,0.05672524,0.00000000,0.19312560,0.09168777,0.19113702,0.00000000
-5.86793397,0.37413696,0.06162139,0.00000000,0.20944868,0.10110882,0.20834823,0.00000000
-5.86193097,0.40788506,0.06676304,0.00000000,0.22666486,0.11130526,0.22659805,0.00000000
-5.85592796,0.44378837,0.07215145,0.00000000,0.24481532,0.12229848,0.24589874,0.00000000
-5.84992496,0.48190903,0.07779083,0.00000000,0.26395188,0.13410999,0.26626502,0.00000000
-5.84392196,0.52231388,0.08368867,0.00000000,0.28413511,0.14676020,0.28771208,0.00000000
-5.83791896,0.56507032,0.08985591,0.00000000,0.30543161,0.16026724,0.31025321,0.00000000
-5.83191596,0.61024170,0.09630720,0.00000000,0.32791073,0.17464569,0.33389717,0.00000000
-5.82591296,0.65788240,0.10306107,0.00000000,0.35164064,0.18990549,0.35864554,0.00000000
-5.81990995,0.70803300,0.11014006,0.00000000,0.37668417,0.20605080,0.38448997,0.00000000
-5.81390695,0.76071549,0.11757093,0.00000000,0.40309439,0.22307918,0.41140979,0.00000000
-5.80790395,0.81592919,0.12538466,0.00000000,0.43091035,0.24098087,0.43936992,0.00000000
-5.80190095,0.87364715,0.13361653,0.00000000,0.46015323,0.25973833,0.46831929,0.00000000
-5.79589795,0.93381360,0.14230601,0.00000000,0.49082294,0.27932596,0.49819000,0.00000000
-5.78989495,0.99634234,0.15149661,0.00000000,0.52289562,0.29971009,0.52889706,0.00000000
-5.78389195,1.06111610,0.16123541,0.00000000,0.55632197,0.32084911,0.56033907,0.00000000
-5.77788894,1.12798696,0.17157250,0.00000000,0.59102673,0.34269366,0.59239941,0.00000000
-5.77188594,1.19677754,0.18256004,0.00000000,0.62690904,0.36518700,0.62494824,0.00000000
-5.76588294,1.26728280,0.19425098,0.00000000,0.66384392,0.38826521,0.65784492,0.00000000
-5.75987994,1.33927222,0.20669742,0.00000000,0.70168453,0.41185739,0.69094073,0.00000000
-5.75387694,1.41249198,0.21994859,0.00000000,0.74026505,0.43588571,0.72408175,0.00000000
-5.74787394,1.48666697,0.23404832,0.00000000,0.77940408,0.46026516,0.75711160,0.00000000
-5.74187094,1.56150217,0.24903225,0.00000000,0.81890805,0.48490320,0.78987385,0.00000000
-5.73586793,1.63668342,0.26492460,0.00000000,0.85857453,0.50969911,0.82221394,0.00000000
-5.72986493,1.71187729,0.28173477,0.00000000,0.89819523,0.53454318,0.85398043,0.00000000
-5.72386193,1.78673007,0.29945376,0.00000000,0.93755823,0.55931581,0.88502549,0.00000000
-5.71785893,1.86086616,0.31805069,0.00000000,0.97644961,0.58388663,0.91520472,0.00000000
-5.71185593,1.93388577,0.33746948,0.00000000,1.01465418,0.60811375,0.94437617,0.00000000
-5.70585293,2.00536266,0.35762602,0.00000000,1.05195546,0.63184323,0.97239891,0.00000000
-5.69984992,2.07484204,0.37840586,0.00000000,1.08813497,0.65490907,0.99913120,0.00000000
